Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
J.K. Rowling, Harry Potter and the Deathly Hallows|Her voice was now so shrill only bats would be able to hear it soon, but she had reached a level of indignation that rendered her temporarily speechless..
Maria V. Snyder, Fire Study|In the war room, love? What if someone comes in?”I stood and removed his shirt. “Then they’ll have a good story to tell.”“Good?” He adopted the pretense of being offended.“Prove me wrong.
John Green, The Fault in Our Stars|I can't go to Amsterdam. One of my doctors thinks it's a bad idea."He was quiet for a second. "God," he said. "I should've just paid for it myself. Should've just taken you straight from the Funky Bones to Amsterdam.""But then I would've had a probably fatal episode of deoxygenation in Amsterdam, and my body would have been shipped home in the cargo hold of an airplane," I said. "Well, yeah," he said. "But before that, my grand romantic gesture would have totally gotten me laid."I laughed pretty hard, hard enought that I felt where the chest tube had been. "You laugh because it's true," he said.I laughed again."It's true, isn't it!" "Probably not," I said, and then after a moment added, "although you never know.
Sophie Kinsella, I've Got Your Number|I've never felt so bereft and panicky. What do I do without my phone? How do I function? My hand keeps automatically reaching for my phone in its usual place in my pocket. Every instinct in me wants to text someone, 'OMG, I've lost my phone! ' but how can do that without a bloody phone?
Rachel Caine, Last Breath|Does it hurt?”He bent his head and lightly kissed her forehead. “Only when I laugh.”“I’ll try not to be funny.”“Epic fail, beautiful.
Louis C.K., Untitled 1|Everything's amazing right now, and nobody's happy.
Devon Sampson|If god meant for people to talk into cellphones, he would've put our mouths on the side of our heads.
Gena Showalter, Animal Instincts|Leap out the window, my inner Tigress cried. You aren't ready to face such a powerful Tiger. I frowned. I thought a true Tigress never backed down from a fight. Don't you know anything? When she's in heat, she avoids everything male. Now run!
L.H. Cosway, The Hooker and the Hermit|Dearest Annie, Roses are red. Violets are blue. I’m using my hand But I’m thinking of you. - Ronan P.S. Just to clarify, I’m using my hand to write this note…get your mind out of the gutter.
Eoin Colfer, The Eternity Code|So, Mr. Digence, home to visit the family?""That's right. My mother's folks are from Killarney.""Oh, really?""O'Reilly, actually. But what's a vowel between friends?""Very good. You should be on the stage.""It's funny you should mention that."The passport officer groaned. Ten more minutes and his shift would have been over. "I was being sarcastic, actually
Trenton Lee Stewart, The Mysterious Benedict Society and the Prisoner's Dilemma|You've read half the books in this house? This whole house?" "Well, approximately half." Sticky said. "To be more accurate, I suppose I've read more like" - his eyes went up as he calculated - "three sevenths? Yes, three sevenths." "Only three sevenths?" said Kate, pretending to look disappointed. "And here I was prepared to be impressed.
Eoin Colfer, Artemis Fowl|Knock yourself out... Or rather, don't.
Ilona Andrews|Kate's Speciality: Killing things, with much bloodshed. Talking trash, infuriating authority. Driving Beast Lord crazy.
Sarah J. Maas, A Court of Mist and Fury|A snap of Rhys’s fingers, and my nightclothes—and some flimsy underthings—appeared on the bed. “I couldn’t decide which scrap of lace I wanted you to wear, so I brought you a few to choose from.” “Pig,” I barked
Gena Showalter, The Darkest Pleasure|Legion hissed like a startled cat, the noise scraping at Reyes’s skin. “Me no boy. You think me a boy?”Everyone stopped, stared. Even Aeron.Reyes was the first to find his voice. “You’re a…girl?”A nod. “Me pretty.”“Yes, you are.” Reyes exchanged a glance with Lucien. “Beautiful.
Darynda Jones, Fifth Grave Past the Light|If it weren’t for physics and law enforcement, I’d be unstoppable.
Seanan McGuire, Rosemary and Rue|If anything attacked us, we could just panic at it until it went away.
Gena Showalter, Alice in Zombieland|Pops: How about you finish this sentence for me, Jason? When a girl says no she means...Justin, looking desperately at me: No?Nana: Are you sure?Justin, shifting uncomfortably: I'm sure. No means no.Nana: Well look at you. You got one right. Now here's another, even tougher sentence for you to finish. Premarital sex is...Me: Nana! I'm so sorry Justin.Nana: Unlike Pops, I'm not moving on. Justin?Pops: His name is Jason.Justin:Uh....uh....Pops: While you think about that, why don't you tell me how you feel about drinking and driving?Justin: I'm totally against it, I swear!Nana: Methinks he protests too much.
E. Lockhart, Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver|Maybe a friend is someone who wants your updates. Even if they're boring. Or sad. Or annoyingly cutesy. A friend says "Sign me up for your boring crap, yes indeed"--because he likes you anyways. He'll tolerate your junk
Charlaine Harris, Dead to the World|Because he sounded so lost-the Eric I knew had never been one to do anything other than assume others should serve him-I patted around under the covers for his hand. When I found it, I slid my own over it. His palm was turned up to meet my palm, and his fingers clasped mine. And though I would not have thought it possible to go to sleep holding hands with a vampire, that's exactly what I did.
A.G. Howard, Unhinged|Shh." I squeeze his hand. His palm feels clammy. "We have to keep it down, okay? We don't want my dad coming in."He grits his teeth against more shivers. "Always knew I'd end up in your bed . . . and hear you say those words one day." He manages a smirk.Jeb snarls. "Unbelievable. Even when he's at death's door he's a tool." He arranges a pillow beneath Morpheus's neck. "Why don't you keep your mouth shut while we help you."Morpheus laughs weakly, his skin flashing with blue light. "What say Alyssa"--his breath rattles--"give my mouth something else to do?
Laurie Halse Anderson, Speak|My parents didn't raise me to be religious. The closest we come to worship is the Trinity of Visa, Mastercard, and American Express. I think the Merryweather cheerleaders confuse me because I missed out on Sunday School. It has to be a miracle. There is no other explanation. How else could they sleep with the football team on Saturday night and be reincarnated as virginal goddesses on Monday?
Parker Blue, Bite Me|What are you?” he demanded. “A slayer?" I rolled my eyes. “The name's Val, not Buffy. Do I look like a blond cheerleader with questionable taste in men?
Leigh Bardugo, Siege and Storm|I shouldn't have lost my temper that way. It just pricks his pride, makes him dig in his heels.""So why did you?" I asked, genuinely curious. It was rare for Nikolai's emotions to get the best of him. "I don't know," he said, shredding the leaf. "You got angry. I got angry. The room was too damn hot.""I don't think that's it.""Indigestion?" he offered."It's because you actually care about what happens to this country," I said. "The throne is just a prize to Vasily, something he wants to squabble over like a favorite toy, You're not like that. You'll make a good king."Nikolai froze. "I…" For once, words seemed to have deserted him. Then a crooked, embarrassed smile crept across his face. It was a far cry from his usual self-assured grin. "Thank you," he said.I sighed as we resumed our pace. "You're going to be insufferable now, aren't you?"Nikolai laughed. "I'm already insufferable.
Francine Pascal, Fearless|He slowed down a bit more. "Gaia, how do you know these things?" She shrugged. "I'm smart." "And modest, too." "Modesty is a waste of time," she pronounced. "I'll keep that in mind.
Rachel Vincent, Rogue|In the office, Michael sat behind our father’s desk, clicking away at the computer with his right hand, and making notes with his left. Ambidextrous freak.
Kasie West, The Fill-In Boyfriend|Hayden?""Yes,Gia?""Nothing I just wanted to say your name
Simone Elkeles, Rules of Attraction|He laughs. "Put some clothes on so you don't scare poor Kiara with your morning hard-on."I look down at my shorts. Sure enough, I've got la tengo dura in front of Kiara and Tuck. Shit. I reach out for the first thing I can grab and put it in front of me to shield myself from view. It happens to be one of Kiara's stuffed animals, but I don't have much choice right now."That's Kiara's Mojo," Tuck says, laughing. "Get it? Mojo?
Maria V. Snyder, Fire Study|Lief. That's not nice, considering all your sister has done for you," admonished Perl."Oh right. How could I forget that she made me bait for a snake, left me on house arrest in Ixia, and smuggled me into the Keep in a coffin.
Jennifer L. Armentrout, Obsidian|I'm sure I look like a drowned cat.""You look fine. The wet look works for you."I scowled. "Now I know you're lying.
Eoin Colfer, Artemis Fowl|Shut up, Julius! I mean, quiet a moment, Commander.
Morgan Matson, Amy & Roger's Epic Detour|He stood and looked at me for a moment, taking in my outfit. "You look hot.""What? Me?" I stammered, completely flummoxed."Yeah," he said, still looking at me."Oh. Um, thank you. I mean, not that you don’t, but I’m not sure that you should—I mean …""Oh, no," Roger said quickly, and I could see that he was blushing again. "No. I mean—I meant what you’re wearing. Are you going to be too warm?
Suzanne Collins, Catching Fire|hey. I just wanted to make sure you got home," I say. "Katniss, I live three houses away from you," he says.
Rainbow Rowell, Fangirl|You don’t have any friends, your sister dumped you, you’re a freak eater..and you’ve got some weird thing about Simon Snow.""I object to every single thing you just said."Reagan chewed. And frowned. She was wearing dark red lipstick."I have lots of friends," Cath said."I never see them.""I just got here. Most of my friends went to other schools. Or they’re online.""Internet friends don’t count.""Why not?"Reagan shrugged disdainfully."And I don’t have a weird thing with Simon Snow," Cath said. "I’m just really active in the fandom.""What the fuck is ‘the fandom’?
Kelley Armstrong, The Summoning|He said "cool" like I say a Spanish word when I'm not sure of the pronunciation.
Cassandra Clare, City of Ashes|Honestly, Clary, if you don't start utilizing a bit of your natural feminine superiority I just don't know what I'll do with you.
Robert Louis Stevenson, Treasure Island|Fifteen men on the Dead Man's Chest Yo-ho-ho, and a bottle of rum! Drink and the devil had done for the rest Yo-ho-ho, and a bottle of rum!
George Carlin, When Will Jesus Bring the Pork Chops?|I'm not a person who thinks they can have it all, but I certainly feel that with a bit of effort and guile I should be able to have more than my fair share.
Dave Eggers, You Shall Know Our Velocity!|I hung up the phone, jubilant, and threw myself into a wall, then pretended to be getting electrocuted. I do this when I'm very happy.
Claudia Gray, Evernight|Suspicion," he said. "Directed by Alfred Hitchcock. He's a genius." "Starring Cary Grant." When Lucas gave me a look, I added, "You have your priorities, I have mine.
Derek Landy, Kingdom of the Wicked|Skulduggery.""Fletcher."Fletcher stuck out his hand. Skulduggery observed it for a moment."I'm sorry, what are we doing now?""Shaking hands," Fletcher said. "Like adults. I just want you to know that this past year has changed me. I've grown, as a person. I'm not the same Fletcher you used to know."You look a lot like him.""Well, yeah, but-""And you have the same ridiculous hair.""Can we just shake hands?""Of course we can," Skulduggery said, and they shook. "Now what?""I, uh...I don't really know. What do adults usually do after they shake hands?""Generally, the first thing they do is let go.""Oh, right," Fletcher said, and Skulduggery took his hand back. "So, Skulduggery, how have you been? You're looking well. That's a really nice tie."It's blue.""And such a nice shade."Skulduggery looked at Valkyrie. "You promised me he wouldn't be annoying.
Richelle Mead, Frostbite|He'd barely seen me coming, and despite the horribleness of what I'd just done, I kind of wished one of my instructors had been there to grade me on such an awesome performance.
Mark Rosen|I like stepping into the future. Therefore, I look for doorknobs.
John Flanagan, Halt's Peril|Halt regarded him. He loved Horace like a younger brother. Even like a second son, after Will. He admired his skill with a sword and his courage in battle. But sometimes, just sometimes, he felt an overwhelming desire to ram the young warrior's head against a convenient tree."You have no sense of drama or symbolism, do you?" he asked."Huh?" replied Horace, not quite understanding. Halt looked around for a convenient tree. Luckily for Horace, there were none in sight.
Rachel Hawkins, Spell Bound|Yeah, I was thinking about taking one of those showers where you huddle in the corner fully clothed and cry," Archer offered.
Kami Garcia, Beautiful Creatures|I'll drive like my grandma. I'll drive like your grandma.""You wouldn't say that if you knew my gramma.
Thea Harrison, Dragon Bound|He stared at her neck. Realization pulsed. He was looking at the bite he had given her. A hard length was growing against her hip. “So, is that your long, scaly, reptilian tail, or are you just happy to see me?” No, she did not just say that. Did she?
Stephen Colbert, I Am America|America used to live by the motto "Father Knows Best." Now we're lucky if "Father Knows He Has Children." We've become a nation of sperm donors and baby daddies.
Kiersten White, Supernaturally|Marry me. Nay, marriage will cost us precious moments together. Let us make sweet, passionate love right here. Let me bear your children.”A primal growl signaled Miss Lynn getting over her shock at being thus addressed. She lunged forward; Jack deftly rolled off the bench, jumping up out of her reach.“Goodness, I didn’t expect you to be quite this enthusiastic about my advances. If I don’t play hard to get, how will I ever know whether or not you respect me?
Brett Tate|Her lips full and inviting, she has an infectious laugh and glassy cackle in her eyes, and a 2000 volt sexual charisma that beckons me like a fluff girl on scuffed knees.
Jaye Wells, Red-Headed Stepchild|I walked to the door where Clovis waited. When I looked up, he was staring at Adam. A quick glance backward confirmed Adam was returning his stare. Freaking males, I thought, they couldn’t be more obvious about their territorial dispute if they’d both peed on me.
Rachel Vincent, Stray|You bitch!"Why is it that whenever I draw blood, I'm a bitch?
Derek Landy, Skulduggery Pleasant|He put on his hat and wrapped his scarf around his jaw, but did without the wig and the sunglasses. He clicked his key chain and the car beeped and the doors locked."That's it?"He looked up. "Sorry?""Aren't you afraid it might get stolen? We're not exactly in a good part of town.""It's got a car alarm.""Don't you, like, cast a spell or something? To keep it safe?""No. It's a pretty good car alarm.
Ally Carter, Perfect Scoundrels|And so that means...""We have to rob the Henley," Simon said.Kat sank onto a truly uncomfortable sofa. "Again.
Leigh Bardugo, Siege and Storm|If it works, it will be plenty dramatic. And I suppose that if it doesn't work, it will be even more dramatic, what with the blast.""David, I think you just made a joke."He frowned, utterly perplexed. "Did I?
V.E. Schwab, A Gathering of Shadows|No,” he muttered, running a hand through his copper hair. “No. No. There are dozens.”“Kell?” she asked, moving to touch his arm.He shook her off. “Dozens of ships, Lila! And you had to climb aboard his.”“I’m sorry,” she shot back, bristling, “I was under the impression that I was free to do as I pleased.”“To be fair,” added Alucard, “I think she was planning to steal it and slit my throat.”“Then why didn’t you?” snarled Kell, spinning on her. “You’re always so eager to slash and stab, why couldn’t you have stabbed him?
Shannon Hale, Book of a Thousand Days|Careful with the accusations of insanity, oh my lady whose home is a tower with windows of brick, all for the sake of some skinny-ankled, laugh-prone boy of a khan.
Maureen Johnson, 13 Little Blue Envelopes|When she emerged, Keith was watching the tiny round window of the under-the-counter washing machine. "Put your clothes in for a wash," he said. "They were disgusting."Ginny always thought that the only way of getting clothes clean was by drowning them in scalding water and then whipping them around in a violent centrifugal motion that caused the entire washing machine to vibrate and the floor to shake. You beat them clean. You made them suffer. This machine used about half a cup of water and was about as violent as a toaster, plus it stopped every few minutes, as if it were exhausted from the effort of turning itself.Sluff, sluff, sluff sluff. Rest. Rest. Rest.Click.Sluff, sluff, sluff, sluff. Rest. Rest. Rest."Who thought to put a window on a washing machine?" Keith asked. "Does anyone just sit and watch their wash?"You mean, besides us?""Well," he said, "yeah. Is there any coffee?
Derek Landy, Kingdom of the Wicked|I should go in alone," Valkyrie said, speaking loudly to be heard. "If we both go in, it'll look to official.""So I'll just stay out here?" Skulduggery asked. "But what'll I do? There's no one to talk to. It's boring.""You're standing on the roof of a train," Valkyrie pointed out. "If you find this boring, you really need your head examined. Just wait here. I'll do what has to be done and I'll be find out."Fine," he said, sounding grumpy. "Don't be long.
Rachel Vincent, Rogue|I laughed. It was just like Owen to make excuses for someone else’s shortcomings. Even fictional characters. Owen found my tendency to speak my mind “refreshingly honest,” and hailed Marc’s temper as “a deep protective instinct.” He said Ethan “thoroughly enjoyed life,” and that Parker “really knew how to have a good time.” According to Owen, we were all doing just fine, and all was right with the world.
Rachel Caine, Ghost Town|I think so,” she [Claire] said. “Just watch your back, okay?” “Nah, Michael’s got mine.” He [Shane] looked straight into her eyes.“I’ve got yours.
Michelle Hodkin, The Unbecoming of Mara Dyer|I pointed to a low bowl filled with what purported to be stew, but then Noah said, “Are you goingto point, or are you going to eat?”“I just like to know what I’m putting in my mouth before I swallow.”Noah arched an eyebrow, and I wanted to crawl into a hole and die.
Joe Theismann|The word "genius" isn't applicable in football. A Genius is a guy like Norman Einstein.
Michelle Hodkin|He shrugged. “I have a stomach thing. Don’t get close.”“Well, now you’ve spoiled everything,” I said casually, working hard to fake it. “I was planning to seduce you in the broom closet.” I pointed. “Right there.”A joyless smile appeared on Jamie’s lips. “We are far too screwed-up for a goddamned lovetriangle.”That’s my Jamie.
Veronica Roth, Insurgent|Be careful, though.""Aren't I always?""No, I think the word for how you usually are is 'reckless.
Samuel Johnson|My congratulations to you, sir. Your manuscript is both good and original; but the part that is good is not original, and the part that is original is not good. 
John Flanagan, Halt's Peril|A hundred people is rather a large handful for the four of us to take on," Malcolm pointed out. "Do you have any ideas about how we're going to handle that task?""Simple," Halt told him. "We'll surround them.
Kim Harrison, White Witch, Black Curse|I only snatched him to get your attention,” I said. “Now that I’ve got it, this is what I want.”“Damn my dame!” Al shouted, hands raised to the ceiling. “I knew it! Not another list!
Andrea Cremer, Nightshade|And you look beautiful," she added."I look like a cake.""But a beautiful cake.
John Green, The Fault in Our Stars|He’s not that smart.”“She’s right,” Augustus says. “It’s just that most really good-looking people are stupid, so I exceed expectations.”“Right, it’s primarily his hotness.”“It can be sort of blinding,” he said.“It actually did blind our friend Isaac.”“Terrible tragedy, that. But can I help my own deadly beauty?”“You cannot.”“It is my burden, this beautiful face.”“Not to mention your body.”“Seriously, don’t even get me started on my hot bod. You don’t want to see me naked, Dave. Seeing me naked actually took Hazel Grace’s breath away,” he said, nodding toward the oxygen tank.
Laurie Halse Anderson, Speak|I just thought of a great theory that explains everything. When I went to that party, I was abducted by aliens. They have created a fake Earth and fake high school to study me and my reactions. This certainly explains cafeteria food.
Oprah Winfrey|Mr. Right is coming, but he's in Africa and he's walking.
Stephen Colbert|I believe that the government that governs best is a government that governs least, and by these standards we have set up a fabulous government in Iraq.
Laurie Halse Anderson, Speak|I watch the Eruptions. Mount Dad, long dormant, now considered armed and dangerous. Mount Saint Mom, oozing lava, spitting flame. Warn the villagers to run into the sea.
Haven Kimmel, Girl Named Zippy: Growing Up Small in Mooreland, Indiana|I later discovered that in order to be a good athlete one must care intensely what is happening with a ball, even if one doesn't have possession of it. This was ultimately my failure: my inability to work up a passion for the location of balls.
Victor Borge|One afternoon, when I was four years old, my father came home, and he found me in the living room in front of a roaring fire, which made him very angry. Because we didn't have a fireplace.
Karen Marie Moning, Iced|I smack myself in the forehead. “Holy priceless collection of Etruscan snoods, they’re not moving!” I exclaim. There’s a choking noise over my head somewhere. “Etruscan snoods?” I glow quietly inside. Some accomplishments mean more than others. I am officially the Shit. Now and forever. “Dude, watch your question marks. I just pried one out of you.” “I have no idea what you’re talking about.” “Admit it, you lost your eternal fecking composure.” “You have an obsession with a delusion about how I end my sentences. What the fuck are Etruscan snoods?” “Dunno. It’s just another of Robin’s sayings. Like, ‘Holy strawberries, Batman, we’re in a jam!’ ” “Strawberries.” “Or, ‘Holy Kleenex, Batman, it was right under our nose and we blew it!’ 
Douglas Adams, Life, the Universe and Everything|Arthur shook his head and sat down. He looked up.“I thought you must be dead …” he said simply.“So did I for a while,” said Ford, “and then I decided I was a lemon for a couple of weeks. I kept myself amused all that time jumping in and out of a gin and tonic.
Derek Landy, Death Bringer|Valkyrie walked to the back door, which hadn't been closed properly, shut it and locked it. There was now a baby in the house, after all. She couldn't take the chance that a wild animal might wander in and make off with Alice, like those dingoes in Australia. She was probably being unfair to both dingoes and Australia, but she couldn't risk it. Locked doors kept the dingoes out, and that's all there was to it, even if she didn't know what a dingo actually was. She took out her phone, searched the Internet, found a picture of a baby dingo and now she really wanted a baby dingo for a pet.
Janet Evanovich, To the Nines|My grandmother is a little Cuban woman who cooks all day and speaks Spanish. Your grandmother watches pay-per-view porn.""She used to watch the Weather Channel, but she said there wasn't enough action."-Ranger and Stephanie
Chelsea M. Cameron, My Favorite Mistake|I'm going to take a shower," I said and prepared for the comment I knew was coming. "You know what they say, conserve water and shower with a friend.
Stephen Clarke, A Year in the Merde|If they wanted their shit stirred, then stirred their shit was jolly well going to be.
Bauvard, Some Inspiration for the Overenthusiastic|If all women revealed their age, men would have nothing to hide from each other.
Elizabeth Gilbert|Let me ask you something, in all the years that you have...undressed in front of a gentleman has he ever asked you to leave? Has he ever walked out and left? No? It's because he doesn't care! He's in a room with a naked girl, he just won the lottery. I am so tired of saying no, waking up in the morning and recalling every single thing I ate the day before, counting every calorie I consumed so I know just how much self loathing to take into the shower. I'm going for it. I have no interest in being obese, I'm just through with the guilt. So this is what I'm going to do, I'm going to finish this pizza, and then we are going to go watch the soccer game, and tomorrow we are going to go on a little date and buy ourselves some bigger jeans.
Rick Riordan, The Mark of Athena|We’ve all got weaknesses. Me, for instance. I’m tragically funny and good-looking.
Marissa Meyer, Cinder|The queen's eyes smouldered. "I know my own kind when I see them, and right now there is one in these city walls." She pointed a finger toward the balcony."I want her found and brought to me.""Right," said Kai,"that'll be no problem in a city of two and a half million people. Let me just go dig out my special Lunar detector, and I'll get right on that.
Cassandra Clare, Clockwork Prince|Will sat where he was, gazing at the silver bowl in front of him; a white rose was floating in it, and he seemed prepared to stare at it until it went under. In the Kitchen Bridget was still singing one of her awful sad songs; the lyrics drifted in through the door: "Twas on an evening fair I went to take the air, I heard a maid making her moan; Said, 'Saw ye my father? Or ye my mother? Or saw ye my brother John? Or saw ye the lad that I love best, And his name it is Sweet William?" I may murder her, Tessa thought. Let her make a song about that.
Rick Riordan, The Mark of Athena|When I was alive, I mean the first time, Mussolini was in charge. We were at war.”“Mussolini?” Leo frowned. “Wasn’t he like BFFs with Hitler?
Kylie Scott, Play|Stick your dick in’?” I asked, my brows probably touching. “Did you actually just say that?” “Make love. I meant make love … of course. I would never just stick my dick in you. I would make mad, passionate love to this sweet, sweet body of yours for days, no, weeks. It would be beautiful, pumpkin. There’d be little angels, and birdies, and you know … all just hanging around, watching. Perverts.
J.K. Rowling, Harry Potter and the Order of the Phoenix|So,” sneered Fudge, recovering himself, “you intend to take on Dawlish, Shacklebolt, Dolores, and myself single-handed, do you, Dumbledore?”“Merlin’s beard, no,” said Dumbledore, smiling. “Not unless you are foolish enough to force me to.”“He will not be single-handed!” said Professor McGonagall loudly, plunging her hand inside her robes.“Oh yes he will, Minerva!” said Dumbledore sharply. “Hogwarts needs you!
Beth Revis, A Million Suns|But Amy," Elder says. "Space suits!
James Patterson, Saving the World and Other Extreme Sports|I'm way hot," he muttered. "But I don't feel sick. Just — way hot."Fang
Jamie McGuire, Beautiful Disaster|After climbing off his bike, I smacked his shoulder. “Did you forget I was with you? Are you trying to get me killed?”“It’s hard to forget you’re behind me when your thighs are squeezing the life out of me.” A smirk came with his next thought. “I couldn’t think of a better way to die, actually.”“There is something very wrong with you.
David Wong, This Book Is Full of Spiders: Seriously, Dude, Don't Touch It|SHUT UP. Both of you. You're coming with me." To me he said, "Put some pant
Brandon Mull|He would have shaved the centaurs, dipped them in honey, covered them with feathers, and hung them up like a bunch of pinatas. I'm just saying." - Warren
Jon Stewart|Yesterday, the president met with a group he calls the coalition of the willing. Or, as the rest of the world calls them, Britain and Spain
Chris Owen, Bareback|Jake wasn't about to be seduced like some schoolgirl. Not by a man who went by the unlikely name of Tornado, not by anyone. He stood as firmly as he could in the mud and tore his mouth from the kiss, staring into too dark eyes. As his hands made their way into Tor's wet jeans he said, "This doesn't mean I like you, you know.
James Howe, Totally Joe|I hated that the soldier doll had my name. I mean, please. I didn't play with him much. He was another Christmas present from my clueless grandparents. One time when they were visiting, my grandpa asked me if G.I. Joe had been in any wars lately. I said, "No, but he and Ken got married last week." Every Christmas since then, my grandparents have sent me a check.
Karen Marie Moning, Kiss of the Highlander|His heavy-lidded gaze reflected a languor that had nothing to do with having just awakened, and there was no doubt what was on his mind. But this is no safe cherry picker, Gwen thought, growing more concerned by the moment.This man looks like a cherry tree chopper-downer.
Darynda Jones, First Grave on the Right|He bombarded me with words, of all things, apparently clueless to the fact that the predawn hours rendered me incapable of coherent thought.
Kendare Blake, Anna Dressed in Blood|Girls, on the other hand, have always come easy. I don't know why that is, exactly. Maybe it's the outsider vibe and a well-placed brooding look. Maybe it's something I think I see sometimes in the mirror, something that reminds me of my father. Or maybe I'm just damn easy on the eyes.
Leigh Bardugo, Siege and Storm|It's always been this way. There were rumors about me even before I was born. It's why my mother never calls me Sobachka. She says it makes me sound like a mongrel."My heart gave a little pang at that. I'd been called plenty of names growing up."I like mongrels," I said. "They have cute floppy ears.""My ears are very dignified.
James Patterson, The Angel Experiment|Iggy. This is not a democracy," I said,(...)"It'sa Maxocracy.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|You know how I think they choose people for Gryffindor team?" said Malfoy loudly a few minutes later, as Snape awarded Hufflepuff another penalty for now reason at all. "It's people they feel sorry for. See, there's Potter, who's got no parents, then there's the Weasleys, who've got no money - you should be on the team, Longbottom, you've got no brains.
Lisa McMann, Wake|...she's leaving now....Janis attacks the back door of the school gym and finds herself in a heavy cloud of smoke. She realizes she's found the Goths' hangout. Who knew?"Oof," someone says. She keeps walking, muttering, "sorry" to whomever it was she hit with the flying door.***Cabel: ... That was the Goth stage where I decided I'd never get the girl of my dreams because of my scars. Not to mention the hairstyle.(pause)But then she slammed a door handle into my gut. And, when a girl does that to a boy, it means she likes him.
Shay Savage, Transcendence|Elizabeth."I feel my smile on my face as I understand what she is doing. Though it's a strange one, she has a name-sound just like I do, and she's telling me what it is. I try to make the same sounds."Ehh..beh." I frown. Why is her name-sound so difficult and so long?She frowns right back at me and says it again. "Elizabeth.""Beh-tah-babaa."She sighs and her forehead wrinkles. "Elizabeth. Eeee-lizzzz-ahh-beth.""Laahh...baaay."She taps her chest again."Beth!"The sound is shorter but still very odd."Beh-bet.""Beth," she repeats.I've had enough. I reach out and touch her should."Beh.""Beth." I tap her a little harder and growl."Beh", I repeat. I tap her again. "BEH!"Her eyes widen a bit, and she inhales sharply. A moment later, her shoulders drop and she sighs."Beh," she says quietly.
Holly Smale, Model Misfit|1. You left a multipack of Mars Bars on top of your wardrobe. Can I have one? Dad x2. I had three. Hope that's OK. Dad x3. I'm just going to have one more. Dad x4. Harriet, your Dad's made himself sick on an entire multipack of Mars Bars again. Please don't leave sweets where we can find them. A x
Galileo Galilei|The sun, with all those planets revolving around it and dependent on it, can still ripen a bunch of grapes as if it had nothing else in the universe to do.
Jennifer L. Armentrout, Obsidian|Dee loves it here. Before you came, she spent most of her days here."To Daemon, my arrival was the beginning of the end. The apocalypse. Kat-mageddon. "You know, I'm not going to get your sister in trouble.""We'll see.
Rachel Hawkins, Spell Bound|So hologram means--" I finally said."It means non-corporeal, yeah. Which sucks seeing as how there are a lot of very corporeal things I'd like to do with you right now.
Rick Riordan, The Last Olympian|And when demigods use cell phones, the signals agitate every monster within a hundred miles. It's like sending up a flare: Here I am! Please rearrange my face!
John Flanagan, Halt's Peril|Yes, I'm back," he said, "And look who I ran into."Horace grinned at him. "i hope you ran into him hard.""As hard as I could.
Ilona Andrews, On the Edge|She handed him a glass of water and two Aleve gelcaps. “They’re anti-inflammatories. They will dull the pain a little bit and keep down swelling and redness. Swallow the pills, don’t chew.”“Well, I thought I’d stick them into my nose and impersonate a walrus, but if you insist, I’ll swallow them.
Richelle Mead, The Fiery Heart|Somehow, Sydney had an internal clock that told her when time was up. I think it was part of her inherent ability to keep track of a hundred things at once. Not me. In these moments, my thoughts were usually focused on getting her shirt off and whether I’d get past the bra this time. So far, I hadn’t.
Cassandra Clare|There was a small wooden gazebo built out over the water; Isabelle was sitting in it, staring out across the lake. She looked like a princess in a fairy tale, waiting at the top of her tower for someone to ride up and rescue her. Not that traditional princess behavior was like Isabelle at all. Isabelle with her whip and boots and knives would chop anyone who tried to pen her up in a tower into pieces, build a bridge out of the remains, and walk carelessly to freedom, her hair looking fabulous the entire time.
Andy Weir, The Martian|Log Entry: SOL 118My conversation with NASA about the Water Reclaimer was boring and riddled with technical details. So I'll paraphrase for you:Me: "This is obviously a clog. How about I take it apart and check the internal tubing?"NASA: (After about 5 hours of deliberation) "No. You'll fuck it up and die."So I took it apart.
Santosh Kalwar, Quote Me Everyday|Friends are like bras, attached near your heart for support. Foes are like panties, deported, every now and then, when they get dirty.
Natsuki Takaya|Hatsuharu Sohma: [after tripping Kyo] If I hadn't had tripped you, you wouldn't have stopped now would you.[addressing the audience]Hatsuharu Sohma: By the way what I just did was very dangerous. And if it had been anyone but Kyo they probably would have been hurt pretty badly, so don't try it at home.Kyo Sohma: Don't try it here and who are you even talking to? 
Charles Dickens, Hard Times|She was the most wonderful woman for prowling about the house. How she got from one story to another was a mystery beyond solution. A lady so decorous in herself, and so highly connected, was not to be suspected of dropping over the banisters or sliding down them, yet her extraordinary facility of locomotion suggested the wild idea.
Jessica Verday, The Hollow|I felt my cheeks turn red, and she laughed out loud. But I didn't mind too much, because the last thing she saw was my middle finger aimed in her direction as I stepped outside
Marissa Meyer, Winter|You mean she doesn’t intend to blow me up before the ceremony?” said Kai, taking the box. “How disappointing.
Jamie McGuire, Beautiful Disaster|Look at him,” she said, shaking her head. “Travis Maddox: Mr. Mom.
