Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Grace Murray Hopper|It is better to beg forgiveness, than ask permission.
C.S. Lewis, The Silver Chair|Though under earth, and throneless now I beYet while I lived all earth was under me.
Neil Simon|I LOVE living, I have some problems with my LIFE, but living is the best thing they've come up with so far.
Jasinda Wilder, Falling into You|But we have to learn to be free. We have to, Nell. Doesn't mean happy all the time, or okay all the time. It’s okay not to be okay. I told you that, but I'm relearning it myself. But not being okay doesn't mean you stop living.
Bette Midler|If only I'd known my differentness would be an asset, then my earlier life would have been much easier.
Tom Wolfe, The Electric Kool-Aid Acid Test|What do you mean, blindly? That baby is a very sentient creature… That baby sees the world with a completeness that you and I will never know again. His doors of perception have not yet been closed. He still experiences the moment he lives in.
Julian Barnes, Flaubert's Parrot|Life … is a bit like reading. … If all your responses to a book have already been duplicated and expanded upon by a professional critic, then what point is there to your reading? Only that it’s yours. Similarly, why live your life? Because it’s yours. But what if such an answer becomes less and less convincing?
Gary Snyder|I see a vision of a great rucksack revolution thousands or even millions of young Americans wandering around with rucksacks, going up to mountains to pray, making children laugh and old men glad, making young girls happy and old girls happier, all of 'em Zen Lunatics who go about writing poems that happen to appear in their heads for no reason and also by being kind and also by strange unexpected acts keep giving visions of eternal freedom to everybody and to all living creatures.
Shannon L. Alder|The very least you can do in your life is to figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance, but live right in it, under its roof.
Kasie West, Pivot Point|It was hard when I knew I was about to be flooded with memories of a life I hadn't lived yet. Really, two lives I hadn't lived yet.
Matt Simpson|Living a good life is like flipping pancakes. If you hesitate, it splatters all over the place.
Chuck Klosterman, Killing Yourself to Live: 85% of a True Story|When you start thinking about what your life was like 10 years ago--and not in general terms, but in highly specific detail--it's disturbing to realize how certain elements of your being are completely dead. They die long before you do. It's astonishing to consider all the things from your past that used to happen all the time but (a) never happen anymore, and (b) never even cross your mind. It's almost like those things didn't happen. Or maybe it seems like they just happened to someone else. To someone you don't really know. To someone you just hung out with for one night, and now you can't even remember her name.
David Moody, Autumn|Surviving is one thing," he said quietly, his voice suddenly calmer, "but you've got to have a reason to do it. There's no point in living if you don't have anything worth living for.
Fernando Pessoa, The Book of Disquiet|I realize that I was all error and deviation, that I never lived, that I existed only in so far as I filled time with consciousness and thought.
Albert Camus, The Fall|I felt as though I was partly unlearning what i had never learned and yet knew so well: I mean, how to live.
Ryan Higa|If your life has no problems, you're not really living it.
Rainer Maria Rilke, Duino Elegies|Look, I am living. On what? Neither childhood nor futurelessens . . . . Superabundant existencewells in my heart.
Jack Kerouac, Lonesome Traveler|After all this kind of fanfare, and even more, I came to a point where I needed solitude and to just stop the machine of 'thinking' and 'enjoying' what they call 'living,' I just wanted to lie in the grass and look at the clouds...
Ted Hughes|And that's how we measure out our real respect for people—by the degree of feeling they can register, the voltage of life they can carry and tolerate—and enjoy. End of sermon. As Buddha says: live like a mighty river. And as the old Greeks said: live as though all your ancestors were living again through you.
Victoria Moran, Younger by the Day: 365 Ways to Rejuvenate Your Body and Revitalize Your Spirit|It stands to reason that anyone who learns to live well will die well. The skills are the same: being present in the moment, and humble, and brave, and keeping a sense of humor. (361)
Morrie Schwartz|For me, living means I can be responsive to the other person. It means I can show my emotions and my feelings. Talk to them. Feel with them …
Katie Kacvinsky, Awaken|You're not saving lives, Dad. You can't save lives when no one's living anymore. (Maddie)
Gyula Krúdy, Sunflower|I’d love to step off this well-trodden straight and boring path. To somehow live differently, think different thoughts, feel different feelings than others. It wouldn’t bother me to be as alone as a tree on the plains. My leaves would be like no other tree’s.
Chuck Palahniuk, Damned|If the living are haunted by the dead, then the dead are haunted by their own mistakes.
Nancy E. Turner, Sarah's Quilt|Living is getting knocked down time and again, then standing up time and again, and once more. It's easy to act honorable when things are coming along and all your pastures are green. Plenty difficult when the ground is dried and burned and people have connived to take even that from you. I'll sell this place, or I'll lose it. I'll go on. People who don't have hard times aren't living.
Annie Dillard, The Writing Life|How we spend our days is, of course, how we spend our lives. What we do with this hour, and that one, is what we are doing. A schedule defends from chaos and whim. It is a net for catching days. It is a scaffolding on which a worker can stand and labor with both hands at sections of time. A schedule is a mock-up of reason and order—willed, faked, and so brought into being; it is a peace and a haven set into the wreck of time; it is a lifeboat on which you find yourself, decades later, still living.
Lisa Schroeder, The Day Before|It brings me back to the moment, and I want to livethe moment with everything I’ve got.
Chuck Klosterman, Killing Yourself to Live: 85% of a True Story|We are always dying, all the time. That's what living is; living is dying, little by little. It is a sequenced collection of individualized deaths.
Elizabeth I|Life is for living and working at. If you find anything or anybody a bore, the fault is in yourself.
Simon Van Booy, Love Begins in Winter: Five Stories|Actually, years mean nothing. It's what's inside them.
Anaïs Nin, Henry and June: From "A Journal of Love"--The Unexpurgated Diary of Anaïs Nin|The impetus to grow and live intensely is so powerful in me I cannot resist it. I will work, I will love my husband, but I will fulfill myself.
Chuck Palahniuk, Choke|It's creepy, but here we are, the Pilgrims, the crackpots of our time, trying to establish our own alternate reality. To build a world out of rocks and chaos.What it's going to be, I don't know.Even after all that rushing around, where we've ended up is the middle of nowhere in the middle of the night.And maybe knowing isn't the point.Where we're standing right now, in the ruins in the dark, what we build could be anything.
Stephen Levine, A Year to Live: How to Live This Year as If It Were Your Last|Until we find out who was born this time around, it seems irrelevant to seek earlier identities. I have heard many people speak of who they believe they were in previous incarnations, but they seem to have very little idea of who they are in this one. . . . Let’s take one life at a time. Perhaps the best way to do that is to live as though there were no afterlife or reincarnation. To live as though this moment was all that was allotted. (132)
Tom Hodgkinson|Labour-saving devices just make us try to cram more pointless activities into each day, rather than doing the important thing, which is to enjoy our life.
Philip DeFranco|The fact that you are even here, alive, on this planet is a mathematical miracle, and you should not spend the time that you have being busy being miserable.
Swami Satchidananda, The Yoga Sutras|. . . I feel we don’t really need scriptures. The entire life is an open book, a scripture. Read it. Learn while digging a pit or chopping some wood or cooking some food. If you can’t learn from your daily activities, how are you going to understand the scriptures? (233)
John Green, Looking for Alaska|With a sigh, he grabbed hold of his chair and lifted himself out of it, then wrote on the blackboard: How will we ever get out of this labyrinth of suffering? - A.Y.'I'm going to leave that up for the rest of the semester,' he said.'Because everybody who has ever lost their way in life has felt the nagging insistence of that question. At some point we all look up and realize we are lost in a maze, and I don't want us to forget Alaska, and I don't want to forget that even when the material we study seems boring, we're trying to understand how people have answered that question and the questions each of you posed in your papers--how different traditions have come to terms with what Chip, in his final, called 'people's rotten lots in life.
Toby Keith|Like go for a walk, say a little prayerTake a deep breath of mountain airPut on my glove and play some catchIt's time that I make time for thatWade the shore and cast a lineLook up a long lost friend of mineSit on the porch and give my girl a kissStart livin', that's the next thing on my list.
Tom Hodgkinson|A conclusion I’ve come to at the Idler is that it starts with retreating from work but it’s really about making work into something that isn’t drudgery and slavery, and then work and life can become one thing.
Dash Shaw, BodyWorld|Living is suffering, Billy. Now give your mom a nice big hug.
Jonathan Safran Foer, Extremely Loud and Incredibly Close|I thought maybe if she could express herself rather than suffer herself, if she had a way to relieve the burden, she lived for nothing more than living, with nothing to get inspired by, to care for, to call her own, she helped out at the store, then came home and sat in her big chair and stared at her magazines, not at them but through them, she let the dust accumulate on her shoulders.
Stendhal, The Red and the Black|The ordinary procedure of the nineteenth century is that when a powerful and noble personage encounters a man of feeling, he kills, exiles, imprisons or so humiliates him that the other, like a fool, dies of grief.
Elisa Albert, The Book of Dahlia|It's decidedly bizzare, when the Worst Thing hppens and you find yourself still conscious, still breathing.
Sandra Cisneros|Everywhere I go, it's me and me. Half of me living my life, the other half watching me live it.
Walter Mosley, Black Genius: African-American Solutions to African-American Problems|The life most of us live are lives we are forced to live by immediate needs, influences, and pressures.
Pearl S. Buck, Fighting Angel|Somehow I had learned from Thoreau, who doubtless learned it from Confucius, that if a man comes to do his own good for you, then must you flee that man and save yourself
Sai Baba|What matters is to live in the present, live now, for every moment is now. It is your thoughts and acts of the moment that create your future. The outline of your future path already exists, for you created its pattern by your past.
Dave Matthes, Sleepeth Not, the Bastard|There just isn’t enough cock in this world to be caught suckin’ and be called anything but a slut for life. The cynic in me would call it a bad habit, but that’d make me a whore in denial and if there’s one thing I am, it’s an honest bitch. Then again, you don’t get famous for being daddy’s little angel, but you can easily fall into the Infamy Bracket by preaching a made-up Bible quote now and again. They say I’m shallow, but I’ve made a living out off diving off the deep end.
Margaret J. Wheatley, A Simpler Way|We are, always, poets, exploring possibilities of meaning in a world which is also all the time exploring possibilities.
Guru Nanak, Sri Guru Granth Sahib|The world is a drama, staged in a dream
Brian Krans, A Constant Suicide|The idea that property has overcome our personalities is the single reason we'll miss the best part of our lives. It's people, not possessions that make our lives worth living.
Natalie Goldberg, The Great Failure: A Bartender, A Monk, and My Unlikely Path to Truth|You live and then you die, I thought. It's good to have some good times.
George Santayana|That life is worth living is the most necessary of assumptions, and were it not assumed, the most impossible of conclusions.
Timothée de Fombelle, Toby Alone|Little tree filled his lungs with the white airness of the night, as if he were going to fly. The living voice of his parents. Elisha's eyes. These were reasons enough to set off on another adventure.Reasons to be Toby Lolness again.
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|You see, gentlemen, reason is an excellent thing, there's no disputing that, but reason is nothing but reason and satisfies only the rational side of man's nature, while will is a manifestation of the whole life, that is, of the whole human life including reason and all the impulses. And although our life, in this manifestation of it, is often worthless, yet it is life and not simply extracting square roots. Here I, for instance, quite naturally want to live, in order to satisfy all my capacities for life, and not simply my capacity for reasoning, that is, not simply one twentieth of my capacity for life. What does reason know? Reason only knows what it has succeeded in learning (some things, perhaps, it will never learn; this is a poor comfort, but why not say so frankly?) and human nature acts as a whole, with everything that is in it, consciously or unconsciously, and, even if it goes wrong, it lives.
Claudia Rankine, Don’t Let Me Be Lonely: An American Lyric|Or one meaning of here is “in this world, in this life, on earth. In this place or position, indicating the presence of,” or in other words, I am here. It also means to hand something to somebody—Here you are. Here, he said to her. Here both recognizes and demands recognition. I see you, or here, he said to her. In order for something to be handed over a hand must extend and a hand must receive. We must both be here in this world in this life in this place indicating the presence of.
W.H. Auden, Collected Poems|What living occasion can,Be just to the absent?
Philip K. Dick, A Scanner Darkly|That's what it means to die, to not be able to stop looking at whatever's in front of you. Some darn thing placed directly there, with nothing you can do about it...
Joseph Campbell, Thou Art That: Transforming Religious Metaphor|When you have lived your individual life in your own adventurous way and then look back upon its course, you will find that you have lived a model human life, after all.
Christopher S. Hyatt|live to the fullest or die;and die you will anyway, so start living!
Andrei Platonov, Happy Moscow|Then she would wander through fields, over simple, poor land, looking carefully and keenly all round her, still getting used to being alive in the world, and feeling glad that everything in it was right for her — for her body, her heart, and her freedom.
J.G. Ballard, High-Rise|They thrived on the rapid turnover of acquaintances, the lack of involvement with others, and the total self-sufficiency of lives which, needing nothing, were never dissapointed.
H. Rider Haggard, She|Memory haunts me from age to age, and passion leads me by the hand--evil have I done, and with sorrow have I made acquaintance from age to age, and from age to age evil shall I do, and sorrow shall I know till my redemption comes.
Robert Louis Stevenson|Extreme busyness is a symptom of deficient vitality, and a faculty for idleness implies a catholic appetite and a strong sense of personal identity.
Vinicius de Moraes|...Who knows what death, anxiety of the living, Who knows what loneliness, end of the lovingI could say to myself of the love (I had): Let it not be immortal, since it is flame But let it be infinite while it lasts.
Victoria Moran, Younger by the Day: 365 Ways to Rejuvenate Your Body and Revitalize Your Spirit|You know how we’re thinking about food these days, less in terms of carbs and calories than in terms of color, vivacity, and life force? We can do the same with time. Then it’s no longer about having enough of it but about infusing color and vivacity and life force into every moment. (279)
Helen Hollick, The Forever Queen|Emma felt frightened, apprehensive, yes, but also elated and excited, her feelings all tumbled and mixed together like a stew of varied ingredients tossed into the same pot. She was aware of the blood coursing through her veins, the beat of her heart, the breath in her lungs. Was aware, too, of that clenched knot that hung in the pit of her stomach. This was what it was to be alive, to be at the edge, facing survival eye to eye, knowing, KNOWING, you would win.
Grace Paley, Enormous Changes at the Last Minute|I drank a little California Mountain Red at home and thought--why not--wherever you turn someone is shouting give me liberty of I give you death. Perfectly sensible, thing-owning, Church-fearing neighbours flop their hands over their ears at the sound of a siren to keep fallout from taking hold of their internal organs. You have to be cockeyed to love, and blind in order to look out the window at your own ice-cold street.
Edmond de Goncourt, Pages from the Goncourt Journals|[He] went on to say that during all those years he had done nothing at all, that all he had felt had been a need to live, to live actively, violently, noisily, a need to sing, to make music, to roam the woods, to drink a little too much and get involved in a brawl.
Dan Buettner|Eat your vegetables, have a positive outlook, be kind to people, and smile - Kamada Nakasato, 102-y/o-female fr. Okinawa
Thornton Wilder, The Ides of March|The first and last schoolmaster of life is living and committing oneself unreservedly and dangerously to living; to men who know this an Aristotle and a Plato have much to say; but those who have imposed cautions on themselves and petrified themselves in a system of ideas, them the masters themselves will lead into error
Gary L. Francione|I have argued that this sort of thinking is problematic in at least two regards:First, the notion that nonhuman animals do not have an interest in continued existence—that they do not have an interest in their lives—involves relying on a speciesist concept of what sort of self-awareness matters morally. I have argued that every sentient being necessarily has an interest in continued existence—every sentient being values her or his life—and that to say that only those animals (human animals) who have a particular sort of self-awareness have an interest in not being treated as commodities begs the fundamental moral question. Even if, as some maintain, nonhuman animals live in an “eternal present”—and I think that is empirically not the case at the very least for most of the nonhumans we routinely exploit who do have memories of the past and a sense of the future—they have, in each moment, an interest in continuing to exist. To say that this does not count morally is simply speciesist.Second, even if animals do not have an interest in continuing to live and only have interests in not suffering, the notion that, as a practical matter, we will ever be able to accord those interests the morally required weight is simply fantasy. The notion that we property owners are ever going to accord any sort of significant weight to the interests of property in not suffering is simply unrealistic. Is it possible in theory? Yes. Is it possible as a matter of practicality in the real world. Absolutely not. Welfarists often talk about treating “farmed animals” in the way that we treat dogs and cats whom we love and regard as members of our family. Does anyone really think that is practically possible? The fact that we would not think of eating our dogs and cats is some indication that it is not.
S.M. Reine, Six Moon Summer|Dying is as natural as being born, and all of us have to face it someday. Some sooner than others. It's difficult to understand the meaning of it all. The question isn't, 'Why do we die?' The correct question is, 'Why do we live?
Terry Pratchett|We're living in science fiction, but we don't realize it.
Eugène Ionesco, Rhinoceros / The Chairs / The Lesson|Year after year of dirty snow and bitter winds… houses and whole districts of people who aren’t really unhappy, but worse, who are neither happy nor unhappy; people who are ugly because they’re neither ugly nor beautiful; creatures that are dismally neutral, who long without longings as though they’re unconscious, unconsciously suffering from being alive.
Virginia Nicholson, Among the Bohemians: Experiments in Living 1900-1939|My environment reflects the life I've led, the places I've visited and the people I've loved.
Phyllis Reynolds Naylor, The Grooming of Alice|If it doesn't sweat, jiggle, or pant, it's not alive.
Donna Lynn Hope|We start our sometimes tedious, sometimes exciting, often times sad and stressful march to the grave the moment we're born, so it might as well be a march worth remembering.
Aniruddha Sastikar|Rewards of life lived with principles; bloom, when life is about to end or has departed already.
B.F. Skinner, Walden Two|The majority of people don't want to plan. They want to be free of the responsibility of planning. What they ask for is merely some assurance that they will be decently provided for. The rest is a day-to-day enjoyment of life. That's the explanation for your Father Divines; people naturally flock to anyone they can trust for the necessities of life... They are the backbone of a community--solid, trust-worthy, essential.
J.R.R. Tolkien, The Lord of the Rings|Haldir had gone on and was now climbing to the high flet. As Frodo prepared to follow him, he laid his hand upon the tree beside the ladder: never before had he been so suddenly and so keenly aware of the feel and texture of a tree's skin and of the life within it. He felt a delight in wood and the touch of it, neither as forester nor as carpenter; it was the delight of the living tree itself.
Barbara Marciniak, Family of Light: Pleiadian Tales and Lessons in Living|Trust that whatever you are dealing with, whatever doorway to crisis you experience, it is leading you to a greater lesson in liwing where ideally the power of love is what you learn. Forgive, and broadcast your excitement to be alive.
Allan Lokos, Pocket Peace: Effective Practices for Enlightened Living|The venerable teachers, philosophers & spiritual practitioners throughout history have concluded that the greatest happiness we can experience comes from the development of an open, loving heart.
Jennifer Egan, A Visit from the Goon Squad|Sasha's green eyes were right up against yours, the lashes interlocking. "In Naples," she said, "there were kids who were just lost. You knew they were never going to get back to what they'd been, or have a normal life. And then there were other ones who you thought, maybe they will."...You opened your eyes, which you hadn't realized were shut again. "what I'm saying is, We're the survivors," Sasha said...."Not everyone is. But we are. Okay?
Christopher Isherwood, A Single Man|The harassed look is that of a desperately tired swimmer or runner; yet there is no question of stopping. The creature we are watching will struggle on and on until it drops. Not because it is heroic. It can imagine no alternative.Staring and staring into the mirror, it sees many faces within its face - the face of the child, the boy, the young man, the not-so-young-man - all present still, preserved as fossils, dead. Their message to this live dying creature is: Look at us - we have died -what is there to be afra
Jesse Ball, The Curfew|…In this way that he sought to control the very passage of his life, deftly and without forethought, yet precisely and with enormous care. Part of it was to allow what was enormous, what was profound, without limiting it.
Adam Silvera, They Both Die at the End|No matter how we choose to live, we both die at the end.
Marcus Aurelius, The Essential Marcus Aurelius|The goal that you hope you will one day arrive at after a long and roundabout journey you are able to possess right now, if only you do not deny it to yourself. That is, if you can let go of the past, entrust the future to Providence and redirect the present according to justice and the sacred. To the sacred, so that you welcome what has been given to you, for Nature has brought this to you, and you to it; and to justice, in order that you may speak the truth freely and without distortion, and that you may act in accordance with what is lawful and right. Do not allow yourself to be hindered by the harmful actions, judgments, or the words of another, or by the sensations of the flesh which has formed itself around you. Let the body take care of those. But if, when you have come to the end, having let go of all other things, you honor only your guiding part and the divinity that is within you, and you do not fear ceasing to live so much as you fear never having begun to live in accordance with Nature--then you will be a man who is worth of the Cosmos that created you; and you will cease to live like a stranger in your own land, that is, surprised at unexpected everyday occurrences and wholly distracted by this and that.
Adam Silvera, They Both Die at the End|I've spent years living safely to secure a longer life, and look where that's gotten me. I'm at the finish line but I never ran the race.
T. S. Eliot|We understand the ordinary business of living, We know how to work the machine
Richard Lloyd Parry, Ghosts of the Tsunami: Death and Life in Japan’s Disaster Zone|The moment you will be most stiff is when you die - you never get stiffer than that. So you've got to sleep well, eat well and keep moving.
Brent M. Jones|Living things are creations, masterpieces. All Life Matters!
Samuel Beckett, Texts for Nothing and Other Shorter Prose 1950-1976|With a cluther of limbs and organs, all that is needed to live again, to hold out a little time, I'll call that living, I'll say it's me, I'll get standing, I'll stop thinking, I'll be too busy, getting standing, staying standing, stirring about, holding out, getting to tomorrow, tomorrow week, that will be ample, a week will be ample, a week in spring, that puts the jizz in you.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|In the end, life is about collecting experiences and looking for the lesson and blessing in each one. Yet we are never to carry these experiences on our backs, only in our hearts. One will hold us back, while the other will keep us moving forward.
Edward E. Baptist, The Half Has Never Been Told: Slavery and the Making of American Capitalism|Heroes deal out vengeance, wiping out insults, and in an existential sense denying their own death. In twentieth-century camps, however, Todorov found, some people instead found transcendence by displaying kindness toward other people. Through small, everyday acts that committed them to the survival of other human beings--even at the cost of lowering their own chances--they demonstrated their own commitment to an abstract yet personal value. Although heroic acts were as suicidal in twentieth-century death camps as they were in nineteenth-century slave labor camps, even in hell there was still room to be a moral human being.
Steven Magee|If you cannot peacefully coexist with many different cultures and beliefs, then you should probably not be living in the USA.
Susin Nielsen, Optimists Die First|Okay, even if we disagree on that point, we still need to keep living our lives, don't we?...
Mitch Albom, Tuesdays with Morrie|And on a cold Sunday afternoon, he was joined in his home by a small group of friends and family for a 'living funeral'. Each of them spoke and paid tribute.. Some cried. Some laughed. One woman read a poem: 'My dear and loving cousin.. Your ageless heart as you ,love through time, layer on layer, tender sequoia..' .. And all the heartfelt things we never get to say to those we love, Morrie said that day.
Binyavanga Wainaina, One Day I Will Write About This Place: A Memoir|Cloud travel is well and good when you have mastered the landings. I never have. I must live, not dream about living.
Ratish Edwards|It is not the small number of big decisions that we take but the large number of small decisions that we take in life, shapes our life.
Alfred Adler|Meanings are not determined by situations, but we determine ourselves by the meanings we give to situations.
Mark Adams|When we arrived at my home north of the city, my five-year-old son Magnus, brimming with the confidence he'd gained in two full weeks of kindergarten, opened the front door and asked John, "Is it true you live in a tent?""Yes, it is," John said."Why don't you have a house like everybody else?"John leaned in to meet Magnus' dubious stare. "Because I endeavor to remain flexible.
Anne Rice, Prince Lestat and the Realms of Atlantis|To die or not to die, that is the question; it is nobler to live in torment and rage than not to live at all?
Anthony T Hinkcs|You are the most sensual person I know; the goddess of my dreams; the gold at the end of the rainbow; the topping on my ice cream and the best thing that has ever happened to me.And when I wake up in the morning and still find you there next to me, I know that I am living my dream.
Kamand Kojouri|I have drunk the night and swallowed the stars. I am dancing with abandon and singing with rapture. There is not a thing I do not love. There is not a person I have not forgiven. I feel a universe of love. I feel a universe of light. Tonight, I am with old friends and we are returning home. The moon is our witness.
Dean Young, Fall Higher|Just because we have birds inside is, we don't have to be cages. -from Instant Recognition between Strangers
F.K. Preston|Live this life as gently as you would breathe in the seaside air. Then release all those dreams and wonders to the water. Keep breathing until you’re inches from where you wish to be. Then exhale, remembering that gentle life you grew up from.
Lailah Gifty Akita|I have nothing to lose, only to live.
Dean Young, Fall Higher|Just because we have birds inside is, we don't have to be cages.
Craig D. Lounsbrough|I don’t necessarily sit around inviting life to knock me down, but when it does I don’t wait around for an invitation to stand back up either.
Nicola Yoon, The Sun Is Also a Star|However, if the long shot is your only shot, then you have to take it.
Nâzım Hikmet, Poems of Nazım Hikmet|The life-loving, smart,good-hearted deaddon't want forty days of mourningor say, "After me the deluge!"Leaving behind some helpful things- a few words, a tree, a smile -each gets up and goesand does not burden the livingwith the darkness of the tomb,carrying the weightof his stone all alone.And because they ask for nothingfrom the living, it's as if they aren't d
Yosef Marcus, Pirkei Avot: Ethics of the Fathers|Which is the right path for man to choose for himself? Whatever is harmonious for the one who does it, and harmonious for mankind.
Marty Rubin|When it comes to living and loving, we're all amateurs.
Jessica Khoury, Origin|Reminding me how fragile this life is and how easily it can be lost. Compelling me to live and to live well, while I still can.Because sooner or later, we must all face eternity.
Friedrich Nietzsche, Thus Spoke Zarathustra|It is true: we love life, not because we are used to living but because we are used to loving.There is always a certain madness in love. But also there is always a certain method in madness.
Marcus Valerius Martialis, Epigrams|...to be able to enjoy the life you have spent, is to live it twice.
Craig D. Lounsbrough|It wasn’t until I slowed the car and rolled down the windows that I realized I spend most of my days driving ‘through’ life without driving ‘in’ life. So, I’ve decided to walk because the pace is slower and the windows are always down.
Iris Marion Young, On Female Body Experience: Throwing Like a Girl and Other Essays|Thus the activity of preservation should be distinguished from the nostalgia accompanying fantasies of a lost home from which the subject is separated and to which he seeks to return. Preservation entails remembrance, which is quite different from nostalgia.
Dennis Lehane, Since We Fell|...you have to bear witness to your dead. You simply have to. You have to step into their energy field of whatever remains of their spirit, their soul, their essence and let it pass through your body. And in the passing, maybe a wisp of it adheres to you, grafts itself to your cells. And in this communion, the dead continue to live. Or strive to.
Nina LaCour, We Are Okay|In the distance are the lights of town. People must be finishing their workdays, picking up their kids, figuring out dinner. They're talking to one another in easy voices about things of great significance and things that don't mean much. The distance between us and all of that living feels insurmountable.
Stephen Jones, Zombie Apocalypse!|We live, if we still do live, in a Sea of Chaos, out of which any fucking monster can evolve.
Jim Thompson, The Killer Inside Me|I'd forgotten about it, and now I forgot it again. There are things that have to be forgotten if you want to go on living.
Ramana Pemmaraju|Call it Irony or destiny of life, but the fact is I failed to make a living from what 'I loved doing the most' nor did I justify for what I was paid for!
Garth Risk Hallberg|Incidental, all of it, of course, but this was what this city bestowed that novels couldn't: not what you needed in order to live, but what made the living worth doing in the first place.
Kilroy J. Oldster, Dead Toad Scrolls|Each of us is impermanent wave of energy folded into the infinite cosmic order. Acknowledgement of the fundamental impermanence of ourselves unchains us from the strictures of living a terrestrial life stuck like a needle vacillating between the magnetic pull of endless desire and the terror of death. Once we achieve freedom from any craving and all desires and we are relieved of all titanic fears, we release ourselves from living in perpetual distress. Once we rid ourselves from any impulse to exist, we discover our true place in the universal order. The composition of our life filament is exactly right when we accept the notion of living and dying with equal stoicism.
Lailah Gifty Akita|The moment we understand life, we will begin to live.
Lailah Gifty Akita|Life is the greatest gift. As long as I live, I can only be grateful.
Rebecca McNutt, Restless Souls and Shallow Graves: A Short Story|Directing a funeral isn’t about death at all. Funerals are for the living, not the dead.
Jacqueline Pawl, Defying Vesuvius|I’d seen a thousand lifetimes come and go, but had never truly lived.
Drew  Hayes, Split the Party|Bandit or demon, human or beast, none of it made any difference. The bandits had made this a situation of predators and prey. Only living mattered. Everything else was nothing more than an afterthought.
Masanobu Fukuoka, The One-Straw Revolution|Before researchers become researchers they should become philosophers. They should consider what the human goal is, what it is that humanity should create.Doctors should first determine at the fundamental level what it is that human beings depend on for life...Modern scientific agriculture, on the other hand, has no such vision. Research wanders about aimlessly, each researcher seeing just one part of the infinite array of natural factors which affect harvest yields.Even though it is the same quarter acre, the farmer must grow his crops differently each year in accordance with variations in weather, insect populations, the condition of the soil, and many other natural factors. Nature is everywhere in perpetual motion; conditions are never exactly the same in any two years.Modern research divides nature into tiny pieces and conducts tests that conform neither with natural law nor with practical experiences. The results are arranged for the convenience of research, not according to the needs of the farmer.
J. Limbu|The hour is only love thus, if you've waited.
Anthony T. Hincks|When you live in a glass house,buying curtains for the windows doesn't help.
Parul Wadhwa, The Masquerade|It feels like home, far from home, yet homely. I have always been a fan of Delhi's practical life not that i have lived in an aspiration or yearning to make a living here, but delhi has always been on my soapbox.
Katherine Bogle, Haven|If you live your life worried about the what-ifs, you're going to live a very desolate life.
Katherine Bogle, Haven|You're alive, Haven, but when are you going to start living?
H.G. Wells, The Island of Dr. Moreau|It's chance, I tell you,' he interrupted, ' as everything is in a man's life.
Osho, When the Shoe Fits: Stories of the Taoist Mystic Chuang Tzu|Life is a mystery, not a riddle. It has to be lived, not solved.
Charmaine J. Forde|Never grow weary of giving,Your small contribution can make someone else’s life worth living.
Kimberly Morgan, On Angels and Rabbit Holes|Then again, that's how the most successful predators work, she thinks ruefully. We stumble into their traps and do their work for them while we're busy getting on with the business of living.
Ehsan Sehgal|Living and struggling, for others, is a great and dignified life. Whereas, living for oneself exhibits just egocentric and own importance, since mostly falls under it.
Craig D. Lounsbrough|If safety is my goal, living life is not.
W.B. Yeats, The Collected Poems of W.B. Yeats|The Coming of Wisdom with TimeThough leaves are many, the root is one,Through all the lying days of my youthI swayed my leaves and flowers in the sun;Now I may wither into the truth.
Shitij Sharma, The Girl from Rostov|And maybe that is what it comes down to, knowing what the other person needs even before they know it themselves. Maybe it’s just that simple and it is only us who make it complicated with our anniversaries and our gifts, with grand declarations and public demonstrations, empty words and valuable stones.
Sunday Adelaja|Give yourself for the course of living for others, improving their lives, becoming a deliverer to a nation and you will never be at the losing end
Fritz Leiber, A Pail of Air|What matters is that life is good. It has a lovely texture, like some rich cloth or fur, or the petals of flowers, and everything else worthwhile. And that's as true for the last man as the first.
Sunday Adelaja|There are big advantages of living for God, therefore try to spend every minute you have walking with Him, listening to Him and learning of His wisdom
Natasha Tsakos|When Mathematics unfold through Origamis, when video games target Medicine and Education, when architecture embraces nature, when we defy gravity, when physics dance, and dance clubs play Einstein, when we stop playing war, when TV starts saying something, when we produce without wasting, when engineering meets humanity’s primary needs, when all of these are not just casualties, but a standard we all live UP to: Then we’ll know. I’ll know: we really live in the 21st century
Craig Groeschel, Weird: Because Normal Isn't Working|God put you on earth with a divine assignment- something prepared in advance for you to do. I've found that the things that make us sad, the things that make us righteously angry, or the things we care about that others don't are often a key that unlocks our reason for living. It's our burden.
Naresh Soni|Life is lie, Living is the truth.
Lailah Gifty Akita|The more we understand the simplicity of life, the less complex we shall live.
Paulo Coelho, The Spy|(On the myth of Eros)Each time I recall this myth, I wonder: Are we never to be able to see the true face of love? And I understand what the Greeks meant by this: Love is an act of faith and its face should always be covered in mystery. Every moment should be lived with feeling and emotion because if we try to decipher it and understand it, the magic disappears.
Anaïs Nin, Henry and June: From "A Journal of Love"--The Unexpurgated Diary of Anaïs Nin|I am not always just living, just following all my fantasies; I come up for air, for understanding.
Peter S. Beagle, A Fine and Private Place|You think this is living? This is eating, nothing else.
