Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Carlos Ruiz Zafón|Now, back in the reality that always lies in wait among the shadows of the Ensanche quarter, the enchantment was lifting, and all I had was painful desire and an indescribable restlessness.
M.H. Rakib, The Cavalier|Probably she was right 'i love her, I'm honest with my feelings' these are my problems not her.' Xavier left this note on the napkin with a pen he was offered to comment in suggestion book at Gloria Jeans.
Ayn Rand, Atlas Shrugged|There is no conflict, and no call for sacrifice, and no man is a threat to the aims of another—if men understand that reality is an absolute not to be faked, that lies do not work, that the unearned cannot be had, that the undeserved cannot be given, that the destruction of a value which is, will not bring value to that which isn’t.
Kunal Sareen|Somewhere down the lane, you'll learn to let go of things which've already left you.
Jesikah Sundin, Elements|Once again, he became outraged that humans—more specifically his dad—would rather invest in something pointless than the people right in front of them. Would Earth still suffer and need movements dedicated to its healing if humankind was rooted in reality?
Ayn Rand, Atlas Shrugged|It seemed natural; natural to the moment’s peculiar reality that was sharply clear, but cut off from everything, immediate, but disconnected, like a bright island in a wall of fog, the heightened, unquestioning reality one feels when one is drunk.
Zhuangzi|Today, I went to sleep under a plum tree. There, I dreamed I was a butterfly, flying so pleasently. Then, I fell asleep, and the dream ended. Now- I have to ask myself - am I Zhuang Zi who dreamed of a butterfly? Or am I that butterfly, dreaming I am Zhuang Zi?
Max Tegmark, Our Mathematical Universe: My Quest for the Ultimate Nature of Reality|The cognitive science's challenge is to link our consensus reality to our internal reality, but physics' challenge is to link our consensus reality to our external reality.
Peter Frost|If you’re looking for family entertainment, don’t study history or prehistory.
Ayn Rand, Atlas Shrugged|It was as if a volcano were cracking open, yet the people at the foot of the mountain ignored the sudden fissures, the black fumes, the boiling trickles, and went on believing that their only danger was to acknowledge the reality of these signs.
Saad  Salman|I collect my thoughts, I choose my words, Whenever I decide to talk to you.But...I feel like a dumb, without a tongue,Whenever I reach in front of you.I wonder why it happens to me?even when my feelings are genuine and true.
Thomas C. Foster, How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines|Real people are made out of a whole lot of things—flesh, bone, blood, nerves, stuff like that. Literary people are made out of words.
Czesław Miłosz|Reality calls for a name, for words, but it is unbearable, and if it is touched, if it draws very close, the poet’s mouth cannot even utter a complaint of Job: all art proves to be nothing compared with action. Yet to embrace reality in such a manner that it is preserved in all its old tangle of good and evil, of despair and hope, is possible only thanks to distance, only by soaring above it--but this in turn seems then a moral treason.
Kelseyleigh Reber|That had always been the beauty of the wind. It could only be seen through its actions, its effect on others. A gentle reminder that reality does not only exist in the seeable, the palpable, the understandable, but also in the figments and daydreams, the steadfast beliefs and unexplainable uncertainties. Reality is seen and yet unseen. Wholly and absolutely relative. The wind had taught him that.
Ilias Oumarri|No level raised without reading, is like a body trying to live without breathing.
Temperance|It is a crushing moment when you realize that your life has either been a series of huge mistakes, or worse; it hasn’t.
Ojo Blacke, Dr. Monroe A. Dunlop's Paranormal Studies Lecture Series, Mind and Reality: A Psychedelic Trip to the Doormat of the Unknown: Fictional Nonfiction, Fifth Edition|As researchers of the paranormal, we must understand there are ways to change the rhythm of time within us, ways to change the beat. These ways have been known since the beginnings of civilization, and possibly much earlier. And these ways would require no more effort than simply recognizing the secret rhythms of things. Moreover, we may learn to beat with them and begin to perceive a different kind of space, and ultimately discover an altogether different conception of reality…
Victor L. Wooten, The Music Lesson: A Spiritual Search for Growth Through Music|Real? What is real? And tell me, what importance does reality have anyway? Did you learn from the experience? Now, that is important!
Victor Hugo, Les Misérables|A man may beg, but a woman has to sell.
Becky Mallery|There is no such thing as reality, only our perception of it.
Beth Revis, Across the Universe|The President called it the “Epitome of the American dream.” Daddy called it the “unholy alliance of business and government.” But all it really was, was America giving up. Bailing out in order to join the Financial Resource Exchange. A multinational alliance focused on one thing: profit. Fund global medical care to monopolize vaccines. Back unified currency to collect planet-wide interest. And provide the resources needed for a select group of scientists and military personnel to embark on the first trip across the universe in a quest to find more natural resources—more profit. The answer to my parents’ dreams. And my worst nightmare. And I know something about nightmares, seeing as how I’ve been sleeping longer than I’ve been alive. I hope. What if this is just a part of a long dream dreamt in the short time between when Ed locked the cryo door and Hassan pushed the button to freeze me? What if? It’s a strange sort of sleep, this. Never really waking up, but becoming aware of consciousness inside a too-still body. The dreams weave in and out of memories. The only thing keeping the nightmares from engulfing me is the hope that there couldn’t possibly be a hundred more years before I wake up. Not a hundred years. Not three hundred. Not three hundred and one. Please, God, no. Sometimes it feels like a thousand years have passed; sometimes it feels as if I’ve only been sleeping a few moments. I feel most like I’m in that weird state of half-asleep, half-awake I get when I’ve tried to sleep past noon, when I know I should get up, but my mind starts wandering and I’m sure I can never get back to sleep. Even if I do slip back into a dream for a few moments, I’m mostly just awake with my eyes shut. Yeah. Cryo sleep is like that. Sometimes I think there’s something wrong. I shouldn’t be so aware. But then I realize I’m only aware for a moment, and then, as I’m realizing it, I slip into another dream. Mostly, I dream of Earth. I think that’s because I didn’t want to leave it. A field of flowers; smells of dirt and rain. A breeze ... But not really a breeze, a memory of a breeze, a memory made into a dream that tries to drown out my frozen mind. Earth. I hold on to my thoughts of Earth. I don’t like the dreamtime. The dreamtime is too much like dying. They are dreams, but I’m too out of control, I lose myself in them, and I’ve already lost too much to let them take over. I push the dream-memory down. That happened centuries ago, and it’s too late for regrets now. Because all my parents ever wanted was to be a part of the first manned interstellar exploratory mission, and all I ever wanted was to be with them. And I guess it doesn’t matter that I had a life on Earth, and that I loved Earth, and that by now, my friends have all lived and gotten old and died, and I’ve just been lying here in frozen sleep.
Rohan B. Rebello|The more you resist, the stronger you get.
Criss Jami, Healology|Reality. It is sometimes brought through foreign eyes; because if you do not know any better, you cannot see the worse (and vice versa).
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|Reality is in the ether, a blend of present-day experiences infused with one’s memories and dreams. A life that is real to one is surreal to another.
Crystal Woods, Better to be able to love than to be loveable|The reality is that people reach for a Bible when they're feeling lost. But if they hadn't shelved it, maybe they wouldn't have gotten lost.
Armin Navabi, Why There Is No God: Simple Responses to 20 Common Arguments for the Existence of God|Reality is that which, when you stop believing in it, doesn't go away.” This touches on the heart of the argumentum ad populum fallacy. Physical reality does not require belief to sustain it, and belief will not modify the rules of the universe.
Sallie Nichols|By viewing images we cast onto outer reality as mirror reflections of inner reality, we come to know ourselves.
Bradley B. Dalina|If you can't be as best as you dreamed of,Least be a good man in reality.
M.L. Sanford, Auguste and The Condition|But a fix, some magic cure to his “poor” status, was really only a dream; reality usually took precedence over everything else, especially dreams.
Philip K. Dick, Do Androids Dream of Electric Sheep?|Maybe I shouldn’t have told you––about it being electrical.” She put her hand out, touched his arm; she felt guilty, seeing the effect it had on him, the change.“No," Rick said. “I’m glad to know. Or rather––“ He became silent. “I’d prefer to know.
Eliot Pattison, The Lord of Death|The more one understands the world...the harder it is to obtain Buddhahood." Dakpo to Shan
Deirdre Madden, Molly Fox's Birthday: A Novel|But this was the first occasion I had come across someone for whom art was a means of avoiding reality rather than confronting it head on, an idea so strange to me that I didn't fully comprehend it at the time.
Purushothaman Kollam|When I was in Darkness,I could find my Fullness
Sanhita Baruah|Let it rain on some days,Let yourself shiver on some cold nights, So when it's Spring you'll know why it was all worth going through.
Crystal Woods, Better to be able to love than to be loveable|I'm convinced that everything I do will have a better outcome than the person who failed at it before me, because it’s the only reality I choose to accept.
Ludwig Wittgenstein, Tractatus Logico-Philosophicus|The right method of philosophy would be this. To say nothing except what can be said, i.e. the propositions of natural science, i.e. something that has nothing to do with philosophy: and then always, when someone else wished to say something metaphysical, to demonstrate to him that he had given no meaning to certain signs in his propositions. This method would be unsatisfying to the other - he would not have the feeling that we were teaching him philosophy - but it would be the only strictly correct method. My propositions are elucidatory in this way: he who understands me finally recognizes them as senseless, when he has climbed out through them, on them, over them. (He must so to speak throw away the ladder, after he has climbed up on it.) He must surmount these propositions; then he sees the world rightly. Whereof one cannot speak, thereof one must be silent.
Jesse Andrews, Me and Earl and the Dying Girl|[Earl, on liking someone] Because, honestly, the rational part of me know for a rock-solid fact that I would never, ever get with Madison Hartner. But that was just the rational part of me. There's always a stupid irrational part of you, too, and you can't get rid of it. You can never completely kill off that tiny absurd spark of hope that this girl-against all odds, although she could date any guy at school, not to mention guys at college, and even though you look like the Oatmeal Monster and are a compulsive eater and suffer from constant congestion and say so many stupid things per day that it seems like a Stupid Things company is paying you to do it- this girl might like you.
Fyodor Dostoyevsky|Does it matter whether it was a dream or a reality, if the dream made known to me the truth?
R. N. Prasher|When a lie makes a soft bed for everyone, may the truth lie low. God as commonly understood appears to be one such lie. God as non-existence is not everyone's cup of tea and He better remain so.
Paul Tillich|Only if God IS ultimate reality, can he be our unconditional concern; only then can he be the object of surrender, obedience, and assent. Faith in anything which has only preliminary reality is idolatrous.
E.E. Knight, Dragon Avenger|Does that have to go in?” Lada asked.“What do you mean?” Wistala said, brought back to the dictation.“The battle. Betrayals. Incompetence, even cowardice. Boats falling, mud everywhere, blood running from balconies, carrion birds poking marrow from bones, dwarves hanging from bridges, burned corpses, but worst of all, no hero whose courage and skill is put to the ultimate test.”“They asked for a history, they shall have my history. If someone else will have the battle take place on a spring-green field with pennants at the lance points and songs sung over the honored dead, let them write it thus. This history is a story of death begetting death, and should end with carrion birds, for they are the only ones who come out the better at the end.
Sam Harris|I have no doubt that your acceptance of Christ coincided with some very positive changes in your life. Perhaps you now love other people in a way that you never imagined possible. You may even experience feelings of bliss while praying. I don’t wish to denigrate any of these experiences. I would point out, however, that billions of other human beings, in every time and place, have had similar experiences - but they had them while thinking about Krishna, or Allah, or the Buddha, while making art or music, or while contemplating the beauty of Nature. There is no question that it is possible for people to have profoundly transformative experiences. And there is no question that it is possible for them to misinterpret these experiences, and to further delude themselves about the nature of reality. You are, of course, right to believe that there is more to life than simply understanding the structure and contents of the universe. But this does not make unjustified (and unjustifiable) claims about its structure and contents any more respectable.
Criss Jami, Healology|It is a harsh reality that some of the most important and respectable jobs which deserve high salaries might be better off with low salaries. A politician, or a minister, or a teacher is sure to be working sincerely and selflessly for the good of the people when through and through there is little monetary reward guaranteed. This is how the charlatans are weeded out of the field.
Idries Shah, A Perfumed Scorpion|The Sufi must be able to alternate his thought between the relative and the Absolute, the approximate and the Real.
R. N. Prasher|Words, with their multiple meanings and nuances are like trees and oral communication like a forest. Trees are good for hiding, forest for losing the path. When one is trying to contemplate the horizon of illusion and reality, trees and forests can offer no help.
Dean Koontz, Odd Apocalypse|...the more we learn, the more we realize how much we don't know.
Waleed Uz Zaman Khan|I know, I'm not perfect, I'm not too good, I'm an average person in everything but I also know that I'm real. And really that's enough for me and I'm very happy with it. :)
Andrew Holleran, Dancer from the Dance|You know, we queens loathed rain at the beach, small cocks, and reality, I think. In that order.
Paul Tillich, Biblical Religion and the Search for Ultimate Reality|Faith…is a concern of the whole person; it is the most personal concern, and that which determines all others. …it is not something which we can produce by the will to believe, but that by which we are grasped.
Florence Converse, Diana Victrix|I know you do not understand what I am trying to tell you; I know you do not understand, because it is the thing that goes deepest into my heart, and there are no words as deep down as that. How can I make you know the reality of it? The world has spattered us all over with words, with cant phrases, with sarcasm, and with fulsome flattery. The world has been so officiously eager to explain for us the thing we mean and the worth of the thing that now, when we try to speak, our meaning is veiled, concealed, smothered, by the hideous volubility of facile expression. How can it have any reality for you when you hear only words about it?
Karen Marshall, Amongst Ourselves: A Self-Help Guide to Living with Dissociative Identity Disorder|I spent many years trying to make up reasons about why I had the ﬂashbacks, memories, continuous nightmares. When I ﬁnally decided to quit trying to hide from truth, I began to heal.
Melissa DeCarlo, The Art of Crash Landing|There is no such thing as magic," she told me. "You can b e l i e v e all you want, but it's never going to do you any good. Nobody flies. We only fall
Raphael Paolo Augustine Camañag|I once believed in faith - that if I patiently waited, something good will happen. But at the end of the chapter, I found myself devastated. Years have gone by and I'm back at chapter one again. I've tried several times already and ended up in the same ending. It was always a different title, same story; different choices made but ending up with the same plot and finale. I grew tired of this never ending maze, wandering endlessly and finally giving up faith.
Anonymous|Everything is fine, nobody is happy...
Jessica Sorensen, The Destiny of Violet & Luke|Finally I find it, the book, but as I’m pulling it out of the stack I hear a noise coming from my toy room. It sounds like scratching or scraping maybe and my mind instantly goes to the possibility that maybe it’s a monster or a dragon or something else with claws. My hand shakes a little as I stand up and turn back toward the room. When I step into it, I feel the wind hit my cheeks. I shine the light around and notice one of the windows is open. I don’t understand why. I didn’t open it and I don’t think it was open when I came down here. What if it was a monster? I sweep the flashlight around the room at all my toys as I start back toward the corner. Then the light lands on something tall… I hear voices. Ones that don’t sound like they belong to a monster, but just people. But that’s what they end up being. Terrible, horrible monsters.
Debasish Mridha|When you dream with optimism and trust, it becomes a reality fast.
Debasish Mridha|When you hate someone, in reality you are hating yourself.
Nathalie M. Llanto|I love digging myself into books because the moment I'm drifted from reality, I'm in a different world and I'm a different person.
Crystal Woods, Write like no one is reading 2|When reality and your dreams collide, typically it’s just your alarm clock going off.
R. N. Prasher|In some languages (Hindi is one), every perception is called "seeing". Maybe, the trick is to rely on the eyes less and less as one perceives more and more.
Milena Michiko Flašar, I Called Him Necktie|Am I still writing? Unthinkable not to. In the very darkest night the words were like shiny pebbles. They caught the light of the moon and stars and reflected it back. One word among them that shone especially brightly. Simplicity. I would approach it, stepping softly, regard it from all sides, finally pick it up, enchanted by it, recognize that its enchantment lay in its shine, its pure meaning. Simplicity. To simply be there. Simply keep going. The longer I kept going, the easier it was to see how beautiful, simply beautiful, it is to be here. I would like to write about how this word shines. I'd like to write about the simplest things.
Dean Koontz, Odd Apocalypse|We make so many of our own troubles, from mere mishaps to disasters, by dwelling on the possibility of them until the possible becomes inevitable.
Sanhita Baruah|Sometimes, you don't get what you want the most... At other times, you're just lucky.
|Try not to waste your entire life working just to earn a paycheck. Seek to discover what your true passion in life is, and start working on turning it into an empire of your own.
Haruki Murakami|You’re here,” I continued. “At least you look as if you’re here. But maybe you aren’t. Maybe it’s just your shadow. The real you may be someplace else. Or maybe you already disappeared, a long, long time ago. I reach out my hand to see, but you’ve hidden yourself behind a cloud of probablys.
Jennifer duBois, A Partial History of Lost Causes|When my father wrote about fate, I think he was writing about the reality that is, when there are so many other realities that could have been.
Amie Kaufman|I'm leaning against the bookshelves when it occurs to me that one thing here is real-the books. I reach behind me and let my fingers trail over the rough leather of their antique spines, then pull one free. Nobody here reads them; the books are for decoration. Chosen for the richness of their leather bindings not for the contents of their pages. Nobody will miss one, and I need a dose of reality.
Syed Nouman Zaidi|!!!.. "That" happiness most of us searched for (and we thought it’s about getting a person but it) was never about getting a person, we started perceiving that “person” as our life goal and we thought all we have to do in life is to get this person in any case, when this spell of short term madness of happiness ends we realizes that what we actually needed was only a helpmate towards achieving our life mission...!!!
Sandip Thapa|Help those who need it, not who want it.
Mehmet Murat ildan|When the reality looks extraordinarily unreal, you must know that you are in an extraordinarily beautiful place!
Fakeer Ishavardas|If you're born a man, be a man. If a woman, be proud of being one. For, you're not the body, mind, this or that. "Ye are gods!" - human.
Thomas C. Oden, Guilt Free|To the extent that we are trapped by the overvaluing, idealizing tendency, we are not free fully to celebrate the limited but real goods of creation. Idolatry by definition is not an accurate assessment of creaturely goods, but an overvaluing of them so as to miss the richness of their actual, limited values. If I worship my tennis trophies, my Mondrian, my family tree, my Kawasaki, or my bank account, then I do not really receive those goods for what they actually are - limited, historical, and finite - goods which are vulnerable to being taken away by time and death. When I pretend that a value is something more than it is, ironically I value it less appropriately than it deserves. Biblical psychology invites us to relate ourselves absolutely to the absolute and relatively to the relative.
Bethany-Kris, Shattered|We’re all monsters, sweetheart. Some of us just hide it better than others.
Cynthia Hand, The Last Time We Say Goodbye|It's just high school, man. Those guys are just high school guys, and in ten years they're going to be working for people like me. I know that. I just have to make it through two more years.
Sanhita Baruah|No matter how "normal" people look, living "ordinary" lives, everyone has a story to tell. And may be, just like you, everyone else is a misfit too.
Tony DiTerlizzi, The Search for WondLa|Welcome to the real world, Mother Robot, a beautiful and dangerous place. Now you can truly begin to live.
Henri Cartier-Bresson|Reality offers us such wealth that we must cut some of it out on the spot, simplify. The question is, do we always cut out what we should? ­
Indu Muralidharan, The Reengineers|Conchpore is real. It is as real as Malgudi, Brahmpur, Lilliput or Macondo. And also as real as San Francisco, Madurai, Edinburgh, Gaborone or Tokyo. You know that fictional towns exist. You visit them all the time.
Anthony Liccione|Some people are severely lonely, all they can do is accept the single life as an example of being free and happy.
Adyashanti|A spiritual teaching is a finger pointing toward Reality; it is not Reality itself. To be in a true and mature relationship with a spiritual teaching requires you to apply it, not simply believe in it. Belief leads to various forms of fundamentalism and shuts down the curiosity and inquiry that are essential to open the way for awakening and what lies beyond awakening. A good spiritual teaching is something that you work with and apply. In doing so, it works on you (often in a hidden way) and helps reveal to you the Truth (and falseness) that lies within you.
José Ortega y Gasset, La Idea De Principio En Leibniz Y La Evolución De La Teoría Deductiva|So it happens that we must ask ourselves, with regard to truth, not for a new criterion for it, which will be better polished than earlier ones, but, peremptorily and seizing it by the lapels, "what is truth as such," and with regard to reality, not what things are or what and how is that which is, but for what reason that X which we call Being is in the Universe, and with regard to knowledge we must not ask for its bases and limits—as Plato, Aristotle Descartes, Kant did—but for something which comes before all this: for what reason we concern ourselves with trying to know.
Calista Smith, Breaking Down|That was your delusion, not my reality.
Diyar Harraz, One Minute to Midnight|There was this saying that kept on haunting her mind – tears make you seem weak. And she wasn’t weak. It was just that sometimes when she was all alone, it had made everything seemed so much real and convincing.
Markus Zusak, The Book Thief|the threat of Jewish competition was taken away, but so were the Jewish customers
Reif Larsen, I Am Radar|This was the curse of the voracious reader, she realized. Real life never quite measured up to the heightened and precise contours of her literary worlds. A real war was never as true as a fictive one.
Fakeer Ishavardas|Angels, fairies, gods, hell-heaven, "mediating" messiahs, demons, spirits etc. - are but your cultural-isms. Free be of these prisons.
Joe Queenan, One for the Books|If you have read 6,000 books in your lifetime, or even 600, it's probably because at some level you find 'reality' a bit of a disappointment
Newton G Kibiringi|When all the battles are fought then the biggest battle is, the battle to honour and treasure the hard won victory.
Fakeer Ishavardas|You're not a piece of nothing, but the all of everything.
Charles Bukowski|Understand me. I’m not like an ordinary world. I have my madness, I live in another dimension and I do not have time for things that have no soul.
Caitlyn Paige|An innocent mind is a rarity. Society corrupts us all, even if only a little.
Ken Kesey, One Flew Over the Cuckoo's Nest|I discovered at an early age that I was - shall we be kind and say different? It's a better, more general word than the other one... I got sick... It was the feeling that the great, deadly pointing forefinger of society was pointing at me - and the great voice of millions chanting, "Shame. Shame. Shame." It's society's way of dealing with someone different.
Stephen King, Bag of Bones|I suspect that fright, like pain, is one of those things that slip our minds once they have passed. What I do remember is a feeling I'd had before when I was down here, especially when I was walking this road by myself. It was a sense that reality is thin. I think it is thin, you know, thin as lake ice after a thaw, and we fill our lives with noise and light and motion to hide that thinness from ourselves.
Matt Haig, The Humans|Human history is full of depressing things like colonization, disease, racism, sexism...inventions of things which they had no idea how to handle (the atomic bomb, the Internet, the semicolon)....And through it all there has always been some truly awful food.
Irvin D. Yalom, The Spinoza Problem|Spinoza was the supreme rationalist. He saw an endless stream of causality in the world. For him there is no such entity as will or will power. Nothing happens capriciously. Everything is caused by something prior, and the more we devote ourselves to the understanding of this causative network, the more free we become." ... "I'm sure he would have said that you are subject to passions that are driven by inadequate ideas rather than by the ideas that flow from a true quest for understanding the nature of reality." ... "He states explicitly that a passion ceases to be a passion as soon as we form a more clear and distinct idea of it--that is, the causative nexus underlying the passion." p.269
Fyodor Dostoyevsky|Ah youth, youth! That's what happens when you go steeping your soul into Shakespeare
Aldous Huxley, Brave New World|He woke once more to external reality, looked round him, knew what he saw- knewit, with a sinking sense of horror and disgust, for the recurrent deliriumof his days and nights, the nightmare of swarming indistinguishable sameness.
Erik Davis, TechGnosis: Myth, Magic & Mysticism in the Age of Information|The funny thing about games and fictions is that they have a weird way of bleeding into reality. Whatever else it is, the world that humans experience is animated with narratives, rituals, and roles that organize psychological experience, social relations, and our imaginative grasp of the material cosmos. The world, then, is in many ways a webwork of fictions, or, better yet, of stories. The contemporary urge to “gamify” our social and technological interactions is, in this sense, simply an extension of the existing games of subculture, of folklore, even of belief. This is the secret truth of the history of religions: not that religions are “nothing more” than fictions, crafted out of sociobiological need or wielded by evil priests to control ignorant populations, but that human reality possesses an inherently fictional or fantastic dimension whose “game engine” can — and will — be organized along variously visionary, banal, and sinister lines. Part of our obsession with counterfactual genres like sci-fi or fantasy is not that they offer escape from reality — most of these genres are glum or dystopian a lot of the time anyway — but because, in reflecting the “as if” character of the world, they are actually realer than they appear.
Ludwig Wittgenstein, Culture and Value|A picture of a complete apple tree, however accurate, is in a certain sense much less like the tree itself than is a little daisy.
Dubravka Ugrešić, Thank You for Not Reading|No one is interested in real victims, or real criminals. Not local courts, not their fellow citizens, not publishers, and not readers. Everyone simply refuses to believe them. An imaginary crime is much more convincing; reality is too real. They can only identify with an invented crime, only paper evil can excite them.
Bidemi Mark-Mordi|To move from here to there, sometimes there is a need to suspend the present realities; they can be a distraction.
Stevie J. Cole, Jag|Find something to help you accept reality. Because after all, that's where the pain's come from - from reality.Find something good, something magnificent, find you something meaningful to fill that hole that's ate you up on the inside.
Henrietta Newton Martin|Fiction may amuse us, but reality instills lessons to be imbibed through experience; to 'live' this stark reality called 'life' as a blessing, whereas some foolishly waste it by following fiction and fictitious characters.
Robert Benson|I would almost rather we had died that day than to have found ourselves here, lost somewhere between the dreaming and the coming true.
Zack Love, The Syrian Virgin|Well, on some level, it’s similar to the psychological phenomenon of helplessness, where the will to try is lost. You get to the point where you just assume that your spontaneous call to a friend will go to voicemail or an assistant, and you decide not to bother.
Zack Love, The Syrian Virgin|Don’t invite envy to your house – you never know who will show up,” she used to warn me.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|If you can dispense with reputation, then you are free from care. Reputation is only a visitor, but reality is here to stay.
Terence McKenna, True Hallucinations|What is important is to understand the true boundaries of reality, not the probable boundaries of possible future events. Although boundary conditions operate on the future, they are probabilistic constraints, not absolutely determined fact. We assume that ten minutes hence, the room we are in will still exist. It is a boundary condition that will define the next ten minutes in our space/time coordinate. But we cannot know who will be in the room ten minutes hence; that is free to be determined. One may ask if we can really know that the room will exist at any future moment. This is where induction enters the picture, since in truth we cannot know with certainty. There is no absolutely rigorous way of establishing that. But we can make the inductive leap of faith that has to do with accumulated experience. We project that the existence of the room will remain a boundary condition, but in principle in the next ten minutes there could be an earthquake and this building might not be left standing. However, for that to happen, the boundary condition will have to be radically disrupted in some unexpected and improbable manner. What is so curious is that such a thing could occur.
Joanne Greenberg|What good is your reality, when justice fails and dishonesty is glossed over and the ones who keep faith suffer .... What good is your reality then?"" .... I never promised you a rose garden. I never promised you perfect justice .... and I never promised you peace or happiness .... The only reality I offer is challenge, and being well is being free to accept it or not at whatever level you are capable. I never promise lies, and the rose-garden world of perfection is a lie...and a bore, too!
Philip K. Dick|Do not assume that order and stability are always good, in a society or in a universe. The old, the ossified, must always give way to new life and the birth of new things. Before the new things can be born the old must perish. This is a dangerous realization, because it tells us that we must eventually part with much of what is familiar to us. And that hurts. But that is part of the script of life. Unless we can psychologically accommodate change, we ourselves begin to die, inwardly. What I am saying is that objects, customs, habits, and ways of life must perish so that the authentic human being can live. And it is the authentic human being who matters most, the viable, elastic organism which can bounce back, absorb, and deal with the new.
Aleksandra Ninkovic|All our emotions are real, but one has to be quite cautious with what supports their reality.
Michael Bassey Johnson|Reality is the manifestation of the inner workings, carried out by the supreme powers. Whatever you think and do right now, either positive or negative is working on your behalf because you are a co-worker of the divine.
Zhuangzi, The Complete Works of Chuang Tzu|It comes out from no source, it goes back in through no aperture. It has reality yet no place where it resides; it has duration yet no beginning or end. Something emerges, though through no aperture - this refers to the fact that it has reality. It has reality yet there is no place where it resides - this refers to the dimension of space. It has duration but no beginning or end - this refers to the dimension of time. There is life, there is death, there is a coming out, there is a going back in - yet in the coming out and going back its form is never seen. This is called the Heavenly Gate. The Heavenly Gate is nonbeing. The ten thousand things come forth from nonbeing. Being cannot create being out of being; inevitably it must come forth from nonbeing. Nonbeing is absolute nonbeing, and it is here that the sage hides himself.
Zack Love, The Syrian Virgin|Isn’t it better just to make your own money, and then spend it how and when you want, and with dignity?
|In order to live in the reality of your God's given destiny, you must consistently guard your mind against all self-defeating thoughts and beliefs.
|In order to live in the reality of your God's given destiny, you must consistently guard your mind against all self-defeating thoughts.
Lyssa Danehy deHart|Stories are epically important to how we view and interact in the world around us. We define ourselves, our abilities and even our goals by the stories we believe and share. These stories become part of our personal view of our world.
Deborah Bravandt, Generation Youtube: Breaking Down Social Media|As you focus on something you desire, your intent collapses scalar waves of consciousness into 3D. Your DNA literally becomes your projector of reality.
Zack Love, The Syrian Virgin|So your theory would seem to be that lying to yourself is no lie at all because you haven’t deceived any third party. And if you then convince yourself of those lies, you’ll believe them enough to repeat them to other with the genuine conviction that they’re true.” "Something like that,” I conceded uneasily.
Mehmet Murat ildan|You can sleep in a forest and have a nice dream. But when you wake up, you will have a much better dream: The Magnificent Reality!
Alexander Zalan, Petals of Decades|Being unique - be yourself, only so you'll distinguish yourself out of the ''grey'' and motionless reality. Train positive perception of the surrounding things.
Hillary Rodham Clinton|You can't keep snakes in your backyard and expect them only to bite your neighbors. You know, eventually those snakes are going to turn on whoever has them in the backyard.
Tilicia Haridat|They say what doesn't kill u makes u stronger.. but truth is sometimes it does kill u, it kills a part of u then it makes u stronger.
Fyodor Dostoyevsky, The Gambler|Sometimes it happens that the most insane thought, the most impossible conception, will become so fixed in one's head that at length one believes the thought or the conception to be reality. Moreover, if with the thought or the conception there is combined a strong, a passionate, desire, one will come to look upon the said thought or conception as something fated, inevitable, and foreordained—something bound to happen. Whether by this there is connoted something in the nature of a combination of presentiments, or a great effort of will, or a self-annulment of one's true expectations, and so on, I do not know;
Shannon L. Alder|Who gets to be the judge of reality? If it was deeply felt, believed, spoken about often or altered your life course, then it was real enough. Faith doesn't get the luxury of all those things one hundred percent of the time, but we call that normal behavior based on a gut feeling.” I said. I looked at his wife and she busted out laughing. Her husband was trying to catch invisible butterflies above his head—dementia. My patients teach me the most sobering of truths: Why wreck his smile. If I could see them, I would want to catch them too.
Kelly Proudfoot, Delwyn of the Realms|The supposed reality of misfiring synapses, chemical imbalances, frontal lobe anomalies and the like - did not sway her desire for escape into an alternate universe - where she could discover fascinating things about her inner world - or where she could hide from the real world.
Kody Keplinger, The DUFF: Designated Ugly Fat Friend|No matter where you go or what you do to distract yourself, reality catches up with you eventually
Jorge Luis Borges, Other Inquisitions, 1937-1952|I suspected once that any human life, however intricate and full it might be, consisted in reality of one moment: the moment when a man knows for all time who he is.
Gertrude Stein, Picasso|Spaniards and Americans are not like Europeans, they are not like Orientals, they have something in common, that is they do not need religion or mysticism not to believe in reality as all the world knows it, not even when they see it.
José Ortega y Gasset|... every hypothesis is a construction, and because of this it is an authentic theory. In so far as they merit that exigent name, ideas are never a mere reception of presumed realities, but they are constructions of possibilities; therefore they are pure bits of imagination, or fine ideas of our own...
Curious George Brigade, Anarchy in the Age of Dinosaurs|When faced with unbridled wildness of reality, dinosaurs fall into fevered delusions of grandeur. In fits of madness, they recreate the world in their own overblown image, bull-dozing the wild and replacing it with a wasteland that reflects their own emptiness. Where there was once the incredibly complex diversity of nature, there is now the dead simplicity of asphalt and concrete.
Husam Wafaei|There is no corelation between life and death, except that life is the biggest lie we believed, while death; is the most certain truth.
David Malki, Wondermark, Vol. 1: Beards of Our Forefathers|There's and entire world outside these bleak pages, one full of SUNRISES and KITTY-CATS and late-night BURRITO RUNS and the horrible, creaking amble of us all towards DEATH. It is to that world that I am afraid I must release you to now.
Madison Caves|Reality is messy, but fairytale is clean
Haruki Murakami|But you knoe, she's right. Every single day, each time I see her face, see her, it's utterly precious.
