ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Dr. Russ Hill, Medical Investigation 101: A Book to Inspire Your Interest in Medicine and How Doctors Think|Having a system for thinking deeper can provide greater insight into solving everyday problem. Such a system is shared in my book, Medical Investigation 101.
Sheilah Graham, College of One|Scott himself had taught me that in the boundless sphere of the intellect there is no prudishness, no shockability. There is only evaluation of facts, and a morality founded on truth.
Sheilah Graham, College of One|He [F. Scott Fitzgerald] had learned to theorize, to think, although he was always less interested in the dissection of his reading than in the enjoyment he received. (About F. Scott Fitzgerald)
Robin Sacredfire|Beliefs are a powerful thing. I often travel the world and sometimes the local waitresses attending me are nervous if they can’t speak English. Now, when this happens, I point at the pictures in the menu. However, I’ve noticed that the ones with the strongest beliefs, the most nervous ones, still do a mistake in my order. Another interesting things to notice in these situations is that, when I correct them, by pointing again at what I ordered before, they recognize their mistake, but get angry, as if their mistake was my fault, and that’s called irresponsibility. Now, when you combine irresponsibility with the wrong beliefs, you have a a very dumb person. That’s what stupidity is, it’s a human being doing the wrong things with the wrong beliefs and never ever accepting any responsibility for it. That’s how those with the lowest spiritual conscience behave in general with themselves and others.
John Calvin|Indeed, men who have either quaffed or even tasted the liberal arts penetrate with their aid far more deeply into the secrets of the divine wisdom." - John Calvin
Abhijit Naskar, The Education Decree|Sow the seeds of weakness and inferiority in the kids and they’ll grow up to be inferior, crawling, insignificant insects. Sow the seeds of courage and they’ll become brave-heart leaders who will one day change the course of human history.
Kirsten Olson, Wounded by School: Recapturing the Joy in Learning and Standing Up to Old School Culture|In addition to labeling kids who learn differently as problematic, sometimes defective, most schools classify, track, and categorize students from very early ages. As an abundance of research studies confirm, these classifications tend to become self-perpetuating and self-confirming. My interviewees illuminate the ways in which grades, tests, and opportunities to learn are often arbitrary or related to class, race, and gender. In the supposed meritocracy of schooling, these markers and estimations have profound impact, not just structuring how we fit into the learning hierarchy of an individual classroom, but who we are who whom we believe we will become.
Kirsten Olson, Wounded by School: Recapturing the Joy in Learning and Standing Up to Old School Culture|The middle class and upper middle class are highly attached to the institution of school explicitly as a sorting mechanism, as a way of justifying privileges of which middle-class members are already central beneficiaries. These critics suggest that the entire notion of schools as meritocracies actually reifies and reinforces class privilege--making those whom school rewards (those who already have a lot of benefits) feel they deserve the privileges they have.
Saaif Alam|When a person is devastated, it coneys that the individual is regretting for his or her mistakes.
Ernest Agyemang Yeboah|Good parents have good hearts to accommodate the little things that mean a lot to their children. Good parents have good hands to touch and shape the little things that mean a lot to the life of their children. Good parents have the good ears to listen and hear the little things that mean a lot their children. Good parents have good eyes to not just look, but see the little things that mean a lot to their wards and that which can make them feel being at home and being cared for, even if and when the ward is not aware of such little things !
Karla Perry, Back to the Future: Rebuilding America's Stability|The kingdom of God works in all spheres of culture, whether church, family, education, government, arts, business, or media. It is time to stop operating under the mindset that these spheres ought to be separated into secular and Christian, hoarding all the ‘sanctified spheres’ into the church, thereby leaving the world struggling in a vacuum of death. When we suck all the living water into the church, the world is left to die of thirst.
Kilroy J. Oldster, Dead Toad Scrolls|Parents’ transmit their attitude towards education to children via soundless, aphonic messages.
Abhijit Naskar, The Education Decree|Character- building education is what the world needs – education, that will empower the mind with such an unimaginable strength that one would meet death face to face and say “some other time, pal!
Abhijit Naskar, The Education Decree|If you don’t allow one to become a lion, one will become a sheep. And the world is already filled with sheeps, which is the major cause of the society’s intellectual and moral downfall. For a better future to evolve, where humanism will be an all-pervading virtue and separatism will be a matter of ancient history, the world needs lions.
Haroutioun Bochnakian, The Human Consensus and The Ultimate Project Of Humanity|Our young should be at ease with the fact that every mind works differently, and that there is never an issue if someone’s mind is not adapted to this or that subject, or even to this or that manner of teaching or learning.His mind, in whatever manner it needs to function, is a precious stone in humanity’s treasure, whether he realizes it or not.
Isidor Isaac Rabi|My mother made me a scientist without ever intending to. Every other Jewish mother in Brooklyn would ask her child after school: So? Did you learn anything today? But not my mother. “Izzy,” she would say, “did you ask a good question today?” That difference — asking good questions — made me become a scientist.
Abhijit Naskar, The Education Decree|The teacher should be like the conductor in the orchestra, not the trainer in the circus.
Robin Sacredfire|If we want to survive this economic collapse, new mandatory school subjects should be eCommerce, Chinese, spirituality and aesthetics.
Ernest Agyemang Yeboah|If only education will aim at teaching learners’ real life and life in books and not just books, learners will learn and understand real life and not just books, and they will dare to face life with real life lessons and lessons from books!
Petina Gappah, The Book of Memory|This is one of the consequences of a superior education, you see. In this independent, hundred-per-cent-empowered and fully and totally indigenous blacker-than-black country, a superior education is one that the whites would value, and as whites do not value local languages at the altar of what the whites deem supreme. So it was in colonial times, and so it remains, more than thirty years later.
M.Zuber Bhoja|Education is just KnowledgeYour attitude, Your Behavior Is not depends on YourEducation
Saaif Alam|If we want our generation to function as watchdogs, we should teach the lions to stop acting as supreme and give all kinds of creatures a a fair share of food and resources.
Suzy  Davies|How insightful of Finland to devise a topic-based curriculum in their schools! This means that dicreet "subjects" that are taught may cross-fertilise each other, and the possibilities in this are amazing!
Abhijit Naskar, The Education Decree|Your nation needs you. Your world needs you. So, use your education to become endowed with muscles of iron and nerves of steel.
Kristen D. Randle, The Only Alien on the Planet|Education is one of the Grand Christianson Obsessions. They’ve been whole years my mother’s kept us home for intensive private study. As a result of that, Paul will perform the first brain transplant, James will someday build a bridge across the Atlantic Ocean, Charlie – who is an actual musical genius – will probably end up writing the Great American Symphony, and I – I know a little bit about a lot of t
Maggie Stiefvater, The Dream Thieves|Derisively, Ronan said, 'No. The ancient Greeks didn't have a word for Blue.'Everyone at the table looked at him.'What the hell, Ronan?' said Adam.'It's hard to imagine," Gansey mused, 'how this evidently successful classical education never seems to make it into your school papers.''They never ask the right questions,' Ronan replied.
DaShanne Stokes|When you've grown up mis-educated, surrounded by fear and hate, unaware of your privilege, lies can sound like the truth.
Ralph Waldo Emerson, Education: An Essay And Other Selections|...the poor man, whom the law does not allow to take an ear of corn when starving, nor a pair of shoes for his freezing feet, is allowed to put his hand into the pocket of the rich, and say, You shall educate me, not as you will, but as I will...
Noam Chomsky|The other day I happened to be reading a careful, interesting account of the state of British higher education. The government is a kind of market-oriented government and they came out with an official paper, a ‘White Paper’ saying that it is not the responsibility of the state to support any institution that can’t survive in the market. So, if Oxford is teaching philosophy, the arts, Greek history, medieval history, and so on, and they can’t sell it on the market, why should they be supported? Because life consists only of what you can sell in the market and get back, nothing else. That is a real pathology.
Saaif Alam|When someone gives you a constructive criticism about your thoughts, this strategy can help you to improve your thinking and writing skills that can result you to have more self respect for enhancing your knowledge.
Mohamed Osman Abbasheikh|Any step forwarded Through Education Must show and lead you a difference in all aspects"Mohamed Osman Abbasheikh
Mohamed Osman Abbasheikh|Education consensus is through exchange of ideas" Mohamed Osman Abbasheikh
Saaif Alam|A well educated human being does not express his or thoughts that can perplex others because he or she has mastered the knowledge to avoid mentioning ideas that are vague, irrelavent and not compelling .
Thomas Frank, Listen, Liberal: Or, What Ever Happened to the Party of the People|To the liberal class, every big economic problem is really an education problem, a failure by the losers to learn the right skills and get the credentials everyone knows you’ll need in the society of the future.
Richie Norton|Ignorance paired with arrogance (naïveté) is logical, but arrogance paired with awareness (ego) is toxic.
Pádraic Pearse, The Murder Machine and Other Essays|I knew one boy who passed through several schools a dunce and a laughing-stock; the National Board and the Intermediate Board had sat in judgment upon him and had damned him as a failure before men and angels. Yet a friend and fellow-worker of mine discovered that he was gifted with a wondrous sympathy for nature, that he loved and understood the ways of plants, that he had a strange minuteness and subtlety of observation—that, in short, he was the sort of boy likely to become an accomplished botanist.
Criss Jami|Our big mistake in modern intellectualism is first and foremost its lack of nuance. We have made science synonymous with atheism - a presupposed conception and yet, another means to non sequiturs - and therefore, to a number of enthusiasts determined to go the further, anti-theism. Hereby let us observe that science has long served best and should be, if none other, the one discipline, if at all possible, free of potential ideology, pro-religious or anti-religious, and/or biased presupposition in order to maintain the true authenticity and the full reliability of its nature.
Nassim Taleb|At the Harvard Symposium for Hard Problems in Social Science , Emily Osterpresented a very simple, elementary problem: almost all people with type-2diabetes who are overweight can be cured by losing a little bit of weight. They aremade aware of it, yet they usually gain weight a�er diagnosis (she mentioned"Atkins" among the options, so it was not just AMA low-fat.). It is so obvious thatwe know what to do yet do not carry the action because thinking can be largelyornamental. The proof of the sterility of (a significant class of) knowledgesterility of (a significant class of) knowledge was rightthere (among the obvious evidence that the population has been gaining weight inspire of technological and educational progress). Yet the others social scientistskept exalting the value of "education" in spite of this simple devastating evidence.Someone even suggested teaching more "critical thinking". This is the great suckerproblem: people who teach truly think that teaching, or, worse, preaching, cures.
Dan Kindlon, Raising Cain: Protecting the Emotional Life of Boys|He talks some more about classes he likes--not many--and those he doesn't like, and it is clear that, whatever sophisticated planning has gone into curriculum design at Alan's school, the distinction between a good class and a bad class, from his point of view, has a lot to do with the freedom it offers to stand up and walk around.
Saaif Alam|When you present something in writing to a vast group of audiences that has an obscured meaning to it, it means that you are trying to delude your readers from figuring out your actual idea. This kind of act can jeopardize other peoples' life and someone who has a distinguished intelligence can eventually intervene your actions and you could face civil or criminal allegations for fraud because this kind of behavior is considered as a serious offense.
Ivan Illich, Deschooling Society|In fact, healthy students often redouble their resistance to teaching as they find themselves more comprehensively manipulated. This resistance is due not to the authoritarian style of a public school or the seductive style of some free schools, but to the fundamental approach common to all schools-the idea that one person's judgment should determine what and when another person must learn.
John R. Stilgoe, Outside Lies Magic: Regaining History and Awareness in Everyday Places|I wonder if more students would do better in elementary and high school if teachers taught more about individual exploration of subjects and less about sliding smoothly along observational ruts. Exploration is a liberal art, because it is an art that liberates, that frees, that opens away from narrowness. And it is fun.
Lailah Gifty Akita|If you stop learning, you soon forget what you already know.
Lailah Gifty Akita|Whatever you want, work for it.
Saaif Alam|A tangible sense of excruciation is caused by an unfair and cruel punishment. However, this problem can be resolved if people as a whole crowd courageously speak up and propose for a reform to balance their governments' power.
Saaif Alam|If you terminate a person from your life who is very toxic towards your reputation, you can actually lead yourself pertaining a career that you desire without any interference.
Chris Cleave, Everyone Brave is Forgiven|Sorry. But it isn’t for us to change how things are. I’m just an administrator. You’re just a teacher.”“Oh, I hope I don’t teach. Because look what we did: we saved the zoo animals and the nice children and we damned the afflicted and the blacks. You know what I do every day in that classroom? I do everything in my power to make sure those poor souls won’t learn the obvious lesson.”“If I were you,” said Tom, “I should stick to reading, writing and arithmetic.”“But what good is it to teach a child to count, if you don’t show him that he counts for something?
L. W. Fillmore|The language of academic discourse, which is crucial to academic progress beyond grade 3 is learned by all children through literacy: there are no native speakers of academic language!
Saaif Alam|A speaker who wisely and sincerely expresses his or thoughts eloquantly in public, he or she can fully understand the topics that result others to rely on his or her policy for a specific social economic and/or political reform that can take place in their community.
Abhijit Naskar, Prescription: Treating India's Soul|there is no place of politics in education. The moment you let politics invade your education system, you inadvertently welcome chaos into the future of young India. Educational institutions have nothing to do with political propagandas. So, open your eyes, and throw any kind of political agenda out of your institutions.
Oscar Wilde, The Importance of Being Earnest|The whole theory of modern education is radically unsound. Fortunately in England, at any rate, education produces no effect whatsoever. If it did, it would prove a serious danger to the upper classes, and probably lead to acts of violence in Grosvenor Square.
Edward L. Bernays, Propaganda|The state university is supported by grants from the people of the state, voted by the state legislature. In theory, the degree of support which the university receives is dependent upon the degree of acceptance accorded it by the voters. The state university prospers according to the extent to which it can sell itself to the people of the state.The state university is therefore in an unfortunate position unless its president happens to be a man of outstanding merit as a propagandist and a dramatizer of educational issues. Yet if this is the case--if the university shapes its whole policy toward gaining the support of the state legislature--its educational function may suffer. It may be tempted to base its whole appeal to the public on its public service, real or supposed, and permit the education of its individual students to take care of itself. It may attempt to educate the people of the state at the expense of its own pupils. This may generate a number of evils, to the extent of making the university a political instrument, a mere tool of the political group in power.
Ivan Illich, Deschooling Society|Schools are even less efficient in the arrangement of the circumstances which encourage the open-ended, exploratory use of acquired skills, for which I will reserve the term "liberal education." The main reason for this is that school is obligatory and becomes schooling for schooling's sake: an enforced stay in the company of teachers, which pays off in the doubtful privilege of more such company. Just as skill instruction must be freed from curricular restraints, so must liberal education be dissociated from obligatory attendance. Both skill-learningand education for inventive and creative behavior can be aided by institutional arrangement, but they are of a different, frequently opposed nature.
Saaif Alam|When people have a controversial opinion about an event or a prominent figure, it can significantly increase conflicts of interests that can result people to be socially excluded who don't share the same perspective as them. The way people can end conflicts of interests is to negotiate their conflicting views and unite in order to establish tranquility.
Barack Obama, The Audacity of Hope: Thoughts on Reclaiming the American Dream|What's missing is not money, but a national sense of urgency.
National Council of Teachers of Mathematics, Principles to Actions: Ensuring Mathematical Success for All|Teachers greatly influence how students perceive and approach struggle in the mathematics classroom. Even young students can learn to value struggle as an expected and natural part of learning, as demonstrated by the class motto of one first-grade math class: If you are not struggling, you are not learning. Teachers must accept that struggle is important to students' learning of mathematics, convey this message to students, and provide time for them to try to work through their uncertainties. Unfortunately, this may not be enough, since some students will still simply shut down in the face of frustration, proclaim, 'I don't know,' and give up. Dweck (2006) has shown that students with a fixed mindset--that is, those who believe that intelligence (especially math ability) is an innate trait--are more likely to give up when they encounter difficulties because they believe that learning mathematics should come naturally. By contrast, students with a growth mindset--that is, those who believe that intelligence can be developed through effort--are likely to persevere through a struggle because they see challenging work as an opportunity to learn and grow.
Lailah Gifty Akita|With self discipline, self study is possible.
Lailah Gifty Akita|In my pursuit of historical ecology, I find the pleasure of reading history.
Anymous Writer|During my life, I've just wondered why I have to learn from school, not from society. And now, the answer is : the decrepit education.
Paul Goodman, Compulsory Mis-education/The Community of Scholars|Education is a natural community function and occurs inevitably, since the young grow up on the old, towards their activities, and into (or against) their institutions; and the old foster, teach, train, exploit and abuse the young. Even neglect of the young, except physical neglect, has an educational effect -- not the worst possible.
Rachel Hilary Brown, Defusing Hate: A Strategic Communication Guide to Counteract Dangerous Speech|Confronting information that directly challenges existing beliefs can be psychologically threatening to people, especially if the information challenges their sense of identity.
Ivan Illich, Deschooling Society|Skill teachers are made scarce by the belief in the value oflicenses. Certification constitutes a form of market manipulation and is plausible only to a schooled mind.Most teachers of arts and trades are less skillful, less inventive, and less communicative than the best craftsmenand tradesmen. Most high-school teachers of Spanish or French do not speak the language as correctly as theirpupils might after half a year of competent drills. Experimentsconducted by Angel Quintero in Puerto Ricosuggest that many young teen-agers, if given the proper incentives, programs, and access to tools, are better thanmost schoolteachers at introducing their peers to the scientific exploration of plants, stars, and matter, and to thediscovery of how and why a motor or a radio functions.
Saaif Alam|If you possess the character that you have in your daily lives, nobody can't forcefully change your personality unless you embrace their influence.
Saaif Alam|If each and one of us understands the essence of human values, we will be able to sustain our civilization by living in tranquility and embrace the opportunities that each of us can contribute to our society.
Immanuel Kant, What is Enlightenment|If I have a book that thinks for me, a pastor who acts as my conscience, a physician who prescribes my diet, and so on... then I have no need to exert myself. I have no need to think, if only I can pay; others will take care of that disagreeable business for me.
Edward Gibbon|Every person has two educations, one which he receives from others, and one, more important, which he gives to himself.
Kristen Twardowski|The true value in education is, I think, the way that it teaches us to investigate ourselves and our world. It often forces us to step outside of ourselves and our experiences, and that is an absolutely essential ability for a writer to have.
Saaif Alam|If you bewilder other people about your self identify, this shows that you are behaving really good in disguise. Also, if posses this kind of personality, you will likely have no remorse for your mistakes and you will eventually lose your trust from others.
Saaif Alam|If you are a person that is willing to fulfill your reputation becoming famous, you should feel optimistic about your goals.
Saaif Alam|If you have the capability to stimulate your brain power by being eager to accumulate new knowledge from reading important texts in a daily basis , you will eventually be able to prove your distinguished intelligence to others by pursuing a prestigious career.
Saaif A|When you have deep insights about someone, you are being very matured by trying to help this person to fulfill his or her potentials by having a deep understanding about his or her strengths and weaknesses.
Hermann Hesse, Beneath the Wheel|Thus the struggle between rule and spirit repeats itself year after year from school to school. The authorities go to infinite pains to nip the few profound or more valuable intellects in the bud. And time and again the ones who are detested by their teachers are frequently punished, the runaways and those expelled, are the ones who afterwards add to society's treasure. But some - and who knows how many? - waste away quiet obstinacy and finally go under.
Athol Dickson, The Gospel According to Moses: What My Jewish Friends Taught Me about Jesus|Come on people! Somebody disagree with me! How can we learn anything if no one will disagree?" Rabbi Stern
Michelle Obama|Empower yourselves with a good education, then get out there and use that education to build a country worthy of your boundless promise.
Shannon L. Alder|Dear my strong girls, you will all go through that phase of life making a mistake of helping a toxic girl whose friendship with you turns into her self-interest. This kind of girls is a real burden towards the empowerment of other females as they can never get past their own insecurity and grow out of high-school-like drama. Despite how advanced we are in educating modern women, this type will still go through life living in identity crisis, endlessly looking for providers of any kind at the end of the day. They can never stand up for others or things that matter because they can't stand up for themselves. They care what everyone thinks only doing things to impress men, friends, strangers, everyone in society except themselves, while at the same time can't stand seeing other women with purpose get what those women want in life. But let me tell you, this is nothing new, let them compete and compare with you as much as they wish, be it your career, love or spirit. You know who you are and you will know who your true girls are by weeding out girls that break our girlie code of honor, but do me a favor by losing this type of people for good. Remind yourself to never waste time with a person who likes to betray others' trust, never. Disloyalty is a trait that can't be cured. Bless yourself that you see a person's true colors sooner than later. With love, your mama. XOXO
Abhijit Naskar|The craving for security has conditioned the society to perceive education not as an endeavor of the mind, rather as a preprogrammed task created by some sophisticated, illusory structure known as the “system of education”. Education means breaking free from the manacles of limitations put forward by primitive ignorance. Yet today’s fake education is gloriously founded upon the primordial element of “limitation”. And the authorities of this so-called education often take pride in their ship shape structure where they manufacture dumb manikins.
Myles Horton, We Make the Road by Walking: Conversations on Education and Social Change|This is a problem, how can we have a body of knowledge and understanding and resist the temptation to misread the interest of the people because we're looking for an opportunity to unload this great load of gold that we have stored up?
Lyle Link, Dave Isay|Successes don't teach you much, but mistakes? That's a learning situation.
Paolo Freire|I think that we have to create in ourselves, through critical analysis of our practice, some qualities, some virtues as educators. One of them, for example, is the quality of becoming more and more open to feel the feelings of others, to become so sensitive that we can guess what the group or one person is thinking at that moment.
Plutarch|Education is not the filling of a pail, but the lighting of a fire. “For the mind does not require filling like a bottle, but rather, like wood, it only requires kindling to create in it an impulse to think independently and an ardent desire for the truth.
Saaif Alam|An enthusiastic person who is very logical with his or her own thinking process, he or she can eventually express his or her thought with delight and humor to educate and entertain his or her audiences.
Michael Meade, Fate and Destiny, The Two Agreements of the Soul|A society that fails to water the life-seeds of its members may be capable of instructing its citizens, but will be incapable of truly educating its children or wholly embracing its youth.
Alena Graedon, The Word Exchange|The secretary of education recently unveiled an initiative for curriculums to place more emphasis on history and language. Within the decade, proficiency in at least three languages will be required of all American schoolchildren by graduation. And along with its other recommendations, the CDC has issued a promulgation that every U.S. citizen “unplug” for at least two hours each day.location 6374
Saaif Alam|When you plan something that is unpragmatic, it proves that you do not have a lot of knowledge about your topic that you are mentioning to others.
Saaif Alam|A new year can be a new beginning for some people where they can either improve or worsen their status that relates to their progress of their education, financial status or the type/number of people they have a relation with.
Abhijit Naskar, The Education Decree|The flow of knowledge towards the mind should be moderated by the faculties of the mind itself, based on the acceptability of nothing but the mind.
Abhijit Naskar, The Education Decree|The world needs teachers – teachers who have broken their own shackles of indoctrination – teachers who can go beyond the narrow-mindedness of the society. A handful of these young, brave and zealous teachers in every nation, shall be enough to rekindle the spark of pure knowledge in the entire species.
George Eliot, The Mill on the Floss|Tom had never found any difficulty in discerning a pointer from a setter, when once he had been told the distinction, and his perceptive powers were not at all deficient. I fancy they were quite as strong as those of the Rev. Mr Stelling; for Tom could predict with accuracy what number of horses were cantering behind him, he could throw a stone right into the centre of a given ripple, he could guess to a fraction how many lengths of his stick it would take to reach across the playground, and could draw almost perfect squares on his slate without any measurement. But Mr Stelling took no note of those things: he only observed that Tom's faculties failed him before the abstractions hideously symbolized to him in the pages of the Eton Grammar, and that he was in a state bordering on idiocy with regard to the demonstration that two given triangles must be equal - though he could discern with great promptitude and certainty the fact that they were equal.
Kurt Vonnegut Jr., The Sirens of Titan|Whenever I ask a question, and the pain comes, I know I have asked a really good question.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Unfortunately for the university, none of that information could make the slightest place for itself inside the circuits of my brain. I was looking for education, but all I found was heartless indoctrination. And indoctrination is not just demeaning to the human conscience, it is lethal for the flourishing psychology of the hungry, young mind.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|My expectations from the university were perhaps too idealistic. I had dreams of learning things about innovation and discovery in the field of technology, but all of it hit the ground hard, when I faced with the pathetic reality of the so-called higher education system. To my surprise, I found myself stuck behind the walls of meaningless facts, figures and rankings. It occurred to me that, it was not actually a place for education, rather it was a place where you go to get your head filled with useless undigested information, that you’d probably never use throughout your entire life. It was not education, and moreover, it was definitely not science.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Indoctrination is not just demeaning to the human conscience, it is lethal for the flourishing psychology of the hungry, young mind.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Your world needs you. So, use your education to become endowed with muscles of iron and nerves of steel. Do not exploit the means of education to become a man or a woman. Use it to become a human being, in the pursuit of excellence.
Saaif Alam|The way we can replenish our memories is to look back at textual information that we have either written or read before. If that method is accomplished, we can comprehend and complete tasks that require us to use more critical thinking.
Julie Berry, All the Truth That's in Me|I want to learn. I deserve to read and write. Thoughts for company, and a pen for a voice. Who is more entitled to those privileges than I?
Abhijit Naskar|All systems of the society are meant to serve the mind, not the mind to serve the systems.
Ulysses S. Grant|The framers of our Constitution firmly believed that a republican government could not endure without intelligence and education generally diffused among the people. The Father of his Country, in his Farewell Address, uses this language: Promote, then, as an object of primary importance, institutions for the general diffusion of knowledge. In proportion as the structure of a government gives force to public opinion, it is essential that public opinion should be enlightened.
Abigail Roux, Divide & Conquer|This Saturday? As in tomorrow Saturday? We have to give lectures in twelve hours? We're not prepared for that! I can't just pull a cyber-crimes lecture out of my ass!" He could, but it was the principle of the thing.
Saaif Alam|If we are devoted to some inspirational and significant people in our lives, they will never vanish from our memories. The people who we do not keep a good relation with can be forgotten because they do not take affirmative action to help you overcome your obstacles.
Saaif Alam|If something traumatizes you, please do not think that your life is coming to an end. You will still have opportunities to resume with your life by speaking up and seeking for assistance.
Abhijit Naskar|Quite like religious fundamentalism, educational fundamentalism is based upon bookish creeds created by the self-proclaimed authority figures of the system. And this very fundamentalism is the cause of all the growing conflicts between the student-body of the education society and the teachers running that society. These conflicts further become tools of exploitation in the hands of a handful of war-mongering, authoritarian, blood-sucking politicians.
Michael Benzehabe|Being articulate is no guarantee of intelligence,” Zoe said. “I’m not doubting the value of education. I’m doubting its reach. Highly educated politicians still do stupid things. Anthony Weiner was educated; Mugabi was educated; Assad was educated; Mussolini was educated. For all their education, look at them.
John Taylor Gatto, Dumbing Us Down: The Hidden Curriculum of Compulsory Education|It's like a malicious person lifting a photograph from the developing chemicals too early, and then pronouncing the photographer incompetent.
Farshad Asl|You don't have to be the most educated or the most experienced to start the journey, but the most willing to out-learn and out-work everyone around you.
Ernest Agyemang Yeboah|Education aims at solving problems, but some educators are problems to be solved
Mark Helprin, Freddy and Fredericka|I read. The more you read, the more the world opens up to you... and the happier you are and more comforted you feel. It's up to you. No you is educated who cannot educate himself.
Saul Bellow, Humboldt's Gift|If you could arrange to avoid that routine job-world, you were an intellectual or an artist. Too restless, tremorous, agitated, too mad to sit at a desk eight hours a day, you needed an institution - a higher institution.
Saaif Alam|People with disabilities should not be considered as unadvataged because they can have high self esteem as others to fulfill their potential. People should be aware that a disability is something that some people can be born with and it is not a choice for them. Therefore, they should be treated with respect and should not be discriminated because this kind of behavior can socially isolate them from being part of the rest of their community.
Abhijit Naskar, The Education Decree|The world needs the kind of education by means of which character is formed, strength of the mind is increased and the human intellect is expanded beyond its own limits.
Nadja Sam|With or without 'college' we are able to use our senses by perceiving the world around us, that in turn shapes and creates ones own reality. Perception is reality. My 'reality' is not the same as your 'reality' since we all have a different mental database, life experience, physiology, different characteristics, environments we grew up and people we hang out with, etc. I might fall in love with a certain smell while it triggers bad memories for someone else. Same goes for the other senses while perceiving 'reality'. And how real is this so called 'reality' anyway? Our senses can be quite limited compared to a camera or other living creatures on the planet. There are sounds and colours humans can not detect with their senses. We in fact do not perceive the whole 'picture'. The most important things in life are unseen. My point is that we do not need hierarchic, indoctrinating, and capitalized institution called 'science' to tell us what, when, why, and how to think, experiment, sense, and live our lives. Long before there was any 'science', there was sense first.
Mildred D. Taylor, Roll of Thunder, Hear My Cry|Biting the hand that feeds you, that's what you're doing Mary Logan, biting the hand that feeds you.'Again Mama laughed, 'If that's the case, Daisy, I don't think I need that little bit of food.'With the second book finished, she stared at a small pile of second grade books on her desk.'Well, I just think you're spoiling those children, Mary. They've got to learn how things are sometime.''Maybe so,' said Mama. 'But that doesn't mean they have to accept them. And maybe we don't either.
Saaif Alam|People with disabilities should not be considered unadvataged because they can high self esteem as others to fulfill their potential. People should be aware that a disability is something that some people can be born with and it is not a choice for them. Therefore, they should be treated with respect and should not be discriminated because this kind of behavior can socially isolate them from being part of the rest of their community.
Danny Mekić|To a lot of children, school is currently mostly a place to learn what you aren’t any good at.
Saaif Alam|When you are preoccupied with a disturbing thought or feeling that is considered irrational and waste of time, you will reduce your time enjoying the pleasure of your life. The strategy to overcome your mental shortcomings is to participate in outdoor activities and socialize with others who have emphatic understanding about your feelings and thoughts.
Hank Bracker|As a nation we must understand that the future of our country depends on education. It has to be right up front and cannot be an afterthought. It is so important that it has to be available for everyone, not just available to those that can afford it. Our country never fared better than when the GI Bill paid for the education of our veterans. I’m not necessarily advocating a free lunch; however it should be affordable for everyone! For politicians to start handing out vouchers is just a gimmick that shifts funding from Public Schools to Charter Schools. The first thing that should be considered is “Equal Opportunity for All!” I recognize that not everyone is academically gifted or inspired to seek a degree, so a Vocational Technical education may be a viable option for some.
Joss Sheldon, The Little Voice|I learned how to argue. They called it ‘Debate’. I learned how to worship. I learned how to become an eager worker and a passive consumer.But I didn’t learn anything practical, like how to purify water, build a home, start a fire, grow food, or survive without the help of corporations.
Peter Gray, Free to Learn: Why Unleashing the Instinct to Play Will Make Our Children Happier, More Self-Reliant, and Better Students for Life|Once compulsory systems of state-run schools were established, they became increasingly standardized, both in content and in method. For the sake of efficiency, children were divided into separate classrooms by age and passed along, from grade to grade, like products on an assembly line. The task of each teacher was to add bits of officially approved knowledge to the product, in accordance with a preplanned schedule, and then to test that product before passing it on to the next station.
Saaif Alam|Our state of mind defines our character, whether it is or not socially acceptable toward others.This is the way it can part of our identities when we communicate with our surroundings in our everyday life
Carl Sagan, Cosmos|If you had walked through the pleasant Tuscan countryside in the 1890's, you might have come upon a somewhat long-haired teenage high school dropout on the road to Pavia. His teachers in Germany had told him that he would never amount to anything, that his questions destroyed classroom discipline, that he would be better off out of school. So he left and wandered, delighting in the freedom of Northern Italy, where he could ruminate on matters remote from the subjects he had been force-fed in his highly disciplined Prussian schoolroom. His name was Albert Einstein, and his ruminations changed the world.
Noam Chomsky|Most schooling is training for stupidity and conformity, and that's institutional, but occasionally you get a spark, somebody'll challenge your mind, make you think and so on, and that has a tremendous effect you just reach all sorts of people. Of course if you do it you may very have problems, you have to tread the narrow line. There are plenty of people who don't want students to think, they're afraid of the crisis of democracy. If people start thinking you get all these problems that I quoted before. They won't have enough humility to submit to a civil rule or they'll start trying to press their demands in the political arena and have ideas of their own, instead of beleiving what they're told. And privelage and power typically doesn't want that and so they react and the high school teacher that tries to get students to think may find oppression, firing and so on.
Ernest Agyemang Yeboah|If people institute wrong institutions, wrong institutions do not just produce wrong people, but wrong people who understand and accept mediocrity as an institution
Jane Austen, Northanger Abbey|...it is very well worth while to be tormented for two or three years of one's life, for the sake of being able to read all the rest of it. Consider - if reading had not been taught, Mrs. Radcliffe would have written in vain - or perhaps might not have written at all.
Karen Armstrong, The Great Transformation: The Beginning of Our Religious Traditions|Unless there is some kind of spiritual revolution that can keep abreast of our technological genius, it is unlikely that we will save our planet. A purely rational education will not suffice.
