Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
John Van Epp, How to Avoid Falling in Love with a Jerk: The Foolproof Way to Follow Your Heart Without Losing Your Mind|It's funny, I don't feel any older than I did when I was twenty. But I know I am, because recently some twenty-year-old called me 'sir.' Sometimes the only way you know you are getting older is by the way others treat you.
T.S. Eliot, The Wasteland, Prufrock and Other Poems|There will be time, there will be timeTo prepare a face to meet the faces that you meet;There will be time to murder and create,And time for all the works and days of handsThat lift and drop a question on your plate;Time for you and time for me,And time yet for a hundred indecisions,And for a hundred visions and revisions,Before the taking of a toast and tea.
Elizabeth Gaskell, North and South|She would fain have caught at the skirts of that departing time, and prayed it to return, and give her back what she had too little valued while it was yet in her possession. What a vain show Life seemed! How unsubstantial, and flickering, and flitting! It was as if from some aerial belfry, high up above the stir and jar of the earth, there was a bell continually tolling, ‘All are shadows!—all are passing!—all is past!
Wendell Berry, Jayber Crow|History overflows time. Love overflows the allowance of the world. All the vessels overflow, and no end or limit stays put. Every shakable thing has got to be shaken. In a sense, nothing that was ever lost in Port William ever has been replaced. In another sense, nothing is ever lost, and we are compacted together forever, even by our failures, our regrets, and our longings.
Lauren Oliver, Before I Fall|Everyone just wasting time because they have so much of it to waste, minutes slipping by on who's with who and did you hear.
Ian McEwan, Atonement|Waiting. Simply one person doing nothing, over time, while another approached.
George Kubler|Actuality is when the lighthouse is dark between flashes: it is the instant between the ticks of the watch: it is a void interval slipping forever through time: the rupture between past and future: the gap at the poles of the revolving magnetic field, infinitesimally small but ultimately real. It is the interchronic pause when nothing is happening. It is the void between events.
Hubert Selby Jr., The Room|Time has to pass. But sometimes its so goddamn long. Sometimes it just seems to drag and drag and weigh a ton. And hang on you like a monkey. Like its going to suck the blood out of you. Or squeeze your guts out. And sometimes it flies. And is gone somewhere, somehow, before you know it was even here. As if time is only here to make you miserable. That's the only reason for time. To squeeze you. Crush you. To tie you up in knots and make you fucking miserable.
Mark Doty|The physical reinvention of the world is endless, relentless, fascinating, exhaustive; nothing that seems solid is. If you could stand at just a little distance in time, how fluid and shape-shifting physical reality would be, everything hurrying into some other form, even concrete, even stone.
Larry Niven|There were timelines branching and branching, a mega-universe of universes, millions more every minute. Billions? Trillions? The universe split every time someone made a decision. Split, so that every decision ever made could go both ways. Every choice made by every man, woman, and child was reversed in the universe next door.
Shannon L. Alder|Time doesn't heal all wounds, only distance can lessen the sting of them.
Ally Carter, Out of Sight, Out of Time|Time, Ms. McHenry," Townsend said. "It can be a cruel, cruel thing
Arnold Bennett, How to Live on 24 Hours a Day|The proper, wise balancingof one's whole life may depend upon thefeasibility of a cup of tea at an unusual hour.
Sherrilyn Kenyon, Invincible|You can’t buy time, Nick. Ever. It’s the only thing in life you can’t get most of, and it’s the one thing that will mercilessly tear you up when it’s gone. It takes no pity on no soul and no heart.
Arthur Machen, The Terror|We both wondered whether these contradictions that one can't avoid if one begins to think of time and space may not really be proofs that the whole of life is a dream, and the moon and stars bits of nightmare.
Steve Toltz, A Fraction of the Whole|The moment seemed endless, but it was probably only half that.
Deepak Chopra, The Book of Secrets: Unlocking the Hidden Dimensions of Your Life|Most of us take for granted that time flies, meaning that it passes too quickly. But in the mindful state, time doesn't really pass at all. There is only a single instant of time that keeps renewing itself over and over with infinite variety.
Clive Barker, The Thief of Always|We're both thieves, Harvey Swick. I take time. You take lives. But in the end we're the same: both Thieves of Always.
Audrey Niffenegger, The Time Traveler's Wife|Now I wonder if it means that the future is a place, or like a place, that I could go to; that is go to in some way otherthan just getting older.
Stanisław Lem, Solaris|So one must be resigned to being a clock that measures the passage of time, now out of order, now repaired, and whose mechanism generates despair and love as soon as its maker sets it going? Are we to grow used to the idea that every man relives ancient torments, which are all the more profound because they grow comic with repetition? That human existence should repeat itself, well and good, but that it should repeat itself like a hackneyed tune, or a record a drunkard keeps playing as he feeds coins into the jukebox...
C.S. Lewis|The humans live in time but our Enemy destines them to eternity. He therefore, I believe, wants them to attend chiefly to two things, to eternity itself, and to that point of time which they call the Present. For the Present is the point at which time touches eternity. Of the present moment, and of it only, humans have an experience analogous to the experience which our Enemy has of reality of whole; in it alone freedom and actuality are offered to them. 
Elizabeth Gilbert, Eat, Pray, Love|Given that life is so short, do I really want to spend one-ninetieth of my remaining days on earth reading Edward Gibbon?
C.S. Lewis, A Grief Observed|Grief ... gives life a permanently provisional feeling. It doesn't seem worth starting anything. I can't settle down. I yawn, I fidget, I smoke too much. Up till this I always had too little time. Now there is nothing but time. Almost pure time, empty successiveness.
Roland Barthes, Camera Lucida: Reflections on Photography|For me the noise of Time is not sad: I love bells, clocks, watches — and I recall that at first photographic implements were related to techniques of cabinetmaking and the machinery of precision: cameras, in short, were clocks for seeing, and perhaps in me someone very old still hears in the photographic mechanism the living sound of the wood.
Andrew Ashling, The Invisible Chains - Part 1: Bonds of Hate|A while ago?” Anaxantis asked. “Yes, he raped me a while ago. Exactly nine months and two days ago. What's that? Nine months or nine minutes. It's the same. And it is in the past, you say? Then why is it still happening, every day, every time I close my eyes? Every time I hear someone behind me, and I don't know who it is? How is it that I get an almost irresistible urge to kill anyone who happens to touch me unexpectedly? Tell me, Hemarchidas, how do I forgive, let alone forget, something that is still happening, that keeps happening over and over? How? How do I do that?
Hermann Hesse, Siddhartha|... the river is everywhere at once, at the source and at the mouth, at the waterfall, at the ferry, at the rapids, in the sea, in the mountains, everywhere at once, and that there is only the present time for it, not the shadow of the past, not the shadow of the future.
Jessica Khoury, The Forbidden Wish|Time has a different meaning for me, and these events that seem so monumental in the moment will one day be nothing more than a line in a scroll. These humans are but letters to be inked into history. A hundred years from now, I will be free. I will have forgotten their names and faces, and the struggles they have will not matter. Time has a way of burying things, shifting like the desert and swallowing entire civilizations, erasing them from map and memory. Always, in the end, everything returns to dust.
Alexandre Dumas, The Three Musketeers|Nothing makes time pass or shortens the way like a thought that absorbs in itself all the faculties of the one who is thinking. External existence is then like a sleep of which this thought is the dream. Under its influence, time has no more measure, space has no more distance.
Jorge Luis Borges, Selected Non-Fictions|The thought came over me that never would one full and absolute moment, containing all the others, justify my life, that all of my instants would be provisional phases, annihilators of the past turned to face the future, and that beyond the episodic, the present, the circumstantial, we were nobody.
Carlos Ruiz Zafón, The Shadow of the Wind|They had parted as boys, and now life presented one of them with a fugitive and the other with a dying man. Both wondered whether this was due to the cards they'd been dealt or to the way they had played them.
Johann Wolfgang von Goethe, Faust: First Part|If the whole world I once could seeOn free soil stand, with the people freeThen to the moment might I say,Linger awhile. . .so fair thou art.
Douglas Coupland, Life After God|Maybe the more emotions a person experiences in their daily lives, the longer time seems to feel to them. As you get older, you experience fewer new things, and so time seems to go by faster.
Hippocrates|The physician must be able to tell the antecedents, know the present, and foretell the future — must mediate these things, and have two special objects in view with regard to disease, namely, to do good or to do no harm.
George Sterling, The Thirst of Satan: Poems of Fantasy and Terror|As a breath on glass, -As witch-fires that burn,The gods and monsters pass,Are dust, and return.(“The Face of the Skies”)
Scott Westerfeld, Pretties|She needed Andrew Simpson Smith, it was that simple. And he had spent his life training to help people like her. Gods. "Okay, Andrew. But let's leave today. I'm in a hurry.""Of course. Today." He stroked the place where his slight beard was beginning to grow. "These ruins where your friends are waiting? Where are they?"Tally glances up at the sun, still low enough to indicate the eastern horizon. After a moment's calculation, she pointed off to the northwest, back toward the city and beyond that, the Rusty Ruins. "About a week's walk that way." "A week?""That means seven days.""Yes, I know the gods' calendar," he said huffily. "But a whole week?""Yeah. That's not so far, is it?" The hunters had been tireless on their march the night before. He shook his head, an awed expression on his face. "But that is beyond the edge of the world.
Ben Harper|They say time will make all this go away. But it's time that's taken my tomorrow, and turned them into yesterday.
Julian Barnes, The Sense of an Ending|History isn't the lies of the victors, as I once glibly assured Old Joe Hunt; I know that now. It's more the memories of the survivors, most of whom are neither victorious or defeated.
Sherwood Anderson, Winesburg, Ohio: A Group of Tales of Ohio Small Town Life|There is a time in the life of every boy when he for the first time takes the backward view of life. Perhaps that is the moment when he crosses the line into manhood. The boy is walking through the street of his town. He is thinking of the future and of the figure he will cut in the world. Ambitions and regrets awake within him. Suddenly something happens; he stops under a tree and waits as for a voice calling his name. Ghosts of old things creep into his consciousness; the voices outside of himself whisper a message concerning the limitations of life. From being quite sure of himself and his future he becomes not at all sure. If he be an imaginative boy a door is torn open and for the first time he looks out upon the world, seeing, as though they marched in procession before him, the countless figures of men who before his time have come out of nothingness into the world, lived their lives and again disappeared into nothingness. The sadness of sophistication has come to the boy. With a little gasp he sees himself as merely a leaf blown by the wind through the streets of his village. He knows that in spite of all the stout talk of his fellows he must live and die in uncertainty, a thing blown by the winds, a thing destined like corn to wilt in the sun.
Neil Gaiman, Neverwhere|There are little pockets of old time in London, where things and places stay the same, like bubbles in amber,” she explained. “There’s a lot of time in London, and it has to go somewhere—it doesn’t all get used up at once.” “I may still be hung over,” sighed Richard. “That almost made sense.
Chuck Palahniuk, Lullaby|After long enough, everyone in the world will be you enemy.
Bill Graham|Our days are numbered. One of the primary goals in our lives should be to prepare for our last day. The legacy we leave is not just in our possessions, but in the quality of our lives. What preparations should we be making now? The greatest waste in all of our earth, which cannot be recycled or reclaimed, is our waste of the time that God has given us each day.
Kurt Vonnegut Jr., Slaughterhouse-Five|The time would not pass. Somebody was playing with the clocks, and not only the electronic clocks but the wind-up kind too. The second hand on my watch would twitch once, and a year would pass, and then it would twitch again.There was nothing I could do about it. As an Earthling I had to believe whatever clocks said -and calendars.
Kate Moss|I got tired of feeling like Dracula. I wanted to see some daylight, and not just at six o’clock in the morning.
Sam Tanenhaus, Literature Unbound|Our nemesis is time, against which we have a single ally, memory, and even it betrays us.
Robert A. Bradley, Husband-Coached Childbirth: The Bradley Method of Natural Childbirth|God schedules a birthday, not man.
Thomas Carlyle, Sartor Resartus|Silence is the element in which great things fashion themselves together; that at length they may emerge, full-formed and majestic, into the daylight of Life, which they are thenceforth to rule. Not William the Silent only, but all the considerable men I have known, and the most undiplomatic and unstrategic of these, forbore to babble of what they were creating and projecting. Nay, in thy own mean perplexities, do thou thyself but hold thy tongue for one day: on the morrow, how much clearer are thy purposes and duties; what wreck and rubbish have those mute workmen within thee swept away, when intrusive noises were shut out! Speech is too often not, as the Frenchman defined it, the art of concealing Thought; but of quite stifling and suspending Thought, so that there is none to conceal. Speech too is great, but not the greatest. As the Swiss Inscription says: Sprecfien ist silbern, Schweigen ist golden (Speech is silvern, Silence is golden); or as I might rather express it: Speech is of Time, Silence is of Eternity.
Louis Hector Berlioz|Time is a great teacher, but unfortunately it kills all its pupils ...
Margaret George, Elizabeth I|Perhaps life is like an hour glass, with dear ones the sand that slips from the upper glass--the earth--into the second--eternity.
Toba Beta, Master of Stupidity|Smartass Disciple: Which one was first created, time or things?Master of Stupidity: No things, no changes. No changes, no time.
Bob Moawad|You can't make footprints in the sand of time if you're sitting on your butt, and who wants to make buttprints in the sand of time?
Han Kang, Human Acts|Some memories never heal. Rather than fading with the passage of time, those memories become the only things that are left behind when all else is abraded. The world darkens, like electric bulbs going out one by one. I am aware that I am not a safe person.
Stephen King, The Wind Through the Keyhole|In the end, the wind takes everything, doesn't it? And why not? Why other? If the sweetness of our lives did not depart, there would be no sweetness at all.
Marcel Proust, Swann's Way|Many years have passed since that night. The wall of the staircase up which I had watched the light of his candle gradually climb was long ago demolished. And in myself, too, many things have perished which I imagined would last for ever, and new ones have arisen, giving birth to new sorrows and new joys which in those days I could not have foreseen, just as now the old are hard to understand.
Markus Zusak, Fighting Ruben Wolfe|It makes me wonder, Do we spend most of our days trying to remember or forget things? Do we spend most of our time running towards or away from our lives? I don't know.
Lisa Mangum, The Hourglass Door|In the darkness of night,Demons strut, taunting, goading.In the light of day,Angels sing glorious songs.In the time in between,We live our lives alone and searching.And sometimes, softly,You understand damnation.All is forgotten, all is lost,All but forgivenessAnd the memory of her kiss.
Ellie Wade, A Forever Kind of Love|A true friend is one you can go extended periods without seeing or talking to, yet the moment that you are back in touch, it's like no time has passed at all.
Wallace Stegner, Angle of Repose|No life goes past so swiftly as an eventless one, no clock spins like a clock whose days are all alike.
Ray Bradbury, Farewell Summer|The huge round lunar clock was a gristmill. Shake down all the grains of Time—the big grains of centuries, and the small grains of years, and the tiny grains of hours and minutes—and the clock pulverized them, slid Time silently out in all directions in a fine pollen, carried by cold winds to blanket the town like dust, everywhere. Spores from that clock lodged in your flesh to wrinkle it, to grow bones to monstrous size, to burst feet from shoes like turnips. Oh, how that great machine…dispensed Time in blowing weathers.
Denis Diderot|You live as if you were destined to live forever, no thought of your frailty ever enters your head, of how much time has already gone by you take no heed. You squander time as if you drew from a full and abundant supply, so all the while that day which you bestow on some person or thing is perhaps your last. You have all the fears of mortals and all the desires of immortals… What foolish forgetfulness of mortality to defer wise resolutions to the fiftieth or sixtieth year, and to intend to begin life at a point to which few have attained.
Douglas Coupland|Chronocanine Envy:Sadness experienced when one realized that, unlike one's dog, one cannot live only in the present tense. As Kierkegaard said, "Life must be lived forward.
Shreve Stockton, The Daily Coyote: Story of Love, Survival, and Trust In the Wilds of Wyoming|It's so egotistical to believe that we know more about someone else's reality than they do, and such a waste of time.
Fernando Pessoa, The Selected Prose of Fernando Pessoa|Time, which grays hair and wrinkles faces, also withers violent affections, and much more quickly.
Chris Wooding, Poison|But time has a way of stealthily deciding a person’s mind without her conscious knowledge, and as she studied and procrastinated, Poison found one day that she had come to know her choice.
Margaret Thatcher|If you set out to be liked, you would be prepared to compromise on anything at any time, and you would achieve nothing." ~ Margaret Thatcher
Barbara Kingsolver, The Lacuna|Time cures you first, and then it kills you.
Vladimir Nabokov, Pale Fire|A thousand years ago five minutes wereEqual to forty ounces of fine sand.Outstare the stars. Infinite foretime andInfinite aftertime: above your headThey close like giant wings, and you are dead.
Lisa Mangum|The river is now. This moment. This breath between us. The space between your heartbeats. The moment before you blink. The instant a thought flashes through your mind. It is everything that is around us. Life. Energy. Flowing, endlessly flowing, carrying you from then...to now...to tomorrow. Listen: you can hear the music of it. Of the passage of time.
Anton Chekhov, The Witch and Other Stories|The past,' he thought, 'is linked with the present by an unbroken chain of events flowing one out of another.' And it seemed to him that he had just seen both ends of that chain; that when he touched one end the other quivered.
Friedrich Nietzsche, The Gay Science|Deeds need time, even after they are done, in order to be seen or heard.
Julia Glass, Three Junes|Time plays like an accordion in the way it can stretch out and compress itself in a thousand melodic ways. Months on end may pass blindingly in a quick series of chords, open-shut, together-apart; and then a single melancholy week may seem like a year's pining, one long unfolding note.
Julian Barnes, The Noise of Time|Art is the whisper of history, heard above the noise of time.
Michael Bassey Johnson|It doesn't really matter if you are left behind the back, but what matters is your capacity to pull and push everyone by your way to get to the front.
Stanisław Lem, Highcastle: A Remembrance|Of the two powers, the two categories that take possession of us when we enter the world, space is by far the less mysterious. . . . Space is, after all, solid, monolithic. . . . Time, on the other hand, is a hostile element, truly treacherous, I would say even against human nature.
Tom Robbins, Skinny Legs and All|Information about time cannot be imparted in a straightforward way. Like furniture, it has to be tipped and tilted to get it through the door. If the past is a solid oak buffet whose legs must be unscrewed and whose drawers must be removed before, in an altered state, it can be upended into the entryway of our minds, then the future is a king-size waterbed that hardly stands a chance, especially if it needs to be brought up in an elevator.Those billions who persist in perceiving time as the pursuit of the future are continually buying waterbeds that will never make it beyond the front porch or the lobby. And if man's mission is to reside in the fullness of the present, then he's got no space for the waterbed, anyhow, not even if he could lower it through a skylight.
Grigoris Deoudis|Every moment is a crossroad in time. Consider that, as above so below and as inside so outside and live accordingly.
Brian  Doyle, Mink River|Everyone thinks that the old days were better, or that they were harder, and the modern times are chaotic and complex, or easier all around, but I think people's hearts have always been the same, happy and sad, and that hasn't changed at all. It's just the shapes of lives that change, not the lives themselves.
Emily Brontë, Jane Eyre / Les Hauts de Hurle-Vent / Agnes Grey|The clock strikes off the hollow half-hours of all the life that is left to you, one by one.
Emily Dickinson|Look back on Time, with kindly eyes -He doubtless did his best -How softly sinks that trembling sunIn Human Nature's West -
Roger Zelazny, Isle of the Dead|Of all the things a man may do, sleep probably contributes most to keeping him sane. It puts brackets about each day. If you do something foolish or painful today, you get irritated if somebody mentions it, today. If it happened yesterday, though, you can nod or chuckle, as the case may be. You've crossed through nothingness or dream to another island in Time.
Margaret Atwood, Oryx and Crake|He has to find more and better ways of occupying his time. His time, what a bankrupt idea, as if he's been given a box of time belonging to him alone, stuffed to the brim with hours and minutes that he can spend like money. Trouble is, the box has holes in it and the time is running out, no matter what he does with it.
Joanne M. Friedman, Horses in the Yard|The woman recovering from abuse or other stressful life situations may feel she's in no way in charge of anything, least of all her own world. She faces the horse with trepidation. The horse senses the fear and becomes tense and concerned. The wise instructor starts small. The woman is handed a soft brush and sent to fuss over the horse. It's pointed out that if she stands close to the animal, she will be out of range of a well-aimed kick. She is warned to watch for tell-tale signs of fear in herself and the horse. She's warned to keep her feet out from under the horse's stomping hoof. They're both allowed to back away and regroup and try again until they reach an accord regarding personal space. Calm prevails, and within a few minutes, hours or sessions, interaction becomes friendship. It happens almost every time a woman is allowed enough time and space to work through the situation.So a woman whose daily life is overwhelming her learns to step back. Is this a cure for her endless problems? Of course not. Simple is not simplistic.
Tom Robbins, Jitterbug Perfume|If New Orleans is not fully in the mainstream of culture, neither is it fully in the mainstream of time. Lacking a well-defined present, it lives somewhere between its past and its future, as if uncertain whether to advance or to retreat. Perhaps it is its perpetual ambivalence that is its secret charm. Somewhere between Preservation Hall and the Superdome, between voodoo and cybernetics, New Orleans listens eagerly to the seductive promises of the future but keeps at least one foot firmly planted in its history, and in the end, conforms, like an artist, not to the world but to its own inner being--ever mindful of its personal style.
Prince, 1999 (Piano/Vocal/Guitar)|But life is just a party, and parties weren't meant to last.
Linda Lee Chaikin, Tomorrow's Treasure|I think you will agree that life's plans are not always tied up in neat little packages. Occasionally we find ourselves at unexpected crossroads with more than one opportunity from which to choose. Time itself is often the best indicator of which decision to make, for it can tell so many thing that are now hazy.
Ann Brashares, Sisterhood Everlasting|You don't have time, Len. That is the most bitter and the most beautiful piece of advice I can offer. If you don't have what you want now, you don't have what you want.
Orhan Pamuk, The Museum of Innocence|Clocks and calendars do not exist to remind us of the Time we've forgotten but to regulate our relations with others and indeed all of society, and this is how we use them.
Tom Stoppard, Arcadia|When you stir your rice pudding, Septimus, the spoonful of jam spreads itself round making red trails like the picture of a meteor in my astronomical atlas. But if you stir backwards, the jam will not come together again. Indeed, the pudding does not notice and continues to turn pink just as before. Do you think this is odd?
Lauren Oliver|Most of the time - 99 percent of the time - you just don't know how and why the threads are looped together, and that's okay. Do a good thing and something bad happens. Do a bad thing and something good happens. Do nothing and everything explodes. And very, very rarely - by some miracle of chance and coincidence, butterflies beating their wings just so and all the threads hanging together for a minute - you get the chance to do the right thing.
Michel de Montaigne, The Complete Essays|The advantage of living is not measured by length, but by use; some men have lived long, and lived little; attend to it while you are in it. It lies in your will, not in the number of years, for you to have lived enough.
Abraham Joshua Heschel|There are no two hours alike. Every hour is unique and the only one given at the moment, exclusive and endlessly precious. Judaism teaches us to be attached to holiness in time; to learn how to consecrate sanctuaries that emerge from the magnificent stream of a year.
Alan Lightman, Einstein's Dreams|While people brood, time skips ahead without looking back.
Roman Payne, Hope and Despair|I just wish moments weren’t so fleeting!' Isaac called to the man on the roof, 'They pass so quickly!' 'Fleeting?!' responded the tilling man, 'Moments? They pass quickly?! . . . Why, once a man is finished growing, he still has twenty years of youth. After that, he has twenty years of middle age. Then, unless misfortune strikes, nature gives him twenty thoughtful years of old age. Why do you call that quickly?' And with that, the tilling man wiped his sweaty brow and continued tilling; and the dejected Isaac continued wandering.  'Stupid fool!' Isaac muttered quietly to himself as soon as he was far enough away not to be heard.
Terry Pratchett, Wyrd Sisters|The calendar of the Theocracy of Muntab counts down, not up. No-one knows why, but it might not be a good idea to hang around and find out.
Robert Frost, The Poetry of Robert Frost|The TelephoneWhen I was just as far as I could walkFrom here todayThere was an hourAll stillWhen leaning with my head against a flowerI heard you talk.Don't say I didn't for I heard you sayYou spoke from that flower on the window sill-Do you remember what it was you said ''First tell me what it was you thought you heard.''Having found the flower and driven a bee awayI leaned my headAnd holding by the stalkI listened and I thought I caught the wordWhat was itDid you call me by my name Or did you saySomeone said "Come"I heard it as I bowed.''I may have thought as much but not aloud.'Well so I came.
Jim Carroll, The Petting Zoo|On a whim, he stopped and bought a watch from a sidewalk vendor. Normally, Billy could not abide keeping time, especially when it was attached to one’s body. Time was like a relentlessly needy lapdog one had to haul around. It barked too much and had no sense of loyalty.
Sebastian Barry, The Secret Scripture|I am old enough to know that time passing is just a trick, a convenience. Everything is always there, still unfolding, still happening. The past, the present, and the future, in the noggin eternally, like brushes, combs and ribbons in a handbag.
Meg Wolitzer, The Uncoupling|People like to warn you that by the time you reach the middle of your life, passion will begin to feel like a meal eaten long ago, which you remember with great tenderness.
Alexander Pope|For he lives twice who can at once employ,The present well, and e’en the past enjoy.
Walt Whitman|O the joy of my spirit--it is uncaged--it darts like lightning!It is not enough to have this globe or a certain time,I will have thousands of globes and all time.
Charles Caleb Colton|Much may be done in those little shreds and patches of time which every day produces, and which most men throw away.
Amit Abraham|Some days some times are remembered by me, in life’s all moments they are cherished by me
Samantha Sotto, Before Ever After|If we accept time for what it is, how it flows and how we flow with it, I doubt very much that we would continue wasting loads of it by constantly checking our watches. The gnomons's shadow falls where it falls - and so do we. Where we are now is where a lifetime's worth of steps have taken us.
cG9sYXJhZGl0aWE=|How can you say: "I love you forever!" ; Whereas bit of time can change everything
Fyodor Dostoyevsky, White Nights|I sometimes have moments of such despair, such despair … Because in those moments I start to think that I will never be capable of beginning to live a real life; because I have already begun to think that I have lost all sense of proportion, all sense of the real and the actual; because, what is more, I have cursed myself; because my nights of fantasy are followed by hideous moments of sobering! And all the time one hears the human crowd swirling and thundering around one in the whirlwind of life, one hears, one sees how people live—that they live in reality, that for them life is not something forbidden, that their lives are not scattered for the winds like dreams or visions but are forever in the process of renewal, forever young, and that no two moments in them are ever the same; while how dreary and monotonous to the point of being vulgar is timorous fantasy, the slave of shadow, of the idea...
Jennifer Brown, Hate List|Time's never up", she whispered, not looking at me, but at my canvas. "Just like there's always time for pain, there's always time for healing. Of course there is.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|From time to time, one must release the grime built up inside them to to free their emotions like the ocean.
James Sallis, Black Hornet|Mostly what you lose with time, in memory, is the specificity of things, their exact sequence. It all runs together, becomes a watery soup. Portmanteau days, imploded years. Like a bad actor, memory always goes for effect, abjuring motivation, consistency, good sense. 
Helen Reddy|Depression, as far as I'm concerned, is just a waste of time.
Jeanette Winterson, The World and Other Places: Stories|Time is a player. Time is part of today, not simply a measure of its passing.
Marcel Proust, Within a Budding Grove, Part 2|Had I been less firmly resolved upon settling down definitively to work, I should perhaps have made an effort to begin at once. But since my resolution was explicit, since within twenty-four hours, in the empty frame of the following day where everything was so well-arranged because I myself was not yet in it, my good intention would be realized without difficulty, it was better not to start on an evening when I felt ill-prepared. The following days were not, alas, to prove more propitious. But I was reasonable. It would have been puerile, on the part of one who had waited now for years, not to put up with a postponement of two or three days. Confident that by the day after tomorrow I should have written several pages, I said not a word more to my parents of my decision; I preferred to remain patient and then to bring to a convinced and comforted grandmother a sample of work that was already under way. Unfortunately the next day was not that vast, extraneous expanse of time to which I had feverishly looked forward. When it drew to a close, my laziness and my painful struggle to overcome certain internal obstacles had simply lasted twenty-four hours longer. And at the end of several days, my plans not having matured, I had no longer the same hope that they would be realized at once, and hence no longer the heart to subordinate everything else to their realization: I began once again to keep late hours...
Jorge Luis Borges, Labyrinths:  Selected Stories and Other Writings|And yet, and yet… Denying temporal succession, denying the self, denying the astronomical universe, are apparent desperations and secret consolations. Our destiny … is not frightful by being unreal; it is frightful because it is irreversible and iron-clad. Time is the substance I am made of. Time is a river which sweeps me along, but I am the river; it is a tiger which destroys me, but I am the tiger; it is a fire which consumes me, but I am the fire. The world, unfortunately, is real; I, unfortunately, am Borges.
Vatsal Surti, On Love|A relationship takes place between two people across space and time, and suddenly no one seems like a stranger.
Jeanette Winterson, Sexing the Cherry|The Hopi, an Indian tribe, have a language as sophisticated as ours, but no tenses for past, present and future. The division does not exist. What does this say about time?Matter, that thing the most solid and the well-known, which you are holding in your hands and which makes up your body, is now known to be mostly empty space. Empty space and points of light. What does this say about the reality of the world?
Vladimir Nabokov, Ada, or Ardor: A Family Chronicle|Maybe the only thing that hints at a sense of Time is rhythm; not the recurrent beats of the rhythm but the gap between two such beats, the gray gap between black beats: the Tender Interval.
Jonathan Nolan, Memento mori|You're different. You're more perfect. Time is three things for most people, but for you, for us, just one. A singularity. One moment. This moment. Like you're the center of the clock, the axis on which the hands turn. Time moves about you but never moves you. It has lost its ability to affect you. What is it they say? That time is theft? But not for you. Close your eyes and you can start all over again. Conjure up that necessary emotion, fresh as roses.
Tennessee Williams, The Glass Menagerie|To begin with, I turn back time. I reverse it to that quaint period, the thirties, when the huge middle class of America was matriculating in a school for the blind. Their eyes had failed them, or they had failed their eyes, and so they were having their fingers pressed forcibly down on the fiery Braille alphabet of a dissolving economy.
Douglas Coupland|Dimanchophobia:Fear of Sundays, not in a religious sense but rather, a condition that reflects fear of unstructured time. Also known as acalendrical anxiety. Not to be confused with didominicaphobia, or kyriakephobia, fear of the Lord's Day.Dimanchophobia is a mental condition created by modernism and industrialism. Dimanchophobes particularly dislike the period between Christmas and New Year's, when days of the week lose their significance and time blurs into a perpetual Sunday. Another way of expressing dimanchophobia might be "life in a world without calendars." A popular expression of this condition can be found in the pop song "Every Day is Like Sunday," by Morrissey, in which he describes walking on a beach after a nuclear way, when every day of the week now feels like Sunday.
Burkhard Bilger|One of the seats of emotion and memory in the brain is the amygdala, he explained. When something threatens your life, this area seems to kick into overdrive, recording every last detail of the experience. The more detailed the memory, the longer the moment seems to last. "This explains why we think that time speeds up when we grow older," Eagleman said--why childhood summers seem to go on forever, while old age slips by while we’re dozing. The more familiar the world becomes, the less information your brain writes down, and the more quickly time seems to pass.
Nikolai Gogol, Dead Souls|Also, though not over-elderly, he was not over-young.
Oscar Wilde|The gods have been good to you. But what the gods give they quickly take away. You have only a few years in which to live really, perfectly, and fully. When your youth goes, your beauty will go with it, and then you will suddenly discover that there are no triumphs left for you, or have to content yourself with those mean triumphs that the memory of your past will make more bitter than defeats. Every month as it wanes bring you nearer to something dreadful. Time is jealous of you, and wars against your lilies and your roses.
Mark Mustian, The Gendarme|Time stretches and calms, but still we reach, for we belonged then. We want to know. Sometimes that knowledge is painful, or inconvenient, or even damning. But it is essential. It exposes us for what we have been, and can be.
Lawrence Durrell, Balthazar|The steward, according to custom, had stopped all the clocks. This, in the language of Narouz, said, "Your stay with us is so brief, let us not be reminded of the flight of the hours. God made eternity. Let us escape from the despotism of time altogether." These ancient and hereditary politenesses filled Nessim with emotion.
Virginia Woolf, Orlando|The mind of man works with strangeness upon the body of time. An hour, once it lodges in the queer element of the human spirit, may be stretched to fifty or a hundred times its clock length; on the other hand, an hour may be accurately represented by the timepiece of the mind by one second. This extraordinary discrepancy between time on the clock and time in the mind is less known than it should be, and deserves fuller investigation.
Visar Zhiti, The Condemned Apple: Selected Poetry|TIMETimeAnd how it slips through my fingersWithout putting its ring on them,And I remain simply its lover
Jeffrey Eugenides, Middlesex|The last thing the hockey ball symbolized was Time itself, the unstoppability of it, the way we're chained to our bodies, which are chained to Time.
Julien Gracq|Blood had long since ceased to beat from one end to the other, but one could sense, from passages marked with fresher traces of wheels and hooves, that once the meaning and even the very idea of a long journey was lost, sleep had not descended over it in one fell swoop: it had continued to steal a march here and there, in a discontinuous way, and over short distances, like a laborer who feels his cart jolt on a section of Roman road that crosses his field...
