|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Jacob Nordby|Like the body craves oxygen, the mind is desperate for certainty. It believes that without a safe foothold on reality, it will die.But the fascinating thing is that the illusion of certainty is exactly the opposite of safety because it hardens and narrows the vision to make everything fit its own scope. Then when new information arrives which would be its ally, the mind pushes it away in favor of the leaky life raft to which it clings, sinking all the while beneath the waves of change.In fact, the only antidote for this is to embrace 'I don’t know' so deeply that a powerful, dynamic safety emerges. This is like learning to surf so well that a tsunami wave shows up as a challenge to test our mastery.
Avis J. Williams, The Psychic Mind: A Practical Guide to Psychic Development & Spiritual Growth|respond rather than react to situations, people or environment. Let go of limiting emotions such as fear, frustration and anger and start to express your emotions to others, this is essential to a healthy wellbeing.
Avis J. Williams, The Psychic Mind: A Practical Guide to Psychic Development & Spiritual Growth|you know things, without knowing how you know, but you know it is true
Sheikha Hissa Hamdan Al Maktoum|Freedom can be a state of mind, a path built independently, and with freedom comes responsibility.
Justin K. McFarlane Beau|I mind the unmindful, but I mind my own mind too. Mine your mind, and mine the minds of others. Mind.. you are mine!
Martin Guevara Urbina, Twenty-first Century Dynamics of Multiculturalism: Beyond Post-racial America|Learning about freedom, for . . . the very essence of human existence, knowledge, as the mind is an element that enables us to shift the winds of luck, reshape the forces of fate or destiny, and, ultimately, empower us to become free authors of our own lives, for the true art of human expression is the ability to express our dreams, thoughts, and emotions as we feel them or as they come to mind, as we search for universal equality, justice, peace, love, truth, and reality.
Henri Cole, Pierce the Skin: Selected Poems, 1982-2007|You see, my mind takes me far, but my heart dreams of return.
Enza Vita|What is constant? Is the mind anything more than a conglomeration of thoughts? Where is the mind apart from thought? If there is no thought, can there be a mind? They cancel each other out, do they not?
Pushpa Rana, Just the Way I Feel|Its amazing to contemplate what human mind is capable of, incredible functionality, specialty of describing something beautifully without even experiencing called the work of imagination, carries us to a world we have never been before.
Israelmore Ayivor, The Great Hand Book of Quotes|You may be tall; you may be short. You may be a black; you may be a white. One more thing to keep behind your mind is that you "your purpose is unique". Anyone who is thinks he is clever enough will mess up when he/she wears your shoes; it won't fit!
Richmond Akhigbe|Don't just create a change for yourself, be a centre of change to others.
Lailah Gifty Akita|Change your thought, change your mind.Change your belief, change your action.
Richmond Akhigbe|Develop an affirmation today, and start getting instant confirmation in all works of like.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Real limitations can be reasonably challenged and expanded, but a hobbled mind is not going anywhere.
John Yang aka Private83|Sometimes the heart weakens the individual that makes him/her do things he/she wouldn't normally do. Following ones heart varies by situations, but should never be followed when making decisions on critical situations. The heart is full of love and compassion thus welling to forgive, show mercy, and weakens the mind of the individual. So, be passionate of your performance and sympathize and empathize with sensitive situations, but let your mind guide your heart.
Bill Connington, Physical Expression on Stage and Screen: Using the Alexander Technique to Create Unforgettable Performances|There's an apt expression: 'If you don't live in your body, where are you going to live?' But many of us don't. We tend to get locked into our heads or our imaginations . . . recognizing the importance of the body is primary. It's who we are, it's where we live, it houses and embodies your mind and imagination.
