Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Hannah Lillith Assadi, Sonora|When I returned to New York, it had already changed. I always wished things could just remain.
Fennel Hudson, Fine Things - Fennel's Journal - No. 8|In with the new, out with the old.’ That’s what we’re told. We have to change, adapt, compromise.
Efrat Cybulkiewicz|In order to fit our needs and wants, we are constantly adjusting and altering our behaviors and feelings. Metaphorically speaking, we are constantly giving birth to priorities; our priorities are perpetually reassessed and we perpetually adjust to accomplish them.Some call this "Change." I call it, improving ourselves by means through the inner self.
Steven Magee|If you think that climate change and global warming are not going to affect you, then you are easily misled.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Until you fall in love with positive change, becoming passionate about improving the status quo, you won’t become a leader.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|A great number isn’t bad though, but doesn’t take numbers to change the world.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|What it takes is the passion to lead and the commitment to that passion through a lifetime. A great number isn’t bad though, but doesn’t take numbers to change the world.
Hannah Lillith Assadi, Sonora|With the years, we become even more ourselves and call this change.
Fatima Faisal|It's not the surrounding that has changed, it's us who changed.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Be the initiator of things you wish to see, but can’t see. Be the originator of things you wish you feel but can’t feel.
Ernest Agyemang Yeboah|Everybody wants a change and change happens in the life of everybody each day, but not all changes are preferable
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|The leader’s joy is the success of change, the evidence of progress and the actualization of a better life.
Victor Hugo, Les Misérables|To wipe out abuse is not enough; you have to change people's whole outlook. The mill is no longer standing, but the wind's still there, blowing away.
Scott Cawthon, Five Nights at Freddy's: The Silver Eyes|The things that had changed seem out of place, and the things that had remained the same made Charlie feel out of place.
Rainer Maria Rilke, Letters to a Young Poet|Perhaps many things inside you have been transformed; perhaps somewhere, someplace deep inside your being, you have undergone important changes while you were sad. The only sadnesses that are dangerous and unhealthy are the ones that we carry around in public in order to drown them out with the noise; like diseases that are treated superficially and foolishly, they just withdraw and after a short interval break out again all the more terribly; and gather inside us and are life, are life that is unlived, rejected, lost, life that we can die of.
Anthony T. Hincks|It's too late to change the world, but, hopefully it's not too late to change ourselves.
Garth Risk Hallberg, City on Fire|Everything's always changing, Charlie. We become who we are. The mask melts into the face.
Kilroy J. Oldster, Dead Toad Scrolls|The human mind’s innate ability to imagine and create ensures that we never remain stalled out in who we are. We constantly seek to amend our circumference and circumstances, craft and redraft our emotional, social, political, economic, and artistic being.
Steven Magee|If you think that climate change and global warming are hoaxes, then you are easily fooled.
Steven Magee|There are no electromagnetic field (EMF) book millionaires yet, but that may change with the roll out of the fifth generation (5G) wireless networks.
Malebo Sephodi|In order to validate our Africanness, we hold on to tradition at all cost, banning critical engagement in an attempt to preserve its sacredness
Ernest Agyemang Yeboah|Use your now well now! There is always another day to change something, but all the days we may meet may never be the same. Use your now well now!
Fennel Hudson, Fine Things - Fennel's Journal - No. 8|Change, it seems, is inevitable. And so is compromise.
Fennel Hudson, Fine Things - Fennel's Journal - No. 8|Things today ‘sure ain’t like they used to be’. They’ve changed, moved on, progressed.
Charlotte Perkins Gilman, Herland|it is only in social relations that we are human...to be human women must share in the totality of humanity's common life. Women, forced to lead restricted lives, retard all human progress. Growth of organism, the individual or social body requires use of all of our powers in four areas: physical, intellectual, spiritual and social
R.J. Groves, Writing You: An Unlikely Romance|There was nothing she would ever change about him , except for who he thought she was.
Jennifer Lynn Barnes, Nobody|She wasn’t going to sit and wait. She was done waiting, because you could spend your whole life waiting for something to happen. Something big. You could wait and wait, and even if something big happened, even if it finally happened—it didn’t change anything.
Crystal Kadakia, The Millennial Myth: Transforming Misunderstanding Into Workplace Breakthroughs|Millennials, instead of a danger, are really a reflection of the society in which they grew up in, and in which all of us now live.
K. Martin Beckner, A Million Doorways|Life’s journey does not take place down an easy roadway, as some might imagine. It takes place inside a giant house with a million doorways. Every day of our lives we are faced with decisions to make, doorways to walk through. It can be confusing at times, like walking through a carnival maze. Some decisions we make are big, some small, but they all have consequences..
Lance Olsen, Calendar of Regrets|Everything changes, sweetheart. The universe loves to happen.
Gift Gugu Mona|Poverty should first be addressed in the mind because even if you give millions to a poor person, until there's a change of mindset, they will still remain the same.
Susan Hill, Mrs de Winter|I had changed, and gone on changing, but I did not fully remember how it had begun, or understand why.
Kate Skylark, Daddy's Wicked Parties: The Most Shocking True Story of Child Abuse Ever Told|We cannot change or put right the past, it is our choice whether to be happy in this very moment. The present is all we have and problems only live in the past or the future.
Abhijit Naskar, Either Civilized or Phobic: A Treatise on Homosexuality|Change is a quintessential element of progress. Without change, progress is non-existent.
Richelle E. Goodrich, Slaying Dragons|Easter is the miracle of transformation as seen in the change of seasons, in the maturation of mortal persons, and in the resurrection of souls.
John Hawkins, 101 Things All Young Adults Should Know|I love you," "I was wrong," and "I apologize" are powerful words. They can save marriages, deepen friendships, and change lives. Don't be afraid to use them.
John Hawkins, 101 Things All Young Adults Should Know|The key thing to keep in mind is that people do change, but they do it in their own time, for their own reasons. That's why you can hope for change, you can encourage change, you can communicate that you want change, but there are never any guarantees that it will happen.
Margo T. Rose, The Words|It doesn't mean anything;It doesn't change anything,Except the way I see myself,And it's not supposed to do that.I shouldn't feel this way;I should cry this way,But I kind of do.Yeah, I kind of do.
Catherine Louise Birmingham|You can only get to where you want to be, through where you are now.
Kabelo Mabona|Pain means change is coming. When you are going through a hell, or turmoil, know that change is coming. Don't be afraid of pain, losing, failing or trying - change is coming. There's no gain without pain, just hold on, change is coming. God is not yet finished, hold on.
Kabelo Mabona|Every year is a year of impact, a month of change and a day of new encounters. Its all in the mind to make the impact, see the change and conquer new encounters.
Caroline George, The Vestige|Our surroundings fade and we exist in unison, two people who once shared cups of coffee, unprecedentedly ourselves in a changing world.
Jennifer Finney Boylan, Long Black Veil|How much could the person you love change, and still remain the same person to whom you'd made your promise? We don't expect our lovers to remain the same over the course of a long relationship. In fact, if you're married at sixty-five to the same person you married when you were twenty, your marriage has probably failed. But there are changes, over time, that spell doom for a marriage, although exactly what these are, and to what degree, varies from couple to couple. For some people, vast changes over time make no difference to the fundamental sense of devotion one soul has for another. But for others, relatively small changes can push things to the breaking point: gaining or losing weight, gaining or losing faith, gaining or losing wealth. How does any relationship survive in the end, when change is the only constant?
John     Davidson|You’re young, and like anything new. It’s change you want. I’m middle-aged, and there’s nothing staler to me than change. Constant comfort and little luxuries as regular as the clock are fresher than change.
Akash Lakhotia, World Hypnotized: Making of the Fuhrer|Remember, life is a bit tough most of the time.Also remember, if it was easy it would be boring.
Sesan Kareem|Change is automatic, but progress is not. Death is certain, but LIVING a good life is a CHOICE
Sharon Salzberg, Real Love: The Art of Mindful Connection|No matter what we think we should do, I don’t think you can coerce yourself into loving your neighbor—or your boss—when you can’t stand him. But if you try to understand your feelings of dislike with mindfulness and compassion, being sure not to forget self-compassion, you create the possibility for change.
Durga Chew-Bose, Too Much and Not the Mood|Change, I've come to understand, rises up like nausea: the promise of relief is what makes it bearable.
Germany Kent|Dear God, Thank you for waking me up today and for your everlasting love and never ending mercy and for my blessed day ahead.
Rebecca McNutt, Listen is Silent, or The Usurer|Tony and Peg have two kids, Terry-Lynn and Harvey, both of whom are enrolled in so many extracurricular and afterschool clubs that they hardly ever see their parents. If Terry-Lynn is in Girl Guides, she doesn’t have to see Peg inviting the Purolator man in for “a cup of coffee”. If Harvey is in the anime drawing club, he doesn’t have to see Peg kissing Mr. Cooper from across the street, even if all the other neighbours secretly know what’s going on. Tony has no idea, all he knows is that Peg isn’t the same Peg he married back in 2003. All he knows is that she’s changed a great deal, and not for the better, like a beautiful butterfly regressing back into a devouring, ugly caterpillar in the span of only a couple of months.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|When we hesitate to change on time, we predispose ourselves to miss the boat that would take us to our envious future...
Akash Lakhotia, World Hypnotized: Making of the Fuhrer|Change for someone today and tomorrow you will hear them say, "You are not the same.
Akash Lakhotia, World Hypnotized: Making of the Fuhrer|There is a reason life has put you in the current circumstances,Life will always test you, it will always try to make you stronger.Life only wants you to be better then you were yesterday.
Chris Guillebeau, The Happiness of Pursuit: Finding the Quest That Will Bring Purpose to Your Life|When discontent sets in it's time to make some changes. In a world where so much is possible, yet so many people are unhappy, there has to be another way.
Christina Baker Kline, A Piece of the World|Before we leave the gravesite, Mary sings Mother's favorite gospel hymn ...Mary's lovely voice rises and lingers in the air, and by the end of the song most of us are crying. I am too, though I still don't know what those stars are meant to represent. My mistake, I suppose, is in thinking they should mean something.
Jon Kabat-Zinn, Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life|Meditation does not involve trying to change your thinking by thinking some more. It involves watching thought itself. The watching is the holding. By watching your thoughts without being drawn into them, you can learn something profoundly liberating about thinking itself, which may help you to be less of a prisoner of those thought patterns (….)
Becky Albertalli, Simon vs. the Homo Sapiens Agenda|They put me in a box, and every time I try to nudge the lid open, they slam it back down. It’s like nothing about me is allowed to change.
Jinnul Jr.|Life is limited by death to make us hurry, though we can't change the past, atleast we change for good and to never repeat the same mistakes again.
Donald Pillai|Our big opportunity may be right where we are right now. We have the sense to realize that a single idea can change the way we think, the way we feel, and the way we live, that right now is one of those moments when we have the ability to influence the future right now. Believe it!
Jacob Bronowski, The Origins of Knowledge and Imagination|The creative personality is always one that looks on the world as fit for change and on himself as an instrument for change. Otherwise, what are you creating for? If the world is perfectly all right the way it is, you have no place in it. The creative personality thinks of the world as a canvas for change and of himself as a divine agent of change.
Sunday Adelaja|We should be disciplined and responsible and then our prosperity will be stable despite any economic crisis, inflation or a change of government
Sunday Adelaja|We must change our way of thinking, correct our plans and envision new ways of attaining our goals
Samantha Shannon, The Song Rising|When you dream of change, it shines bright, like fire, and burns away all the rot that came before it. It's swift and inexorable. You cry for justice, and justice is done. The world stands with you in your fight. But if there was one thing I had learned in these last few weeks, it was that change had never been that simple. That kind of revolution existed only in daydreams.
Iris Murdoch, The Nice and the Good|But very few ordeals are redemptive and I doubt if the descent into hell teaches anything new. It can only hasten processes which are already in existence, and usually this just means that it degrades. You see, in hell one lacks the energy for any good change. This indeed is the meaning of hell.
Rebecca Solnit, The Faraway Nearby|The moment when mortality, ephemerality, uncertainty, suffering, or the possibility of change arrives can split a life in two. Facts and ideas we might have heard a thousand times assume a vivid, urgent, felt reality. We knew them then, but they matter now. They are like guests that suddenly speak up and make demands upon us; sometimes they appear as guides, sometimes they just wreck what came before or shove us out the door. We answer them, when we answer, with how we lead our lives. Sometimes what begins as bad news prompts the true path of a life, a disruptive visitor that might be thanked only later. Most of us don’t change until we have to, and crisis is often what obliges us to do so. Crises are often resolved only through anew identity and new purpose, whether it’s that of a nation or a single human being.
Kilroy J. Oldster, Dead Toad Scrolls|Nothing that remains static is truly ever alive. Nature does not abide idleness. All energy sources of the natural world and the cosmos are in a constant motion, they are in a perpetual state of fluctuation. All forms of living must make allowances for the seasons of change. The Earth itself is twirling through space, spinning on its axis analogous to a child’s top. The unpredictable forces of instability brought about by a combination of motion, change, and flux propels the miraculous dynamism of existence.
Sunday Adelaja|Being born-again Christian gives God the opportunity to gradually change your heart, mind, and thoughts
Sister Hazel|If you want to be somebody else, change your mind.
Paulo Coelho, The Alchemist|When you are loved, you can do anything in creation. When you are loved, there's no need at all to understand what's happening, because everything happens within you.
Susan C. Young|Once you embrace that continuous change is a natural process for your growth and evolution, you will be reminded that who, what, and where you are now is a temporary condition. Understanding this fact is foundational for hope, positive change and resilient transformation.
Susan C. Young|Re is a prefix, which when used in front of a word, changes its meaning to convey a fresh beginning, a do-over, a repeat, a shift in perspective, or an opportunity to create something new. When you add the prefix Re, you are activating the power of the word to head in a new direction to build momentum for positive change and transformation.
Susan C. Young|Sometimes the changes in your life will be planned with strategy, optimism, and intention. Other changes, however, will catch you by surprise, sabotage your success, break your heart, cause you stress, or leave you feeling lost. Whether you are dealing with planned or unplanned change, there will always be a degree of adaptation and reorientation required in order for you to be resilient.
Susan C. Young|The importance of reviewing is apparent and proven. However, the majority of people do not do it in their own lives. Do you want to live your best life now? Take deliberate action and begin to REVIEW where you have been, where you are now, and where you would like to be.
Kilroy J. Oldster, Dead Toad Scrolls|Scholars postulate that the only thing that does not change is the every varying world. Other renowned thinkers postulate that the natural state of all things is to remain the same. Perhaps both propositions are vital. Perhaps it is normal to resist change because it threatens our present state of being. Perhaps it is natural to attempt to preserve the status quo because we are part of the external world and we wish to persevere, not expire. Perhaps it is inevitable that we all change. The natural forces are impossible to blunt.
Jeffrey Fry|In time of macromental change, only the adaptable survive.
Marilyn Hilton, Full Cicada Moon|Even now, that day reminds me that raindrops are stronger than hammers.
DaShanne Stokes|Discovering that I was adopted redefined my entire world, but it taught me that who you are doesn't change.
David Crosby|You do not get to choose the events that come your way nor the sorrows that interrupt your life. They will likely be a surprise to you, catching you off quard and unprepared. You may hold your head in your hands and lament your weak condition and wonder what you ought to do. To suffer, that is common to all. To suffer and still keep your composure, your faith and your smile, that is remarkable. Pain will change you more profoundly than success or good fortune. Suffering shapes your perception of life, your values and priorities, and your goals and dreams. Your pain is changing you.
DaShanne Stokes|Being denied their original birth certificates isn't just a problem for adoptees. It's a social problem, requiring social change.
Richie Norton|To be humble is to be teachable. Meek, not weak. The most humble people are the most aggressive leaders. Aggressive because to be truly taught, is to sincerely do. To lead. To start. To achieve. Willingly and urgently doing the work to make change.
Atul Gawande, The Checklist Manifesto: How to Get Things Right|Just ticking boxes is not the ultimate goal here. Embracing a culture of teamwork and discipline is. And if we recognised the opportunity, the two-minute WHO checklist is just a start.
Doris Lessing, The Golden Notebook|What is happening is something new in my life. I think many people have a sense of shape, of unfolding, in their lives. This sense makes it possible for them to say: Yes, this new person is important to me: he, or she, is the beginning of something I must live through. Or: This emotion, which I have not felt before, is not the alien I believed it to be. It will now be part of me and I must deal with it.It is easy now, looking back over my life to say: That Anna, in that time, was such and such a person. And then, five years later, she was such and such. A year, two years, five years of a certain kind of being can be rolled up and tucked away, or ‘named’ — yes, during that time I was like that. Well now I am in the middle of such a period, and when it is over I shall glance back at it casually and say: Yes, that’s what I was.
Helen Macdonald, H is for Hawk|The light that filled my house was deep and livid, half magnolia, half rainwater. Things sat in it, dark and very still.
Jeffrey Fry|Great leadership involves three things. The ability to realize when you are wrong, a willingness to learn from it, and an eagerness to change course if necessary.
Chris Colfer, Stranger Than Fanfiction|You can change a body, but you can't change a soul. The heart wants what it wants.
Jacquelyn Nicole Davis, Trace The Grace: A Memoir|Does the butterfly lose time in the months it grows from caterpillar to flying beauty? One day, I’m going to want to sleep twelve hours at a stretch and I won’t be able to. I’m not losing time. I am going through a metamorphosis.
Luigina Sgarro|If we lived the plans we do more as bets than as forecasts, we would be less anxious and more prepared for the unexpected.
Daniel Tammet, Thinking In Numbers: On Life, Love, Meaning, and Math|[Tolstoy] denounced [many historians'] lamentable tendency to simplify. The experts stumble onto a battlefield, into a parliament or public square, and demand, "Where is he? Where is he?" "Where is who?" "The hero, of course! The leader, the creator, the great man!" And having found him, they promptly ignore all his peers and troops and advisors. They close their eyes and abstract their Napoleon from the mud and the smoke and the masses on either side, and marvel at how such a figure could possibly have prevailed in so many battles and commanded the destiny of an entire continent. "There was an eye to see in this man," wrote Thomas Carlyle about Napoleon in 1840, "a soul to dare and do. He rose naturally to be the King. All men saw that he was such."But Tolstoy saw differently. "Kings are the slaves of history," he declared. "The unconscious swarmlike life of mankind uses every moment of a king's life as an instrument for its purposes." Kings and commanders and presidents did not interest Tolstoy. History, his history, looks elsewhere: it is the study of infinitely incremental, imperceptible change from one state of being (peace) to another (war).The experts claimed that the decisions of exceptional men could explain all of history's great events. For the novelist, this belief was evidence of their failure to grasp the reality of an incremental change brought about by the multitude's infinitely small actions.
DaShanne Stokes|Racist legacy laws and modern racist practices are all part of the same system, and it needs to be changed now.
Dexter Palmer, The Dream of Perpetual Motion|Be the time he finds his way out of the chamber and the planetarium, he has become me.
Nickolas Butler|We think the world is steady, rolling through space beneath our feet, day and night, rain and sunlight. And then, one day, you just fall off the planet and drift away, into outer space, and everything you thought was true all the laws that bound your life before, all the rules and norms that kept things in place, that kept you in place, they're gone. And nothing makes sense anymore. Gravity is gone. Love is gone.
Peter Straub, Brief Lives|Of course, the truth is that no one likes change. People in hell not only refuse to leave it, they invite you in, too. Even people who have blasted the other lives that touched their own blasted lives proudly declare in old age that they would not change a thing -- all that cursing and screaming was their life, by God, and it is not possible to imagine any other. Change introduces unpredictability, uncertainty, a universe of disorder. Right before an amoeba splits in two, it says to itself, uh uh, no way, I ain't gonna do that, nope.
Toni Sorenson, The Great Brain Cleanse|Take a close look at nature and you’ll see that every living creature is wired for mutation and variation. The fact that people can say, “I’m not the same person I used to be,” is the greatest of all miracles.
Benyf, 11.11.11 After so Many Years of Tears: Letters to My Distant Soul-Mate|I wasn’t crying, but my heart was crying. I wasn’t feeling, but my heart was bleeding. Now I am crying, but my heart is healing. I am learning that I know nothing.
DaShanne Stokes|You can flip a coin to change its face, but it remains the same coin.
Sandeep Sahajpal|You are constantly becoming what you have been deserving to be, and if you do not like the scripting, you have all the mens to change it for better.
Danny Stone|Change your language, change your mindset, change your actions, change your life
Amor Towles, A Gentleman in Moscow|Popular upheaval, political turmoil, industrial progress—any combination of these can cause the evolution of a society to leapfrog generations, sweeping aside aspects of the past that might otherwise have lingered for decades. And this must be especially so, when those with newfound power are men who distrust any form of hesitation or nuance, and who prize self-assurance above all.
Ufuoma Apoki|We see so much bad and evil that we forget there could still be good left, somewhere. If you think you deserve to be treated well, it’s a sign that there still so much good left. People only treat us as best as their ability allows them; if you deserve more, try as much as you can to treat them better.
Bamigboye Olurotimi|Change is constant, but no amount of change will turn the attitude of vulture to that of eagle.
Kevin Crossley-Holland, Heartsong|Everything, I thought, everything keeps changing. Changing shape, changing colour, changing sound.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|The natural world is built upon common motifs and patterns. Recognizing patterns in nature creates a map for locating yourself in change, and anticipation what is yet to come.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Shame often causes me to hide my mistakes from others. But really, when I make a mistake, I should make it loud and clear, so I can see that it didn’t work as a strategy, and be able to make a course correction, either by myself or with the help of others.
D.H. Lawrence|The day of the absolute is over, and we're in for the strange gods once more
K. Weikel, Building Monsters|I'm changing and I'm terrified of how weak I feel, how vulnerable my flesh and soul has become because of this girl.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Change moves incrementally from breath to breath and moment to moment, allowing for course-correction along the way.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Separation from the community creates isolation. Isolation is the source of most physical, emotional and spiritual disease.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Everything in my environment is offering me feedback, if I will only listen.
Kayla Krantz, The Council|The way I see it, you can live your life as is, continuing to feel like an underdog, or you can step up. Be someone who matters, and make a change.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Healing is essential for lasting change. ...healing is a transformation, not just a quick fix; a change from an inhibited or impaired state to one of greater health, integration and connection. What was damaged must be soothed, repaired, restored, and given new pathways in which to grow and flourish. In order for change to be thorough, old patterns need to be dissolved, and new, more coherent and refined constructs, formed. In creating coherency in new forms, what has become fragmented or separated, injured or diseased must be made whole again, or perhaps made whole for the first time.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|The more I can accept the fact that change is moving all the time, and that the change I am experiencing right now is just the change of this moment and that this moment will change into the next and the next, the less need I will have to clutch in fear.
Sunday Adelaja|We can only change life in the country and radically reform society by having God’s wisdom, strength and authority
Sunday Adelaja|Spiritual regeneration is a change on the inside of a person or nation as a a result of coming to Jesus, and a change of value system in his life
Sunday Adelaja|Until we realize that we are the children of the Almighty God and start acting like His representatives on the earth, nothing will change in our country
Sunday Adelaja|Without having any relationship with God, we will not change anything in our world
Sunday Adelaja|The time has come for every Christian to change his position, to change the dimensions of his vision
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Emotions have their own movement. They move like waves: huge tsunami waves, choppy rapids, or long slow tides. The best way I know to work with emotion, especially strong and difficult emotion is to let it move like a wave, allow it to complete its movement and, eventually, to leave. If the movement gets held back, if it gets trapped and stagnates, or an inner turbulence stirs, the unexpressed emotion and grief can turn into physical illness, fatigue, depression, anxiety, or other displaced emotion.
Sunday Adelaja|A person or nation begins to live and act according to the word of God, as a result of change in the value system and therefore life around them changes
Sunday Adelaja|A person or nation begins to live and act according to the word of God, as a result of change in the value system and therefore life around them changes.
Sunday Adelaja|Christians have a real chance to change the society that is I darkness, to help every person see the light of God’s love
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|In order to be effective, be responsive. In order to be responsive, listen.
Lindy West, Shrill: Notes from a Loud Woman|Real change is slow, hard, and imperceptible.
Armin Houman|I can´t change my past, or predict my future. But i can shape my present.
Natasha Tsakos|Let’s create positive change on this planet; With either: the hyper sophisticated tools we have, or the mobile device we are
Lailah Gifty Akita|Take the chance, change is possible.
Marty Rubin|There is no "the way things are." Every day is different, and you live it differently.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Once you accept your circumstances and decide to take action, you can welcome change. Change is an opportunity to form new habits and become who you are meant to be.
Lisa Berne, The Laird Takes a Bride|Change was coming.Change was coming, and it was good.
Gyan Nagpal|In changing times, question everything you take for granted.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|Whether the changes that are coming in your life will be unexpected or determined by your choices and actions, the wheels are in motion. The adventure has just begun.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|We give people political labels, sexual labels, and religious labels. But in the process, we strip them of their individuality and complexity. Prejudice is pre-judging. It's assuming that bad stories end badly, but Jesus is in the business of turning bad beginnings into happily ever afters....God cannot give up on you. It's not in His nature. His goodness and mercy will follow you all the days of your life. All you have to do is turn around. All you have to do is crash the party!
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|The spiritual tipping point is when the pain of staying the same becomes greater than the pain of change. Sadly, too many of us get comfortable with comfort. We follow Christ to the point of inconvenience, but no further. That's when we need a prophet to walk into our lives, throw a mantle around our shoulders, and wake us up to a new possibility, a new reality. We need a prophet to boldly confront Plan B and call us back to Plan A.
Jeanne Meyerowitz|In the late nineteenth century women lodgers, alone in the city, epitomized the purity of endangered woman-hood; in the early twentieth century the same women were among the first "respectable" women broadcast as happy sexual objects.
Ernest Agyemang Yeboah|If mediocrity is your benchmark, you always sit on the bench!
Erik Pevernagie|Without a clear-cut vision and a proper reading of the roadmap we may not reach the buoyant shores of the horizon. If we only keep looking into the middle distance, we might easily walk straight into the wall. ("Change of Vision")
C. JoyBell C.|Life begins when we get tired of our own bullshit. We must all get bloody tired of our own bullshit, in order for our lives to begin.
Joseph Campbell, Sukhavati|We're in a free fall into the future. We don't know where we're going. Things are changing so fast. And always when you're going through a long tunnel, anxiety comes along. But all you have to do to transform your hell into a paradise is to turn your fall into a voluntary act. It's a very interesting shift of perspective . . . Joyfully participate in the sorrows of the world and everything changes.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|Change is a difficult process. It can truly take place in an environment of support, structure, and sacrifice. Support comes from asking for help, seeking professional coaching, and surrounding yourself with the right people. Structure requires accountability, a follow-up system, and action. Sacrifice requires paying the price and getting out of your comfort zone but staying in your strength zone.
Isabella Poretsis|If you don't like something don't protest from a far. Work within it to change it. Otherwise, you'll just be one voice of many rather than a trusted voice of influence.
C. JoyBell C.|Who we are is who we ACTUALLY are. It's never who we create in order for people to see. You might really hate who you actually are, so then you create a sub-genus type of yourself for other people to see. But that never changes who you are. The sub-genus type won't change your genus. The only way we change who we are is by looking at ourselves in the mirror long enough to make us vomit over our disgusting waywardness and long enough to fall in love with our strengths. But you can't just fall in love with your strengths. You also need to vomit over your hypocrisies and all of your other bullshit. And you can't just vomit, either. You also have to clean it up and embrace yourself afterwards. This is how you change your genus.
Kate McGahan, Jack McAfghan: Return from Rainbow Bridge|Humans are funny. The more someone doesn’t want someone, the more that someone wants that someone. The time came when she started pulling away. She had developed a tendency to focus on the things that she didn’t respect in him and eventually that’s all she saw.
Ross  Turner, Midnight|Wherever man did not settle, the world was not owned.It was not wanted.In time of course this was bound to change, for there is never enough it seems.
Ari Berk & Carolyn Dunn, Coyote Speaks: Wonders of the Native American World|When a person sets out upon a journey - whether to hunt for food or knowledge, to make war, or even to visit the Otherworld - they are never the same when they return. Traveling changes us. Journeys shapes our memories and expand our experiences. Those things we bring back from the hunt - either food or knowledge - sustain us and keep us curious about the world. Think of your own travels and adventures out upon the land or in foreign countries: What wonderful stories do you have to tell? What experiences have you "hunted" or sought on your travels? What have you learned from the land? The stories told about journeys are as important (perhaps more important) than the destination. The journey lasts for only a fixed time, but the stories told of it, the wisdom brought back, can keep traveling forever, keep living, even after the tellers have traveled on.
Duane Hewitt|If ever we find the truth to be offensive, then we must be prepared to change what is true.
Joseph Campbell, The Power of Myth|People have the notion of saving the world by shifting things around, changing the rules, and who’s on top, and so forth. No, no! Any world is a valid world if it’s alive. The thing to do is to bring life to it, and the only way to do that is to find in your own case where the life is and become alive yourself.
Jeffrey Fry|Excellence does not come from believing in excellence, but from constant change, challenge, and improvement.
Anthony Liccione|She knows her timing, always knows. The time to strike or the time to starve. Her eyes as a clock, she watches she waits she learns, and in the second she blinks, she changes her mind just like that.
Alex George, Setting Free the Kites|Sometimes life-changing moments slip by unnoticed, their significance only becoming apparent in the light of subsequent events.
Vironika Tugaleva|The most profound personal growth does not happen while reading a book or meditating on a mat. It happens in the throes of conflict—when you are angry, afraid, frustrated. It happens when you are doing the same old thing and you suddenly realize that you have a choice.
Kamand Kojouri|The guilt you felt when you were smiling and others were suffering, the guilt you felt when you were petty with friends and impatient with your parents, when you were rude to your teachers and didn’t stand up for strangers, that guilt is marvellous. It proves that you are human, that you want to be better. Thank this guilt for teaching you, for making you aware. And now endeavour to better yourself. It is a lifelong work to become the person we want to be.
Yaa Gyasi, Homegoing|But if we do not like the person we have learned to be, should we just sit in front of our fufu, doing nothing? I think, James, that maybe it is possible to make a new way.
C.S. Lewis, The Screwtape Letters|As long as [man] does not convert it into action, it does not matter how much he thinks about this new repentance... Wallow in it... Write a book about it; that is often an excellent way of sterilising the seeds which [Heavenly Father] plants in a human soul... Do anything but act. No amount of piety in his imagination and affections will harm [the cause of evil] if [it is kept] out of his will... The more often he feels without acting, the less he will ever be able to act, and, in the long run, the less he will be able to feel.
Ernest Agyemang Yeboah|Your thought determines your mood and to a great extent, your mood determines your thought, though sometimes it is hard to determine someone’s thought by the mood of the person! When the mind changes, something changes! When the mind changes, the face changes! Change your mind and see!
Ray Bradbury, Fahrenheit 451|Or we'll go that way. Or we'll walk on the highways now, and we'll have time to putthings into ourselves. And some day, after it sets in us a long time, it'll come out ofour hands and our mouths. And a lot of it will be wrong, but just enough of it will beright. We'll just start walking today and see the world and the way the world walksaround and talks, the way it really looks. I want to see everything now. And whilenone of it will be me when it goes in, after a while it'll all gather together inside and it'llbe me. Look at the world out there, my God, my God, look at it out there, outside me,out there beyond my face and the only way to really touch it is to put it where it'sfinally me, where it's in the blood, where it pumps around a thousand times tenthousand a day. I get hold of it so it'll never run off. I'll hold on to the world tight someday. I've got one finger on it now; that's a beginning.
