Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Sharad Vivek Sagar|Intent matters. Integrity matters. Courage matters. If you have the three, nothing else matters
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Cultivate confidence, and eradicate the need to control.
Lailah Gifty Akita, Think Great: Be Great!|Begin to read, write, sing, dance, study, draw…!
Paula McLain, Circling the Sun|Flying demanded more courage and faith than I actually possessed, and it wanted my best, my whole self. I would have to work very hard to be any good at it at all, and be more than a little mad to be great, to give my life over to it. But that's just what I meant to do.
Lailah Gifty Akita, Think Great: Be Great!|Freedom is the courage to resist anything, which obstructs your dream.
C. JoyBell C.|We should be sure that in our pursuit of happiness and positivity, we do not lose our ability to experience the other side of life, as well. Feelings of grief and respect for the departed, are honourable thoughts to have and honourable feelings to feel. In seeking happiness, we must not be so afraid of sorrow, that we lose the ability to cope with it properly. There is a healthy way to cope with both sorrow and joy; both need to be looked straight in the face, in the eyes.
Lailah Gifty Akita, Think Great: Be Great!|In any situation, there is hope. Don’t give! Be strong!
Kemi Sogunle, Being Single: A State For The Fragile Heart. A guide to self-love, finding you and purpose.|For us to move forward, we have to develop the courage to forward what is behind...the hurt/pain and unpleasant memories that haunt us in the dark moments. We must hold on to our faith as we step out in boldness, strongly believing that our very best lies ahead.
Lailah Gifty Akita, Think Great: Be Great!|Self-courage, Self-confidence, Self-will!
Lailah Gifty Akita, Think Great: Be Great!|With self-courage, self-confidence and self-will, you will master the act.
Lailah Gifty Akita, Think Great: Be Great!|Freedom is the decision to live and die, doing what you love.
Lailah Gifty Akita, Think Great: Be Great!|Be confident, be bold! These are your life greatest strength for success.
Auliq Ice|The leaderly response to personal irritation is to relax and open up not push, run, or close down.
Auliq Ice|Just because those around you do not constantly tell you what they are going through in their personal life, it does not mean they are living in a fairytale.
Auliq Ice|Everything meaningful encounters resistance, don't get scared of whatever comes your way, just go with the right strategy and plan, their you'll overcome it at last.
Lailah Gifty Akita, Think Great: Be Great!|You ought to recognise your special talent, for your specific purpose.
Lailah Gifty Akita, Think Great: Be Great!|You have to find the might, to climb the mountain.
Lailah Gifty Akita, Think Great: Be Great!|When God gives you a dream, He will grant you the grace to fulfil it.
Lailah Gifty Akita, Think Great: Be Great!|You are backed by great power. Press onwards, you will succeed.
Lailah Gifty Akita, Think Great: Be Great!|Boldly and confidently, reach out to your dreams.
Lailah Gifty Akita, Think Great: Be Great!|Every challenge, I have faced, dares me to seek a higher power.
Lailah Gifty Akita, Think Great: Be Great!|You ought to find all your might, to climb a higher height.
Patrick Ness|I think how hope may be the thing that pulls you forward, may be the thing that keeps you going, but that it's dangerous, too, that it's painful and risky, that it's making a dare into the world and when has the world ever let us win a dare?
Lailah Gifty Akita, Think Great: Be Great!|Do not complain, pray for courage to endure the situation.
Lailah Gifty Akita, Think Great: Be Great!|How could we have improved ourselves, if we had not dared to read, learn and write?
Kirtida Gautam, #iAm16iCan|I want people to know that I am a real person who exists in a real world. I am not a raped girl or victim. I had a life before that evening and I will continue to have a life. What happened with me that night will stay with me but if it has not killed me, it has made me stronger. ~ Subhangi Tyagi
Lailah Gifty Akita, Think Great: Be Great!|If you know the golden treasures of adversity, you will bravely embrace it.
Lailah Gifty Akita, Think Great: Be Great!|Until I was left with nothing but life and books, I realised these two gracious gifts, where enough for me to exist.
Lailah Gifty Akita, Think Great: Be Great!|With courage, confidence and commitment, the dream is possible.
Lailah Gifty Akita, Think Great: Be Great!|Whatever you dream of, be bold and pursue it.
Lailah Gifty Akita, Think Great: Be Great!|Whatever your faith prompts you to do, begin now.
Lailah Gifty Akita, Think Great: Be Great!|You can achieve the goal with courage, confidence and commitment.
Lailah Gifty Akita, Think Great: Be Great!|Great faith, Great hope, Great courage.
Lailah Gifty Akita, Think Great: Be Great!|It is better to live life with great faith, hope and courage.
Lailah Gifty Akita, Think Great: Be Great!|Without an anchor, we can be drifted to any shore. May you find hope as anchor.
Lailah Gifty Akita, Think Great: Be Great!|May you have the courage, confidence and commitment to achieve your goals.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|You have to prepare physically, mentally, emotionally and spiritually to conquer any mountain.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|KEY OF LIFEThe key of lifeSymbolizes the mapOf existence.Once you free yourselfFrom all resistance,Your path will become white -For the remainder of the distance.Poetry by Suzy Kassem
Ken Poirot, Go Viral!: The Social Media Secret to Get Your Name Posted and Shared All Over the World!|The first lesson in constructing viral content is having the strength, courage, and self-confidence to get in touch with your own feelings, thinking about what profoundly affects you.
Manprit Kaur|Sometimes the worst brings out the best in you, Sometimes the lowest tide ushers in the biggest change, Sometimes the gravest wounds translate into deepest wisdom, Sometimes the nadir leads you to the zenith - All you need to do is - To Hold On
J.K. Rowling|I know that you are preparing to fight." There were screams amongst the students, some of whom clutched each other, looking around in terror for the source of the sound. "Your efforts are futile. You cannot fight me. I do not want to kill you. I have great respect for the teachers of Hogwarts. I do not want to spill magical blood."There was silence in the Hall now, the kind of silence that presses against the eardrums, that seems too huge to be contained by walls."Give me Harry Potter," said Voldemort's voice, "and they shall not be harmed.Give me Harry Potter and I shall leave the school untouched. Give me Harry Potter and you will be rewarded."You have until midnight."The silence swallowed them all again. Every head turned, every eye in the place seemed to have found Harry, to hold him forever in the glare of thousands of invisible beams. Then a figure rose from the Slytherin table and he recognized Pansy Parkinson as she raised a shaking arm and screamed, "But he's there! Potter's there. Someone grab him!"Before Harry could speak, there was a massive movement. The Gryffindors in front of him had risen and stood facing, not Harry, but the Slytherins. Then the Hufflepuffs stood, and almost at the same moment, the Ravenclaws, all of them with their backs to Harry, all of them looking toward Pansy instead, and Harry, awestruck and overwhelmed, saw wands emerging everywhere, pulled from beneath cloaks and from under sleeves."Thank you, Miss Parkinson." said Professor McGonagall in a clipped voice."You will leave the Hall first with Mr. Filch. If the rest of your House could follow.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Never lose faith, hope and courage.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|You can conquer any mountain with faith, hope and courage.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Trust in God, gives us the hope to survive any situation.
Mehmet Murat ildan|Be bold! You will then see that life will find no time to attack you, because you are attacking it!
Darmie O-Lujon|In life you’ll face difficulties that postpone some of your dreams. Regardless, life goes fast by reminding us youth is finite and old age is stable. So you mustn’t stop dreaming and running while your strength is yet tough.
Lailah Gifty Akita, Think Great: Be Great!|You must seek the divinity within with all your heart, soul and mind.
Lailah Gifty Akita, Think Great: Be Great!|Passion, patient, perseverance and persistent are four keys to great achievements.
Manprit Kaur|Negative habits eat you up. They’re the biggest roadblocks that prevent you from realising your fullest potential; and the very first step towards crafting real change is to become aware of all the destructive habits that squander you! An awareness of what needs to be improved, tackled, or abandoned will go a long way in restructuring your life. Make a list of all the lousy habits that you want to eliminate; and then roust them out of your life, before they chomp you up completely. Axe them, uproot them, throw them into the ocean and never look back.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|A task is only difficulty, when we not find the best strategy to get it done.
Shannon L. Alder|God isn't a place of fresh starts. He isn't a hideout. He is not a destination. He is not a clean break. He is not a cop out for indecision. He is not a straight line. He is a circle. He will take you back to whatever you ran from if he needs you to heal your scars and others. He is a God of justice and compassion. The greatest growth a soul can experience doesn't come from doing service to strangers that have no impact on your life. It comes from doing service to people that have hurt you or you have hurt them. To truly devote yourself to God is to travel down roads that are hard to revisit. However, he will keep taking you there, until you have healed yourself or others.
Shannon L. Alder|The most important gift you can give your children is the importance of standing up to injustice. Children will remember moments spent with you. However, it isn't togetherness that creates humane parents and righteous kids. It is the example of integrity that a parent sets and the on going lessons they teach about compassion toward others throughout their lives. A good father or mother teaches their children that cruelty is not something you cause or ignore, rather it is the moment you suit up for war.
Miya Yamanouchi|Even if we have ourselves so fully convinced that we are on the right track because we desperately want to believe that the specific direction we have chosen is the "correct one", if the universe disagrees with our choices, it will not be shy in telling us so.
Nikki Rowe|if you let tragedy change you, You have already lost.
Tony Curl|Choosing the right people to surround you, and letting go of the wrong ones, takes courage.Be courageous!
Auliq Ice|In order to stay happy, You must learn from your wins and fails and accept all things that come your way as they are.
Auliq Ice|I want you to believe in yourself, and take chances, even if it is scary and even if you don't know what you are doing yet.
Auliq Ice|Never undervalue who you are, and NEVER underestimate what you are capable of.
Auliq Ice|If you can endure, if you can persevere, if you can work and not grow weary, if you're both obsessed and talented, well, you might have a shot.
Tilicia Haridat|Everybody's got their opinion on who they think you are or how strong or how weak you are, but at the end of the day all that matters is who you know you are, don't ever forget that.
Louise Penny, Bury Your Dead|Who hurt you, once, so far beyond repairthat you would meet each overturewith curling lip?While we, who knew you well, your friends, (the focus of your scorn)could see your courage in the face of fear,your wit, and thoughtfulness, 	and will remember you with something close to love.
Farah Oomerbhoy, The Last of the Firedrakes|Everything happens for a reason, and nothing is an accident. It is all part of a much larger divine plan,” Duke Silverthorne said gravely, but in a surprisingly kind voice. “When difficulties come, we must see them as what they are—opportunities and a new path to discover your potential. How will you ever know the magnitude of courage you are capable of if you have never experienced the hopelessness of fear?
Farah Oomerbhoy, The Last of the Firedrakes|I had to stop running. I had to turn and face my life head on. It wasn’t enough being like everybody else; I had to be the best, and I was going to show everyone what I was truly made of. I was done with being a terrified princess, constantly waiting to be saved. I was going to be a queen, and, like Vivienne said, I had better start behaving like one. - (Aurora Firedrake)
Nikki Rowe|My name is CRPS, or so they say But I actually go by; a few different names. I was once called causalgia, nearly 150 years ago And then I had a new name It was RSD, apparently so. I went by that name because the burn lived inside of me.Now I am called CRPS, because I have so much to say I struggle to be free. I don't have one symptom and this is where I change, I attack the home of where I live; with shooting/burning pains. Depression fills the mind of the body I belong, it starts to speak harsh to self, negativity growing strong.Then I start to annoy them; with the issues with sensitivity, You'd think the pain enough; but no, it wants to make you aware of its trembling disability. I silently make my move; but the screams are loud and clear, Because I enter your physical reality and you can't disappear. I confuse your thoughts; I contain apart of your memory, I cover your perspective, the fog makes it sometimes unbearable to see. I play with your temperature levels, I make you nervous all the time - I take away your independance and take away your pride.I stay with you by the day & I remind you by the night, I am an awful journey and you will struggle with this fight. Then there's a side to me; not many understand, I have the ability to heal and you can be my friend. Help yourself find the strength to fight me with all you have, because eventually I'll get tired of making you grow mad. It will take some time; remember I mainly live inside your brain,Curing me is hard work but I promise you, You can beat me if you feed love to my pain. Find the strength to carry on and feed the fears with light; hold on to the seat because, like I said, it's going to be a fight. But I hope to meet you, when your healthy and healed, & you will silenty say to me - I did this, I am cured is this real? That day could possibly come; closer than I want- After all I am a disease and im fighting for my spot. I won't deny from my medical angle, I am close to losing the " incurable " battle.
Ed Tarkington|But only a few have the will -- be it born of courage or recklessness, folly or sublime wisdom -- to act and, by their action, transform themselves. They will pay for their courage, of course; the world does not treat its "others" lightly. But so will the rest of us -- the ones who love them -- haunted as we are by our envy of their bright, burning beauty, which we can bear neither to look at nor to turn away from.
Christopher Paolini|Finding one’s place in the world is never easy.Have courage and be true to who you are.Remember, those who dare to be different areOften the ones who change the world.
Tove Jansson, Comet in Moominland|Are you too frightened to go any farther?" asked the silk-monkey, who found all this very easy, having four legs herself."I'm never afraid," answered Sniff. "But I think the view is better from here.
Auliq Ice|Never think twice, when you have decided once.
Sameh Elsayed|True leadership can only be achieved when one looks within oneself and commits to authenticity. It gives us the courage to stand at the front and influence others to willingly follow; it gives us the courage to learn, inspire, demand the best and shape the future.
|When one achieves massive success, unenlightened minds say, "It's all about luck." But if you were to ask me, I would say, "It is the mighty reward of faith, confidence, courage, patience, relentlessness and resiliency.
Mark S. Putnam|Standing up for your ethical principles takes courage. Courage is the ability to face danger, difficulty, uncertainty, or pain without being overcome by fear. When you see something happening in the workplace that just doesn’t seem right do you have the courage to stand-up and do something? What are you afraid of? Retribution, disapproval, your image, damaged relationships, or simply the unknown? Courage is about setting aside your fear and taking action for the good of yourself or someone else...approaching the person with whom you have a problem. This is NOT easy. Most of us don’t naturally confront people. To most of us, the courage to actually go up and talk face-to-face takes a superhuman Kristopher Kime level of courage. Your voice trembles, stomach hurts, beads of sweat roll down your face. It certainly FEELS like a life or death struggle. But remember, courage is about facing difficulty without being overcome by fear.
|As long as you invite faith, courage, and perseverance to become your daily companions, every test would inevitably mature into a testimony in your life.
Tony Curl|Calling it as you see it, should include yourself as well.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If you dare, you will find strength to fulfil the dream.
Auliq Ice|Even if someone is already dead in front of you, knock twice on the heart who knows they might answer.
Tove Jansson, Finn Family Moomintroll|Then -- they saw the Groke. Everybody saw her. She sat motionless on the sandy path at the bottom of the steps and stared at them with round, expressionless eyes.She was not particularly big and didn't look dangerous either, but your let that she was terribly evil and would wait for ever. And that was awful.Nobody plucked up enough courage to attack. She sat there for a while, and then slid away into the darkness. But where she had been sitting the ground was frozen!
Anuranjita Kumar, Can I have it all?|There's no magic potion to remove you from a tough situation than your own self conviction and no poison as dangerous as self doubt. In no one has done it so far, you could be the one showing the way!
Anuranjita Kumar, Can I have it all?|If you don't speak then you are not heard, and if you are not heard then you don't really exist
Tove Jansson, Comet in Moominland|Not one adventure in a whole day," said Sniff, who was taking his turn at steering now the current was slower. "Just grey banks and grey banks, and not even an adventure.""I think it's very adventurous to float down a winding river," said Moomintroll. "You never know what you'll meet round the next corner. You always want adventures, Sniff, and when they come you're so frightened you don't know what to do.""Well, I'm not a lion," said Sniff reproachfully. "I like small adventures. Just the right size.
Jonathan Harnisch, Jonathan Harnisch: An Alibiography|How simple it is to acknowledge that all the worry in the world could not control the future. How simple it is to see that we can only be happy now, and that there will never be a time when it is not now.
Wendy Mills, Positively Beautiful|Courage is not always big and bright and loud; sometimes it's as silent and small as true words, a smile when you'd rather weep, or getting up every day and living with quiet dignity while all around you life rages. You cannot truly love, live or exist without courage. Without it you are simply biding time until you die.
Emilyann Girdner, The Labyrinth Wall|Delusional or not, maybe if I believe in a better world with enough conviction, and convince others to believe it as well, then it will be real.
Pericles, The Funeral Oration of Pericles|Make up your minds that happiness depends on being free, and freedom depends on being courageous.
Paul Bamikole|One must be careful not to allow himself fall into the trap of hero worship; we are to take counsel from men, emulate their courage, and godliness, but we are not allowed to worship them. Heroes are men, and men make mistakes.
Michelle Muriel|You are stronger than you think. I have weathered many storms, tragedies, and heartaches in my life–and here I am still standing. Here you are still standing. Joy is right around the corner you just have to change your focus and look for it. And that can be rough. Rough roads can be unbearable, but you can walk them. Sometimes when you come to the end of yourself–give yourself a chance to dig in deeper. Look for the good, and you’ll find strength you never knew you had.
Yann Martel, Life of Pi|I thought I knew not only her habits but also her limits. This display of ferocity, of savage courage, made me realize that I was wrong. All my life I had known only a part of her.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Self-discipline, self-realization and self-reliance.
|When life throws trials and tribulations towards you, shield your destiny with courage, faith and perseverance.
Sunjeev Sahota|It was amazing to think that she'd always had it wrong, imagining that they were the weak ones, the ones who took their chance. No. The weakest are those who stay put and call it sacrifice, call it not having a choice.
Auliq Ice|Some of you may not like what I had to say, but these are the things that I’ve noticed and believe should be said.
Auliq Ice|They may not like what you have to say, but it is better to express how you feel.
Robert Leckie|Our muddy machine gun pits were transformed into Courage Clubs when bombs fell or Japanese warships pounded us from the sea. There was protocol to be observed, too, and it was natural that the poor fellow who might break into momentary terror should cause pained silence and embarrassed coughs. Everyone looked the other way, like millionaires confronted by the horrifying sight of a club member borrowing five dollars from the waiter.
Dorothy Gilman|Brainwashing, thought Mrs. Pollifax contemptuously, and suddenly realized that she was not afraid. She had endured other crises without losing her dignity--births, widowhood, illnesses--and she was experienced enough to know now that everything worthwhile took time and loneliness, perhaps even one's death as well.
Mehmet Murat ildan|The less courage you have, the more dwarf you shall be; the more courage you have, the more giant you shall be!
Debasish Mridha|Life is a fairytale of courage, fear, failure, persistence and triumph.
Johnny Rich, The Human Script|Doing nothing was as honourable as any available course of action. Think of Hamlet, think of Job, think of Jesus before Pilate.
TemitOpe Ibrahim|If you must catch, you must not fear what is being thrown.
George R.R. Martin, A Game of Thrones|Can a man still be brave if he’s afraid?”“That is the only time a man can be brave,
Thomas Mann, Doctor Faustus|To be young means to be original, to have remained nearer to the sources of life: it means to be able to stand up and shake off the fetters of an outlived civilization, to dare -- where others lack the courage-- to plunge again into the elemental.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|I do not subscribe to the abuse "victim" or "survivor" labelling mentality. I have experienced every kind of abuse imaginable and I am and always have been the most happy-go-lucky, positive and life affirming person around. Your labels do not serve you, so don't use them as an excuse to be miserable. You have a beautiful life to live, so accept the beauty and start living.
Angela Lynne Craig, Pivot Leadership: Small Steps...Big Change|When you see an obstacle approaching, grab your courage and speed up.
Giles Milton, Nathaniel's Nutmeg: How One Man's Courage Changed the Course of History|He penned a letter to the Company in London, a letter whose unfailing spirit would become legendary among the sailors of the East India Company. 'I cannot tell where you should looke for me.' he wrote, 'because I live at the devotion of the winds and seas.'  (Written by/about Captain James Lancaster, on the ship Red Dragon, during a terrible storm, 1603)
Eva Ibbotson|For whether a place is a heaven or a hell rests in yourself, and those who go with courage may find themselves in paradise.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|It is the possibility of the dream, which quickens my spirit to take action.
Kaylea Cross, Avenged|What is…” She flipped through a few pages, looked up into his eyes. “Is this…?” “My journal,” he said, reaching out to glide a knuckle down her cheek. Her skin was so damn soft. She was a contradiction in terms to him, and one that he found endlessly fascinating: a woman with the inner strength to rival any Spec Ops member he’d ever known, yet she had such a kind, soft heart beneath that hard-won armor. Resilient. Independent yet willing to compromise. Formidable in her confidence and strength of will, yet gentle and loving. He loved her so hard it hurt. “I bought it the night after you stayed at my place,” he continued. “I knew if I was going to have a real shot with you going forward then I needed to get my shit together once and for all. You said the writing thing really helped you so I called my counselor and talked to her about it. She thought it would be good for me too. So I wrote in it every day since. I’ve been working hard at it.” Taya leafed through the pages until she came to the end and looked back up into his eyes. “It’s full.” “Yeah. Guess I had a lot to say.” The tenderness in her eyes slayed him. “Nathan, I’m so proud of you.” Her pride in him made him feel twenty feet tall. He let out a relieved breath. “I want to read it to you. That’s my next step, if you’re okay with it.” “Of course it’s okay. I’d love for you to read it to me, as long as you feel comfortable doing it.” “That’s the thing, I am. And I wouldn’t be with anyone else except you. You make me feel…whole.” He didn’t know how else to say it, how else to explain himself, except he needed her to know he was trying like hell to deal with his issues. “I know I’ve got a long way to go before I get to the same place you’re at, but I’m willing to put in the work to get there. I feel safe with you and I’m ready to move forward, let go of all the stuff that happened before. Like you said, I’m doing it for me. I’m sick of my past having any kind of hold over me. So I’m going to do whatever it takes to make peace with it.” Her answering smile lit up her whole face, made her gray eyes sparkle like gems. “Then I’ll gladly listen to whatever you want to say.” Warmth kindled in his chest. She did that; warmed him from the inside out, just by being her. “Good, because I love you.” She froze, her eyes widening slightly. He nodded, laughed at her shocked expression. “Yep, I love you. That’s what I came here to say. I love you and I’m a better man because of it, but not as good a man as I’ll be down the road if you stand by me.” Her eyes filled with tears and she flung her arms around him. “I love you too,” she blurted out against his neck. “So, so much. And of course I’ll stand by you.” Nate felt like his heart might burst. He hugged her hard. “Would you move to Virginia with me? When your dad’s strong enough. I know you need to be here for a while longer, but after that, I want you in my bed every night so I can wake up beside you each morning.” She gave a soggy laugh, her face still buried in his neck. “There you go again with the romance.” “Oh, baby, have I got plans for you.” He stroked a hand over her back, fascinated by the combination of softness and strength that was uniquely her. Then his stomach rumbled, making her smile. He was starving, hadn’t eaten since lunchtime. “Hey, you wouldn’t happen to have any bacon in the house, would you? Because I’d kill for a BLT right now.
Craig Siegel, Righteous Might: One Man's Journey Through War in the Pacific|And there was something else that came through loud and clear. Something I saw in Leonard’s eyes sometimes when he was remembering those times. Whether they openly share their experiences with us, or keep them buried deep inside, these men all have a profound and overriding sense of pride that they accepted the challenge and they did the difficult and dirty job that absolutely had to be done.
Justine Hail, The Secret Story of Shy Shelly|It's scary to make friends, it's scarier to stand up for a friend, but it's scariest to not be a friend for fear will be your only company.
Vironika Tugaleva|They say, "Look before you leap." So look. But do not look for too long. Do not look into the void of uncertainty trying to predict each and every possible outcome, to evaluate every possible mistake, to prevent each possible failure. Look for the opportunity to leap, and leap faster than your fear can grab you. Leap before you talk yourself out of it, before you convince yourself to set up a temporary camp that turns into a permanent delay on your journey into your own heart.
Shannon L. Alder|Letting go of people doesn’t mean you never loved them. Sometimes, it is the greatest act of love because it teaches them to be accountable for how they treat people who care. Maybe, not now, but years from now, they will look back and realize that kindness is more than yelling casual suggestions to a person that is drowning in their sea of apathy.
T.A. Cline|Rise up oh heart, for there is another battle to win.
Lailah Gifty Akita, Think Great: Be Great!|I am a strong woman, I can endure it all.
Debasish Mridha|You are a leader when your actions encourage someone to reveal himself with hope, courage, confidence and trust.
Luther Standing Bear, My Indian Boyhood|Now all these virtues mean one thing, and that is bravery. A Sioux boy was taught to be brave always. It was not sufficient to be brave enough to go to war. He must be brave enough to make personal sacrifices and to think little of personal gain. To be brave was the supreme test of a Sioux boy, and this bravery might receive a greater test in times of peace than in times of war.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Our experiences always teach us something. If the experience is "bad", then the lesson is even more powerful and meaningful. Every unfortunate incident makes us stronger and better equipped to handle new challenges.
Karen Kimsey-House, Co-Active Leadership: Five Ways to Lead|When someone is walking beside us, we have more courage to walk into the unknown and to risk the dark and messy places in our journey.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Instead of complaining about your situation, actually do something about it. Playing "poor me" just ain't sexy.
Jonathan Renshaw, Dawn of Wonder|I would rather be the person who steps in front of a whole gang to defend someone and gets beaten up for it than the person who watches from a safe hiding. There were times I hid, and I think the shame hurts more than the bruises would have.
Herman Melville, Moby-Dick or, The Whale|... the most reliable and useful courage was that which arises from the fair estimation of the encountered peril,
T.A. Cline, Archomai|If I rise up again against the foe, dare I stand alone?
Israelmore Ayivor, Daily Drive 365|There is no future in the past. Any tour into the past is perhaps courage to live at the average level as you did; old and cold, blind and blunt! Come out! Out of the past and change position. You matter, your future matters
Michelle Athy, Pearl: An Historical Novella|Nothing belonged to her. She had no home. With no home and no place and now freedom coming to her, she felt an unusual surge of courage.
Miya Yamanouchi|Whenever you hear yourself or others telling you you cannot do something, do that particular something, and notice how quickly everyone shuts the hell up.
Miya Yamanouchi|Prove yourself and others wrong everyday by redefining who you THINK you are, through performing actions you would normally deem impossible or uncharacteristic of you.
John C. Wright|Penny was a very pretty, witty and brave girl, as bold as a Marine platoon storming Iwo Jima.
Sonja Yoerg, The Middle of Somewhere|Courage lays within easy reach of a child who knows nothing of how easily understanding can unravel, leaving a set of rules that apply to nothing, and an empty heart.
Renee Ahdieh, The Wrath and the Dawn|The tears and the pain all but blinding her, she forced open her eyes one more time, to a curtain of dark hair; to a waterfall of black ink spilling across the last page of her life. No. I’m not nothing. I was loved.
Shannon L. Alder|Family and friends become oppressors the moment they teach you that loyalty is more important than what is done to people outside your social circle. What they are really saying is this: Save yourself because God is more interested in an intact family or social circle that looks righteous, rather than you being a person of integrity that has compassion for others. It is this absurdity that teaches the wrong version of God and creates the next generation of "me" centered individuals.
Millen Livis|Courage uncovers strength, grace reveals beauty, vulnerability expresses humility, inner peace reflects contentment
Dennis Merritt Jones|We were born to be free, to expand our horizons by going where we have never gone before, and not to hang out in the relative comfort and safety of the nest, the known. There is a place within us that is courageous beyond our human understanding; it yearns to explore beyond the boundaries of our daily life.
Dean Koontz, Deeply Odd|Remember, there are cookies waiting here for you.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|May you find renewed energy, courage and hope to pursue new adventures.
Dean Koontz, Deeply Odd|Acknowledge your fear, odd one. Fearlessness is for the insane and the arrogant. You are neither. Those who rely on you for their lives will be well served only if you fear what you should fear. You are a unique soul, a child of grace, but you can still fail yourself and others.
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|There’s merit in being different, inspiration in being individual, courage in being unique, and freedom in being yourself.
Dean Koontz, Deeply Odd|If an eighty-six-year-old woman has been clear-seeing from a young age, she will have gone through a lot of life developing a keen eye for snares and pitfalls, an ear for deceit, and a good nose for knavery. And by such an age, a smart woman with no illusions is one to whom courage comes far more readily than it does to those young people who don't yet know the world for what it is.
Amish Tripathi, Scion of Ikshvaku|The Naga laughed softly, 'There's a thin line that separates courage from stupidity.''And that line is only visible in retrospect, my friend. If I'm successful, people will call me brave. If I fail, I will be called foolish. Let ,me do what I think is right. I'll leave the verdict to the future.
Dean Koontz, Deeply Odd|Blood has an oder faint but distinct, of conceit and modesty, of courage and cowardice, of charity and greed, of faith and doubt, in short the fragrance of what we might have been and the smell of what we are...
Dennis Merritt Jones, Your Redefining Moments: Becoming Who You Were Born to Be|If we were to excavate the deepest recesses of our consciousness, we would discover many beliefs about ourselves that are simply not true and that may never have been true. Yet we live from these beliefs as if they were true because we have never identified them clearly enough to question them, to challenge them.
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|People might consider you eccentric for being different, but this is good. Leaders and visionaries are not conformists afraid of standing out.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Daring life, optimistic living.
Dennis Merritt Jones, Your Redefining Moments: Becoming Who You Were Born to Be|If we were to excavate the deepest recesses of our consciousness, we would discover many beliefs about ourselves that are simply not true and that may never have been true...We may have defined ourselves in a limiting way based on our history and the opinion of others...and we stay stuck there because we fail to recognize there is a door right in front of us providing another opportunity to redefine who we are today.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Do all the work you can, there is enough rest in the grave.
Auliq Ice|The way to fight fear is to do what you are afraid of. And the way to fight pain is to live with it, with an open heart.
Anthon St. Maarten|Empaths did not come into this world to be victims, we came to be warriors. Be brave. Stay strong. We need all hands on deck.
Shannon L. Alder|It takes a hell of a lot of courage to walk into your own story, but to be the hero of your own life you have to rescue yourself.
Adi Alsaid, Never Always Sometimes|As long as we don't get turned into something that looks more like high school, more like everybody else and less like us, I'll be okay.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|When the expected occurred, never panic, by keep calming, you gain control over the situation.
Criss Jami, Healology|Growing up, I always had a soldier mentality. As a kid I wanted to be a soldier, a fighter pilot, a covert agent, professions that require a great deal of bravery and risk and putting oneself in grave danger in order to complete the mission. Even though I did not become all those things, and unless my predisposition, in its youngest years, already had me leaning towards them, the interest that was there still shaped my philosophies. To this day I honor risk and sacrifice for the good of others - my views on life and love are heavily influenced by this.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|The will to dare, the power to act.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|When you notice yourself desperately trying to think of an excuse to avoid a new experience out of FEAR, ANXIETY or INSECURITY, make the decision to say: "sure, I'll do it" , and see how your life improves.
Gladys Bejani|If you fall, rise up, shake off the dust and try again.
Narissa Doumani, A Spacious Life: Memoir of a Meditator|There are many paths to the truth. We need only the courage to tread our own path, no one else's.
Aristotle|The ideal man bears the accidents of life with dignity and grace, making the best of circumstances."— Aristotle
Catherine of Siena|Turn over the rudder in God's name, and sail with the wind heaven sends us.
