Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Matshona Dhliwayo|Never underestimate a warrior; the lion in him may be sleeping, but that does not mean he’s dead.
Rajasaraswathii, I Want to be a Millionaire|As the state of mind, as the efficiency. Time is only a relative factor
Coleen Innis|In life you have friends and enemies, both can motivate you to be better.
Coleen Innis|Moving on sometimes is the best way to take all the bricks that life throws at you, and building a castle to chillax
Harshit Vaishnav|If you want to do itDo it by all means,And if you left this incompleteThen it should be not even start.!!
Ernest Agyemang Yeboah|The world as an arena contains different tomorrows. When you see a different today, you shall think of a different yesterday and there shall come yet another and a different tomorrow! Day by day, night by night, we meet another tomorrow with different perspectives. If the good tomorrow you thought of becomes a bad today, don’t worry at all and pray, another tomorrow is coming for today to be yesterday! Don’t ever let desperation take the seat of inspiration within you! Keep Smiling, no matter what; for though all things go wrong, something is right somewhere! Just ponder, smile, be happy, shake of the dust and arise for another tomorrow is coming!
Deepak Gupta, Inspiring Life: Motivational Quotes That Can Change Your Life|Nothing In This World Is Age Restricted, You Can Think Like A Senior Head On Young Shoulders.
TemitOpe Ibrahim|Practice makes better and prayer makes perfect. The more we do, the easier it gets, and all the while praying perfects us in the art.
TemitOpe Ibrahim|Unlike the world that points out your flaws to ridicule you, when GOD point out your flaws, it's because He want to walk you out of it.
Dawn M. Harvey, Embrace Your Greatness Curriculum|Words rarely answer what the heart suffers, but there is a God who does.
Abhijit Naskar|No Bible, Quran or Veda can give you religion.
Todd Stocker|If at first you don't succeed, tweak it before you toss it.
Lucas J. Robak|Anything I can do, you can do better.
Lucas J. Robak|There are no unresourceful people, only those who choose not to care about the results.
T.N. Suarez, The Limbo Tree|Sadly, we can’t live forever. But we can write something that will.
Bruce Mbanzabugabo|Do not despise the water droplets that you receive, soon it will be a river.
Chinonye J. Chidolue|It's okay to be happy with yourself for all that you are and aren't. It's okay to accept that life will not always be a "win-win". Its okay to fall and pick yourself back up. It's okay to be different and not be accepted by the crowd. Its okay to be on that journey of little beginnings. Your happiness should never be overburdened or compromised by none of your life choices. It's okay to just be happy
Matshona Dhliwayo|In the presence of the sun nobody sees the stars; excel, and you too will eclipse your competition.
Neetu Sugandh|There are some who are born with talents and there are some who develop them in the form of skills. I am a part of the latter." - Neetu Sugandh!
Abhijit Naskar, Love, God & Neurons: Memoir of a Scientist Who Found Himself by Getting Lost|Awaken your mind from the deep sleep of ancient mysticism and make it self-conscious - power will come, glory will come, goodness will come and everything that is excellent will come.
Tare Munzara|Those that dream, those that have been dreaming, one day you shall ascend to your place of destiny.Possibilities are limitless even if you face harsh and gloomy moments. Uplift your spirit , hope and works to greater heights and you shall sit on top of unknown heights looking down at the bottom. Do not deprive your self to succeed.
Matshona Dhliwayo|A lion will never be afraid of sheep, no matter how many outnumber it.
Luis Almonte|Surround yourself with people that love you and accept you exactly for who and what you are. The only explanation you owe is the one you give to yourself, for not living your authentic life with the love and purpose you were meant to live.
Riki Jou|Every girl's beauty, whether it's inside or outside is a masterpiece.
Iva Ursano, The Shear Truth: 10 Things Your Hairstylist Really Wants You to Know.|People who want to sit around, star gaze and talk about their dreams are my favourite kind of people.
Iva Ursano, The Shear Truth: 10 Things Your Hairstylist Really Wants You to Know.|...but I am only one, and if I can make a difference, so can you...
Matshona Dhliwayo|It is a bird’s imagination, not its wings, that determines how high it can fly.
Bobby F. Kimbrough Jr.|I was looking down the road of "life gone by" and I realized this road of life is not as long as it looks. Travel with caution and maximize every mile. It can be a beautiful journey.
Bobby F. Kimbrough Jr.|I was sitting, starring into the sky with a tear in my eye thinking: what a beautiful world that the MAKER has allowed us to enjoy for a moment - not to destroy - to enjoy. So let us remove the strife, seize the moments we are blessed with and love this life.
TemitOpe Ibrahim|Sin, in its simplest definition, is the misuse or abuse of anything GOD created.
Iva Ursano, The Shear Truth: 10 Things Your Hairstylist Really Wants You to Know.|To everybody who didn't believe in me, thank you. Because of you, I had to find my own way, and I did.
Iva Ursano, The Shear Truth: 10 Things Your Hairstylist Really Wants You to Know.|I AM strong today because weak didn't suit me. I AM beautiful inside today because being ugly was horrible. I AM kind, generous and loving today because I've been poor, broken and unloved. I AM who I am today because of my yesterdays and I don't regret one single day.
Jonathan Page Acabo|You won't know what "success" means if you don't appreciate what "hardwork" is.
Bobby F. Kimbrough Jr.|If you change the atmosphere, You can change the outcome!
S.B. Sebrick|Part-time effort, won't yield full-time results
Tony Curl, Seriously Simple Stuff to Get You Unstuck|Our distracted digital world is here to stay, so the question is more of how we can truly embrace the beauty that is the stillness and the silence.
Abdulazeez Henry Musa|The power to shape your destiny lies in your strength to take control of your thoughts, abilities and actions.
Matshona Dhliwayo|Thorns do not keep a rose from blooming, neither should obstacles keep you from success.
Matshona Dhliwayo|If a lion turned every time small dogs barked at it, it would be the laughing stock of the jungle.
Ujjwal Chugh, How to Crack the SSB - Services Selection Board|Live life like a Legend, and society will start acknowledging you as a great Entrepreneur !
Ujjwal Chugh, How to Crack the SSB - Services Selection Board|Almighty has choose me as an agent for doing something great for the mankind and society, and that is why I believe that whatever happens is always for the good because it not me who is doing everything, it is the super #energy that is governing my energy...
Matshona Dhliwayo|If God wanted the sky to be empty, He would not have given birds wings to fly.
Joanne Van Leerdam|As writers, we should remind ourselves, and each other, that Jane Austen and JK Rowling got rejected by publishers, too.
Joanne Van Leerdam|Doing anything worthwhile will present challenges, but everyone who achieves their goal is an ordinary person who becomes extraordinary.
Harrish Sairaman|Knowledge is not Power, its is potential power!
Harrish Sairaman|If you have to slog your ass everyday to achieve your goals, you are not doing something RIGHT!!!
Harrish Sairaman|IF you want to learn, there is enough to learn till the last breath!!
Harrish Sairaman|FEAR is always about the FUTURE, felt in the PRESENT based on the PAST!
Harrish Sairaman|Assumptions can be dangerous, JUST ASK!!
Omoakhuana Anthonia|Clear out the past, layout the present and prepare for a much better and brighter future.
Harrish Sairaman|AT any given time we are either taking Ownership or Blaming, Ownership is a better choice!!
Matshona Dhliwayo|Your talent is a seed; cultivate it, and in no time, you will harvest success.
Ernest Agyemang Yeboah|Be yourself! Don’t be somebody! Be humble to authority, but be assertive! Mind your solemn duty and responsibility to the Supreme God, for you shall give account to Him in the end! You were created uniquely, mind your mind! Mind the things that can change your mindset, and mind people! People are always alert to do all things possible to change your mind set. They wish you become the reason for their joy even if it causes you an inner pain! They wish you halt a purposeful journey. They wish you look and see, hear and listen, think and act, as they do! Their joy is to see you being like them, and their sorrow and envy is to see you living your true you! Be yourself! If only you living your true you please God, no problem exists! Just be yourself and mind your mind!
Rasheed Ogunlaru|Sometimes a step back or away from an idea, task or project brings even more perspective, insight and clarity.
Saurabh Gupta Earth5R|The only way to achieve greatness is by unleashing the power of mind, and the only way to unleash the power of mind is by questioning what seems to be unquestionable!
Saurabh Gupta Earth5R|The only way to know the answer is by asking questions. Religion tries to suppress the questions asking (curiosity) because it can threaten its own existence. The truth is out there, go ask for it!
Salman Mansuri|Try something new out of your comfort zone. If you lose you will get an experienced, and If you win you will get an achievement.
Matshona Dhliwayo|On the path to greatness, life teaches you to walk with stones in your shoes.
Matshona Dhliwayo|If the light within you is greater than the darkness around you, you are a star.
Harrish Sairaman|We just move from one addiction to the other, choose your addiction!
Harrish Sairaman|If you open your eyes in the morning, it is just another day of opportunity to improve your Life!
Harrish Sairaman|Others behavior towards us is a reflection of our own behavior, it’s a MIRROR.
Harrish Sairaman|If your eyes and mind can SEE IT, the body does not require external motivation to get motivated.
Harrish Sairaman|Perceptions may not be true, but its true for YOU!
Matshona Dhliwayo|Shine your light so bright, and no one will need a telescope to see you.
Md. Nazrul Islam|If you value your time, You'll get some reasons to smile in return.
Matshona Dhliwayo|Rainbows are birthed in storms, not in sunshine.
Matshona Dhliwayo|A bird in a nest is secure, but that is not why God gave it wings.
Ernest Agyemang Yeboah|You are alone because you were born alone. And though you were born alone, you found a reason and the strength to shake yourself, though as helpless as you were at birth, for the whole universe to hear and know that you have not just arrived, but you are healthy, and you commended and moved things and people around you with your cry, even as an infant! And though it all seems you are alone, note that once you can breathe, you are never alone! Smile, for there is an indomitable power within you, given to you by God! Realize your God, realize your power! Awake and realize your true strength and the strong power within you! Face life and do not just challenge the challenges in life but conquer them with all boldness and fortitude. Step by step, complete the steps! It is always not all that easy, but, be strong and beat life no matter what!
Ernest Agyemang Yeboah|Strive through your adversities with a tenacious mindset and a sincere heart and there shall surely be a great end when you get to the end unrelentingly. You shall surely leave a noble mark when you endure to the end and you shall surely smile in the end and ponder over how the journey to the end was. Note; there is no sweet fruit that is not the product of the dirty soil. No matter what, keep moving on!
Matshona Dhliwayo|A lion will only retreat if you stare it in the eyes; likewise, so will fear.
Matshona Dhliwayo|Count your smiles, not your frowns.
Ernest Agyemang Yeboah|You are alone because you were born alone. And though you were born alone, you found a reason and the strength to shake yourself, though as helpless as you were at birth, for the whole universe to hear and know that you have not just arrived, but you are healthy, and you commanded and moved things and people around you with your cry, even as an infant! And though it all seems you are alone, note that once you can breathe, you are never alone! Smile, for there is an indomitable power within you, given to you by God! Realize your God, realize your power! Awake and realize your true strength and the strong power within you! Face life and do not just challenge the challenges in life but conquer them with all boldness and fortitude. Step by step, complete the steps! It is always not all that easy, but, be strong and beat life no matter what!
Ernest Agyemang Yeboah|When our expectations differ from better, we think bitter, but that is not better! Stay better, think positive, no matter what; there is always a better lesson to learn!
Todd Stocker|When you join teams that changes lives, yours will be the first.
Abhishek  Kumar, The Richest Engineer|If you want to learn to do something right, watch someone who has done it successfully.
Abhishek  Kumar, The Richest Engineer|Getting rich takes focus, courage, knowledge, expertise, 100% of your effort, a never give-up attitude and a deep desire & commitment.
Matshona Dhliwayo|A star that is determined to shine cannot be hidden, not even by darkness.
Matshona Dhliwayo|If you are going through hell, keep walking until you reach heaven.
Matshona Dhliwayo|When excellence becomes a habit, success becomes a lifestyle.
Bianca McCormick-Johnson, "I'm G.O.O.D.":|Winners never quit, and quitters never win. Once you give up, you'll have to start all over again. Success take time, especially when you need it. The one is patient remains undefeated.
Adedayo Olabamiji|Find the alignment between your gifts, skills, experiences and people’s needs. Therein is your secret to tap into the unknown
Matshona Dhliwayo|Reach for the stars, not your fears.
Matshona Dhliwayo|A flower can only grow through concrete if it believes in itself, not its obstacles.
Matshona Dhliwayo|If an ant carries an object a hundred times its weight, you can carry burdens many times your size.
Bianca McCormick-Johnson, "I'm G.O.O.D.":|Whenever you feel like giving up, think about why you started in the first place. If that still matters, so does the need to keep going.
Rasheed Ogunlaru|Don't get too lost in consumerism or materialism. As for ownership, the ultimate test of it is were you born with it and can you take it with you when you leave?
Sharfaraz Ahmed|Worrying will not solve your problem, working will.
Jennifer McKeithen, Atlantis On the Tides of Destiny|Most people never think beyond their birth. But if I had contented myself with everyone else's opinions of me, I wouldn't be the man I am today. People like us make our own destinies, Gwenwhyfar—and to the waves with the naysayers who oppose us.
Bianca McCormick-Johnson, "I'm G.O.O.D.":|If you run into a brick wall, don't become discouraged. A brick wall is only held together by cement, but you are held together by God. The right tool and the use of force can tear down its wall, while you are still standing.
Bianca McCormick-Johnson, "I'm G.O.O.D.":|Don't be afraid to take risks, for you take them every day without realizing it. I'd rather fail at trying something new or different than to lose just for not trying at all.
Aiden Hall|Motivational quotes and speeches are not about becoming an astronaut, brain surgeon, 1st place athlete or making a certain amount of money. It's about excitement, excitement from realising the absurdity of existence and appreciating that you're part of it. And then inspiring others to follow, until we've all found that appreciation and the inner peace that comes with it.
Ridhdhesh Jivawala|Just because things are not going the way as they should, doesn't mean they are going wrong, sometimes things are setting up in a new way & taking us towards better things. So never give up..!
Matshona Dhliwayo|Because failure works double time, to get success, work triple time.
Patience Johnson, Why Does an Orderly God Allow Disorder|Every good gift and every perfect gift is from above.’James 1:17If your vision in life is to become as rich as possible, hoard every penny you make, and indulge your every whim - your vision is not from God. But if your vision is to succeed, use your success to bless others, and fulfil the purposes of God in the earth, your vision is from God.
Patience Johnson, Why Does an Orderly God Allow Disorder|Seeing how frustrated the world is today, I have no doubt that we are just one step near to God. Because we are already at the point of "we can't win this battle without him
Patience Johnson, Why Does an Orderly God Allow Disorder|You must love. When you love, you have self control. When you have self control, you have freedom. Freedom leads to intimacy sharing. Remember you are responsible for your own choice, decision and limit.
Patience Johnson, Why Does an Orderly God Allow Disorder|Inspirational Quotes Of The Day, Inspirational Quotes About Life, Inspirational Quotes For Work, Inspirational Quotes For Difficult Time, Life Quotes Inspirational Quotes, Quotes Of The Day Motivational, Best Motivational Quotes, Motivational Quotes, best inspirational quotes, life quotes, quotes about life, inspirational life quotes, inspirational quotes about life, quotes on life
Patience Johnson, Why Does an Orderly God Allow Disorder|On your way to the promised land are many jebutites, liarlites, thievites, betrayalites, backbiterlites, envylites, jealousites, parasites, unbelieverlites, doubterlites but only determination will take you there.
Patience Johnson, Why Does an Orderly God Allow Disorder|The Bible talks about three different kinds of peace. Let’s look at them: 1) Peace with others. ‘As far as it depends on you, live at peace with everyone’ (Romans 12:18 NIV 2011 Edition). This is external peace, and it’s necessary for human relationships to flourish. 2) Peace with yourself. ‘Let the peace of Christ rule in your hearts’ (Colossians 3:15 NIV 2011 Edition). This is internal peace, a rest of mind and soul that escapes most of us. 3) Peace with God. ‘Therefore, since we have been justified through faith, we have peace with God through our Lord Jesus Christ’ (Romans 5:1 NIV 2011 Edition). This is eternal peace, and it comes from knowing you’ve a right relationship with God. So here’s how it works: when you’re at peace with God you’ll be at peace with yourself, and when you’re at peace with yourself you’ll be at peace with others. That, in a nutshell, is The Process of Peace
Patience Johnson, Why Does an Orderly God Allow Disorder|Men....do you have a plan for your business? Tell your wife, be honest. If you lock her out of your plan, she will become malfunction.
Patience Johnson, Why Does an Orderly God Allow Disorder|Ladies ....a man does not want peace at home; he needs it. Home is supposed to be a refuge for a man; a hiding place, a cave to hide in, a place he can be away from the world that worked hard on him. You need to go home and study your home and see if it is a place someone can come into. How does it look physically? How does it look psychologically? How does it look emotionally? Study your home. Is it a place a man would love to stay and hide from the world?
Nurudeen Ushawu|I don't have wings, but I believe I can fly and touch the sky.
Patience Johnson, Why Does an Orderly God Allow Disorder|Most people's car last longer than their marriage. WHY? For instance in Germany, the government made it as a law that before you are qualified to drive a car, you will go to a driving school, learn the theory and practical before getting a license to drive. Same is applicable to your car, it must go to service and maintenance every two years if it is a new one to check if the car is still road worthy. If your car is above five years old then it must go to service every year. So this makes the car last longer. For you to get a driving licence in germany it takes months but for you to take a marriage certificate in Germany it doesn't take two hours. Once you go on the vail, they give you licence which means that they are more concerned about your car on their street than they are about your life in their communities.A lot of people doesn't go to any driving lessons on marriages. So they end up knowing how to drive a car but not learning how to live with someone.
Patience Johnson, Why Does an Orderly God Allow Disorder|In a marriage, it is not about how who made the money, it is about how it is distributed.
Abdulazeez Henry Musa|A challenge only makes you stronger, wiser and a better person than you was yesterday.
Patience Johnson, Why Does an Orderly God Allow Disorder|Ladies, a man doesn't want respect, he needs it. A man does not need love. There is no where it is written that a man needs love. They simply needs respect. A man interprets respect as love.When a woman tells a man that she loves him, it doesn't mean anything to him, but when a man knows you respects him, that means a whole lot to him.
Patience Johnson, Why Does an Orderly God Allow Disorder|Choosing a life partner for marriage should not be taken without a careful and prayerful consideration, if you want to be and remain happy in it.. You can't just jump into it.
Patience Johnson, Why Does an Orderly God Allow Disorder|There is nowhere in the scripture that God commanded "Thou shall be married." You don't have to be married to be happy. You don't have to be married in order to be complete. God didn't create you half, He made you whole, you can only make a good home only when you are complete than when you are half. Stop praying for your second half, pray for wholeness.
Patience Johnson, Why Does an Orderly God Allow Disorder|God can do all this but one thing He cannot do is choosing your mate,, because He is too smart to choose your mate for you. God knows that if He choose your mate and it didn't work out, you will blame him so He gives you the complete responsibility to choose your mate. That is why the Bible says "he who finds a wife finds a good thing and obtaineth favour from God." You have to find your mate by yourself. It is also not the responsibility of your parents. But God does help you that's why he gave you a brain with five million cells. He gives you tge holy spirit to guide you, He gave you his words to regulate your decisions, He gave you your Pastors to give you the counsels, He gave you parents, He gave you sense and He gave you his own anointing to discern spirits.You meet a terrible marriage once you ignore any of these equipment before marriage.
Patience Johnson, Why Does an Orderly God Allow Disorder|I have all gifts on earth minus one....Patience to do what the devil wants me to do. My bible taught me a lot about taking some things in my life by force. People do tell me sometimes take it easy, God didn´t tell me to take things easy, He says take Charge. Some people do tell me to be careful! But my bible didn´t tell me to be careful but it says I should be careful for nothing. Some people tell me to take time but my bibles says take charge. Some people says be patient but my bible says whatever your hands finds to do, do it quickly.So don´t only memorise your weakness, try to saturate your strength with the power of God, always have an alternative for any negative suggestion.
Patience Johnson, Why Does an Orderly God Allow Disorder|Before you try to be like anyone else, find out if you are your true self, because if you try to be like anyone else including me, that means you do not know who you are. Selah! The day yourself will rise, the people that you want to be like will not be there.
Patience Johnson, Why Does an Orderly God Allow Disorder|God didn´t bless me so I can backslide, He didn´t give me a status so that I can become a statue.
Patience Johnson, Why Does an Orderly God Allow Disorder|The strength of your growth depends on your leader. If the person you are taking counsel from is weaker than you, you are on your way down.
Patience Johnson, Why Does an Orderly God Allow Disorder|On your way to the promised land are many circumstances, only determination will take you there.
Patience Johnson, Why Does an Orderly God Allow Disorder|If your situation is too tough, don´t go back, go forward. You die quicker when you go backward. Die later when you go forward.
Patience Johnson, Why Does an Orderly God Allow Disorder|Have you ever asked yourself, why is it that the bible is real when other people ask you to open it? It is not the money in your bank account that kept you alive but the word of God. There is power in the word of God. Don´t just carry your bible, do something with it.
Patience Johnson, Why Does an Orderly God Allow Disorder|It is easy to show sinners how they sinned but God is not looking for sin pointers, He is looking for sin forgivers. Behold the lamb of God who takes away the sins of the world.
Patience Johnson, Why Does an Orderly God Allow Disorder|If you want to be inspired, don´t look for who has expired. Look for someone to lift up your vision, look for someone who can make the baby in you live not someone who can cause you abortion or miscarriage. Look for whose vision can challenge your vision. Look for whose story is a true story not a fiction.
Patience Johnson, Why Does an Orderly God Allow Disorder|If God ask you to do the impossible, do not look for who have never done it, look for the God of impossibilty. Any man that wants to defeat setbacks, must constantly look at his success.
Patience Johnson, Why Does an Orderly God Allow Disorder|I don´t care what name you called me before, give me a new name. My old name is not important but my new name is very important. Did they call you Barren? your new name is pregnant.
Patience Johnson, Why Does an Orderly God Allow Disorder|Someone asked me why does bad thing happen to good people?My answer: because when bad thing happens to bad nobody sees it. When something bad happens to a bad man there is no difference but when it happens to a good person people will know. Satan doesn´t advertise good things because that is not his job. His job is to steal, kill and destroy. The devil doesn´t talk good of good people but good people should always talk of something that is good.
Patience Johnson, Why Does an Orderly God Allow Disorder|Lord, I know that where I am right now, isn’t where You’re taking me. Give me glimpses of Your vision for my future, so that my understanding may grow in accordance with Your timing. Give me patience along the way and faith to trust that You’re always working for my good. Amen.
Patience Johnson, Why Does an Orderly God Allow Disorder|Has God Given You a Vision?‘Write the vision and make it plain … that he may run who reads it.’Habakkuk 2:2When God gives you a vision for your life, write it down, keep it before you at all times and run with it. You say, ‘But I see no way for it to come to pass.’ The Bible says, ‘The vision is yet for an appointed time … wait for it; because it will surely come’ (Habakuk 2 v. 3 NKJV). You may not know how to get from where you are right now to where the vision will ultimately take you - but God does. So ask Him to reveal the next step to you. Whether you’re in prison like Joseph, in a soup kitchen in the inner city, or at home taking care of small children, God will fulfil the vision He placed in your heart. The more you see yourself leading in the boardroom, launching your own business, serving in ministry, writing your first book, or helping others through your gifts, the sooner it’ll become a reality.
Patience Johnson, Why Does an Orderly God Allow Disorder|Many of the people God used in Scripture looked like losers before they looked like winners. After the disciples fished all night and caught nothing, Jesus told them, ‘…Do not be afraid. From now on you will catch men’ (Luke 5:10 NKJV). They did, and they ended up: a) building a church that’s still thriving two thousand years later; b) writing history’s greatest books; c) having our sons named after them. Does that mean you can just dream a dream and God will fulfil it? No. Paul says, ‘…You are not your own; you were bought at a price. Therefore honour God…’ (1 Corinthians 6:19-20 NIV).
Patience Johnson, Why Does an Orderly God Allow Disorder|This verse just came to my mind yesterday while sitting in the train...‘Pursue … overtake … and … recover all.’1 Samuel 30:8When King David and his men returned home from battle, they discovered that the Amalekites had burned their homes to the ground and taken their families prisoner. They were devastated. They wept until they’d no tears left. Then God spoke to them and said, ‘Pursue … overtake … and … recover all.’ And with His help they did! So no matter how bad your situation looks right now, don’t give up. Cry if you have to, then dry your tears and go out in God’s strength and take back what the Enemy has stolen from you. If necessary, take it an inch at a time, drawing on His strength and not your own. Paul writes: ‘Let us not lose heart and grow weary and faint in acting nobly and doing right, for in due time and at the appointed season we shall reap, if we do not loosen and relax our courage and faint’ (Galatians 6:9 AMP Classic Edition). God won’t quit on you, so don’t quit on Him! He has promised in His Word: ‘When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze. For I am the LORD your God’ (Isaiah 43:2-3 NIV 2011 Edition). Don’t give up - go through! It’s easy to quit, but it takes faith to go through. When your faith honours God, He honours your faith! And with Him on your side you’ll come out stronger than you were when you went in. So the word for you today is: ‘Pursue … overtake … and … recover all.
Patience Johnson, Why Does an Orderly God Allow Disorder|My dear friend, a good attitude will determine your altitude. When you look at your life, career, job or family life, what do you say? Do you praise God? Do you blame the devil? A good attitude towards God makes Him move on your behalf. Just sit down and say, Today God, it is well with my soul, I am thankful I had a peaceful sleep, I am thankful I am alive with possibilities, I am thankful I have a roof over me, I am thankful I have a job, I am thankful that I have Family and Friends. Above all, I am thankful that I have the Lord Jesus Christ on my side. Be blessed and don't be envious or shocked when others are prospering because you don't know what they have been through to get there (test, trials and tribulation) so thank God for what you have. "Little is much when God is in it. It Is Well With My Soul! Touch someone’s life with this message. If God be for us,who can be against us?
Patience Johnson, Why Does an Orderly God Allow Disorder|You cannot use food to settle your emotional problem, you cannot use the food and make a deal with your emotion, sometimes you need to set your plates backward to settle your emotional issues. Don’t let the devil fool you with the thinking that drinking excessive alcohol or eating without control will change your situation or anything that is going on around you, it can only complicate your issue by destroying your own body.
Patience Johnson, Why Does an Orderly God Allow Disorder|Brothers the bible never says that you should live with your mother, it says leave your mother and father and unite with your wife.
Patience Johnson, Why Does an Orderly God Allow Disorder|Only Agape love makes permanent relationship possible. Without agape every other relationship will be temporary. You cannot experience God's promise of marriage which is permanent; until death do us part without God's material which is agape love, everything else will fail you.
Patience Johnson, Why Does an Orderly God Allow Disorder|The less you know, the less your children can learn from you, the more you know, the more they can also learn from you..
Patience Johnson, Why Does an Orderly God Allow Disorder|Stop shouting praise the Lord when you can't handle your life, you can't represent God when you are messing up his reputation.
Patience Johnson, Why Does an Orderly God Allow Disorder|Many marriages would have succeeded today but many of the individuals didn't have the equipment; the knowledge to use to fix the situation. No marriage is irreparable but most most people are just too tired to fix it. This why it is important for you to get understanding.In all your getting don't get love....get understanding first. Understand what it means to be a woman. Understand what it means to be with a woman. You need to understand the complexancy in a woman and the uniqueness in a man. Understand communication skills, understand how to manage emotions and how to handle anger, you have to understand the dynamics of disagreement , you have to understand how to handle unfaithfulness; broken trust, if you do not understand all these things, you will always be stocked in life.
Patience Johnson, Why Does an Orderly God Allow Disorder|Successful marriage hinges on the application of knowledge - knowing and understanding God's principles not the exchange of love.. Brother you can be in love all you want but that doesn't make the woman the right person. Same with ladues, you can be head over heels with him but that doesn't make him the right husband.In all your getting, get knowledge and understanding.
Patience Johnson, Why Does an Orderly God Allow Disorder|Love is not the foundation for marriage, people normally get married to someone they think, they are in love with. Can I say to you that love does not make marriage work, don't be fooled by that funny feeling, don't get married because you love someone. I love aircraft but I can't fly them, I failed two times my pilot license, I love cars but I failed two times in the driving school made it on the third time. I love diving but not yet ready to go to diving school.You can love something and still don't know how to do it. So love is not the problem but the knowledge.I still maintain love doesn't make marriage work but knowledge and understanding. . Acquire enough knowledge before going into it.
Patience Johnson, Why Does an Orderly God Allow Disorder|How do you handle, your time and God's time? Does it mean that God can tell lies or that He doesn't know what He is telling you? Can God deceive a man? My answer to you is NO!But what happens if your time and His time doesn't agree?My bible says in Galatians 6:9 do not be weary in doing good; for in due season you shall reap, if you faint not.
Patience Johnson, Why Does an Orderly God Allow Disorder|Before God can lift you up, He will first knock you down. Go through it, I have been there many times. The most interesting part is when you look back and see how far He has brought you, you can't afford not to get up and keep on moving.
Patience Johnson, Why Does an Orderly God Allow Disorder|If you permit God to test you at the beginning, you will stand every trial for a long time. Don't plan to drive a Mercedes jeep as a boy and ride a bicycle in your adult age. Every trial given to you while you are young is made to prepare you for your old, age so that you can proclaim; I was young and now I am old, I have never seen the righteousness forsaken nor their children begging for bread.
Patience Johnson, Why Does an Orderly God Allow Disorder|No matter how holy you are, holiness does not take satan to hell, it just makes you a better person. Holiness makes you an instrument in the hand of God but your righteousness does not kill the devil.
Shah Asad Rizvi|One step, two steps, three steps; like winds of time experience joy of centuries, when movements become revelations of the dance of destinies.
Genereux Philip|EVERYONE IS A KING OR QUEEN, YOU DONT NEED A CROWN TO SHOW IT.
Matshona Dhliwayo|Wolves travel in packs, but the fiercest travel alone.
Matshona Dhliwayo|Persevere like a seed; even when people try to bury you, flourish.
Matshona Dhliwayo|Live for your dreams, not your memories.
Matshona Dhliwayo|If a flower can flourish in the desert, you can flourish anywhere.
La Tisha Honor, Teen Roach|The word try, means nothing. There's no such thing as trying to do something. The moment you begin a task, you're doing it. So just finish what you're doing.
Matshona Dhliwayo|Against all odds, a seed rises from darkness and beautifies the universe.
Matshona Dhliwayo|Be flexible like trees; when the wind blows bend, but do not break.
Matshona Dhliwayo|If a flower perseveres through concrete, you can persevere through anything.
Matshona Dhliwayo|If an eagle is teaching you to fly, ignore the advice of turkeys.
Chidiebere Prosper Agbugba|The purpose of life is to live for others. The moment you start living for yourself, you die before you time.
Harsh Malik|Age never matters when there is a will to learn more will to learn better.!!Always remember, every success story begins with a START.!!Anyone can desire but there are few who DESERVE.!!Anyone can desire, be the one who DESERVE.!!
Matshona Dhliwayo|If you water your dreams with excellence, success will grow.
Lokesh Tiwari|Beware of expectations, It really hurts.
Justin Bienvenue, Opium Warfare|Each day, compel yourself to do something you would rather not do.
Vanda Ileidy borges almeida|Never forget: loving, respecting; tolerances in your fellow-creature is a the lonely way of living free en gracefully and beautifully , and forever, never stop dreaming ,believing ,hoping and smiling and your be the most free in this slave world
Ikechukwu Izuakor, Great Reflections on Success|Bill Gates wasn't born rich but he wasn't poor either even before he discovered Microsoft, he was just waiting for a connecting flight to the boulevards of greatness.
Matshona Dhliwayo|Be like stars; instead of cursing the darkness, shine.
Margaret Aranda|The structure of a 'writing schedule' is only there as a frame. You provide the image, the emotion, and the sentiment in your own time.
Abdulazeez Henry Musa|Don’t do things to point out your weaknesses, do things to point out your strength.
Harsh Malik|Students should be told, how to think, not what to think.
Jude Okwuzulike|Whatever you cannot commonize, you cannot conquer, commonize it to conquer it.
Ernest Agyemang Yeboah|Life is never a static journey. Life goes on! Life is about step taking. For everything I need to know about life, I need to take a step
Matshona Dhliwayo|If the grass is greener on the other side, start watering your own.
Ernest Agyemang Yeboah|When the drum beat comes to an end, you shall not hear the drum beat again, but you shall remember how it sounded, and you shall understand clearly how you should or should not have danced to the drum beat
Chinonye J. Chidolue|When insecurity starts to rub off on you, you begin to lose a sense of belonging.
Matshona Dhliwayo|If records refuse to be broken, shatter them.
Sanjeev Himachali|Never ever wish to be SUCCESSFUL like SOMEONE else. You don’t know their STORY. You are aware of their STRUGGLE. Behind that make-up, people hide their SCARS and injuries. Behind those expensive sunglasses, they hide their TEARS. And behind that positive outlook and attitude, they hide their FEARS. Be yourself. Write your own story.
Ikechukwu Izuakor, Great Reflections on Success|When you see honey in the bush and there are no sign of bees, flee!! for its all but a trap
Bernard Kelvin Clive|Mistakes are your milestones, don't let them Stop you! Step up with them.
Chidiebere Prosper Agbugba|Your mindset determines your reality. Think positive, Act positive and Live positive.
Ernest Agyemang Yeboah|Your day was never bad. If you think you had a bad day, check your mindset!
