Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
David Levithan, The Lover's Dictionary|Love me less,but love me for a long time.
Ellen Read, Love The Gift|Mark ran his fingers over the bindings and whispered words, written long ago, words that wriggled through the aged leather, trembled beneath his touch. What lives and loves, hopes and dreams, deaths and despair these volumes held.
David Nicholls, One Day|He put one hand lightly on the back of her neck and simultaneously she placed one hand lightly on his hip, and they kissed in the street as all around them people hurried home in the summer light, and it was the sweetest kiss that either of them would ever know. This is where it all begins. Everything starts here, today. And then it was over.
Ika Natassa, A Very Yuppy Wedding|So please, just let me be egocentric and ask you to stay.
Rachel Cohn, Dash & Lily's Book of Dares|I deciced if I were ever to get into booze and women, my line would be, 'Excuse me, madam, but I would really love to bed and muss you. . . . Are you perchance free this evening?
Kami Garcia|I'll never love you anymore than I do, right this second. And I'll never love you any less than Ido, right this second.
Kristen Ashley|I’ve shared more breakfasts with you thanany woman I’ve dated in the last year and a half,” Mitch returned.“I know what you look like in the morning. I know what you act likewhen you come home tired after work. I know that you pick the leastexpensive thing on the menu either to be nice or to be annoying inorder to put me off. But I think it’s to be nice because youare nice and also both times you thought you’d be spendingtime with just me, you dressed in a way that would not, in any way,put me off. I know you cuddle when you’re sleeping. I know you takeonly milk in your coffee and you make coffee strong. I know you’rereally good with kids. And I know that you use music and scents toregulate your mood. So I’m thinking this is not a first date. Thisis more like us hittin’ the six month mark. And the six month markis when you stop talkin’ about shit that really doesn’t matter andstart talkin’ about shit that means everything.
Kieran Scott, She's So Dead to Us|I laughed as we turned in a tight circle... "Tonight you're all mine."Jake smiled but looked me dead in the eye. "No. From now on."My heart skipped. "What?""Yours," he said simply, "from now on.
Maggie Osborne, Silver Lining|I think I fell in love with you that amazing night on the kitchen floor. Or maybe it was the evening you stepped up and set my arm." Testing things, he reached for her hand, and, to his joy, she glared, but she let him take it. "Or maybe the night I knew I loved you was when I kissed you under the mistletoe on Christmas Eve. It's hard to say because I look at you now and it seems to me there's never been a time when I didn't love you.
Stephanie Laurens, The Truth About Love|Love wasn't a happening one decided on---to indulge or not, to partake or not. To feel or not. When it came, when it struck, the only decision left to make was how to respond---whether you embraced it, took it in, and made it a part of you, or whether you turned your back and let it die.
Heather Burch, Halflings|Raven scowled through his too-long bangs. “The Angel Song doesn’t hurt humans. It only affects the evil within.” “Then you should be writhing on the ground with the hounds,” Mace mumbled.
Jill Shalvis, The Sweetest Thing|Forever this time," he said as Sawyer strode toward them.Tara sighed blissfully. "You know what this means, right?""I'm done guessing," he said. "Tell me.""It means you're mine," she said. "And I'm yours. No more walking away. We are going to get it right this time."His smile was slow and easy, and just for her. "Well, finally.
Kim Harrison, The Hollows Insider|His attitude, though always bad, has changed since he helped me prep the Pandora charm for Morgan. He thinks I'm falling for her, as ridiculous as that sounds, and he might be tempted to take matters into his hands.
Laurell K. Hamilton, Bullet|I tended to be hard on the egos of a certain kind of men. The ones who normally swept women off their feet had never moved me much, because I'd always felt that if they swept me off my feet they'd practiced on a lot of women before me, and would practice more with women after me. I'd rarely been wrong on that. ~Anita Blake
Lauren Hammond, Famished|Hello, dinner. It’s me, I’m starving. And I know where you live.
John Green|No, I don’t think you’re gonna be single forever, and also I don’t understand your obsession with romantic love. There are other ways to have fulfilling relationships that can sustain you and make your life great and fun other than having a sexualized relationship. It’s not the only kind of fulfilling human interaction. So, even if you are single forever, that doesn’t mean that you’ve had some kind of failed life.
L.A. Weatherly|Alex took a silent step closer to the kitchen door and watched unseen as willow spooned instant coffee into a pair of mugs.With another yawn, she scraped her hair off her face and stretched. She looked so entirely human, so drowsy and sleep-rumpled.For a moment, Alex just gazed at her, taking in her long tumble of hair, her wide green eyes and pixieish chin. Fleetingly, he imagined her eyes meeting his, wondering what she'd look like if she smiled
Summer Daniels, Summer's Journey: Volume One - Losing Control|Perhaps I was being picky, but I really didn’t think being able to spell orgasm without being spotted a vowel was asking too much.
Rachael Wade, The Gates|Gavin, I never thought you’d be the irrational one in this relationship, but I’m happy to report that you’ve just thoroughly shocked me.”	He rolled to his side to lean on his arm, keeping my hand resting on his chest, buried underneath his shirt. “I know. My timing is impeccable.” He smirked, letting his hungry gaze drift over my body. “But I’m sorry, love. I cannot take seeing you all tucked up in this sexy corset anymore. The ties are so tight, they’re just begging me to undo them.” His fingers trailed over the top of my chest and down over the corset’s binding, tugging at the edges of the lace as he went. “Forcefully,” he winked.
Charles Dickens, A Tale of Two Cities|The two stand in the fast-thinning throng of victims, but they speak as if they were alone. Eye to eye, voice to voice, hand to hand, heart to heart, these two children of the Universal Mother, else so wide apart and differing, have come together on the dark highway, to repair home together and to rest in her bosom.
Taylor Longford, Valor|After Reason had left the dining room, Valor’s mouth softened into smile. “Let us know if you have any symptoms.”“Symptoms?” I asked, and jerked my gaze to his eyes. “What kind of symptoms?”“Tell us if your fingernails turn to stone,” Victor chuckled.
Kea Alwang, Treehugger|So is this being in love? I stay with the moment, waiting to find out, the space between us fluctuating with uncertainty. The only thing I am sure of is that each time his lips leave mine they are right back again.
Jennie Lucas, The Secret Baby Scandal: The Count's Secret Child\The Sandoval Baby|Entwining his hands in her hair, he kissed her with all the passion and love he'd kept hidden in his heart for thirty-sex years. Waiting for her. Only for her. As he felt her kiss him back the frozen wall inside him finally broke, allowing life and sun inside his soul. He pulled away, stroking her cheeks as he looked down into her eyes. "I love you, Carrie," he whispered. "I love you.
Charlotte Lamb, Obsession|I don't care much for diamonds,' Nicola had told him.'Have you ever been offered any?' he had asked, and he had been making fun of her, his face mocking.'Not that I can remember,' Nicola had admitted calmly.'And how would an offer be received?' he had asked, as though he knew the answer.'With a kick in the teeth,' Nicola had said, meeting his eye.
Yasmine Galenorn, Blood Wyne|Weave the circle, tightly sewn,Let nothing evil or unknownEnter within. Stay withoutOn pain of death, we cast you out.
Robyn Carr, Wild Man Creek|He tends to go for girls who are-Shelby, honey? Put your hands over your ears for just a sec.” Back into the phone he said, “He likes the real slutty ones. Ow!” he yelled when he received a whop to the back of the head.
Mary Balogh, Slightly Dangerous|I would be consumed by you,' she said, and blinked her eyes furiously when she felt them fill with tears. 'You would sap all the energy and all the joy from me. You would put out all the fire of my vitality.''Give me a chance to fan the flames of that fire,' he said, 'and to nurture your joy.
Charlotte Featherstone, Addicted|Does he lay with you in the grass? Does he stare up at the stars, speaking of his dreams, wishing he could roll over and kiss you and run his fingers along the breasts that tease him beneath the shirt--the shirt he knows he will carry home with him and smell and, God help him, sleep in, just so that he could be close to you?
Judith McNaught, Remember When|Life was wonderful, so filled with people and activities, with love and laughter.
Kathleen Valentine, The Old Mermaid's Tale: A Novel of the Great Lakes|The soul, they say, is divine and the flesh is iniquity. But I am a musician and I ask this - without the wood and the strings of the violin, where would the sonata find form?
Nora Roberts, The MacKade Brothers: Rafe and Jared|Are you telling me you're cooking me dinner?- Regan Its the quickest way, without physical contact, to get a woman into bed. The kitchen through there?
Helen Simonson, Major Pettigrew's Last Stand|The human race is all the same when it comes to romantic relations,' said the Major. 'A startling absence of impulse control combined with complete myopia.
Edward Carpenter, The Intermediate Sex: A Study of Some Transitional Types of Men and Women|In the case of Michel Angelo we have an artist who with brush and chisel portrayed literally thousands of human forms; but with this peculiarity, that while scores and scores of his male figures are obviously suffused and inspired by a romantic sentiment, there is hardly one of his female figures that is so,—the latter being mostly representative of woman in her part as mother, or sufferer, or prophetess or poetess, or in old age, or in any aspect of strength or tenderness, except that which associates itself especially with romantic love. Yet the cleanliness and dignity of Michel Angelo's male figures are incontestable, and bear striking witness to that nobility of the sentiment in him, which we have already seen illustrated in his sonnets.
Richard Paul Evans, The Walk|There's a problem with marrying up. You always worry that someday they'll see through you and leave. Or, worse yet, someone better will come along and take her. In my case, it wasn't someone. And it wasn't something better.
Meg Cabot, Queen of Babble|Did you let him know that if he can't see fit to return your blow job immediately, you will have no choice but to sue?
Marie Force, Everyone Loves a Hero|I do not want to date you."He groaned. "Liv. You've got to be kidding me. I picked up my whole life, drove halfway across the country, and you've changed your mind? It's only been fifteen days since you told me you still love me!""Shut up, will you? Will you please just shut up and kiss me again, you big idiot?" With both hands on his face, she molded her lips to his as her heart did a happy dance in her chest. Between kisses, she said, "I want to live with you and marry you and have a family with you and share your life--all the things you said you wanted from me before I ruined it. So no, I will not date you.
David  Bowles, The Deepest Green|Maybe I'm deceiving myself. Perhaps I don't know him as well as I'd like to imagine. What does a person so willing to utterly remake himself hold inside his heart? Can I trust such a man? What motivates him?In an instant she knew, and she felt a bit of relief.Love. Love was what drove him.
Tara Janzen, On the Loose|We’ve got to stop meeting like this.”“No, we don’t.” He liked meeting like this, over her bare ass, a hot-off-the-presses copy of the Rocky Mountain News, and a steaming cup of coffee. It was so perfect, he planned on doing it every day for the rest of his life. He just hadn’t told her yet.
Nina Bangs, The Pleasure Master|She felt the glide of his hair as he lowered his head to study the zipper on her skirt. Herimagination supplied other places his hair could touch, and she drew in her breath.He carefully pulled down the zipper, then pulled it back up. After several up and downforays, Kathy grew impatient:"Hello? Have I lost you to a zipper?" Darn. She must sound like every greedy womanwho'd ever lain with him.His soft chuckle reassured her. " 'Tis a long night, lass, and the waiting willna hurt ye.These metal teeth are wondrous things.
Kailin Gow, Silver Frost|Hush,” I said. “I’m here, and I’m not letting you out of my sight anytime soon so keep holding me tight.” I looked down, a little more than afraid of plummeting hundreds of feet down.- Breena to Kian, Silver Frost
Susan Wiggs, At the King's Command|Her name was a silent song on his lips. Her love was like a circle in the water, radiating ever outward, inevitably encompassing even the remotest of hearts.
J.A. Belfield, Darkness & Light|Welcome back, Jem.
Marie Force, Everyone Loves a Hero|Olivia," he sighed as he held her tight against him. "I like the way you leap."For once her laughter was free and easy. "And I like the way you catch me when I land.
Sarah Mayberry, Cruise Control|Suddenly he caught his reflection in the mirror behind her. His face was twisted into a dark scowl, and he was standing there naked, with a boner, and another man’s business card in his hand.He looked like a dick.
Alisha Rai, Veiled Seduction|What are you doing?”“What does it look like? I’m getting down on my knees.”His head butted against her stomach. Her muscles clenched, shocked at the touch, even through the layer of cotton.“I’ve never begged a woman for anything before. Enjoy this.”She tried to think of something sufficiently sassy. “Enjoy it? I can’t even see it.”“It’s symbolic.
Sharon K. Garner|Please. Put the gun down and we'll talk. A beautiful woman holding a small cannon plays hell with my concentration. Christovao (Chris) Santos, Sanctuary
Leanna Renee Hieber, The Strangely Beautiful Tale of Miss Percy Parker|One spirit remained unaware of his presence, staring at Miss Parker with such longing that he reluctantly decided to let it stay. The spirit, a hollow-eyed girl with ringlets and clothing from long past, reached toward Percy, wishing to touch her. Alexi understood. When left to her own devices, Miss Parker was neither shy nor awkward; she was radiant.
Jill Shalvis, Slow Heat|There was a group of fans who wanted autographs, and several women who managed to write their phone numbers on Wade's hand before he pulled free.Sam sent him an arched brow, but he just shrugged. He got numbers written on him a lot; he'd never figured out how to stop that from happening.
Virginia Woolf, Mrs. Dalloway|I often wish I'd got on better with your father,' he said.But he never liked anyone who--our friends,' said Clarissa; and could have bitten her tongue for thus reminding Peter that he had wanted to marry her.Of course I did, thought Peter; it almost broke my heart too, he thought; and was overcome with his own grief, which rose like a moon looked at from a terrace, ghastly beautiful with light from the sunken day. I was more unhappy than I've ever been since, he thought. And as if in truth he were sitting there on the terrace he edged a little towards Clarissa; put his hand out; raised it; let it fall. There above them it hung, that moon. She too seemed to be sitting with him on the terrace, in the moonlight.
Penelope Douglas, Punk 57|My eyes burn with tears, and I'm so tired. So tired of holding back everything I feel and want to say. So tired of being someone I'm not and making mistakes that I didn't have any fun making.
Loretta Chase, Lord of Scoundrels|He had relieved whores beyond counting of frocks, stays, chemises, garters, and stockings. He had never before in his life unbuttoned a gently bred maiden's glove. He'd committed salacious acts beyond number. He'd never before felt so depraved as he did now, as the last pearl came free and he drew the soft kid down, baring her wrist, and his dark fingers grazed the delicate skin he'd exposed.
Emily Henry, The Love That Split the World|Beau, what is it you want?""A porch," he says softly. He says it like it's my name, and right then, I think, what both of us want more than anything is something we can never have. "All I really want is to build a house with a nice, big porch that gets used every day.
Karen Hawkins, Sleepless in Scotland|Tis a sad day when ye ha' t' pinch yerself t' see if ye're awake or in th' midst o' a night terror. 'Tis a really sad day when ye have t' pinch yerself twice."Old woman Nora to her three wee granddaughters on a cold winter's night
Lucy Monroe|Beth: "What are you, the Energizer Bunny?
Sabrina Jeffries, Wed Him Before You Bed Him|Advising Mrs. Harris was the least I could do," David said smoothly. "After all, she was the one who brought me and my late wife together."That was stretching it a bit, since all Charlotte had done was give Sarah lessons in how to avoid fortune hunters, thus ensuring that the recalcitrant girl went right out and married the first one who approached her.
Karen Hawkins, To Catch a Highlander|Once ye made up yer mind to do somethin', 'tis better t'stumble o'er the small hillock of jump-ahead than t'bash yer head on the jagged rocks of did-nothing.Old Woman Nora of Loch Lomand to her three wee granddaughtersone cold evening
Sherman Alexie, The Lone Ranger and Tonto Fistfight in Heaven|You must be a rich man," she said. "Not much of a warrior, though. You keep letting me sneak up on you."You don't surprise me," he said. "The Plains Indians had women who rode their horses eighteen hours a day. They could shoot seven arrows consecutively, have them all in the air at the same time. They were the best light cavalry in the world." Just my luck," she said. "An educated Indian."Yeah," he said. "Reservation University."They both laughed at the old joke. Every Indian is an alumnus.Where you from?" she asked.Wellpinit," he said. "I'm a Spokane."I should've known. You got those fisherman's hands."Ain't no salmon left in our river. Just a school bus and a few hundred basketballs."What the hell you talking about?"Our basketball team drives into the river and drowns every year," he said. "It's a tradition."She laughed. "You're just a storyteller, ain't you?"I'm just telling you things before they happen," he said. "The same things sons and daughters will tell your mothers and fathers."Do you ever answer a question straight?"Depends on the question," he said.Do you want to be my powwow paradise?
Mari Mancusi|Holy fu-" he starts then catches himself."Yes,this tithe will be most pleasing to her Goodness." Me and Magnus exchange amused glances.
Julia London, The Dangers of Deceiving a Viscount|-On creating a false identity for Pheobe-"A widow," Ava insisted."How did her husband die?" Greer asked."I hardly know," Ava said with a shrug as she rocked Jonathan in her arms. "How do men typically die? A fall from a horse or some such thing.""I scarcely believe scores of men are falling to their deaths from their saddles," Greer said drily.
Rose B. Mashal, Black Keys|When it comes to love, Princess, rules blur, and traditions fade,
Julie Anne Long, The Runaway Duke|What happens next?" she whispered.Connor turned to her and smiled faintly. Always a question, that was Rebecca.There's more?" he said in mock wondermentRebecca dimpled.You know very well there is more."Tell me all about it," he encouraged.In Papa's book—"Tell me all about it without mentioning your papa.
Lorraine Gokul, Will Love Justify Everything?: Does Love Overcome the Injustices of Life?|Anger precedes hate, while love vicariously hangs in the balance.
Dean Francis Alfar, Salamanca|The first two things Gaudencio Rivera was made aware of--within hours of arriving by carabao-drawn cart at the secluded town of Tagbaoran on the island province of Palawan--were these: that the most beautiful woman in creation dwelt by the river, and that it was pointless to even dream of being loved by her.
Sarah Mayberry, Below the Belt|He foll0wed her as she crossed to the four-station apparatus. His attention was glued to her butt the whole way. realizing what he was doing, he snapped his gaze away and checked to make sure no one had noticed.Nope. They were all too busy staring at Jamie's butt.
Shirley Karr, What an Earl Wants|Having realized that her affection for Sinclair went far beyond friendship, there was only one thing for her to do. She took off her hat and banged her head against the nearest lamppost.Also realizing she was drawing attention from passerby, she put her hat back on and resumed walking.
Lucian Bane, White Knight Dom Academy|He looked at her, amazed with her sudden nerves. “Sweetheart… marrying was never on any list of mine.” He reached for her hand and held it tightly in his. “But marrying you… now that’s something different.
Sarah Mayberry, Burning Up|Later she would think about how he'd snuck up on her so silently. The man was on crutches - what was he, a ninja or something?
Cora Carmack, Losing It|Words streamed from my mouth, some familiar, some not.The last of the were, "I love you."He rose up off me with a grin. "If I'd known it was that easy to get you to admit how you feel, I would have done this a long time ago.
Jennifer Estep, Cold Burn of Magic|What I can make people do . . . it’s not what they want to do. It may sound corny, but I want people to like me for me, not because I can force them to or because of who my mom is or who I am in the Family. You know?”He raised his green gaze to my blue one. “That’s one of the things I like about you, Lila. You don’t care about any of that.”“Just one of the things?” I teased, trying to make him laugh a little, just so he’d forget his guilt and grief, if only for a few moments.“Just one.” His voice took on a low, husky note. “I could list all the others, if you want.”My gaze locked with his and my soulsight kicked in, showing me all of his emotions. And I felt them, too—more intensely than I ever had before. His heart still ached with that soul-crushing guilt, and it always would. But that hot spark I’d seen inside him that first day at the Razzle Dazzle had finally ignited into a roaring fire, burning as hot and bright as my own emotions were right now.Devon hesitated, then leaned in, just a little. My breath caught in my throat.He inched forward a little more. I wet my lips.He came even closer, so close that his warm breath brushed my cheek and his scent flooded my nose, that sharp, fresh tang of pine. Clean and crisp, just like he was, inside and out. I sighed. Suddenly, my hands itched to touch him, to trace my fingers over the sharp planes of his face, and then slide them lower, over all of his warm, delicious muscles . . .“Lila,” he whispered.I shivered, loving the sound of my name on his lips—lips that were heartbreakingly close to mine—
Emme Rollins, Dear Rockstar|We were a galaxy exploding into a million pieces, creating a whole new world, as we crashed against each other on the soft surface of his mattress, a cloud in the darkness, our bodies finally falling together like rain.
Delilah S. Dawson, Wicked as They Come|Let me guess. You think we’re going to live happily ever after, like some stupid fairy tale?”“Why not?” His stare dared me to laugh or, worse, to argue.“Because the whole thing is ridiculous,” I said. I despised the bitterness in my own voice. I sounded so damaged. Good. If he thought I was his soul mate for some mysterious reason he wouldn’t let on, let him see the worst of me.“It’s not ridiculous to me. Perhaps that’s the difference between predators and prey, love. I’ll never stop hunting. But I expect that one day, you’ll stop running.”“Because I want to die?”“Because you want to live.
Emme Rollins, Dear Rockstar|You think he’s perfect and he’s safe and, in your head, he can do anything... but he can’t save you, Sara... and I can’t save you either.
Tim Minchin|I am no nihilist. I am not even a cynic. I am, actually, rather romantic. And here’s my idea of romance: You will soon be dead. Life will sometimes seem long and tough and, god, it’s tiring. And you will sometimes be happy and sometimes sad. And then you’ll beold. And then you’ll be dead.
Thomm Quackenbush, We Shadows|His kisses were so hungry and male, which isn't bad. Every kiss said he could never have enough, but he wasn't going to stop trying. They were so hormonal. I wanted his sugar roughness. Girl's kisses are deliberate and polished. When she kisses me - when I kiss her - she doesn't want me. She has me and knows it.
Julia Quinn, It's in His Kiss|No one said we had to spend every waking moment together," he said, "but at the end of the day"-he leaned and kissed each of her eyebrows, in turn-"an most of the time during, there is no one I would rather see, no one whose voice I would rather hear, and no one whose mind I would rather explore.
Darla Phelps, Daddy's Girl|I can’t rock you on my lap, if you’re not here.
Tessa Dare, A Night to Surrender|You’re my home, Susanna. My home, my heart, my dearest love. Wherever you are, that’s where I belong. Always.” - Victor Bramwell, Earl of Rycliff
Oscar Wilde|He is fairer than the morning star, and whiter than the moon. For his body I would give my soul, and for his love I would surrender heaven.
Andrea Hurst, Always with You|Wolves mated for life. Where was he? Where was the echo to her howl, her mate? Was there no other lone wolf, searching the hills for her?
Melissa  Brown, Picturing Perfect|Enjoy the movie. I hear the guy gets the girl” I said, my tone bold and flirtatious. “Which guy?” She laughed, playing along. I could hear her smile through the phone. It felt good to make her smile. Really good.I paused before answering, “The one who deserves her.
Christy Reece, Rescue Me|Hands still in the air, Jordan reached back and gently caressed her cheek. Dying for this woman would be no hardship. He'd die a thousand times over if it would take away her pain.Since he had every intention of living a long and healthy life with Eden at his side, he sincerely hoped Noah was on his way and dying wouldn't be necessary.
Sarah Alderson, Out of Control|So we have twenty-four hours to keep out of trouble,’ he says to me.I slide a glance in his direction. Judging from the way he’s now grimacing at the sidewalk and the fact that I met him in a police station where he was being booked for stealing a car, I’m guessing that staying out of trouble is not his forte.
R.K. Lilley|I told you that I needed you. But now I need you to survive. Forever. I won’t live through this without you, and I’m selfish for telling you that, but it’s the truth. You’re my rock, Danika. I can’t ever lose you, or I’ll follow Jared, I know I will.
Robyn Carr, My Kind of Christmas|However, I have to warn you, I kind of like that you find me irresistible.”“Did I say that?” he asked, a slight tint creeping up his stubbled cheeks. “I didn’t say that! I find you completely resistible.
Kyra Lennon, If I Let You Go|I focused, rather embarrassingly, on his chest which was rising and falling slowly. I left teeth marks!
Kyra Lennon, If I Let You Go|Erica had asked me a million times. 'Madison, are you sure you’re just the child minder? He pays you a lot of money for doing hardly anything.' Pushing aside the blatant insinuation that I was his weekend whore, I’d always told her the absolute truth. He’d never so much as looked at me inappropriately, let alone anything more.
S.L. Scott, Naturally, Charlie|If I were being honest with myself, he lit a blaze, not just a blush, but that’s too much reality for me to admit.
Jee, Because It's You|Jika kita menyukai sesuatu, bagaimanapun keadaannya, kita hanya akan tetap menyukainya. Rasa suka itu tidak akan terpengaruh oleh faktor lain. Suka, ya, suka, dan akan begitu walau dilihat dari sudut pandang mana saja.
Tiffany Allee, Don't Blackmail the Vampire|I’m a creature of the night.” Slitted eyes peered at her suspiciously. “Good God, you’re not a morning person, are you?
Rosemary Clement-Moore, Spirit and Dust|For an age we stood there like that, me holding him by the collar of his jacket and kissing him for all I was worth, him standing there, hands up like I was frisking him with no idea what to do about it.It. Was. Awesome.
Amit Kalantri, I Love You Too|I am sure that God has given all his time in making you, the remaining human race has been created in haste.
Italo Calvino, If on a Winter's Night a Traveler|What is more natural than that a solidity, a complicity, a bond should be established between Reader and Reader, thanks to the book? You can leave the bookshop content, you, a man who thought that the period where you could still expect something from life had ended. You are bearing with you two different expectations, and both promise days of pleasant hopes; the expectation contained in the book - of a reading experience you are impatient to resume - and the expectation contained in that telephone number - of hearing again the vibrations, a times treble and at times smoldering, of that voice, when it will answer your first phone call in a while, in fact tomorrow, with the fragile pretext of the book, to ask her if she likes it or not, to tell her how many pages you have read or not read, to suggest to her that you meet again...
Wendi Cassel, When You Don't Have a Choice|You're a rose, the perfect flower. I'm a carnation, just a cheaper substitute.
Lyla Tyela Belikov|I heard you were a player , okay , lets play a game.We'll flirt, play fights, talk 24/7, say goodmorning and goodnight every day, give each other nicknames, hang out, talk on the phone for hours, take cute pictures together, make promises to each other and hold each other.And whoever falls in love first, loses.
Cherise Sinclair, To Command and Collar|Have you gone crazy?".
Matsuri Hino|That's why for you, you have the right to be cruel to me. No matter how much you make me worry or how much danger you put me in, just as much as you like. But these are not enough 'compensation.' Even if I have to sacrifice my left over life for you, I would not utter a word of complaint.
W.H. Auden, Acting Up|If you want romance, fuck a journalist.
J.D. Robb, Indulgence in Death|I said, you're the beat of my heart, the breath in my body, the light in my soul.
Tessa Dare, A Week to Be Wicked|I will insist you be man enough to take it. I won’t have you making light of my feelings, or making light of yourself—as if you’re not worthy of them. Because you are worthy, Colin. You’re a generous, good-hearted person, and you deserve to be loved. Deeply, truly, well, and often.”He looked utterly bewildered. Well, what did he expect, after the power he’d given her? He couldn’t compare a woman to a torrentially beautiful monsoon, and then look surprised that he’d gotten wet. “You reckless man.” She laid a touch to his cheek. “You really should be more careful with those compliments.
Baal Shem Tov|From every human being there rises a light that reaches straight to heaven, and when two souls that are destined to be together find each other, the streams of light flow together and a single brighter light goes forth from that united being.
Lisa Tawn Bergren, Bourne|His eyes opened, and he stared at me. The morning light was streaming through the window,and my hair rolled in waves over either shoulder.“God has smiled upon me. I have the most beautiful wife in all the land.
Toni Blake, One Reckless Summer|So, for her, I'll try. I'll trust. I'll ... open myself. I'll ... be this guy I've never been before and don't even known how to be—this goofy "in love" guy, this guy who takes care of his woman, this guy who gives more than he takes.
Rachael Wade, Preservation|Is there a problem, Ms. Parker? Something you want to say to me?" Reaching for his tie, he began to loosen it, unraveling it with his fingers, angry eyes still locked on mine."I'm not sure I like being your pet. Or science project, I don't know which.""You have a smart mouth.""You make smart observances.""You're going to make this invitation difficult, aren't you?""If you're dishonest with me, yes.""You'll regret it if you don't accept.""Is that a threat?""That's a promise.
Rachel Gibson, Truly Madly Yours|I know. I know I’ve been a jerk, and I don’t have a good excuse. But touching you and loving you, and knowing you were planning to leave me, made me crazy. After we made love the second time, I began to think maybe you’d decide to stay with me. I started to think about you and me waking up every day together for the rest of our lives. I even thought about kids and taking some of those breathing classes when you got pregnant. Maybe buying one of those mini-vans.
Julie Anne Long, How the Marquess Was Won|I love you so much i can hardly tell my own heart from yours anymore, and I've never said it to another woman in my life as it's never until now been true.
Deeanne Gist, A Bride Most Begrudging|That first scream, my lord, was indeed your daughter, my wife, and if you kill me, your grandchild will be quite without a father. Won't you come in?
Bryan Butvidas, Death of a True Love|Love is when you’d rather see someone one last time and die, than never see their face again.
Rachael Wade, The Gates|Please, let me take you home. You’re drunk.”“I am not.” I shoved him, spilling some kind of delicious poison on him. “Go home and have a wild time with Ms. Scarlet. In the bedroom. With the—”“Okay, you’re starting to talk board game. Let’s go home, babe. I’ll get you into bed.
Jill Shalvis, The Sweetest Thing|I'm done waiting. Done doing things the easy way and letting things happen as they will."Her heart caught. "What does that mean?""It means this is too important to let slip away again. You're too important." He leaned back against the truck with a low grunt of effort, eyes dark, jaw clenched. "I love you too, Tara.
Rachael Wade, Preservation|Stumbling closer, I held up the manuscript, the pages flapping frantically in the wind. “I take it this is a murder mystery? You killed the ex-fiancée and thanked her in the dedication? Mighty dignified of you, I must say.”“Nah. It’s a horror novel. But yeah, the bimbo dies in the end. Bob Hall says it’s going to be a bestseller, so I figured I owed her some thanks for the inspiration.” He edged a few feet closer, his smile spread from ear to ear. The glimmer in his eyes flickered toward the ocean, breaking our connection. He hung his head, licked his lips, then returned his eyes to mine, restoring the connection with an intense smolder. “Are you gonna get over here, or what?”Letting out a soft chuckle, the tears began to blind me. “Make me.
Deeanne Gist, A Bride Most Begrudging|You next," he said. "Out of those clothes and into bed."She nodded but didn't move from Sally's side. The thought of undressing exhausted her. Where would she find the strength such a task would require?"I'm filthy. I'll ruin the new bed.""I'll bring you some fresh water.""I've no clothes to change into."His grin was downright wicked. "I know."A short laugh escaped her.
Rachael Wade, Preservation|I winked and locked my arm in Carter's, and we stood there, watching Dean stroll away."You know the guy's never gonna give up," Carter nudged me, letting out a sigh."We'd have really pretty babies, huh?""Yup. They'd be rad little Brangelinas, running around tearing the place up.""Yeah, you're right. My rejection is such a disservice to the world...
Jean M. Auel, The Mammoth Hunters|She loved him, more than she could ever find words for, but this love he felt for her was not quite the same. It wasn't so much stronger, as more demanding, more insistent. As though he feared he would lose that which he had finally won.
Lynn  Mitchell, June 15th|You know the kind of smile I’m talkin’ about. That flirty, cute, bite-your-bottom lip ‘cause his smile is so stinkin’ perfect—that kind of smile.
Deeanne Gist, A Bride Most Begrudging|Where are you going?""To get my Bible.""Right now? You can't get your Bible out right now! I'm, I'm, we're just about to..."She'd never be able to go through with this if he got out his Bible. She wiped all humor from her face."I believe you. Proverbs 5:18. Rejoice, relish, and romp with your husband."He chuckled. "I'm serious, Connie, and I won't have you feeling ashamed or unclean over anything we do in that bed, tonight or any other night.""I won't. I feel unashamed and very clean. I promise. But please don't get out that Bible.""What? Think you that God can't see us right now?"Groaning, she slid off his lap and covered her face with her hands. He sunk to his knees in front of her, drawing her hands down."I love you. You love me. We are man and wife. God is watching, Connie, and He is very, very pleased.
Patrick Ness, The Ask and the Answer|You won't," says the Mayor, smiling again. "Everyone knows you aren't a killer, Todd."He pushes Viola forward again -She calls out from the pain of it -Viola, I think - -I grit my teeth and raise the rifle -I cock it -And I say what's true -"I would kill to save her," I say.
R.L. Mathewson, Tall, Dark & Lonely|Her hands shot up. “See that’s exactly what I’m saying. You’re seeing what you want, and what you see you explain away and excuse things like you’re fixing me. I’m not perfect, Ephraim and I really wish you would see that.”	“You drool.” 	“What?” That caught her off guard.	“When you’re asleep you drool. I’ve woken up more than a few times with a little puddle forming on my chest.” After a thought he added. “And you snore. Not a delicate snore either mind you.”	“I do not!” Her face colored with indignation.	He sighed heavily as if the knowledge pained him. “Oh, but you do. I’ve even heard Jill talk about it. Did you know that’s the main reason she was happy about her room. Actually, she and Joshua thanked your Grandmother for putting you at the other end of the house, something about finally getting a decent night’s sleep. They compared your snore to a chainsaw. I can see why they’d say that.
