Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|Be mindful of the thoughts and emotions you put out, they will only project back to you like a boomerang, no doubt!”Grampa Foster, See the Little People…An Enchanting Adventure
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|If you say something over and over and over again you may just start to believe it. If you truly do believe it, you can be sure you will receive it.Selkie Anne, The Little People Journey into the Mystic Sea
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|Grampa Foster always says that every single experience has something to teach us about ourselves. “So don’t expect to get too comfortable or you’ll never learn a thing!”Trinity, The Little People Journey into the Mystic Sea
Germany Kent|Reach out and help others. If you have the power to make someone happy, do it. Be a vessel, be the change, be the difference, or be the inspiration. Shine your light as an example. The world needs more of that.
Rasheed Ogunlaru|There is no greater prize than a quiet, peaceful mind.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|The journey of the Freedom Seeker isn’t always easy. But it is essential, and it is urgent, for it is the path to coming alive again.
Grace Sara|If you take society’s definition of knowing oneself, you will become lost in the many translations.
Liza Osae-Kwapong|Let your love for books grow, as your confidence grows too.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|If you’re trapped in a cage, you don’t want to start being grateful for the protection of the bars. You need to be grateful that there are gaps in between them so you can see what’s on the other side.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Escape is a process, not a pill.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|You have the power to choose joyful living through your thoughts, actions, and choices.
Paulo Coelho, The Alchemist|People are capable at anytime in their lives,of doing what they dream of
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|All around the world, people are exuberantly laughing right now.
Donavan Nelson Butler, Master Sergeant US Army|You have a nearly a 0% chance of affecting change in others attitudes, behaviors, and skullduggery. However, you have a 100% chance of affecting your own attitude, behavior, resiliency, and reaction to all things within your direct ability to shape the outcome.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Joy is all around me, and I celebrate it all.
Atalina Wright, Unbound|It is perhaps, its ability to penetrate the multidimensional layers of the human condition at all, that makes poetry and art so valuable in today's modern age.
Atalina Wright, Unbound|Don't dwell too long on the past, forgive and let it go. Too many hours have been wasted on old regrets and sorrow.
Atalina Wright, Unbound|Wonder is all around us, when we know how to look. It's often in the simple spaces; a meadow, a stream, an unturned rock.
Atalina Wright, Unbound|Love cannot be contained, love is destined to transcend and change.
Atalina Wright, Unbound|What are we before love? But thoughts floating upon a sea. Searching for a shore to explore, to gaze into infinity.
Atalina Wright, Unbound|You played my heart as it was meant to be played, a little, then all at once.
Atalina Wright, Unbound|When we're together, I'm a leaf floating on a pond. Weightlessly in love.
Atalina Wright, Unbound|Every piece of you is a living library of creation. The deeper I look, the more I see.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Being sensitive is a gift that fosters peace. Help create a kinder, gentler world by embracing it.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My life guides offer my comfort, solace, joy, love, and bliss. I gratefully accept it, as needed, for my highest good and the highest good of all life.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am creative, blissful, and blessed!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Every peak and valley of your life has led you to deeper understanding and, ultimately, growing compassion.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I let my love for all flow through art, and I express how I feel.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Go outside, wherever you are, and appreciate each drop of water, each flower, each architectural work of art.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am natured into blissful radiance by nature, Natura, and my elemental friends.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I dance through life, living my bliss, steeped in joy.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Every day could be your last, so share your love far and wide with everyone you adore.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My life is wondrous, and I appreciate it every day!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Cultivating daily calm, even for a few minutes, yields a core of centered wellness.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My inner waters are healthy, balanced, and full of bliss for all time.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I accept love and bliss from benevolent, highly vibrational spirit friends for my highest good.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I jump for joy every day. My body pulses with joy, and my vibration soars. I feel amazing.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Giving from the heart lights a flame of kindness, forever illuminating your world.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I let new experiences enliven my being and awaken new, amazing parts of my being. I experience life with joy and receive its bliss.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Find the beauty in situations where it is not obvious, and you will create voluminous joy in your life.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I live a grateful life, and the result is pure joy and happiness.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|There are endless ways to thank the people who have contributed to your life. Dole out thanks, and your life will bloom.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am nature, and I am grateful.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Loving spirits are with you every step of the way, cheering you on and offering help when they can. You are never alone.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I celebrate who I am, what I love, and all of my blessings that lead to joy.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|In reality, everyone is unlimited. All limits are simply illusions. Understanding is the breeze that sweeps them away.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I celebrate the connections in my life, from my past, present, and future. I joyfully accept love in all its healthy forms!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Animal allies are all around, offering beauty and connection.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I jump into color bliss, today and every day!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|You are part of nature, and its pulse beats in your veins.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am worthy of daily joy, and I will treat myself to a glorious day of complete bliss at least once per month.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Set aside even one day just for fun, and you will improve the next seven.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I boogie my bliss, dance away my density, and jump into joy!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Imagine a brilliant rose of pure love in your heart. Next, see a twinkling flower within the hearts of all you meet.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My ancestors offer me bliss, love, and light. I gratefully receive that which is for my highest good and release the rest back into the pure, white light.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|When we fill our hearts with self-love, we kindle sparks of compassion all around us.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I love myself totally, completely, and unconditionally.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Flowers, trees, and leaves are all gorgeous expressions of nature’s innate joy. Notice the bounty surrounding you.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am filled with abundance, gratitude, and love.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I allow myself to rest deeply and be rejuvenated, trusting the love of the angels to support and hold me for my highest good.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Comfort, joy, and love are key ingredients to a rich, pleasurable life. Prize them.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|In choosing consciousness, we gift ourselves with presence.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I give and accept waves of welcome. I attract wonderful, life-minded friends who enrich my life.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My sacred twins live in blissful harmony, and I am integrated.
Liza D. Osae-Kwapong|A book is like life, there are only so many chapters.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I seize the moment and create bliss, right now!
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I journal my joy, and my joy expands exponentially forevermore. So be it.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|There is something lovable about almost everyone you encounter. Uncover it, and you will experience true compassion.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|You were born of two flawed yet beautiful souls. Happiness is your birthright, and love is your guide.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|When you consciously choose to do what you love, life becomes a pleasure and ceases to be a chore.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My spirit is joyful, and I love my higher self. I am my higher self.
Kandarp Gandhi, Buddhist Banker : Money can't buy happiness, Wisdom can.|Be the change, you seek from society
Germany Kent|Everyday presents a new opportunity to grow and press forward to your success. Stay the course believing that where you are right now doesn't matter, as long as you are moving in the right direction.
Germany Kent|Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.
Eraldo Banovac|Kids, no matter how big your problems are – ask your parents for help and advice.
Germany Kent|If you're struggling today, remember that life is worth living and believe that the best is yet to come. Remember that you are loved, you matter, and never forget that there is always hope.
Germany Kent|God has already equipped you with the skills you need to achieve your dreams. If you just try, work hard, take control of your destiny, remain true to yourself and believe it is possible, you will have unlimited power to achieve the impossible.
Thanhha Lai, Listen, Slowly|At first the weight of loss was thrust upon me so harshly I could only take a short breath, just enough to endure the next few seconds, only to find I must inhale again. Every person in turmoil thinks the boulder on her chest will never lift. Yet the same boulder awakens an equally strong urge to live.
Jane Austen, Pride and Prejudice|Till I have your disposition, your goodness, I never can have your happiness.”~ Jane Austen (Pride & Prejudice)
Scott Stabile|Happiness is not a choice, or we’d all be happy. Let’s stop putting unnecessary pressure on ourselves to be happy all the time, and to pretend we can choose to be happy whenever we want. That’s not how life works. Sure, we can make choices that reflect a commitment to our well-being, and the more of these choices we make, the more likely we are to find ourselves feeling good more often. Healthy choices are within our power, and are important. But we can’t choose happiness, and we just set ourselves up for failure by believing we can. Life is more than happiness, anyway. It’s okay to feel all the things we feel. It’s human. There’s no shame in wanting to be happy, of course. We all want to be happy. But rather than try to choose happiness, maybe we can choose to being kinder and more loving. That we can do. We can work hard to take better care of ourselves, and better care of each other. If we do these things, and we remember that we are all connected, all brothers and sisters, all worthy of love, maybe then happiness will choose us a little more often.
Shah Asad Rizvi|Spirit is a child, the tune of dancing feet its lullaby.
Mirza Sharafat Hussain Beigh|Thirty two men keep guarding the tongue. Since it keeps a sense, still speaks non sense.
Mirza Sharafat Hussain Beigh|She never asked for money, for gifts and priced ones, she always asked me for priceless love that was worth billions, where I failed.
Mirza Sharafat Hussain Beigh|When men at forward fail to achieve the goal, they describe the victory lies in defending.
Jazmeen Osae-Kwapong|You haven't learned anything, until you've read a good book.
Liza D. Osae-Kwapong|Let your love for book grow, as your confidence grows.
Agnes of Rome|I place my trust in You, O adorable Blood, our Redemption, our regeneration. Fall, drop by drop, into the hearts that have wandered from You and soften their hardness.
Matshona Dhliwayo|The sun stands out not because it merely shines, but because it shines on everyone.
Napz Cherub Pellazo|Never doubt, when you begin with something that it will end in failure. Our thought is transformed as picture in our mind.
Maisie A. Smikle|Jesus is in your cornerNo matter how smallOr how large your corner may beLet Him know That you knowHe is thereAnd always will beThat caring friendThat You will always have Now and foreverIs Jesus Christ, Lord and Saviour xoxoxo! muah! lol!He just blew a kiss right in your cornerHave a blessed day!
Rasheed Ogunlaru|There is no shortage of external inspiration. Open your eyes and look and you'll be dazzled by it. But it's nothing if you fail to see the magic, wonder and potential that resides within.
Stalina Goodwin, Dear Beautiful: 31 Days of Affirmations for Women|Often our understanding of ourselves can be ruined by the way we are treated, by things we have done that we are ashamed of, things we have gone through and by our inability to comprehend our own personal loveliness. You have to choose to believe the truth about you which is, you are lovable. You are not a screw up who messes everything up. You are valuable and you are not a waste of space. The world would not be better off without you, in fact, you have a gift to give the world. You have a story that someone else needs to hear.
Susan Meissner, The Girl in the Glass|Shut your eyes to the world of pain, and you also shut your eyes to the world of delight.
Josef Camilleri|Don't be afraid of change. You may lose something good, but you will gain something better.
Kaushik Ram, Hidden World: The Inside Story of the Soul|As with all matters of ht heart, the odds may not be in our favour but it is the only risk worth taking.
Kaushik Ram, Hidden World: The Inside Story of the Soul|As with all matters of the heart, the odds may not be in our favour but it is the only risk worth taking.
Matshona Dhliwayo|If they say you will fall, rise. If they say you will fail, succeed. If they say you will break, kept it together. If they say you will deteriorate, flourish.
Matshona Dhliwayo|A star is not afraid of darkness, for its light comes from within.
Matshona Dhliwayo|In light, there is no darkness; and in darkness, there is no light.
Matisyahu|Life will go on without you, because in the end it's not about you.
Helen Keller|Security is mostly a superstition. It does not exist in nature, nor do the children of men as a whole experience it. God Himself is not secure, having given man dominion over His works! Avoiding danger is no safer in the long run than outright exposure. The fearful are caught as often as the bold. Faith alone defends. Life is either a daring adventure or nothing. To keep our faces toward change and behave like free spirits in the presence of fate is strength undefeatable.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Deep down we all know that freedom is a choice, yet so many of us don’t feel that truth.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|In finding the courage and confidence to escape our cages and shine, we help others do the same.
Matshona Dhliwayo|You were given the problems you have because you can solve them; the burdens, because you can carry them; the trials, because you can overcome them; the opponents, because you can beat them; and the enemies, because you can conquer them.
Matshona Dhliwayo|If you want to know a person’s true character, observe how he treats those who don’t matter.
Matshona Dhliwayo|If you can’t move a mountain by faith, move it by carrying away stone by stone.
Gowtham Gurunath|When people fail to recognize your work just don't give up yet. Because it's not always about the recognition, sometimes it's about the "passion" that we hold onto..!!!
Jerusha Anna Philipose|Make your dreams your goals, so that they are a part of you and not just a wish.
Avijeet Das|As Conor McGregor says he is the best and it is not out of arrogance. When confidence oozes from every inch of you, you know you have it in you! Go ahead! Smash the obstacles! Be the best in whatever you do!
Richard A. Silvia|We are a part of love, not separate from it
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|When you are trapped in a cage with broken wings, freedom can seem like a faraway deeply buried treasure. But it is always within reach.
Suhagini|When life gets too hard on you just forget everything,be yourself and move on
Oprah Winfrey, What I Know for Sure|Every action, thought and feeling is motivated by an intention, and that intention is a cause that exists as one with an effect. If we participate in the cause, it is not possible for us not to participate in the effect. In this most profound way, we are held responsible for our every action, thought, and feeling which is to say, for our every intention…it is therefore, wise for us to become aware of the many intentions that inform our experience, to sort out which intentions produce which effects, and to choose our intentions according to the effects that we desire to produce.
Victoria Barnes|There's power within you, and it's your job to turn the lights on.
A.J. Garces|The only reason you should ever look down on someone, is to help them up.
Atlas Gondal|Don’t take decision blindly, #1 Put yourself in other’s situation#2 Observe the situation#3 Make decision#4 Forgive (If Possible)Because strictness and revenge cannot meet your loss. God is the only one, who can meet your losses! 
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|Everything you do matters. Every time you share and care, the light multiplies.
Matshona Dhliwayo|Spend time with people who enrich your mind, nourish your heart, and illuminate your soul.
Matshona Dhliwayo|Whether your glass is half full or half empty, hope can fill it up.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|Remember, that username is a real person. Choose to spread the love online.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|Kindness alchemizes the soul, and a sweeter, richer life is the delicious result.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|If you knew today was your last day here, how would you share your love with the world?
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|Find the light within you through meditation and introspection, and you will illuminate your life from within.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|You are a dynamo, and every day offers a choice to create a life you love.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|The beauty of compassion is free, and everyone is welcome to it.
Ruthi Postow Birch, How to Build a Piano Bench|If it's the other guy's fault, you can't fix it. Don't blame other people for your problems. That gives them all the power. Own up to your mistakes.
Vinay Garg|Take a leap of faith on your dreams, not for me and not for the society, just for yourself.
Amy Leigh Mercree, The Compassion Revolution: 30 Days of Living from the Heart|Talk to yourself like a cherished friend. Treat yourself with love and care. You are perfect, just as you are.
Matshona Dhliwayo|Anger has great strength, but no brains. Greed has a great appetite, but no heart.Pride has a great spirit, but no soul.
Sid Mittra, To Bee or Not to Bee: Winning Against All Odds|Stop feeling sorry for yourself and get to work, your future lies ahead of you
Sear Greyson|We are made of stars. So, what's impossible?
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Freedom is found within, in the shape of our laughter and the way we love, in the truths that we live by and the stories we become
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Freedom wanders in the landscape of the mind, and nourishes the deepest yearnings of the soul.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|Feeling free is a choice that is ours for the making, ours for the taking at any time, at any age. 
Kayode Ajomole|Man may never stop being inconsistent.For his desires and passions moult consistentlyHusbands, be aware that your wife will always be inconsistent.The woman should know that He will never cease to amaze herHence, tie not your love to your characters.Let your souls cleave.Still he who has erred should be open to corrections for such things can also cleave a non-crossable path between them.
Bernard Kelvin Clive|Masters today, were Starters Yesterday, so begin now.
Sid Mittra, To Bee or Not to Bee: Winning Against All Odds|Bad things happen in life, but we must learn to deal with them and move on
Matshona Dhliwayo|The mind dies, but its thoughts live on. The heart perishes, but its experiences live on. The body expires, but its spirit lives on.
Matshona Dhliwayo|When you look into the mirror, you can’t even see your heart; but when God looks at your shadow, He sees your soul.
Matshona Dhliwayo|The world is already full of critics; to stand out, be an encourager.
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|Excuses, we all have them, but successful choose not to use them
Stacey Chillemi|Optimistic people bring a sense of hope into the world. Encouraging people bring a new meaning to life. They help you see past the clouds on a glooming day. They bring sunlight every day” ― From my book, Faith, Courage, Wisdom Strength and Hope: Inspirational Poetry That Comes Straight from the Heart
ANIKOR Daniel|The elevator to success is out of order, as you climb; you re-arrange to suit your own call.
Tina Hallis, Sharpen Your Positive Edge: Shifting Your Thoughts for More Positivity and Success|In every set of circumstances, we get to create our own experience.
Kate Corsen, Men: The Field Guide|Reflection of the Past, Acceptance of What Was, and the Discovery of the Humor in All ThingsHeals Even the Deepest of Wounds
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|Never live in fear or regret, live in lessons learned that make you better and keep going forward
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|Until you become who you are supposed to become, you will never live how you are supposed to live. Start acting like who you are supposed to become and not who you are now
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|It doesn't matter if you have to kick, crawl, scratch, hop, limp, hobble, or be carried to the finish line. Just make sure you finish you race.
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|For every excuse that you've ever had or came up with of why you can't or couldn't, there's someone who's had that same excuse or even worse, but found a way and did
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|If you see a shot, shoot.
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|Dream again, think again, and live again.
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|You can either complain about it or grind, I choose to grind.
Kyle Vidrine, Wake Up The Winner In You: Your Time Is Now|If you're going to be fighting anyway, why not fight to win and not just to survive.
Mestar Digital|At the end of the day, what makes the biggest difference in your success is the action you take. By Mestar Digital 2017
Mestar Digital|Remember, It doesn't matter what you can do, what really matters is what you will do.
Edward Torvalds|So in my uncertainty, I went to graduate school and their it all happened
Edward Torvalds|So in my uncertainty, I went to graduate school and there it all happened
Matshona Dhliwayo|If the past could be changed, it would not exist. If the future could be stopped, it would not survive. If the present could be avoided, it would not prevail.
Genereux Philip|Overthinking is parasitic. It’s viral. It’s deadly, even. Letting yourself fall victim to overthinking doesn’t just kill your happiness, it destroys who you are. The mind is a beautiful and complex thing, and the only person who can hurt it is yourself.
Vironika Tugaleva, The Art of Talking to Yourself|When you love people, you are curious about who they are, what they think, and how they feel. You watch them closely, wondering about their experience and what you can do to make it more enjoyable. You feel compassion for their pain and seek to make it more bearable. You are eager to learn the unique language of their existence. You want to under-stand them, inspire them, heal them. What if you could look at yourself this way?
Max McKeown, #NOW: The Surprising Truth About the Power of Now|Nowists get off on getting on, so they run when they could walk, jump when they could sit and dance when they could sit at the edge. They regret inaction, so simply act.
Matshona Dhliwayo|If stars avoided the dark, they would not be visible at night.
Matshona Dhliwayo|Because no one is walking in your shoes, only you feel the sores on your feet.
Rasheed Ogunlaru|Friendships - and indeed most relationships - are measured in the closeness of hearts, minds and soul ties... not in the distance of physical miles or even the passing of time.
Kandarp Gandhi, Buddhist Banker : Money can't buy happiness, Wisdom can.|Hard work beats talent, when talent doesn’t work hard
Kandarp Gandhi, Buddhist Banker : Money can't buy happiness, Wisdom can.|When time is not in your favor, be in favor of time
Jennifer Ho-Dougatz|At what point does "one day" become today?
Margueruite Porete|I am God, says Love, for Love is God and God is Love, and this Soul is God by the condition of Love. I am God by divine nature and this Soul is God by the condition of Love. Thus this precious beloved of mine is taught and guided by me, without herself, for she is transformed into me, and such a perfect one, says Love, takes my nourishment.
St. John|Jesus said to her, “I am the resurrection and the life. The one who believes in me will live, even though they die; and whoever lives by believing in me will never die. Do you believe this?
Thomas Kempis|First keep the peace within yourself, then you can also bring peace to others.
Jacqueline Simon Gunn|Between the MileI have always counted the miles.Sometimes they came quick,Other times slow.The distance between things,The way I could know.Close could feel far,And far could feel near.The miles that passed too quickly,The ones I ran out of fear.They weren’t all the same,So I had been told,The unmarked trails,And the days I was bold.Some miles went down,Spiraling so low,When I was afraid to look forward,There was nowhere to go.The sunset came fast,And the day turned to night,But the trails could be endless,If I looked at them right.Everything I knew,All I was told,The conversations left behind,The people who grew old.When the miles stretched out before me,I wanted to sew them at the seam,Looking forward and then back,Holding everything in between.
Debbie Ford, Courage: Overcoming Fear and Igniting Self-Confidence|It takes a warrior's courage to acknowledge that your point of view matters, that your truth matters, that your gifts matter, and that your presence on this earth matters. You don't have to earn this right; it's yours as part of your birthright.
Rasheed Ogunlaru|You are not who you think you are. You are not who they want you to be. You are not merely your colour, class, gender - and so on - these are quite narrow things. You are not the ideas you are given and gather. You are not what you own or lay claim to. You are not even your life story - for that changes through time, perspective, emphasis and many things. You are what resides before, between and beyond all these things." - R. Ogunlaru
Vijay Kedia|Invest like a bull, sit like a bear and watch like an eagle. (mantra for long term investing)
Matshona Dhliwayo|It is impossible for a star to shine and not get noticed, even in the dark.
Jason Dias|The existential hero strives for authenticity even when it is costly, lives meaningfully in the midst of a banal, absurd world, and confronts rather than rejecting reality regardless of the personal cost.
Vijay Kedia|Investing is like Yoga. Body, mind and soul have to be aligned.
Vijay Kedia|Chase the story behind the stock, not the money on the table. Money will make you rich, but the story will make you wealthy.
Matshona Dhliwayo|It is not the size of a seed, but the size of what rises from it.
Vijay Kedia|Read not only between the lines, but also what is not written.
Vijay Kedia|If the management has not performed well in their bad times in the past, chances are they will not perform well in their good times in the future too.
Vijay Kedia|There is large cap, mid cap, small cap. There is also a “BHANGAAR CAP”. More than 4000 out of 6000 companies fit in that category. They show up only in the good times. Be careful
Vijay Kedia|In markets, stupid action does not have equal but severe opposite reaction.
Vijay Kedia|Trading is injurious to your wealth. If you are smoking you may die in 20-30 years whereas by trading, this may happen the very next day.
Vijay Kedia|When we are right, we earn. When we are wrong, we learn.
Valerie J. Lewis Coleman, The Wait of Success: How to Become an Overnight Success in 7,300 Days|Achieving success is like hitting a moving target. Both require accuracy, the ability to counteract external factors and adjusting the sight when necessary.
Brittany Burgunder|Soon, when all is well, you're going to look back on this period of your life and be so glad that you never gave up.
Lalah Delia|Just becauseyou feel lostdoesn't meanthat you are.Sometimes youjust have to relax,breathe deep,and trust the pathyou're on.
Lalah Delia|Shout out to everyone transcendinga mindset, mentality, desire, belief,emotion, habit, behavior or vibration,that no longer serves them.
Matshona Dhliwayo|You can blow out a candle, but you cannot blow out a star.
Matshona Dhliwayo|You are not honored for the fruit you pick, but for the trees you plant.
Steven Cuoco|Once you eliminate the persona that was created to survive. The real you will have permission to come forward, and enjoy the life that is meant to thrive.
St. Vincent de Paul|Charity is certainly greater than any rule. Moreover, all rules must lead to charity.
St. Vincent de Paul|The kingdom of God is peace in the Holy Spirit; He will reign in you if your heart is at peace. So, be at peace, Mademoiselle, and you will honor in a sovereign way the God of peace and love.
Matshona Dhliwayo|Peace gives you the world, laughter gives you the sky, joy gives you the world, and love gives you the universe.
Joseph C. Reyes|Life's a wondrous journey, don't take it for granted.
Matshona Dhliwayo|When you look at a rose try to focus on its beauty, not its thorns.
Apoorva Prajapati|If you wanna capture me,capture me wretched,that's the real me.My brokennessis my beauty.My smile isa brief facade.
Allura Eshmun|We always wanna fight about what we think are our differences, but really we are fighting contrasts of the same.
Aditi Dufare, The Mysterious Night|Never lose hope, for all the interweaved strings will soon straighten out.
Napz Cherub Pellazo|Don't let someone treat you like shit or you're just one of many options,' Know your worth...'Remember!, One of The most powerful thing about time is...it CHANGES..' everything! that defines you' 
Lailah Gifty Akita|If you persist, you will prevail.
Aditi Dufare, The Mysterious Night|Frequently in life, you have to take irrelevant paths in order to reach the correct destination.
Matshona Dhliwayo|You are strong because of what you overcame, brave because of what you defeated, fierce because of what you mastered, and powerful because of what you conquered.
Matshona Dhliwayo|Wisdom is a great prophet, faith is a great warrior, knowledge is a great sage, and virtue is a great priest.
Agu Jaachynma N.E.|Being in the Word is Far More Important than Being in a Ministry...If You Are in a Ministry Without Being in the Word, You have Lost it.
Vishvendra Singh Nathawat|Don't be an Extraordinary, you have to be extra in Extraordinary
Mlungisi Simelane|As soon as God tells you what He wants you to do, the enemy will start telling you why you are unqualified. Learn to identify the lies of the enemy. Don't let satan plant insecurity where God is growing your destiny. Be planted in God's purpose
Kristin Anderson Cetone, Buckaroo Buckeye: A Little Nut with Big Dreams|Discouraging words...discourage dreams,Encouraging words...sprout dreams,Parents plant the seeds!
Ted Pachino|The World of Today, Few People have Everything while Many People have Nothing.
Matshona Dhliwayo|If you want to know how fortunate you are, visit three places: the slum, the hospital, and the cemetery.
Napz Cherub Pellazo|Count your blessings take care of the people you love.'Happy father's day to all the greatest POP,DAD,KIN in the world.
Wayne Chirisa|Leaders cannot build a successful nation once they are yoked to these two evils, ignorance and greed.
Brittany Burgunder|Hold yourself back, or heal yourself back together. You decide.
Lailah Gifty Akita|What it is, it is.
