Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Matshona Dhliwayo|Money can't buy love, except on Valentine’s Day.
Omoakhuana Anthonia|Be like Jesus. Live love, speak love, think love…..do all things in love.
Dancolin Flamiano|Do not think that love, in order to be genuine, has to be extraordinary. Real love is simple, everyday kind of thing. A smile, a hug, an encouragement. Continuous love without effort.
Matshona Dhliwayo|Be like the sun; bear with those in the dark, but keep shining your light.
Matshona Dhliwayo|Love your friends with your eyes closed, but love your enemies with both eyes open.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Spend your time with those who love you unconditionally, not with those who only love you under certain conditions.
Eileen Anglin|Love, positivity and gratitude are the most essential ingredients to a happy and fulfilled life.
Deepak Chopra, The Path to Love: Spiritual Strategies for Healing|The energies that make us act out of anger,fear,insecurity and doubt are extremely familiar. They are like an old,dark house we return to whenever things get too hard to handle.It feels risky to leave this house and see what's outside,yet we have to leave if we expect to be loved.So we take the risk.We walk out into the light and offer ourselves to the beloved.This feels wonderful;it's like nothing we have imagined in our old,dark house.But when things get tough,we run back inside,we choose familiarity to fear and lovelessness over the vulnerability of love, until finally we feel safe enough to go back and try love again.This is essentially the rhythm of every intimate relationship-risk and retreat. Over and over we repeat this rhythm,accepting love and pushing it away until finally something miraculous happiness. The old,dark house isn't necessary anymore.We look around, and we have a new house, a house of light. Where did it come from?How did we build it? It was built from the love of the heart.It has silently been weaving our higher and lower natures,blending fear,anger,survival and protection into the energies of devotion,trust,compassion and acceptance.
Matshona Dhliwayo|When love arrests your heart, pray she sentences it for eternity.
Lily Amis, Angel of Love  Lily: Zak, My Sweet Inspiration|I will always miss the person I thought U are. But not the selfish, unkind, insensitive and heartless person U turned out to be.
Mark Leiren-Young, Free Magic Secrets Revealed|Like all great adventures, this one started with someone trying to get laid. King Menelaus didn’t go to Troy for the baklava.
Matshona Dhliwayo|If all you have is money, you are among the poorest people in the world.
Maquita Donyel Irvin, Stories of a Polished Pistil: Lace and Ruffles|She was rare, few and far betweenShe suspected he would be as wellAnd the thought of two rare, few and far between individualsDoing all that was necessary for that rare, few and far between Meeting to occurDrove her to write
Tamike Wright|I can paint you a picture, but to really enjoy what I'm enjoying; you need to be intertwine with me.
Henry Johnson Jr, Liberian Son|In life, we are constantly growing.There are no true adults because our life experiences and sometimes unfortunate conditions show us that constant growth is part of the human story.
Rachel C. Weingarten, Ancient Prayer: Channeling Your Faith 365 Days of the Year|The world can be a great big scary place,and finding a soul mate is no simple task.But if you’re lucky enough to do just that,sometimes that’s all that you need: one personto belong to—who also belongs to you.
S.A. Wolfe, Faithful|It’s frightening because love is unpredictable, emotionally unstable, and uncontainable.
Matshona Dhliwayo|If you want the most beautiful fish in the sea, make sure you have the most appealing bait.
Matshona Dhliwayo|Be calm on your wedding day; she won’t kill you in front of a hundred people, no matter what you've done.
Mark Kirkbride, Satan's Fan Club|It was true. She was his soul’s star. His heart ignited every time she came into the room, flared with every just-so gesture. Anything she touched became instantly talismanic.
Matshona Dhliwayo|Love is a hook; the moment a man swallows it, a woman knows she has him forever.
A.A. Gupte, Unfinished|The suffering was shaping her perception about life, her values, priorities, goals and dreams.
Laarni Venus Marie Giango|When I am with you, I am invincible.When I am with you, your kind and loving presence strengthen me down to my very core.When I am with you, I finally know what heaven on earth feels like.For when I am with you, I am the best I could be.I'd rather walk through the burning coals of hell than enjoy comfort and luxury with someone else.For life without you, is not life at all. I love you.
Laarni Venus Marie Giango|A woman can only stay in love with a man for as long as she continues loving herself when she's with him. As soon as she starts to hate who she has become while in the relationship, she will move heaven and earth to end it. Does she get hurt? Definitely. It doesn't mean that she wants to leave her love for him has faded or diminished. However, just like the most basic rule of human existence, you cannot continue giving what you do not have.
R. Queen, Darkchylde: The Ariel Chylde Saga|If you love something, love it completely, cherish it, say it, but most importantly, show it. Life is finite and fragile, and just because something is there one day, it might not be the next. Never take that for granted.Say what you need to say, then say a little more.Say too much. Show too much. Love too much.Everything is temporary but love.Love outlives us all.
Nina LaCour, You Know Me Well|You're never going to be ready"..."Don't you see that? You have to forget about ready. If you don't, you're always going to run away
Levon Peter Poe|If you love someone, you NEED to tell them this:"I AM YOURS!NO ONE can make me change that. I SUBMIT my heart to you. I give you MY LIFE not because I have to but because I trust you to care for it. I Love you. That shall never change. EVER!"Say it to them so they hear it. Prove it to them so they KNOW IT.Live it with them so they never doubt it.
Levon Peter Poe|If you love someone, you NEED to tell them this:"I AM YOURS!NO ONE can make me change that. I SUBMIT my heart to you. I give you MY LIFE not because I have to but because I trust you to care for it. I Love you. That shall never change. EVER!"Say it to them so they hear it. Prove it to them so the KNOW IT.Live it with them so they never doubt it.
Kashish Gurung|I'll fall for you, if you fall for me"that's not how love's supposed to be;its when you seek solace in pain and love retains without complaints.
Levon  Peter Poe|I will sail upon a sea of light,My guide above and below the stars.My heart for you is in flightAnd I shall come to you in your arms this night
Lorna Jane Cook, Outside Wonderland|Even so, in the midst of this complicated love, there is a holy union.
Sami Abouzid|The Wicked ones always thinking that reaching out for someone is nothing but a sign of weakness , so from their point of view , reaching out for someone you loved with your heart, mind & soul is a weakness ,I think it’s nothing but a trash talk , now while trying to reach out for you I’m stronger than ever , emotionally , physically & mentally and I’m not expecting in thing in return even meeting you in person . Life is weird.
Abhishek Sachdeva|Love is not about only about caring, but it is also about what type of feeling for caring
Kerr E. Lorenz|I thought I saw a memory." The nun looks at her funny as the bus turns into a position she can no longer see Elathan."What do you mean dear?" She turns to the nun."I don't know exactly, I saw a face that looked like a long lost memory trying to push its way back into my head. Something powerful, something good." Michael was right. She had pushed all the memories of her father's death deep into the back of her mind, including Elathan. She shakes it off.
James Perrin, The Occasional Swearing Of Hitched Perrin|It's far too easy to forget, miss or not appreciate the tiny things a partner does for you every single day. But should you wait until it's over or they've gone to whisper (I love you) just one more time?
Eyden I.|It hurt when someone lies to you, and you know that. But you believe him instead because you love him.
Faisal Attari|No,matter how sinful we are there is a way to repent.
Tamara Stamenkovic|You found me under the thousand stars, shining above us at the night. You found me and you wanted me to shine for you.
Ha Myung-hee (writer), said by Dr. Jung YoonDo, Doctors (닥터스)|I'm going to go where my heart takes me, even if it's a messy road.
Bangambiki Habyarimana, Pearls Of Eternity|Don't constantly make angry your wife. Once she throws you out of her heart, there is no appeal
Ridhdhesh Jivawala|I'm always with you:-Hey,I'm with you,I'm always standing behind you ,To hold you whenever you fall.To fix your broken pieces,To hold your side &To hold your hand, even if everyone else refuse to.I'm always with you,No matter how much hard it become,& It doesn't matter, even if we had fight or some misunderstandings,Or since how long we last talked,But whenever you're in need,I'm always with you.I'm always with you,Without asking a single thing from you in return,Not even with any expectations,I'm with you because,I believe in you,I always care,I always understand things,That you fail to explain,That you feel shy to share& I understand even if you don't say.That's why I'm always with you..! ❤
N'Zuri Za Austin|Can still windmills, still produce wind? Can a heart still love, when a heart no longer is?
James Emlund|When a heart has set a course, let it navigate the laughter in failure and generosity in overcoming crisis. Love weaves lives and distills.
Bangambiki Habyarimana, Pearls Of Eternity|Men are handicapped in love, either in giving or in receiving. They consider love as a sign of weakness
Bangambiki Habyarimana, Pearls Of Eternity|Forgiveness is all about love. Where love abounds, there forgiveness will not tarry
Bangambiki Habyarimana, Pearls Of Eternity|If someone can't forgive, it's because he does not love
Bangambiki Habyarimana, Pearls Of Eternity|When something or someone you dearly love is snatched away from you, something of you go with it. You become emotionally amputated
Elie Jerome, I Dare You to Try It|People may say many negative things about love, but it will remain the most beautiful sensation and strongest emotion ever felt. Love opens sky, makes the sun shine at midnight, stops time, and cure all wounds. Love is paradise and love is God.
Nino Varsimashvili|Love is the strength through which a heart starts speaking,Vertiginous windstorm that opens the door to madness.An inspiration that keeps us awake whilst sleeping,Magical breeze that blows away the sadness.
Matshona Dhliwayo|Women are the best thieves you will ever meet; they steal your heart and your last name, but never get to spend the night in jail.
Ernest Agyemang Yeboah|Though a new cloth makes you look new, when you see the old cloths, you remember the old life
Rohit  Sharma|One of the most difficult things is to be friends with someone you love so immensely. It hurts. And the worst part is, you have to veil your pain with a smile. And every bit of that smile hurts too.
Matshona Dhliwayo|Before letting someone hold your heart in their hands, make sure their hands are clean.
Steve Goodier|After you are gone, people may forget most of what you have said and done. But they will remember that you loved them.
Bangambiki Habyarimana, Pearls Of Eternity|Sometimes I reach the highest heights of hope, at other times I reach the deepest of despair. Sometimes I am happy, at other times I am sad. At some point I am a believer, and at some other time an unbeliever. Sometimes I love, some other times I hate. That’s what it means to be human.
Kilroy J. Oldster, Dead Toad Scrolls|We must account for the life that we lived. A person inevitably will ask himself or herself on their deathbed, ‘what was the aim of my life,’ ‘what did I accomplish,’ ‘what did I not accomplish,’ ‘what would I alter if I could live my life all over again’? What we discover on our deathbeds is that material luxuries afford no solace. We cannot purchase, possess, or legally acquire what is pure: love, beauty, truth, goodness, and imagination.
Anamika Mishra, Voicemates: A Novel|If there is a reason, if it makes sense, if it's making you demand something in return... Trust me, its NOT love!
Kilroy J. Oldster, Dead Toad Scrolls|We must be able to love other people or forever endure the stain of disgraceful loneliness. By recognizing and expressing empathy for other people, we come to accept our own fallibility.
Genereux Philip|CAME" - Crownless Ambition Must Emerge - Genereux Philip
Emilyann Girdner|Together, we overcome the drought of happiness and goodness, by seeing our glasses half full and helping fill others’ glasses back up with love.
Rasheed Ogunlaru|It's is not enough just to follow your heart. Use it in every breath and in each step. Meet and greet everyone with it. Put it into all you do, every dish you eat and all you create. Then your life and those of those you come into contact with will be truly rich - beyond material and transient things.
Matshona Dhliwayo|If your heart truly stops when she looks at you, how come you are still alive?
Matshona Dhliwayo|Love is the luckiest tenant in the world, living in the hearts of men and women rent free.
Matshona Dhliwayo|If love was a sin, God Himself would be in the hottest part of Hell.
Haruki Murakami, South of the Border, West of the Sun|Even now, whenever I think of her, I envision a quiet Sunday morning. A gentle, clear day, just getting under way. No homework to do, just a Sunday when you could do what you wanted. She always gave me this kick-back-and-relax, Sunday-morning kind of feeling.
Ashley Jade, Blame It on the Shame|He lifts my chin and looks at me. “I don't want to break you, Lou-Lou.” He leans his forehead against mine. “But sometimes you have to break in order to be fixed. And if you trust me enough to fall apart, I swear...I'll put you back together again.
S.W. Collins|You are a full of beautiful madness, an unreasonable reason, but you make sense in all things senseless.
Anuradha Bhattacharyya, The Road Taken|Maybe, peace was preferable to pleasure. Maybe, peace is one’s first love.
Dipin Damodharan|We are still living with the ideology of compromise, not with the ideology of recognition
Jojo Moyes, After You|I'm not letting go of you" - Sam
Anuradha Bhattacharyya, One Word|We are on a stroll, hand in hand, in a garden, in the moonlight and the sole purpose of such a venture is to come together in love.
Matshona Dhliwayo|Time stops when you are in love, even as you age.
Bonita Venter|Sometimes the mind silence the heart, cause it is afraid of what it might say
Ika Natassa, The Architecture of Love|Romance is good, you know
Mehmet Murat ildan|If there is a very strong love behind you that you can lean against to it, nothing can ever shake you very strongly!
Divyen|The way you look at me even if we're surrounded by crowd, is the thing makes me fall in love with you all over again..<3
Kshanasurya|Her Smile, The Sole Reason I want to Live !
Prince Maxon, "The One" by Kiera Cass|Break my heart. Break it a thousand times if you like. It was only ever yours to break anyway.” "Shhh," I urged.“I'll love you until my very last breath. Every beat of my heart is yours. I don't want to die without you knowing that.”"Please don't," I choked.
Anuradha Bhattacharyya, The Road Taken|I always feel that one should be loved passionately, not as a matter of course.
Ahmad Ardalan, Baghdad: The Final Gathering|You asked if I loved her? I can't even whisper her name, my heart would burst out of my chest.
Daniel Friday Danzor|Just because you took longer than others, doesn’t mean you failed.
Brittany Noel Bostic, The Fight|What is the difference? Tell me what is the difference between you and me. We both kill for what we want," the man asks."We lived here first.
Matshona Dhliwayo|Love is the only criminal who, after stealing your heart, convinces you to celebrate her.
Faraaz Kazi, More Than Just Friends|When you love someone, you become immune to the hurt they cause you. You don’t love hoping to get something in return, you love because you have to. In its extreme form, it is a need to give, not a need to get.
Matshona Dhliwayo|Hate spreads in the direction it is blown, but love spreads in all directions.
Kemi Sogunle, Being Single: A State For The Fragile Heart: A Guide to Self-Love, Finding You and Purposeful Living|Don't let your focus be so much on how many times you go on a date but how you can build into one another, share and carry each other's vision, complement each other, develop a deeper level of friendship; grow spiritually together and make the little things meaningful. It's beyond the 100% but more about how committed and dedicated you are daily. Love can only truly exist, when you become selfless and focus less on what is in it for you.
Ernest Agyemang Yeboah|Realize your true strength when people reject you. In actual fact, they do not reject you. They only show you your real strength
Ashley Jade, Blame It on the Shame|Girls like me don't get the fairytales. Because the white knights never want the dirty, damaged girls. They know there's nothing left of us that's salvageable...nothing left of us that hasn't already been taken and destroyed. And saving us? Will only ruin them.
Ernest Agyemang Yeboah|If you want to feel the sunshine, change position!
Srividya Srinivasan|Love dies when the lover in us dies. It snaps when the lover in us gives up in defeat. When the cold, practical us takes over the the self-image of us a lover. When the lover in us wins, the practical us recedes and the magic takes over, and when the lover in us loses, the practical us takes over and the magic recedes and the more the lover in us dies, the less courage we have in magic until we reach a point where we even disbelieve the very notion of magic, and magic within us. Who would believe the madness of moonlight in broad daylight? Love dies from hunger for love that love is unable to feed. If I tell you that just as the cold rays of harsh sunlight shall give away to the silver cool of the moonlight beams, your disbelief can turn to magic,are you going to believe? That the stars are there even during the day, that we are the ones unable to see, would you believe?
Matshona Dhliwayo|If you blame gravity for falling in love, even God has the right to laugh at you.
J. Raymond|I was well aware of her ghosts. I'd met them, once or twice, during her darkness nights. "I knew you were my one when you wouldn't run," she said. How could I? Of course I stayed, when her ghosts scared my own away. What others were too afraid to see, meant everything to me.
J. Raymond|It's not about who loves her. It's about how you love her. You have to learn the difference between what she says, and what she means. Don't just make her laugh. Try and understand why she smiles. Plenty have told her she's beautiful, but can you make her feel that way too? There's a difference, see. Compliments might cage her, while empowerment sets her free. My God, what matters to her is not just who flatters her. There's a language to her love you'll need to learn. Speak it true, and I promise you, the best of her, is what you'll earn.
J. Raymond|She played hard to get, because she was. And it wasn't a game to her to play. She was hard to get, and hard to get. Don't you understand? She was the one that got away. Either way, if she stayed or strayed, you were better for loving her. And if she loved you back, you learned to breathe easy. Like the air in your world was lighter with her in it. We all know that one we will always look back on and wonder "What if?"....She's hard to get, harder to keep, and hardest to forget.
Kilroy J. Oldster, Dead Toad Scrolls|We wait too long to tell the people we love that they are the very reason that we exist. We assume that our wife, child, other family members, and friends understand our love and affection. We assume that people we care about understand our enigmatic idiosyncrasies and willingly accept the shrouded reasons behind our demonstrable oddities. We assume that other people sense that we struggle valiantly in our blackened landscape. We presume that other people comprehend our struggle to glean meaning amongst the ashes spewed from the absurd circumstances that we operate. Sometimes we need to stop and tell the tenderhearted persons whom we care about that we love them and explain that our awkward strangeness is not a rejection of them.
Mansi Laus Deo|We are just too blinded by the phrase, "grow old together" and learning its meaning from hopeless movies and novels that glorify undying love and unbelievable understanding. Don't you think? Reality is... Love dies. People change. And we grow old together in present. Today, tomorrow, and every day after that.It's not about eternity. It's not till death do us part.It's about today. This day. And I believe only in today.So, come! Let's grow old together today!
E.M. Denning, Boomerang|Through a veil of tears I watched the city get smaller and smaller. It was funny, because it sort of felt as if my heart was doing the same thing.
N'Zuri Za Austin|Tonight, can we just pretend that you want me too?
J. Raymond|She'll let you put her in her place, But she won't stand for anything worse than first.
Kilroy J. Oldster, Dead Toad Scrolls|Love is a form of energy, and similar to all forms of energy, it is both essential for life and dangerous. Love can enrich a person’s life or destroy a person’s world. Love is a catalytic agent of change because it makes us dare to become the best person that we can be. Falling in love for the first time drives a person to the cusp of madness, while the bitter aftermath of a love lost irrevocably alters the positive and negative aspects of a person’s character. Withstanding rejection by a lover, we discover within us those ingredients that we will need in order to find our life mate and complete ourselves as man and woman.
N'Zuri Za Austin|Tonight, can we just pretend you want me too?
E.M. Denning, Boomerang|One month. Thirty days. I could bury myself in my art and forget the feel of his lips sliding across mine. I could forget the scent of his cologne, the way my body reacted when he touched me. I sighed. Thirty days suddenly seemed like an eternity.
Mansi Laus Deo|You deserve someone so much better.""You will find someone better so soon that you wont even know.""I told you, he/she wasn't good enough for you.""Oh c'mon! He/she wasn't the ONE for you.""Things will soon be fine. It's just a phase.""He/she will never find anyone better than you. Let him/her rot in hell."Gradually, you realize that all these are STANDARD statements that everybody makes to everyone. Because they don't have anything else to say.But, only your heart knows what you actually want to hear is something else. Entirely different.How you actually want and need to be handled is different. But, you don't say. Because you are scared to lose what's now left with you, and that's completely fine. To be protective of what's left. Because you can't bring back the dead!However, you also realize, that out of all these people there was only one who had the courage to show you a mirror and not be shattered by your wrath.You realize that there was only one set of arms, that were your sanctuary even though you twisted them in an outburst of anger.Not suddenly, but really slowly it settles within you, that it was only one person who knew you inside out and had the bravery to handle you at your worst.Even more slowly it settles you let that person drift away when you wanted them to run back to you and hold onto you.And so you are left with people telling you, "life moves on" and no one telling you, "Let's just pause it here!
E.M. Denning, Boomerang|We’ll have to go back there one day, the both of us. You can show my all your favorite places.”“Silly man,” I laughed and pulled his face down to mine. “You are my favorite place.
E.M. Denning, Boomerang|I opened my eyes to find a fuzzy face staring into mine. I laughed and scratched Boomer’s head. “Your dog is a pervert, he watched the whole thing.
E.M. Denning, Boomerang|Eli had shone a light into my world, he'd lit up the dark corners just by existing and even if I walked away now, I knew I'd ache for him.
Kilroy J. Oldster, Dead Toad Scrolls|Love and marriage represent the cumulative product of several judgments. Love is an instinctive human emotion that entails deliberation and reflection. The first decision is whether to love, then whom to love, and finally whether to pledge spending a lifetime together. Love is a feeling and similar to other strong feelings it might vanish. A person does not marry every time that they fall in love. Marriage requires a person to foresee that their love will endure the mutual wants and needs of both people.
Yannick Murphy, Here They Come|We dream of him and in the morning we tell each other our dreams where he is living with us again, fixing salads, whistling, standing in doorways. Our mother tells us there was a time before they thought to marry when he wrote her every day, long letters with a date and a time in the upper right corner, the hour always late and the pages sometimes stained purple by wine that had spilled as he lifted the glass and drank while he wrote … Our mother says not to throw the letters out, they are all that’s left of the love she’ll never feel again.
David Levithan, How They Met, and Other Stories|I didn't want to see her. I was desperate to see her. I wanted to hold it together. I wanted to melt down right at her feet and scream, Look what you've done to me.
Deepak Ranjan, Nights of the Velvet: A Conditional Dream|Your sketch is beyond the imagination, it’s beyond thevast sea with full of emotion. A wide space is there between the two, a space of freedom, space of flexibility, though they were quite close to each other, but they are not restricted to anything. When you restrict your mind, your relation starts taking a reverse direction’. Once again, the letter reminded me of Neha’s emotion, her attachments for me…
Deepak Ranjan, Nights of the Velvet: A Conditional Dream|Can you trust me, once again…? Won’t you feel guilty accepting me with my wrongs…?’ I whispered.‘No… never…’ she hugged me tight, I rubbed my hand on her hairs , pat on her shoulder and said sorry for making her cry.
Tarang Sinha, We Will Meet Again...|Sometimes, we are simply trapped in the cage of our own emotions, unable to break those bars. It hurts!
C.S. Lewis, The Four Loves|Friendship ... is born at the moment when one man says to another "What! You too? I thought that no one but myself . . .
Bob Marley|The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.
Joan Powers, Pooh's Little Instruction Book|If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.
A.A. Milne, The House at Pooh Corner|Piglet sidled up to Pooh from behind. "Pooh!" he whispered."Yes, Piglet?""Nothing," said Piglet, taking Pooh's paw. "I just wanted to be sure of you.
Linda Grayson|There is nothing better than a friend, unless it is a friend with chocolate.
Helen Keller|I would rather walk with a friend in the dark, than alone in the light.
Sarah Dessen, Someone Like You|Life is an awful, ugly place to not have a best friend.
E.B. White, Charlotte's Web|Why did you do all this for me?' he asked. 'I don't deserve it. I've never done anything for you.' 'You have been my friend,' replied Charlotte. 'That in itself is a tremendous thing.
Muhammad Ali|Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.
J.K. Rowling, Harry Potter and the Deathly Hallows|He must have known I'd want to leave you.""No, he must have known you would always want to come back.
A.A. Milne, Winnie-the-Pooh|It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like "What about lunch?
Alice Walker|No person is your friend who demands your silence, or denies your right to grow.
Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934|Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.
S.E. Hinton|If you have two friends in your lifetime, you're lucky. If you have one good friend, you're more than lucky.
Stephen King, Rita Hayworth and Shawshank Redemption: A Story from Different Seasons|Some birds are not meant to be caged, that's all. Their feathers are too bright, their songs too sweet and wild. So you let them go, or when you open the cage to feed them they somehow fly out past you. And the part of you that knows it was wrong to imprison them in the first place rejoices, but still, the place where you live is that much more drab and empty for their departure.
William Shakespeare, The Passionate Pilgrim|Words are easy, like the wind; Faithful friends are hard to find.
Margaret Lee Runbeck|Silence make the real conversations between friends. Not the saying, but the never needing to say that counts.
Charles Lamb, The Life, Letters and Writings of Charles Lamb|Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.
Ralph Waldo Emerson|The glory of friendship is not the outstretched hand, not the kindly smile, nor the joy of companionship; it is the spiritual inspiration that comes to one when you discover that someone else believes in you and is willing to trust you with a friendship.
P.C. Cast|If you have good friends, no matter how much life is sucking , they can make you laugh.
Emilie Autumn, The Asylum for Wayward Victorian Girls|It gives me strength to have somebody to fight for; I can never fight for myself, but, for others, I can kill.
Stieg Larsson, The Girl with the Dragon Tattoo|Friendship- my definition- is built on two things. Respect and trust. Both elements have to be there. And it has to be mutual. You can have respect for someone, but if you don't have trust, the friendship will crumble.
J.R.R. Tolkien, The Return of the King|I am glad you are here with me. Here at the end of all things, Sam.
J.D. Salinger, The Catcher in the Rye|I am always saying "Glad to've met you" to somebody I'm not at all glad I met. If you want to stay alive, you have to say that stuff, though.
Oscar Wilde|Anybody can sympathise with the sufferings of a friend, but it requires a very fine nature to sympathise with a friend's success.
James Lecesne|This is how it works. I love the people in my life, and I do for my friends whatever they need me to do for them, again and again, as many times as is necessary. For example, in your case you always forgot who you are and how much you're loved. So what I do for you as your friend is remind you who you are and tell you how much I love you. And this isn't any kind of burden for me, because I love who you are very much. Every time I remind you, I get to remember with you, which is my pleasure.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|Harry - you're a great wizard, you know." "I'm not as good as you," said Harry, very embarrassed, as she let go of him."Me!" said Hermione. "Books! And cleverness! There are more important things - friendship and bravery and - oh Harry - be careful!
George R.R. Martin, A Game of Thrones|When the snows fall and the white winds blow, the lone wolf dies but the pack survives.
John Steinbeck, Of Mice and Men|I got you to look after me, and you got me to look after you, and that'swhy.
Richard Bach|Can miles truly separate you from friends... If you want to be with someone you love, aren't you already there?
Sylvia Plath|We should meet in another life, we should meet in air, me and you.
Marilyn Monroe|When you have a good friend that really cares for you and tries to stick in there with you, you treat them like nothing. Learn to be a good friend because one day you're gonna look up and say I lost a good friend. Learn how to be respectful to your friends, don't just start arguments with them and don't tell them the reason, always remember your friends will be there quicker than your family. Learn to remember you got great friends, don't forget that and they will always care for you no matter what. Always remember to smile and look up at what you got in life.
Rick Riordan, The Last Olympian|Once she was gone, I knelt next to Annabeth and felt her forehead. She was still burning up."You're cute when you're worried," she muttered. "Your eyebrows get all scrunched toge
A.A. Milne, Winnie-the-Pooh|I don’t feel very much like Pooh today," said Pooh."There there," said Piglet. "I’ll bring you tea and honey until you do.
A.A. Milne, Winnie-the-Pooh|Piglet noticed that even though he had a Very Small Heart, it could hold a rather large amount of Gratitude.
F. Scott Fitzgerald, The Great Gatsby|They’re a rotten crowd’, I shouted across the lawn. ‘You’re worth the whole damn bunch put together.
Aristotle|Wishing to be friends is quick work, but friendship is a slow ripening fruit.
J.K. Rowling, Harry Potter and the Half-Blood Prince|We'll be there, Harry," said Ron"What?""At your Aunt and Uncle's house," said Ron, "And then we'll go with you wherever you're going.""No-" said Harry quickly; he hadn't counted on this, he had meant them to understand that he was undertaking the most dangerous journey alone. "You said it once before," said Hermione quickly, "that there was time to turn back if we wanted to. We've had time, haven't we? We're with you whatever happens.
John Green, Looking for Alaska|I wanted to be one of those people who have streaks to maintain, who scorch the ground with their intensity. But for now, at least I knew such people, and they needed me, just like comets need tails.
Jim Henson, Favorite Songs from Jim Henson's Muppets|There's not a word yet, for old friends who've just met.
R.J. Palacio, Wonder|Courage. Kindness. Friendship. Character. These are the qualities that define us as human beings, and propel us, on occasion, to greatness.
A.A. Milne, Winnie-the-Pooh|I wonder what Piglet is doing," thought Pooh. "I wish I were there to be doing it, too.
Jim Butcher, Proven Guilty|I don't care about whose DNA has recombined with whose. When everything goes to hell, the people who stand by you without flinching--they are your family.
Nicole Richie|It's hard to tell who has your back, from who has it long enough just to stab you in it....
John O'Donohue, Anam Cara: A Book of Celtic Wisdom|One of the tasks of true friendship is to listen compassionately and creatively to the hidden silences. Often secrets are not revealed in words, they lie concealed in the silence between the words or in the depth of what is unsayable between two people.
Ray Bradbury, Fahrenheit 451|We cannot tell the precise moment when friendship is formed. As in filling a vessel drop by drop, there is at last a drop which makes it run over; so in a series of kindnesses there is at last one which makes the heart run over.
J.K. Rowling, Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination|I have one last hope for you, which is something that I already had at 21. The friends with whom I sat on graduation day have been my friends for life. They are my children’s godparents, the people to whom I’ve been able to turn in times of trouble, friends who have been kind enough not to sue me when I’ve used their names for Death Eaters. At our graduation we were bound by enormous affection, by our shared experience of a time that could never come again, and, of course, by the knowledge that we held certain photographic evidence that would be exceptionally valuable if any of us ran for Prime Minister.
Albert Einstein|However rare true love may be, it is less so than true friendship.
Walter Dean Myers, Slam!|Cutting people out of your life is easy, keeping them in is hard.
Henry David Thoreau|The greatest compliment that was ever paid me was when one asked me what I thought, and attended to my answer.
Chuck Palahniuk, Fight Club|It's not love or anything, but I think I like you, too.
Tahereh Mafi, Ignite Me|Are you out of your goddamn mind? You think we can take on two hundred soldiers? I know I am an extremely attractive man, J, but I am not Bruce Lee.”“Who’s Bruce Lee?”“Who’s Bruce Lee?” Kenji asks, horrified. “Oh my God. We can’t even be friends anymore.”“Why? Was he a friend of yours?”“You know what,” he says, “just stop. Just—I can’t even talk to you right now.
Socrates|Be slow to fall into friendship, but when you are in, continue firm and constant.
J.K. Rowling, Harry Potter and the Deathly Hallows|You think I'm a fool?" demanded Harry."No, I think you're like James," said Lupin, "who would have regarded it as the height of dishonor to mistrust his friends.
George R.R. Martin, A Feast for Crows|My old grandmother always used to say, Summer friends will melt away like summer snows, but winter friends are friends forever.
Ralph Waldo Emerson, Essays: First Series|A friend is a person with whom I may be sincere. Before him I may think aloud. I am arrived at last in the presence of a man so real and equal, that I may drop even those undermost garments of dissimulation, courtesy, and second thought, which men never put off, and may deal with him with the simplicity and wholeness with which one chemical atom meets another.
Sarah Dessen, What Happened to Goodbye|Two a.m.' He swallowed, then said, "You know. The person you can call at two a.m. and, no matter what, you can count on them. Even if they're asleep or it's cold or you need to be bailed out of jail...they'll come for you. It's like, the highest level of friendship.
Vincent van Gogh|Close friends are truly life's treasures. Sometimes they know us better than we know ourselves. With gentle honesty, they are there to guide and support us, to share our laughter and our tears. Their presence reminds us that we are never really alone.
Arthur Conan Doyle, Sherlock Holmes: Adventure of the Creeping Man|Watson. Come at once if convenient. If inconvenient, come all the same.
Stephen Chbosky, The Perks of Being a Wallflower|If you care about somebody, you should want them to be happy. Even if you wind up being left out.
Lois Wyse|A good friend is a connection to life - a tie to the past, a road to the future, the key to sanity in a totally insane world.
Nicole Richie|True friends are like diamonds – bright, beautiful, valuable, and always in style.
