Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
Steve Maraboli|Don't be fooled... If they gossip to you, they'll gossip about you.
James Hauenstein|The Dictionary defines Soul Mate as: A person who is perfectly suited to another in temperament. Before I met mine, I didn't know I was bonkers!
Simone de Beauvoir, Memoirs of a Dutiful Daughter|Jaques was only what he was; but from a distance he became something more, became everything to me, everything I did not possess. It was to him I owed pains and pleasures whose violence alone saved me from the deserts of boredom in which I found myself bogged down.
Nikita Dudani|When you feel that a relationship is not same as it was and it is lacking the old charm, love, and magic - give it some space. We often complicate things by wondering how to fix it. At times, just some space and unsaid love can heal even those wounds that are deeply engraved.
Cynthia D'Aprix Sweeney, The Nest|This was the part she hated, the part of a relationship that always nudged her to bail, the part where someone else’s misery or expectations or neediness crept into her carefully prescribed world. It was such a burden, other people’s lives. She did love Leo. She’d loved him in a host of different ways at different times in their lives, and she did want whatever their current thing was to continue. Probably. But she always came back to this: She was so much better at being alone; being alone came more naturally to her. She led a life of deliberate solitude, and if occasional loneliness crept in, she knew how to work her way out of that particular divot.
Ken Follett, Winter of the World|I think there are two kinds of marriage," Ethel said thoughtfully. "One is a comfortable partnership, where two people share the same hopes and fears, raise children as a team, and give each other comfort and help." She was talking about herself and Bernie, Daisy realized. "The other is a wild passion, madness and joy and sex, possibly with someone completely unsuitable, maybe someone you don't admire or don't even really like." She was thinking about her affair with Fitz, Daisy felt sure. She held her breath: she knew Ethel was now telling her the raw truth. "I've been lucky. I've had both," Ethel said. "And here's my advice to you. If you get the chance of the mad kind of love, grab it with both hands, and to hell with the consequences.
Audrey Niffenegger, The Time Traveler's Wife|The apartment is a laboratory in which we conduct experiments, perform research on each other. We discover Henry hates it when I absentmindedly click my spoon against my teeth while reading the paper at breakfast. We agree that it is okay for me to listen to Joni Mitchell and it is okay for Henry to listen to the Shaggs as long as the other person isn't around. We figure out that Henry should do all the cooking and I should be in charge of laundry and neither of us is willing to vacuum so we hire a cleaning service.
Steve Maraboli|Dads, no matter your relationship with your kid’s mom, honor her this weekend. Mother’s Day isn’t about you or drama. It’s about her and her impact on your ids. Be grateful. Celebrate her… and if you can’t get out of your own way, do it for your kids.
Kaori Ekuni, Twinkle Twinkle|To be perfectly honest with you, I think it's reckless to love and trust another person. It's clearly foolhardy.I'd like it very much if the many daredevils who go ahead anyway, enjoyed this book.
Steve Maraboli|Sometimes we need someone to just listen. Not to try and fix anything or offer alternatives, but to just be there… to listen. An ear that listens can be medicine for a heart that hurts.
Steve Maraboli|Think about the people you love, appreciate, and admire… If today was the last day you could speak with them… What would you say… and what are you waiting for?
Darnell Lamont Walker|Because you thought love was just gonna be there. You weren't taught that it had to be made, it had to be mixed, kneaded, recycled. Over and over, you have to keep creating it. Over and over with everyone you love. Over and over.
Kamal Khanzada|If you can't do it today, You can not do it in your whole life! Do it NOW!
Steve Maraboli|Some people feed your ego, but starve your soul.
Timothy Joshua|Hold on, and dont put us on hold
Nick Hornby, High Fidelity|This time, something different happens, though. It’s the daydreaming that does it. I’m doing the usualthing—imagining in tiny detail the entire course of the relationship, from first kiss, to bed, to moving intogether, to getting married (in the past I have even organized the track listing of the party tapes), to howpretty she’ll look when she’s pregnant, to names of children—until suddenly I realize that there’snothing left to actually, like, happen. I’ve done it all, lived through the whole relationship in my head.I’ve watched the film on fast-forward; I know the whole plot, the ending, all the good bit. Now I’ve gotto rewind and watch it all over again in real time, and where’s the fun in that?And fucking … when’s it all going to fucking stop? I’m going to jump from rock to rock for the rest ofmy life until there aren’t any rocks left? I’m going to run each time I get itchy feet? Because I get themabout once a quarter, along with the utilities bills. More than that, even, during British Summer Time.I’ve been thinking with my guts since I was fourteen years old, and frankly speaking, between you andme, I have come to the conclusion that my guts have shit for brains.
David Levithan, Two Boys Kissing|All through their relationship, Harry was the one in charge, Harry was the one who gave them direction. This wasn’t because Harry was smarter or even better at it than Craig was; it just meant more to him, to be in control. And Craig didn’t really care, so he ceded it away. He liked not being responsible all the time.Complacency. Craig realizes now that this was complacency. One of the reasons he liked the sound of Harry’s voice was because it meant he didn’t have to use his own. But eventually this strategy backfired. Eventually Harry realized what was happening, and didn’t feel right about it. He wanted Craig to fight a little more, but by the time Craig started fighting for them to stay together, he had already lost.
Ian McEwan, Nutshell|However close you get to others, you can never get inside them, even when you're inside them.
Shannon L. Alder|Sometimes, you can be more than enough for someone, but they choose not to be in your life. Always remember that Satan works hard to keep people miserable by feeding their fears, so they stay in their comfort zone. The truth is some people value what is predictable, more than chemistry.
Albert Camus, A Happy Death|She had accepted him as he was and had spared him a great deal of loneliness. He had been unfair: while his imagination and vanity had given her too much importance, his pride had given her too little. He discovered the cruel paradox by which we always deceive ourselves twice about the people we love - first to their advantage, then to their disadvantage.
pooja bagul|With you life is wonderful,with out you its unbearable
Ingeborg Bachmann, Malina|There are people who think that Malina and I are married. We never considered that we might be married, that such a possibility could exist, nor even the idea that other people might think that we were married. For the longest time it never crossed our minds that, like other people, we appear as man and wife wherever we go. This was a complete surprise for us, but we had no idea what to make of it. We laughed a lot.
Steve Maraboli|Pay attention… How a person handles poor cell service, traffic, and spotty wifi is a good indicator of how they’ll behave during relationship challenges.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Truth be told, many couples spend more time planning the wedding and the honeymoon than they do preparing for the marriage.
Erika Swyler|She'd started swimming early in the morning, when the kids were asleep, when she thought he was asleep. She didn't know her absence woke him, that the shift in the bed was an earthquake. When she climbed back in, she smelled like salt and seaweed. Sometimes her hair would still be knotted on top of her head. She tried to keep it dry. She didn't want him to know. The problem with marrying the mermaid girl from the carnival was knowing that one day she'd swim away.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Turbulence during a relationship does not mean its core, foundation and essence changes. Couples will run into obstacles. The challenge may knock the wind out of them, but it does not have to cripple their resolve. Both people must trust that on the other side of crisis still exist the qualities you appreciate.
Erika Swyler, The Mermaid Girl: A Story|The problem with stealing the magician's assistant from a carnival was that you were always waiting for her to disappear. He expected her to vanish. She had in fact, multiple times, before Simon was born, and just after, too. ...Daniel wanted to be worried for, wanted to be missed without doing any of the leaving that missing demanded. When Paulina left, he counted breaths, and thought constantly of the disappearing box. The reappearing was the most important part of the trick. Eventually he stopped living in fear that she wouldn't come back. The more pressing concern was that she was cutting herself in two.
August Wilson, Gem of the Ocean|Black Mary: Leroy. And John. And Cujoe. And Sam. And Robert. One after the other they come and they go. You can't hold on to none of them. They slip right through your hands. They use you up and you can't hold them. They all the time taking till it's gone. They ain't tried to put nothing to it. They ain't got nothing in their hand. They ain't got nothing to add to it. They too busy taking. They taking 'cause they need. You can't blame them for that. They so full of their needs they can't see you. Now here you come. You don't even know what you need. All you see is a woman. You can't see nothing else. You can't think nothing else. That blinds you. (Black Mary turns to him. A new thought occurs to her.)Okay, Mr. Citizen. I'll come to your room tonight. But the morning got to come, Mr. Citizen. What you got then? You tell me tomorrow. You wake up and look at your hands and see what you got. Citizen: I got me. That's all there is. Black Mary: That ain't never gonna be enough.
Cynthia D'Aprix Sweeney, The Nest|They’d fallen into their old ways, accusatory and evasive, which was reassuring in a perverted way. Leo understood the nasty pull of the regrettable familiar, how the old grooves could be so much more satisfying than the looming unknown. It’s addicts stayed addicts.
pooja bagul|i ll always love yo till the core ,
Wesley Stace, Misfortune|I had tried, as best I could, to forget the people who had said they loved me, and I had been able to do so only by replacing their memory with hatred for them and their crimes. Time is no healer. It scabs the wound until the injury is forgotten, but the infection festers, eating away, spreading.
Kevin J. Donaldson|To find love, give love first.
Karen Witemeyer, To Win Her Heart|Dear God, I don't want my fear to be a barrier to the blessings you are trying to bestow. Cast out my fear, and help me to trust your perfect love. But also grant me a full measure of wisdom. Do not let me be led astray by my own desires. If it is not your will that I pursue a relationship with Levi, I pray that you will stop me. Make your message so clear that I cannot argue it away. Protect me, Lord, and show me the way I should go.
Kate Douglas Wiggin, The Bird's Christmas Carol|It is very funny, but you do not always have to see people to love them. Just think about it, and tell me if it isn't so.
Hanya Yanagihara, A Little Life|He doesn't know this now, but in the years to come he will, again and again, test Harold's claims of devotion, will throw himself against his promises to see how steadfast they are. He won't even be conscious that he's doing this. But he will do it anyway, because part of him will never believe Harold and Julia; as much as he wants to, as much as he thinks he does, he won't, and he will always be convinced that they will eventually tire of him, that they will one day regret their involvement with him. And so he will challenge them, because when their relationship inevitably ends, he will be able to look back and know for certain that he caused it, and not only that, but the specific incident that caused it, and he will never have to wonder, or worry, about what he did wrong, or what he could have done better. But that is in the future. For now, his happiness is flawless.
Wade Davis, Into the Silence: The Great War, Mallory and the Conquest of Everest|They brought their whole intellectual energy to bear on their relationships; they wanted to know not only that they loved people but how and why they loved them, to understand the mechanism of their likings, the springs that prompted thought and emotion; to come to terms with themselves and with one another; to know where they were going and why.
Martin M. Stupak|Make the best of the time you have left, live like there is no tomorrow.
Colleen Hoover, It Ends with Us|Every incident chips away at your limit. Every time you choose to stay, it makes the next time that much harder to leave. Eventually, you lose sight of your limit altogether, because you start to think, ‘I’ve lasted five years now. What’s five more?
Shannon L. Alder|The right man in your life will fly across the world to say hello, instead of saying goodbye.
Stephanie Lahart|Don’t ruin your life over somebody else’s foolishness. If they want to leave, let them leave! Manipulating, begging, or coercing someone to stay with you is an insult to SELF. Have confidence in yourself! Know your worth! Take a stand for YOU. You deserve to be loved, respected, and appreciated by someone who’s genuinely in love with you. It may hurt to let go, but trying to force someone to stay with you is more damaging than you realize. It’s VERY unhealthy. Set Yourself Free! Be a Priority to Yourself!
Maria Elena, Eternal Youth|All I want to do is be at Hogwarts with you, eating turkey legs in the great hall while listening to the carols of the ghosts gliding past us. Then maybe we can go to Hogsmeade to get a butterbeer.
Stephanie Lahart|So, you want to be in a relationship and you’re tired of being single, right? But let me ask you an important question: Do you have a healthy relationship with yourself? I get it! Everybody wants to be in love and feel loved, but trust me, SELF-LOVE is far more important. How is YOUR mind, YOUR body, YOUR spirit? Listen, it’s okay to be single! You may not want to be single, but sometimes it’s best. Learn to commit to yourself, first. Be good to yourself, take care of yourself, and love yourself! You’ve got to like and love who YOU are before you can give your very best to that special someone. Don’t be in a rush and don’t be desperate. Work on yourself first and be at peace.
Manuel Corazzari|We were not placed on an empty island for a reason, we were placed into communities to BUILD RELATIONSHIPS and Help ONE ANOTHER!
Piper Payne, White Lies|I watched him with wonder like the stars watch the moon, falling in love with every crescent, dark side, and dream.
Uday Mukerji, Love, Life, and Logic|Those who can truly love, they’re like candles; they don’t mind sacrificing themselves for the sake of love. But the rest of us are candle holders. We love and appreciate the light of love, but are too afraid to burn ourselves down to light up someone else’s life.
Uday Mukerji, Love, Life, and Logic|Why, when two people start living together, do they end up hurting each other so much? Maybe that’s an indication that too much of anything isn’t good.
Maria Elena, Eternal Youth|If you are the land, then I am the sea. I don't need you and you don't need me.
Marina Keegan, The Opposite of Loneliness: Essays and Stories|The biggest fight in my relationship with Danny regards his absurd claim that he invited the popular middle school phenomenon of saying "cha-cha-cha" after each phrase of the Happy Birthday song- an idea his ingenious sixth-grade brain allegedly spawned in a New Jersey Chuck E. Cheese and watched spread across 1993 America with an unprecedented rapidity.
Elisa Marie Hopkins, Brilliant Cut|If I could do it all over again, I'd probably still leave. Except, this time, I would hold you closer, tighter, longer. I would kiss you a thousand more times, tell you I love you ten thousand more times, have sex with you one million more times. I didn't get it right the first time when you were mine. If I could it all over again, I would value your trust, stand by your actions, and never take score...even though I'm totally winning. So if you can just find it in your heart to shut the hell up and love me, I swear with every fiber of my being that I will spend every possible minute loving you." A smile that flirts with cruelty lifts on his mouth. "Your move. I'm wearing to many clothes.
Elisa Marie Hopkins, Brilliant Cut|Sometimes you get this look in your eyes, like you've just realized I'm edible.""Well, I like looking at you." He angles his head. "Do you know what else I like? I like your thoughts, your imperfections, your lips, your sarcasm, your explosions of anger, your intelligence, your strength of character. I like it all.
Heng Siok Tian|Inside a home you left me, a blue orphanage. Inside a bluish mosaic, space to live.
Phan Ming Yen|Aflame in black ecstasy, orders extinguished:after deathhow will I know my love was true,this sacrifice not an exercise in vanity?
Kemi Sogunle|Everyday, God shows us what love and compassion is about, through everything He created. We must learn to see beyond our differences and look deeper into our hearts. Everything in life will shape you, if you allow yourself embrace the truth...no matter how much it hurts. The truth is associated with love and love is all we need.
Mindy McGinnis, The Female of the Species|Newness wears off.This is something I’ve learned about relationships. I’ve had more than a few run their course, the idiosyncrasies that were once endearing becoming annoying, the jump of my heart into my throat at the sight of her lessening to a skip, then a pause, then the bare recognition that at some point slips into dread, and you know it’s time to end it.It’s different with Alex. The newness might have faded, which is inevitable, but it’s grown into something better. The panic of not being able to come up with something to say to her has settled into the comfort of companionable silence, my hand resting on her knee, or her head on my chest. The frantic need to be near her and know how she feels has morphed into an almost pleasant ache of missing her when she’s not with me, because I know we’ll be together again.
Mohammed Zaki Ansari, Zaki's Save Me|Break up of some relation sometime don't just break connection between two person,for some one it can be disconnection with his soul.and the disconnect between body and soul its mean death of a person
Shirley Jackson, The Haunting of Hill House|Tell me something that only I will ever know, was perhaps what she wanted to ask him, or, What will you remember me by? - or even, Nothing of the least importance has ever belonged to me; can you help?
Love, Life, and Logic|Sorry’ is, indeed, one of the most difficult and most powerful words in the English language, provided one can feel and say it at the same time. It’s difficult because you sincerely need to feel the pain of the other person and rise above your ego to say it; it’s powerful because you overwhelm the other with the opposite reaction of what they were expecting.
Uday Mukerji, Love, Life, and Logic|Like we all sync our watches every year, at the start and at the end of daylight saving time, we also need to sync our relationships once in a while.
Mohamemd Zaki Ansari|Addiction of Narcotics and Addiction of flirt are same,person cant give up Narcotics Addiction neither Flirting Addiction,Doesn't matter,its destroyed self character or all relations.For this Both Addiction person can left all anything,but impossible to leave it. But mind it.Flirting Addiction is more dangerous then narcotics because Narcotics Kills Self and Flirting Addiction Kills Another someone.
Stephan Labossiere, He Who Finds A Wife: A Man's Guide To Finding The Woman & Love He Desires|A man of God doesn't lead a woman through dictatorship, he leads her through a partnership guided by God.
Mango Wodzak, Destination Eden|Who you are and what you experience is based upon the choices you make. It's not your parents, your past relationships, your job, the economy, the book you read, what someone said, the weather, an argument, nor your age, that are to blame (or credit!). You, and only you, are responsible for every decision and choice you make. Period.
Jasz Gill|There are many places you need to be, but there is nowhere to reach. There are many people you need to see but no one to meet. And there are many contacts in your phone but no one to talk. There are many masks in your closet but no face to please.
Mai Al-Nakib, The Hidden Light of Objects|Meredith was good, so incredibly good, and Charles had fallen, without fireworks, for that goodness. But goodness did not transfer. Being with someone good does not make you good. This it would take years for Charles to comprehend.
Becky Chambers|Nobody should be alone," Sissix said. "Being alone and untouched...there's no punishment worse than that. And she's done nothing wrong. She's just different.
William Boyd, Waiting for Sunrise|The wounded, the incomplete, the unbalanced, the malfunctioning, the ill seek each other out: like attracted to like.
Seekerohan, Caged: The Price of Pride|No love is lost; unless we try, to make it last forever.
Adam Kirk Smith|In relationships, always strive to give more than you take -- that's how you make a bigger impact.
Love, Life, and Logic|By holding hands a couple can always say a lot of things they couldn’t have otherwise said in a public place. Among a million people, they can touch and tickle each other at their most intimate places: their hearts.
Josh Hatcher, Manlihood: The 12 Pillars of Masculinity|Do not let your boss, your spouse, your kids, your neighbors, or anyone push you around or walk all over you. This does not mean you need to be a butt-hole - but you may need to draw some clear lines for the people in your life. Want to do it right? Communicate expectations clearly, and consistently. People cannot treat you the way you want them to treat you unless you tell them HOW to treat you.
Stephen Chbosky, The Perks of Being a Wallflower|My Aunt Helen was my favorite person in the whole world. She was my mom’s sister. She got straight A’s when she was a teenager and she used to give me books to read. My father said that the books were a little too old for me, but I liked them so he just shrugged and let me read.
J.D.  Jordan, Calamity: Being an Account of Calamity Jane and Her Gunslinging Green Man|I appreciate your thinking on me, marshal, but ain’t no trouble of his what ain’t trouble of mine, too.
Jonathan Safran Foer, Here I Am|Between any two beings there is a unique, uncrossable distance, an unenterable sanctuary. Sometimes it takes the shape of aloneness. Sometimes it takes the shape of love.
Miya Yamanouchi|An abuser isn't abusive 24/7. They usually demonstrate positive character traits most of the time. That's what makes the abuse so confusing when it happens, and what makes leaving so much more difficult.
Charles Bukowski, Love Is a Dog from Hell|people need me. I fillthem. if they can't see mefor awhile the get desperate, they getsick.but if I see them too oftenI get sick. it's hard to feedwithout getting fed.
Vironika Tugaleva|Sometimes love doesn't look like what we think it should look like. Sometimes it's paradoxical. Sometimes we have to step outside our comfort zone. Sometimes we have to be more honest than we thought we'd ever have to be or more supportive than we are taught is appropriate. When we traverse those boundaries, that's when we really understand what this whole love thing is all about. We become more than just human. We become part of the giant, beautiful ever-changing reality of life. By loving without limits, we become wise, strong, and beautiful. We become more of what we already are.
Elise Kova, Crystal Crowned|Because our love is more than something I can wear. Our time is far greater than what can be counted by two hands and some numbers. Because, even without it, I still have you.
Craig D. Lounsbrough|Real relationships are the product of time spent, which is why so many of us have so few of them.
Craig D. Lounsbrough|Vulnerability creates unimaginable space to build each other up, as much as it creates ample room to tear each other down.
Daniel Handler, Adverbs|No, when you love someone you spend hours and hours with them, and even the mightiest forces in the netherworld could not say whether the hours you spend increase your love or if you simply spend more hours with someone as your love increases.
Rebecca K. O'Connor, Lift|You can't forge a relationship with learned helplessness, you can only force one and it will always be tenuous. There is always the possibility the peregrine will rediscover the strength of his heart.
Pamela Cummins, Learn the Secret Language of Dreams|Loving and working relationships bring so much joy into our lives! We need to work on our relationships like a garden; toiling the soil for a solid foundation, planting the seeds to slowly grow into a flower, daily water and weeding to maintain growth, and making adjustments when the relationship is in full bloom. Sadly, there are times when the plot of land dries up, nothing will grow, and it’s time to move on. Our dreams of the nighttime can be used as maintenance in all our relationships.
Hanya Yanagihara, A Little Life|When he had promised himself that he wouldn't try to repair Jude, he had forgotten that to solve someone is to want to repair them: to diagnose a problem and then not try to fix that problem seemed not only neglectful but immoral.
Thomas Hardy, The Mayor of Casterbridge|The Scotchman seemed hardly the same Farfrae who had danced with her, and walked with her, in a delicate poise between love and friendship - that period in the history of a love when alone it can be said to be unalloyed with pain.
Bobby F. Kimbrough Jr.|The police are required to enforce the law in areas where they do not live, do not eat, do not go to the barbershop. They have no interaction with the people in that community except when they are called to resolve an issue. To bridge the gap we must establish relationships with the people and communities we serve. If we don’t we will continue to have biases that grow and fester and create deadly situations.
Jade Chang, The Wangs vs. the World|It's not that he was flirting, unless flirting was just about wanting to really see someone. People thought that someone like him — good-looking, young, cool clothes — was going to be dismissive, and when he wasn't, when he was just easy and open with them, they glowed. It was a feeling he tried to re-create a hundred times a day, in every interaction. It also calmed him. If he looked at someone and they looked at him and there was a true connection, no matter how brief, then it meant that he didn't need to replay the encounter anxiously afterwards, trying to find where it had all gone wrong.
Daniel Handler, Adverbs|He thought she knew what he meant, but the biggest mistake you can make is thinking they know what you mean.
Tom Althouse, The Frowny Face Cow|Doing what you love, with those you love, is an adventurous type of success. The kind that can not be taken away, often discovered by those who have had much taken away, and saw it as an opportunity to re-access their path, and reset from the crucible of shared and beneficial dreams.
Craig D. Lounsbrough|I cannot live without you. For to attempt to do so would be to rob both of us of each other, and that is thievery of the greatest sort.
Craig D. Lounsbrough|What rubs off on me is hard to rub off. So, I’d better figure out what I rubbing up against.
Geraldine Solon, The Portrait|An artwork could always be restored and sold with no depreciated value―the cracks and tears provide more character, But when it comes to human emotions, how far could you stretch your heart to let go of the pain?
Tarang Sinha|It's easy to be with someone who is completely different from you, but difficult when that person holds starkly different opinions from you.
Akiroq Brost|If being in a relationship never causes you any grief, consider that maybe while you might physically be ‘in’ the relationship; mentally and emotionally you may have ‘checked out’ of the relationship. Relationships take an active presence in order to actually ‘be’ relationships. You can’t ‘care’ without caring and caring isn’t just for sunny days.
Luigina Sgarro|The cruelest thing is love that leads us to deal with the parts of ourselves that we do not want to see, and this is what, in fact, we do not forgive each other.
Jillian Keenan, Sex with Shakespeare: Here's Much to Do with Pain, but More with Love|Love is a country, with closed borders and a language no foreigner can speak. The only people who can understand its customs, traditions, and history are its citizens. A relationship doesn’t have to make sense to all people. It only has to make sense to two people.
Saif Samir|It is easy to hurt people when we do not filter our thoughts, when we do not choose our words, when we do not control the tone of voice and the body language.
Vironika Tugaleva|Sometimes, to love people, I must completely avoid them. Sometimes, to be strong, I must completely fall apart. Sometimes, to create, I must completely destroy.
Vironika Tugaleva|Loving yourself isn't just about celebrating your accomplishments and nurturing your talents. Those things are nice, sure. But that's not how we know others love us. We know others love us when they see us with our face on the ground, crying and weak, feeling like we've got nothing to offer the world—and they smile, and they reach out, and they love us anyway. Loving yourself is what you do when you fail, when you don't know, when you screw up, when you forget, when you lose everything. Loving yourself is what you do when you can't approve of what you've done. Loving yourself is what you do when you're not sure if it's going to get better. Loving yourself is what you must do in those moments when you can't like yourself. Real love is when you reach out for no good reason at all, except to love.
Wayne Gerard Trotman|Convince people that you need them, and watch what they do.
Ken Liu, Mono no Aware|We are not defined by our individual loneliness, but by the web of relationships in which we’re enmeshed.
Vironika Tugaleva|If we learn to be responsible for our own emotions, thoughts, and needs, then we can see other people for who they are as opposed to what they can do for us.
Isabel Wilkerson, The Warmth of Other Suns: The Epic Story of America's Great Migration|From Louisiana, he followed the hyphens in the road that blurred together toward a faraway place, bridging unrelated things as hyphens do.
Melissa Bank, The Wonder Spot|Up until that moment, I'd been at the earliest stage of love, when you feel it will turn you into the person you want to be. Now, his gentle voice and sage advice took me to a later stage: I felt I needed to pretend to be a better person than I was so he'd keep loving me. This was hard because it made me hate him.
Yvonne Finn, Getting From Hello To Forever Together|For you born writer, nothing is so healing as the realization that he has come upon the right word"- Catherine Drinker Bowen
Mark Sisson, Primal Blueprint 21-Day Total Body Transformation: A Step-by-Step, Gene Reprogramming Action Plan|Strong personal relationships are characterised by an ability and willingness to do each other favors. Strive to put family first, then your social circle, and back off on efforts to be a social media superstar.
Helen Keller|Although the world is full of suffering, it is full also of the overcoming of it.
George Bernard Shaw, Mrs. Warren's Profession|People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.
Eleanor Roosevelt|You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.
Bruce Lee, Striking Thoughts: Bruce Lee's Wisdom for Daily Living|Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.
Denis Waitley|Time is an equal opportunity employer. Each human being has exactly the same number of hours and minutes every day. Rich people can't buy more hours. Scientists can't invent new minutes. And you can't save time to spend it on another day. Even so, time is amazingly fair and forgiving. No matter how much time you've wasted in the past, you still have an entire tomorrow.
Robert Greene, The 48 Laws of Power|LAW 46Never Appear Too PerfectAppearing better than others is always dangerous, but most dangerous of all is to appear to have no faults or weaknesses. Envy creates silent enemies. It is smart to occasionally display defects, and admit to harmless vices, in order to deflect envy and appear more human and approachable. Only gods and the dead can seem perfect with impunity.
Sinclair Lewis|It is impossible to discourage the real writers - they don't give a damn what you say, they're going to write.
Stephen Richards, Think Your way to Success: Let Your Dreams Run Free|When you concentrate your energy purposely on the future possibility that you aspire to realize, your energy is passed on to it and makes it attracted to you with a force stronger than the one you directed towards it.
Stephen Hawking|Remember to look up at the stars and not down at your feet. Try to make sense of what you see and wonder about what makes the universe exist. Be curious. And however difficult life may seem, there is always something you can do and succeed at. It matters that you don't just give up.
Charles Dickens, David Copperfield|Annual income twenty pounds, annual expenditure nineteen six, result happiness. Annual income twenty pounds, annual expenditure twenty pound ought and six, result misery.
Steve Maraboli, Life, the Truth, and Being Free|We can't undo a single thing we have ever done, but we can make decisions today that propel us to the life we want and towards the healing we need.
Ellen Johnson Sirleaf|The size of your dreams must always exceed your current capacity to achieve them. If your dreams do not scare you, they are not big enough.
Bill Watterson|At school, new ideas are thrust at you every day. Out in the world, you'll have to find your inner motivation to seek for new ideas on your own.
Stephen Richards, Think Your way to Success: Let Your Dreams Run Free|Manifesting is a lot like making a cake. The things needed are supplied by you, the mixing is done by your mind and the baking is done in the oven of the universe.
Epictetus, The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness|Now is the time to get serious about living your ideals. How long can you afford to put off who you really want to be? Your nobler self cannot wait any longer. Put your principles into practice – now. Stop the excuses and the procrastination. This is your life! You aren’t a child anymore. The sooner you set yourself to your spiritual program, the happier you will be. The longer you wait, the more you’ll be vulnerable to mediocrity and feel filled with shame and regret, because you know you are capable of better. From this instant on, vow to stop disappointing yourself. Separate yourself from the mob. Decide to be extraordinary and do what you need to do – now.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|‎By reacting from fear instead of responding from love, you inject poison directly into the veins of your relationship.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Protect your enthusiasm from the negativity and fear of others. Never decide to do nothing just because you can only do little. Do what you can. You would be surprised at what "little" acts have done for our world.
Sarah Caldwell|Learn everything you can, anytime you can, from anyone you can, there will always come a time when you will be grateful you did.
Steve Maraboli, Life, the Truth, and Being Free|Look around you. Everything changes. Everything on this earth is in a continuous state of evolving, refining, improving, adapting, enhancing…changing. You were not put on this earth to remain stagnant.
Steve Maraboli, Life, the Truth, and Being Free|Reading the Bible will help you get to know the word, but it’s when you put it down and live your life that you get to know the author.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|A very small percentage of the people in this world will actually experience and live today. So many people will be stuck on another day, another time that traumatized them and caused them to spiritually stutter so they miss out on this day.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|I hope you find true meaning, contentment, and passion in your life. I hope you navigate the difficult times and come out with greater strength and resolve. I hope you find whatever balance you seek with your eyes wide open. And I hope that you - yes, you - have the ambition to lean in to your career and run the world. Because the world needs you to change it.
Masashi Kishimoto|A smile is the best way to get oneself out of a tight spot, even if it is a fake one. Surprisingly enough, everyone takes it at face value. I read that in a book.""If you keep staring at me, I'll hit you.""I only became part of your team recently when I replaced Sasuke, so I don't know everything that's going on. I don't really understand people either. But even I can tell that Naruto really loves you. Naruto's been shouldering that promise for a long time...I think he means to shoulder it for the rest of his life. I don't know what you said to him, but it's just like what's been done to me - it feels like a curse. Sasuke causes Naruto pain, but I think you do too.""Sasuke is only helping spread his darkness across the world. Letting him live will only sow the seeds of another war. He's just another criminal now. Sasuke lost all hope of coming back when his group, Akatsuki, attacked our village. Your fellow Konoha shinobi would never accept him now. Sakura's not stupid, either. She understands the position he's put us all in. That's why she came out here, to tell you herself.
Jack Canfield|You don't have to get it perfect, you just have to get it going. Babies don't walk the first time they try, but eventually they get it right
Diana, Princess of Wales|Everyone of us needs to show how much we care for each other and, in the process, care for ourselves.
Steve Maraboli, Life, the Truth, and Being Free|When you do what you love, the seemingly impossible becomes simply challenging, the laborious becomes purposeful resistance, the difficult loses its edge and is trampled by your progress.
Steve Maraboli, Life, the Truth, and Being Free|How would your life be different if…You stopped focusing on what you didn’t want and started focusing on what you do want? Let today be the day…You establish a clear intent, make a plan, and take actions towards your intent.
Ann Richards|The here and now is all we have, and if we play it right it's all we'll need.
Stephen Richards, Develop Jedi Self-Confidence: Unleash the Force within You|The moment you become friends with your inner Self, you realize that the failures or hindrances that you met earlier were caused more by your disconnected status with your inner Being.
John Lubbock, Peace and Happiness|The whole value of solitude depends upon oneself; it may be a sanctuary or a prison, a haven of repose or a place of punishment, a heaven or a hell, as we ourselves make it.
Glenn Brandon Burke|If you do whatever it takes to accomplish your goals to live the life you desire, It will be worth it. I promise! But if you find some excuse to justify quitting your journey, you will regret it. This is also a promise!" -gbb
Niccolò Machiavelli, The Prince|Therefore it is unnecessary for a prince to have all the good qualities I have enumerated, but it is very necessary to appear to have them. And I shall dare to say this also, that to have them and always to observe them is injurious, and that to appear to have them is useful; to appear merciful, faithful, humane, religious, upright, and to be so, but with a mind so framed that should you require not to be so, you may be able and know how to change to the opposite.
