Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
Vivian Amis, I Am: The Key to Manifesting|The Prayer that is answered is not of many words, but of Oneness.
Steven Magee, Solar Radiation, Global Warming and Human Disease|The various forms of electromagnetic radiation were extensively proven harmful to human health decades ago. The air is electrified, the ground is electrified, the water is electrified, your metal mattress is electrified, your metal under wired bra is electrified, your children are electrified, and you are electrified. Unfortunately, we are in the electromagnetic radiation epidemic.
Neil Gaiman, The Ocean at the End of the Lane|Children, as I have said, use back ways and hidden paths, while adults take roads and official paths
Mary Norton|Oh no-"she began.It shocked her to be right. Parent's were right, not children. Children could say anything, Arriety knew and enjoy saying it- knowing always they were safe and wrong.
Anthony M. Esolen, Ten Ways to Destroy the Imagination of Your Child|If we loved children, we would have a few. If we had them, we would want them as children, and would love the wonder with which they behold the world, and would hope some of it might open our eyes a little. We would love their games, and would want to play them once in a while, stirring in ourselves those memories of play that no one regrets, and that are almost the only things an old man can look back on with complete satisfaction. We would want children tagging along after us, or if not, then only because we would understand that they had better things to do.
Santosh Thankachan|If you stand a Yard away from God Today, you will see your kids standing a Mile away from God Tomorrow.
Anne Lamott, Some Assembly Required|Kids are hard -they drive you crazy and break your heart- whereas grandchildren make you feel great about life, and yourself, and your ability to love someone unconditionally, finally, after all these years.
Carlos Wallace, Life Is Not Complicated-You Are: Turning Your Biggest Disappointments Into Your Greatest Blessings|Never apologize for the good in your life. People who try to make you feel badly because you have been blessed are consumed by self-loathing. Wear your accomplishments proudly, be it your career, your relationship, your children, your success. True friends will bask in the glow of your shine, not pray for darkness to fall.
Denny Taylor, From the Child's Point of View|Standing side by side children with our heads together, we are trying to understand their learning based on what we observe as they use the social, technical, symbolic, and material resources at their disposal.
Henry Wadsworth Longfellow|Between the dark and the daylight, When the night is beginning to lower, Comes a pause in the day's occupations, That is known as the Children's Hour.
Charles Dickens, Great Expectations|Put the case that he lived in an atmosphere of evil, and that all he saw of children was their being generated in great numbers for certain destruction. Put the case that he often saw children solemnly tried at a criminal bar, where they were held up to be seen; put the case that he habitually knew of their being imprisoned, whipped, transported, neglected, cast out, qualified in all ways for the hangman, and growing up to be hanged. Put the case that pretty nigh all the children he saw in his daily business life he had reason to look upon as so much spawn, to develop into the fish that were to come to his net,––to be prosecuted, defended, forsworn, made orphans, bedevilled somehow.
Kim Harrison, Into the Woods: Tales from the Hollows and Beyond|Without warning he had become witness to something that stretched back through the eons, ties both elastic and enduring, surpassing death, surpassing life. She was his child. It was as simple as that and that complex.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Sum of life; Birth, childhood, youth, adulthood, parenthood, old age and death.
Gabriel Cousens M.D., Conscious Parenting: The Holistic Guide to Raising and Nourishing Healthy, Happy Children|Dietary patterns are set at a very early age—somewhere between four and eight years old. The research shows that children who have established a healthy diet are healthier in the longer range and less likely to develop cancer, heart disease, stroke, diabetes, and obesity.
Cheryl Strayed, Tiny Beautiful Things: Advice on Love and Life from Dear Sugar|To us, they are not so much who they are as who they will become.
Gabriel Cousens M.D.|As the adults, we are the ones who set the stage for vitality, love, or disharmony in the home. We set ourselves up for one or the other, and our children take their cues from us.
Gabriel Cousens M.D., Conscious Parenting: The Holistic Guide to Raising and Nourishing Healthy, Happy Children|Try as we might, we cannot force our children to reach their full potential. Theirs is the life that they alone must live. The role of the parent is to prepare the most fertile soil and appropriately water the seedling so it can most fully blossom.
Gabriel Cousens M.D., Conscious Parenting: The Holistic Guide to Raising and Nourishing Healthy, Happy Children|Research shows that what works and is healthy for adults also works well for children, if adjusted to be age-appropriate. Children, like adults, do not suffer from a deficiency of white sugar, white flour, junk food, or processed foods. A growing child as well as an adult is hurt by junk foods and benefited by healthy foods.
Gabriel Cousens M.D., Conscious Parenting: The Holistic Guide to Raising and Nourishing Healthy, Happy Children|In our commitment to raise healthy, conscious children and create a healthy world, it is hard to understand how people can choose to spend money for something that not only does not work, but poisons humans and the environment.
Maggie Osborne, The Promise of Jenny Jones|She hadn’t dreamed a time would ever come when someone might want to emulate her talk or behavior. Consequently, it made her feel tight and strange inside to hear her words on the kid’s lips. A small part of her was astonished and secretly flattered. But a larger part was appalled.
Gabriel Cousens M.D., Conscious Parenting: The Holistic Guide to Raising and Nourishing Healthy, Happy Children|Parenting is a gift for adults’ spiritual growth spurts, and it’s a challenge to think of anything else that fills a home with more laughter!
Sonja Yoerg, House Broken|Trying to understand her teenage daughter’s behavior was like trying to listen to a recording of a symphony whose volume vacillated unpredictably from barely audible to deafening. She couldn’t hear the music, and all she wanted to do was leave the room.
Sunday Adelaja|The knowledge of God that a person has, influences not only his own life, but also the lives of his children.
Maggie Osborne|And please punish Jenny. You could strike her dead. Amen.” Jenny blinked. “I’m no expert on this, but… are you supposed to pray for someone to be struck dead?
John William Tuohy, No Time to Say Goodbye: A Memoir of a Life in Foster Care|I felt empty a lot and I sometimes had a sense—and I know this sounds strange—that I really had no existence as my own person, that I could disappear and no one would notice or remember that I had ever existed. It is a terrifying thing to live with. I kept myself busy to avoid that feeling, because somehow being busy made me feel less empty.
Nikki Sex, Bound and Freed Boxed Set|If parents don’t want to hear the truth, children learn not to speak it.
Antoine de Saint-Exupéry, The Little Prince|The stars are beautiful, because of a flower that cannot be seen... The desert is beautiful," the little prince added. And that was true. I have always loved the desert. One sits down on a desert sand dune, sees nothing, hears nothing. Yet through the silence something throbs, and gleams... "What makes the desert beautiful," said the little prince, "is that somewhere it hides a well..." I was astonished by a sudden understanding of that mysterious radiation of the sands.
The Little Prince|It is much more difficult to judge oneself than to judge others. If you succeed in judging yourself rightly, then you are indeed a man of true wisdom.
Dean Koontz, Deeply Odd|Our culture sentimentalizes children, and we forget one of the things that we should most remember from that time of our lives: Children know that this world can be hard on them, harder than it is on adults. They are physically weaker than adults, financially dependent, and in times of danger, nothing clarifies our thinking more than an awareness of our extreme vulnerability.
Antoine de Saint-Exupéry, The Little Prince|I do not eat bread. Wheat is of no use to me. The wheat fields have nothing to say to me. And that is sad. But you have hair that is the color of gold. Think how wonderful that will be when you have tamed me! The grain, which is also golden, will bring me back the thought of you. And I shall love to listen to the wind in the wheat...
Alison Bechdel|Four years after my father's death, when the subject of parents came up in conversation i would relate the information in a flat, matter-of-fact tone eager to detect in my listener the flinch of grief that eluded me.
Anne Brontë, Agnes Grey|No, but still it is very unpleasant to live with such unimpressible, incomprehensible creatures. You cannot love them; and if you could, your love would be utterly thrown away: they could neither return it, nor value, nor understand it.
John Verdon|Never go down to the darkest room. Stay far away from the rotting coffin. If you want to live through the night, let the devil sleep.
Antoine de Saint-Exupéry, The Little Prince|This water was indeed a different thing from ordinary nourishment. Its sweetness was born of the walk under the stars, the song of the pulley, the effort of my arms. It was good for the heart, like a present.
The Little Prince|One runs the risk of weeping a little, if one lets himself be tamed...
Theresa Pecku-Laryea, Hannah's Song|God is building a mighty army to vanquish the forces of darkness. These soldiers of the light are initially conceived and nurtured in the wombs of women. As such, an obvious strategy for the devil would be to sabotage the womb to cut down the size of this godly army.
Ayn Rand, Atlas Shrugged|He thought of all the living species that train their young in the art of survival, the cats who teach their kittens to hunt, the birds who spend such strident effort on teaching their fledglings to fly – yet man, whose tool of survival is the mind, does not merely fail to teach a child to think, but devotes the child’s education to the purpose of destroying his brain, of convincing him that thought is futile and evil, before he has started to think.From the first catch-phrases flung at a child to the last, it is like a series of shocks to freeze his motor, to undercut the power of his consciousness. “Don’t ask so many questions, children should be seen and not heard!” – “Who are you to think? It’s so, because I say so!” – “Don’t argue, obey!” – “Don’t try to understand, believe!” – “Don’t struggle, compromise!” – “Your heart is more important than your mind!” – “Who are you to know? Your parents know best!” – “Who are you to know? The bureaucrats know best!” – “Who are you to object? All values are relative!” – “Who are you to want to escape a thug’s bullet? That’s only a personal prejudice!”Men would shudder, he thought, if they saw a mother bird plucking the feathers from the wings of her young, then pushing him out of the nest to struggle for survival – yet that was what they did to their children.
Ramez Naam, Crux|But Nita had always seen having a child as selfish. Why bring another soul into this world, she'd say, when there are so many out there that need our help?
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|When a child keeps asking you to tell him/her a story, what they instinctively really want to know is their true purpose and mission in life. Sadly, this knowledge was never sought out by their parents, and explains why children's books are a very hot and lucrative industry. Instead of telling your child how to become a compassionate citizen of the world, or how to live a meaningful existence by being a positive asset to humanity, you are conditioned by society to simply read your kid a fairytale.
Stefan Molyneux|We have to HIDE from each other because we think that we are the only ones BROKEN. We think we're the only ones whose original selves we ground up and smashed under the jack-booted heel of cultural lies and superstition, patriotism, war lust, war hunger, and a denial of AGGRESSION AGAINST CHILDREN THAT IS THE FOUNDATION OF CULTURE. Culture is everything that is NOT TRUE. If it's true, it's called 'math' or 'science' or 'facts'. Culture is the Stockholm syndrome we have with the historical lies that are convenient to the rules. We love the lies, because we don't think we can be loved if we don't.
John William Tuohy, No Time to Say Goodbye: A Memoir of a Life in Foster Care|Then there are all of those children, the ones who aren’t resilient. The ones who slowly, quietly die. I think the difference is that the kids who bounce back learn to bear a little bit more than they thought they could, and they soon understand that the secret to surviving foster care is to accept finite disappointments while never losing infinite hope. I think that was how Donald survived as long as he did, by never losing his faith in the wish that tomorrow would be better. But as time went by, day after day, the tomorrows never got better; they got worse, and he simply gave up. In the way he saw the world, pain was inevitable, but no one ever explained to him that suffering was optional.
Fannie Flagg|...but oh, it would just break your heart to see some of them waiting for their visitors. They get their hair all done up on Saturday, and on Sunday morning they get themselves all dressed and ready, and after all that, nobody comes to see them. I feel so bad, but what can you do? Having children is no guarantee that you'll get visitors . . . No, it isn't.
Jane Wilson-Howarth, Your Child's Health Abroad: A Manual for Traveling Parents|To some, having children may seem as conducive to travelling as having your feet set in concrete.
Virginia Woolf, To the Lighthouse|What was she dreaming about, Mrs. Ramsay wondered, seeing her engrossed, as she stood there, with some thought of her own, so that she had to repeat the message twice––ask Mildred if Andrew, Miss Doyle, and Mr. Rayley have come back?––The words seemed to be dropped into a well, where, if the waters were clear, they were also so extraordinarily distorting that, even as they descended, one saw them twisting about to make Heaven knows what pattern on the floor of the child's mind.
The Little Prince|When a mystery is too overpowering, one dare not disobey.
Toni Maguire, Don't Tell Mummy: A True Story of the Ultimate Betrayal|We were young, she continued, while she had a bad heart. Did we not want to earn our tips, she asked us and, cowed, we refrained from introducing the subject again.Her bad heart, I noticed, did not force her to abstain from smoking, or from eating large portions of puddings. Every time I heard her opening how she could not carry anything heavy, I thought sourly "except yourself".
The Little Prince|It is such a secret place, the land of tears.
Julia Glass, Three Junes|To have children is to plant roses, muguets, lavender, lilac, gardenia, stock, peonies, tuberose, hyacinth ...it is to achieve a whole sense,a grand sense one did not priorly know. It is to give one's garden another dimension. Perfume of life itself.
Diane Samuels, Kindertransport: A Drama|We all die one day, but jewels never fade or perish. Through our children we live. That’s how we cheat death.
Christopher Bollen, Orient|That’s what children eventually were for their aging parents: custodians of technology, free personal IT departments keeping them from disappearing forever from the universal cloud.
Steven Aitchison|All of us were once children, but only some of us remember that
Lisa Bedrick, For Christian Women|To all you parents out there, don't make your little girls, or little boys, so thirsty for love that they will want to drink water that will poison them.
Antoine de Saint-Exupéry, The Little Prince|When you've finished your own toilet in the morning, then it is time to attend to the toilet of your planet, just so, with the greatest care.
Jacqueline Woodson, Brown Girl Dreaming|Y'all know how much I love you? "Infinity and back again," I say the way I've said it a million times. And then, daddy says to me, "go on and add a little bit more to that.
Justin K. McFarlane Beau|Children are being killed, because some "adults" think life is a game.Something is amiss.When children shoot up other children in school, it's a national tragedy, and a week of mourning.When grown men are killing unarmed young, yes unarmed young, it bespeaks the leagues of fear residing in these men's hearts; that they've created a world in which they themselves have become useless.Then it makes front page, and it becomes business as usual.Something is amiss here.If adults don't truly grow up, then their young may never get the chance.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Exactly what are you wanting to teach your children? -How to love and care for themselves, or how to neglect and abandon themselves? Self-sarifice is NOT setting a good example.
Peter Gray|Schooling that children are forced to endure—in which the subject matter is imposed by others and the “learning” is motivated by extrinsic rewards and punishments rather than by the children’s true interests—turns learning from a joyful activity into a chore, to be avoided whenever possible. Coercive schooling, which tragically is the norm in our society, suppresses curiosity and overrides children’s natural ways of learning. It also promotes anxiety, depression and feelings of helplessness that all too often reach pathological levels.
Keigo Higashino|...that the decline in reading among children was largely the fault of their parents. Parents these days don't read books, themselves, but they feel they should make their children read. Since they aren't readers, however, they have no idea what to give their children. That's why they cling to the recommendations from the Ministry of Education. Those books are all insufferably boring and, as a result, the kids learn to hate books. It's a vicious cycle with no end in sight.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Remember, Little Ones, everything is not important all the time. Only living is important all the time. Not things. Not money. Not more things and more endless money. Spend well the quality of your time. And yes, be greedy with your hours. If only to then give those hours away as the most precious gifts you have to offer to yourself, your family, and your friends.
F. Scott Fitzgerald, The Beautiful and Damned|I refuse to dedicate my life to posterity. Surely one owes as much to the current generation as to one's unwanted children. What a fate - to grow rotund and unseemly, to lose my self-love, to think in terms of milk, oatmeal, nurse, diapers. ...Dear dream children, how much more beautiful you are, dazzling little creatures who flutter (all dream children must flutter) on golden, golden wings.
Frank A. Clark|A child, like your stomach, doesn't need all you can afford to give it.
Markus Zusak, The Book Thief|a young man is still a boy, and a boy sometimes has the right to be stubborn.
Rebecca McNutt, Smog City|What are you doing?” Alecto asked in surprise, stepping back. Laughing brightly, she dragged him towards the greenhouse, the shattered glass reflecting rainbows as brilliant as a million Kodak flashcubes, glittering as they were cascaded through the breeze. “See, don’t be afraid of the glass, it can’t hurt us,” Mandy laughed, spectacularly eccentric, her eyes reflecting the fallen glass.“I wasn’t afraid of the glass, but this isn’t a very secluded place that you just decided to vandalize,” Alecto cautioned, smiling despite his words. Before Mandy could reply, she heard loud whispering in the air, behind the trees… it sounded like a group of people, all whispering in unison… “Somebody’s out there,” she exclaimed nervously.“Yeah, you’re right,” Alecto replied. Suddenly a sharp new vibrancy seemed to fill his eyes and he smiled coldly, taking the tree branch from Mandy and rapidly smashing in all of Mrs. Matthias’ stained glass house windows with it. Blue, green, yellow, red, turquoise, purple and an array of other colors showered through the sky noisily, sounding like wind chimes and crashing waves. “They’ll go away,” he told her, glancing up at the sky.“…Alecto, do you like me?” Mandy questioned, holding out her arms like a lopsided scarecrow as the glass fell through her dark red hair.“Yeah, sure,” he answered.“Will you be my friend, then? A real friend, not just another person who feels sorry for me?” Mandy asked.“…Alright, Mandy Valems,” Alecto agreed.
Ruth Minshull|If Mom is convinced that ballet lessons are a must, she shouldtake them.Although it may look odd to see a thirty-year old woman hang- ing onto a bar and flinging a slightly plump leg in the air, the sight is not as pathetic as seeing her seven-year old daughter grimly going through such motions just to please her mother, when she would prefer to be at home designing new doll clothes.Although some parents are never quite ready to accept this fact, the child is not one of our possessions. We don’t own him; we never will. We gave birth to his body; he may share some of our physical characteristics; but he does not inherit our desires.He’s a different person, a separate entity, with his own likes and dislikes.It’s a grave mistake to try to override a child’s power of choice in what he wants to be and do. Some parents do this in an attempt to live their lives through the child.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Don’t have kids until you’re ready. And when you do have them, have them all the way. They aren’t like some Cadillac that you can turn back into the dealership after three years.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Don’t spoil kids by trying to buy them off, to buy their time. Kids aren’t stupid. They know a bribe when they see one. They want a parent not a payoff.
Carlina Rinaldi|We cannot live without meaning, that would preclude any sense of identity, any hope, any future.
Tom Althouse, The Frowny Face Cow|Parenting is a sacred responsibility with the sobering reality, of raising scholars or scars.
Hanya Yanagihara, A Little Life|I admired how she knew, well before I did, that the point of a child is not what you hope he will accomplish in your name but the pleasure that he will bring you, whatever form it comes in, even if it is a form that is barely recognizable as pleasure at all - and more important, the pleasure you will be privileged to bring him.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|CAUSE AND EFFECTYou can give a man who has never given you a good word,Volumes of knowledge.And you can give a man who has never given you a gift,A thousand gifts.You can give that same man who has never given you a blessing,A thousand blessings.And you can offer that same man who has neverOffered a hand to help you grow,Seeds to help him grow a garden.And while you have never seen true kindness from his direction,You still offer to help push him up.And in the end,He only wants to be the hand that pulls you down.Do not worry, my friends.Cause and effect was written by the stars of the universe.He who passes suffering onto othersWill also have that suffering passed onto his own children.Gifts he feels he should have in the next lifetime will be unobtainable.And the help he needs to grow in the next lifetime will be unavailable.And the people he cuts down that were good to him,Will cut him down in the next lifetime.What goes around does come back again,Even through your children.There is a vibrational effectIn every action,Just as there isA vibration that ringsFrom every letterIn every word.No cause occurs without effectAnd no effect occurs without cause.No unjust action goes without penaltyAnd no action or thoughtFlows unnoticedThroughoutThe universe.
Theodore Sturgeon, The Complete Stories of Theodore Sturgeon, Volume III: Killdozer!|Why do you talk all the time?” I asked. It was a rhetorical question, but she cocked her head on one side and considered it carefully.“I think it’s ’cause I don’t know any big words, like you and Mummy,” she said, just in time to pull me out of my magazine again, “so I have to use lots and lots of little ones.
Caroline Hanson, Love is Darkness|Her gaze shifted away. "I don't remember my dreams anymore." It was like she was confessing a dirty secret. And maybe it was, because even though he hated the dreams, each time he had them, he was with his parents again. Hearing their laughter. Watching them live. But when he woke up they were really gone.
Israelmore Ayivor, Daily Drive 365|A good example is the best gift you can offer to your children. In your absence, your example is present, which means you are present always!
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Love your kids and just be there for them. You don't have to eyeball their every moment or to orchestrate all their comings and goings. They know this. They know that's too much. All they want is to be assured that there's a home fire cooking, that there are two foremen and a rulebook, and that there's someone to tuck them in at night.
Ian McEwan, The Child in Time|...children are at heart selfish, and reasonably so, for they are programmed for survival.
Laurence Overmire, The One Idea That Saves The World: A Call to Conscience and A Call to Action|Every child comes into this world as a gift to humanity. It is up to us, as adults, to see that they are properly taken care of and given all the love and attention they deserve. If we did so, I have no doubt our world would be drastically different and much more humane.
Stephanie Lahart|It’s so easy and convenient to buy our children gifts, but I encourage and challenge you to give them gifts that TRULY matter! The gift of unconditional love. The gift of encouragement. The gift of support. The gift of friendship. The gift of communication, understanding, and patience. The gift of guidance and support. The gift of quality time. And the gift of loving them for who THEY are. Material things are nice, but NOTHING compares to genuine love! Parenting should be taking seriously.
Ruth Minshull, Miracles for Breakfast: A Startling New Approach to Raising Children|If your child is constantly interrupting or doing other things to get your attention, he is not getting enough communication of the right kind. Just the fact that you are in the house with him all day does not mean that you are necessarily devoting any time to communication of his choice.
Ruth Minshull|If your child is constantly interrupting or doing other things to get your attention, he is not getting enough communication of the right kind. Just the fact that you are in the house with him all day does not mean that you are necessarily devoting any time to com- munication of his choice.
Bill Bigelow|...we are partisan in favor of our own children and grandchildren, who we hope can live in a world that doesn't poison them when they drink the water, breathe the air, or make a living.
Lorraine Loria, Wild about Manners|We all need good manners, like our friends from the zoo!
Murad S. Shah|There is no better satisfaction than to see your children make your dreams theirs, and achieve them on their terms.
Lorraine Loria, Wild about Manners|That's when I remember if you have a choice, always ask friends to leave in a very nice voice.
Toni Morrison, Beloved|The best thing she was, was her children.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|In infancy, our blood is strong and our energy is plentiful. Mind and body, thought and action are one. Everything we do is in harmony with the natural order. The infant is not affected by things that happen around him. Virtue and ethics cannot restrain his will. Naked and free of social conventions, he follows the natural path of the heart.
|Perhaps it's human nature: We want to shield our children from pain, and what we get instead is life and heartache and lessons that bring us to our knees. Sooner or later we are handed the brute, necessary curriculum of surrender, we have no choice, then but to bow our heads and learn. We struggle to accept that our children's destinies are not ours to write, their battles not ours to fight, their bruises not ours to bear, nor their victories ours to take credit for. We learn humility and how to ask for help. We learn to let go even when every fiber of our being yearns to hold on even tighter.
Asa Don Brown|Loss has no friend, no allies, no benefit to the human spirit.
Asa Don Brown|As an individual, you are entitled to your time of grief, process of grief, and right to grieve.
Gavin de Becker|The best antidote to worry is action. If there is an action that will lessen the likelihood of a dreaded outcome occurring, and if that action doesn't cost too much in terms of effort or freedom, then take it. The worry about whether we remembered to close the baby gate at the top of the stairs can be stopped in an instant by checking. Then it isn't a worry anymore; it's just a brief impulse. Almost all of the worry parents feel about keeping their children safe evolves from the conflict between intuition and inaction.Your choices when worrying are clear: take action, have faith, pray, seek comfort, or keep worrying.
Victor Hugo, Les Misérables|In the morning, when he entered my room, I grumbled, but he was like the sunlight to me, all the same. One cannot defend oneself against those brats. They take hold of you, they hold you fast, they never let you go again. The truth is, that there never was a cupid like that child.
Theodore Sturgeon, The Complete Stories of Theodore Sturgeon, Volume III: Killdozer!|I thumped her on the back, picked her up and dropped her on top of her dungarees. “Put them pants on,” I said, “and be a man.” She did, but she cried quietly until I shook her and said gently, “Stop it now. I didn’t carry on like that when I was a little girl.” I got into my clothes and dumped her into the bow of the canoe and shoved off.All the way back to the cabin I forced her to play one of our pet games. I would say something—anything—and she would try to say something that rhymed with it. Then it would be her turn. She had an extraordinary rhythmic sense, and an excellent ear.I started off with “We’ll go home and eat our dinners.”“An’ Lord have mercy on us sinners,” she cried. Then, “Let’s see you find a rhyme for ‘month’!”“I bet I’ll do it … jutht thith onthe,” I replied. “I guess I did it then, by cracky.”“Course you did, but then you’re wacky. Top that, mister funny-lookin’!”I pretended I couldn’t, mainly because I couldn’t, and she soundly kicked my shin as a penance. By the time we reached the cabin she was her usual self, and I found myself envying the resilience of youth. And she earned my undying respect by saying nothing to Anjy about the afternoon’s events, even when Anjy looked us over and said, “Just look at you two filthy kids! What have you been doing—swimming in the bayou?”“Daddy splashed me,” said Patty promptly.“And you had to splash him back. Why did he splash you?”“ ’Cause I spit mud through my teeth at him to make him mad,” said my outrageous child.“Patty!”“Mea culpa,” I said, hanging my head. “ ’Twas I who spit the mud.”Anjy threw up her hands. “Heaven knows what sort of a woman Patty’s going to grow up to be,” she said, half angrily.“A broad-minded and forgiving one like her lovely mother,” I said quickly.“Nice work, bud,” said Patty.Anjy laughed. “Outnumbered again. Come in and feed the face.
Elizabeth Gilbert, Eat, Pray, Love|Though I suppose people do reproduce sometimes for that reason - for insurance against later regret. I think people have children for all manner of reasons - sometimes out of a pure desire to nurture and witness life, sometimes out of an absence of choice, sometimes in order to hold on to a partner or create an heir, sometimes without thinking about it in any particular way. Not all the reasons to have children are the same, and not all of them are necessarily unselfish. Not all the reasons not to have children are the same, either, though. Nor are all those reasons necessarily selfish.
Ashlee Willis, The Word Changers|Perhaps someday, when you are a father, Prince, you will understand how empty is your heart if your child is a hollow toy that you can move where you will him to be
Tushar Upreti, The Days Of Childhood|Every book has it's destiny, Like a human life , Sometime when an Author is dead the destiny of the book begins" The days of Childhood !!!!!
Amit Kalantri|Every child gets a good mother, but not every mother gets a good child.
Joyce Herzog|Regarding school vs. homeschoolIf it works, send them there!If it doesn't, don't import it.
Indeewara Jayawardane|i am happy that to have or not to have a "leffe" is not the need of the hour in my mid thirthies. A liittle bit of more lighthearted luff left.
Diana Wynne Jones|A book for children, like the myths and folktales that tend to slide into it, is really a blueprint for dealing with life. For that reason, it might have a happy ending, because nobody ever solved a problem while believing it was hopeless. It might put the aims and the solution unrealistically high – in the same way that folktales tend to be about kings and queens – but this is because it is better to aim for the moon and get halfway there than just to aim for the roof and get halfway upstairs.
Carol Rifka Brunt, Tell the Wolves I'm Home|You know, Junie, you're fourteen now. I think you can certainly manage to put together a sandwich. ...The thing is, if my mother had any idea what I had in my backpack, she would have made me that sandwich. If she knew that I'd searched and searched the house until I finally found the little key to the fireproof box buried in the bottom of her underwear drawer, if she knew that I'd unlocked the box and taken my passport out, that I had it with me right that very second in a Ziploc bag in the bottom of my backpack, if she knew why I had it there, if she knew even a bit of all that, she might have made me that PBJ. She wouldn't have said, "You're fourteen now," like she thought I was some kind of responsible adult. No. If she knew about my plan, she would have said, "you're only fourteen." She would have told me that I was crazy to think about going to England with I was only fourteen.
Cornelia Funke|Children, they're the same everywhere. Greedy little creatures but the best listeners in the world -any world. The very best of all.
Carol Rifka Brunt, Tell the Wolves I'm Home|That's the difference between you and Greta. She has better things to do. She gets involved in clubs, activities. She has friends. But you? You slump around in that room of yours--
William Kamkwamba, The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope|Although Geoffrey, Gilbert and I grew up in this small place in Africa, we did many of the same things children do all over the world, only with slightly different materials. And talking with friends I've met from America and Europe, I now know this is true. Children everywhere have similar ways of entertaining themselves. If you look at it this way, the world isn't so big.
Tedd Tripp, Shepherding a Child's Heart|Recognizing that God has called you to function as his agent defines your task as a parent. Our culture has reduced parenting to providing care. Parents often see the task in these narrow terms. The child must have food, clothes, a bed, and some quality time. In sharp contrast to such a weak view, God has called you to a more profound task than being only a care-provider. You shepherd your child in God's behalf. The task God has given you is not one that can be conveniently scheduled. It is a pervasive task. Training and shepherding are going on whenever you are with your children. Whether waking, walking, talking or resting, you must be involved in helping your child to understand life, himself, and his needs from a biblical perspective (Deuteronomy 6:6-7).
Charles M. Blow, Fire Shut Up in My Bones|Children see God every day; they just don't call it that. It's the summer sky painted with cumulus clouds by day and sequined with a million stars by night. It's the sweet whispers of sweet gum trees and the sounds riding the tops of honeysuckle-scented breezes. Children feel God stuffed into brown fluffy dogs with stitches strong enough to withstand a good squeeze, and on the lips of round women who can't get enough sugar from Chocolate.I began to believe that God is us and nature, beauty and love, mystery and majesty, everything right and good.
Zhuangzi, The Complete Works of Chuang Tzu|Can you be a little baby? The baby howls all day, yet its throat never gets hoarse - harmony at its height! The baby makes fists all day, yet its fingers never get cramped - virtue is all it holds to. The baby stares all day without blinking its eyes - it has no preferences in the world of externals.
Amit Kalantri|The problem with a man is, he is no more a child.
Jenny Offill, Dept. of Speculation|My daughter breaks both her wrists jumping off of a swing. Her friend, who is five, told her to jump off of it. I promise nothing will happen, she said. But why did she promise that? she wails later at the hospital.
Tedd Tripp|As a parent, you have authority because God calls you to be an authority in your child's life. You have the authority to act on behalf of God. As a father or mother, you do not exercise rule over your jurisdiction, but over God's. You act at his command. You discharge a duty that he has given. You may not try to shape the lives of your children as pleases you, but as pleases him. All you do in your task as parents must be done from this point of view. You must undertake all your instruction, your care and nurture, your correction and discipline, because God has called you to. ... If you are God's agent in this task of providing essential training and instruction of the Lord, then you, too, are a person under authority. You and your child are in the same boat. You are both under God's authority. You have different roles, but the same Master.
Sarah Ruhl|When I am not paying attention to my children, they appear to desperately need it. When I am giving them my full attention, they seem just as happy to play by themselves. It is as though they need to be certain of my attention in order to play their own games and ignore me.
Lailah Gifty Akita, Think Great: Be Great!|A child of God, special possession.
Angela Thirkell, Wild Strawberries|Could I speak to you for a moment, madam?' said Nannie to Agnes.It was at moments of crisis like this that Mary chiefly envied her Aunt Agnes's imperturbable disposition. Most mothers feel a hideous sinking at the heart when these fatal words are pronounced, but Agnes only showed a kindly and inactive interest.In anyone else Mary might have suspected unusual powers of bluff, hiding trembling knees, a feeling of helpless nausea, flashes of light behind the eyes, storm in the brain, and a general desire to say 'Take double your present wages, but don't tell me what it is you want to speak to me about.' But Agnes, placidly confident in the perfection of her own family and the unassailable security of her own existence, was only capable of feeling a mild curiosity and barely capable of showing it.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|There are three people in your life: your great love, the one you want to have children with, and the one whom you can spend the rest of your life with. If you find that last one first, you have it made.
Neil Kennedy|80There is no greater influence in the lives of your children than the words you speak over them. The blessing of the father is incredibly potent and powerful. Your words give your children potential. As their father, you are prophesying their future!
